slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.699,0.761,0.015
1,101,0.655,0.723,0.017
1,102,0.653,0.721,0.018
1,103,0.718,0.777,0.014
1,104,0.711,0.771,0.015
1,105,0.786,0.833,0.011
1,106,0.873,0.904,0.006
1,107,0.622,0.694,0.02
1,108,0.595,0.669,0.021
1,109,0.627,0.697,0.019
1,110,0.79,0.837,0.011
1,111,0.682,0.746,0.016
1,112,0.762,0.814,0.012
1,113,0.916,0.937,0.004
1,114,0.812,0.855,0.01
1,115,0.845,0.881,0.008
1,116,0.984,0.988,-0.001
1,117,0.772,0.822,0.012
1,118,0.777,0.827,0.012
1,119,0.764,0.816,0.012
1,120,0.914,0.935,0.004
1,121,0.815,0.858,0.01
1,122,0.92,0.94,0.004
1,123,0.854,0.889,0.008
1,124,0.775,0.825,0.012
1,125,0.766,0.817,0.012
1,126,0.809,0.853,0.01
1,127,0.841,0.878,0.008
1,128,0.932,0.949,-0.004
1,129,0.955,0.967,0.002
1,130,0.927,0.946,0.004
1,131,0.993,0.995,-0.0
1,132,0.928,0.946,-0.004
1,133,0.923,0.942,0.004
1,134,0.748,0.802,0.014
1,135,0.932,0.949,-0.004
1,136,0.997,0.997,-0.0
1,137,0.867,0.899,0.007
1,138,0.874,0.904,0.007
1,139,0.815,0.858,0.01
1,140,0.784,0.832,0.012
1,141,0.719,0.778,0.015
1,142,0.832,0.871,0.009
1,143,0.67,0.736,0.018
1,144,0.594,0.668,0.023
1,145,0.621,0.692,0.021
1,146,0.765,0.817,0.013
1,147,0.979,0.985,0.001
1,148,0.913,0.935,0.005
1,149,0.845,0.882,0.008
1,150,0.904,0.928,0.005
1,151,0.823,0.864,0.01
1,152,0.772,0.822,0.013
1,153,0.768,0.819,0.013
1,154,0.913,0.934,-0.005
1,155,0.967,0.975,-0.002
1,156,0.782,0.831,0.012
1,157,1.0,1.0,-0.0
1,158,0.829,0.868,0.01
1,159,0.842,0.879,0.009
1,160,0.819,0.861,0.01
1,161,0.744,0.799,0.015
1,162,0.802,0.846,0.011
1,163,0.857,0.891,0.008
1,164,0.68,0.744,0.019
