slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.0,0.001,0.136
1,101,0.001,0.002,0.13
1,102,0.001,0.002,0.127
1,103,0.002,0.004,0.12
1,104,0.004,0.01,0.109
1,105,0.002,0.004,0.121
1,106,0.002,0.006,0.117
1,107,0.002,0.004,0.121
1,108,0.001,0.004,0.124
1,109,0.001,0.004,0.124
1,110,0.003,0.007,0.115
1,111,0.004,0.009,0.112
1,112,0.004,0.009,0.113
1,113,0.004,0.01,0.111
1,114,0.001,0.004,0.125
1,115,0.002,0.005,0.122
1,116,0.004,0.009,0.113
1,117,0.003,0.007,0.117
1,118,0.002,0.006,0.121
1,119,0.003,0.008,0.116
1,120,0.005,0.012,0.111
1,121,0.006,0.013,0.109
1,122,0.006,0.014,0.109
1,123,0.002,0.005,0.123
1,124,0.002,0.006,0.121
1,125,0.001,0.003,0.131
1,126,0.002,0.004,0.127
1,127,0.002,0.005,0.124
1,128,0.001,0.003,0.131
1,129,0.002,0.005,0.126
1,130,0.003,0.008,0.119
1,131,0.003,0.006,0.122
1,132,0.005,0.011,0.114
1,133,0.003,0.007,0.121
1,134,0.002,0.004,0.128
1,135,0.002,0.005,0.126
1,136,0.002,0.005,0.128
1,137,0.002,0.006,0.124
1,138,0.004,0.009,0.119
1,139,0.004,0.009,0.119
1,140,0.002,0.005,0.129
1,141,0.001,0.004,0.132
1,142,0.002,0.006,0.125
1,143,0.003,0.007,0.125
1,144,0.003,0.007,0.124
1,145,0.002,0.006,0.128
1,146,0.009,0.02,0.108
1,147,0.009,0.02,0.109
1,148,0.004,0.009,0.122
1,149,0.005,0.011,0.118
1,150,0.004,0.009,0.122
1,151,0.003,0.007,0.125
1,152,0.003,0.006,0.128
1,153,0.004,0.009,0.122
1,154,0.002,0.004,0.134
1,155,0.003,0.007,0.128
1,156,0.003,0.006,0.129
1,157,0.003,0.007,0.128
1,158,0.002,0.006,0.131
1,159,0.002,0.005,0.135
1,160,0.002,0.005,0.134
1,161,0.003,0.006,0.131
1,162,0.001,0.004,0.138
1,163,0.002,0.005,0.136
1,164,0.002,0.004,0.139
1,165,0.002,0.006,0.133
1,166,0.006,0.012,0.123
1,167,0.005,0.011,0.125
1,168,0.008,0.017,0.118
1,169,0.01,0.02,0.116
1,170,0.006,0.014,0.123
1,171,0.007,0.015,0.122
1,172,0.003,0.007,0.136
