slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.604,0.678,0.021
1,101,0.807,0.851,0.01
1,102,0.897,0.922,-0.005
1,103,0.952,0.964,-0.002
1,104,0.979,0.985,0.001
1,105,0.848,0.884,0.008
1,106,0.893,0.919,0.006
1,107,0.926,0.945,-0.004
1,108,0.94,0.955,0.003
1,109,0.983,0.987,-0.001
1,110,0.997,0.998,-0.0
1,111,0.805,0.849,-0.01
1,112,0.834,0.873,-0.009
1,113,0.929,0.947,-0.004
1,114,0.899,0.924,-0.005
1,115,0.86,0.893,-0.007
1,116,0.972,0.98,-0.001
1,117,0.828,0.868,-0.009
1,118,0.793,0.839,-0.011
1,119,0.731,0.788,-0.015
1,120,0.724,0.782,-0.015
1,121,0.714,0.773,-0.016
1,122,0.729,0.786,-0.015
1,123,0.847,0.883,-0.008
1,124,0.709,0.769,-0.016
1,125,0.844,0.881,-0.008
1,126,0.997,0.998,-0.0
1,127,0.96,0.97,-0.002
1,128,0.843,0.88,0.009
1,129,0.979,0.984,-0.001
1,130,0.905,0.928,-0.005
1,131,0.933,0.95,0.004
1,132,0.934,0.951,-0.004
1,133,0.906,0.929,-0.005
1,134,0.907,0.93,-0.005
1,135,0.973,0.98,0.001
1,136,0.952,0.964,0.003
1,137,0.957,0.968,0.002
1,138,0.899,0.924,-0.006
1,139,0.785,0.833,-0.012
1,140,0.908,0.93,-0.005
1,141,0.975,0.981,-0.001
1,142,0.904,0.928,-0.005
1,143,0.835,0.874,-0.009
1,144,0.742,0.797,-0.015
1,145,0.845,0.882,-0.009
1,146,0.659,0.726,-0.02
1,147,0.839,0.877,-0.009
1,148,0.925,0.944,-0.004
1,149,0.813,0.855,-0.011
1,150,0.911,0.933,-0.005
1,151,0.882,0.911,-0.007
1,152,0.781,0.83,-0.013
1,153,0.719,0.778,-0.016
1,154,0.869,0.9,0.008
1,155,0.932,0.949,0.004
1,156,0.941,0.956,-0.003
1,157,0.759,0.811,0.014
1,158,0.979,0.985,0.001
1,159,0.909,0.931,0.005
1,160,0.968,0.976,0.002
1,161,0.852,0.887,-0.009
1,162,0.996,0.997,0.0
1,163,0.973,0.98,0.002
1,164,0.957,0.968,-0.003
1,165,0.974,0.981,0.002
1,166,0.735,0.791,-0.016
1,167,0.756,0.808,-0.015
1,168,0.842,0.879,-0.01
1,169,0.66,0.727,-0.021
1,170,0.712,0.772,-0.018
1,171,0.595,0.67,-0.026
1,172,0.61,0.683,-0.025
1,173,0.53,0.609,-0.031
1,174,0.66,0.727,-0.022
1,175,0.787,0.835,-0.013
1,176,0.582,0.658,-0.027
1,177,0.589,0.664,-0.027
1,178,0.464,0.547,-0.037
1,179,0.505,0.585,-0.034
1,180,0.573,0.649,-0.029
1,181,0.578,0.654,-0.028
1,182,0.632,0.702,-0.024
1,183,0.509,0.589,-0.034
1,184,0.483,0.565,-0.036
1,185,0.445,0.528,-0.04
1,186,0.334,0.415,-0.05
1,187,0.278,0.357,-0.057
1,188,0.383,0.466,-0.046
1,189,0.423,0.507,-0.042
1,190,0.492,0.574,-0.037
1,191,0.386,0.469,-0.046
1,192,0.32,0.401,-0.053
1,193,0.252,0.328,-0.062
1,194,0.293,0.372,-0.057
1,195,0.401,0.484,-0.046
1,196,0.4,0.483,-0.046
1,197,0.293,0.372,-0.058
1,198,0.229,0.303,-0.067
1,199,0.323,0.405,-0.055
1,200,0.421,0.504,-0.045
1,201,0.296,0.375,-0.059
1,202,0.283,0.361,-0.061
1,203,0.307,0.387,-0.058
1,204,0.315,0.395,-0.057
1,205,0.487,0.569,-0.04
1,206,0.373,0.456,-0.051
1,207,0.431,0.514,-0.045
1,208,0.462,0.545,-0.042
1,209,0.396,0.479,-0.049
1,210,0.439,0.522,-0.045
1,211,0.528,0.608,-0.037
1,212,0.481,0.563,-0.041
1,213,0.436,0.52,-0.046
1,214,0.506,0.586,-0.039
1,215,0.554,0.632,-0.035
1,216,0.49,0.572,-0.041
1,217,0.401,0.485,-0.05
1,218,0.425,0.508,-0.048
1,219,0.565,0.642,-0.035
1,220,0.454,0.536,-0.045
1,221,0.388,0.471,-0.052
1,222,0.52,0.6,-0.039
1,223,0.367,0.45,-0.055
1,224,0.372,0.455,-0.055
1,39,0.562,0.639,0.021
1,40,0.629,0.7,0.017
1,41,0.787,0.834,0.01
1,42,0.549,0.627,0.021
1,43,0.62,0.692,0.018
1,44,0.732,0.789,0.012
1,45,0.642,0.712,0.017
1,46,0.468,0.551,0.026
1,47,0.753,0.806,0.011
1,48,0.81,0.853,0.009
1,49,0.288,0.367,0.038
1,50,0.696,0.758,0.014
1,51,0.703,0.764,0.014
1,52,0.428,0.511,0.029
1,53,0.498,0.579,0.024
1,54,0.605,0.678,0.019
1,55,0.559,0.637,0.021
1,56,0.344,0.426,0.034
1,57,0.406,0.49,0.03
1,58,0.659,0.726,0.016
1,59,0.313,0.394,0.037
1,60,0.576,0.651,0.02
1,61,0.248,0.324,0.042
1,62,0.5,0.581,0.025
1,63,0.5,0.581,0.025
1,64,0.621,0.692,0.018
1,65,0.492,0.574,0.025
1,66,0.314,0.395,0.037
1,67,0.348,0.431,0.035
1,68,0.441,0.524,0.029
1,69,0.68,0.744,0.015
1,70,0.35,0.432,0.035
1,71,0.388,0.471,0.032
1,72,0.364,0.447,0.034
1,73,0.483,0.565,0.026
1,74,0.518,0.599,0.024
1,75,0.368,0.45,0.034
1,76,0.416,0.499,0.031
1,77,0.864,0.897,0.007
1,78,0.505,0.586,0.026
1,79,0.363,0.446,0.035
1,80,0.538,0.617,0.024
1,81,0.712,0.772,0.014
1,82,0.499,0.58,0.026
1,83,0.616,0.688,0.019
1,84,0.631,0.702,0.019
1,85,0.463,0.546,0.029
1,86,0.452,0.535,0.03
1,87,0.571,0.647,0.022
1,88,0.37,0.453,0.035
1,89,0.451,0.534,0.03
1,90,0.582,0.657,0.022
1,91,0.499,0.58,0.027
1,92,0.676,0.741,0.017
1,93,0.42,0.503,0.032
1,94,0.612,0.685,0.02
1,95,0.467,0.549,0.029
1,96,0.652,0.72,0.018
1,97,0.608,0.681,0.021
1,98,0.681,0.745,0.017
1,99,0.556,0.634,0.024
10,10,0.44,0.523,0.027
10,100,0.423,0.506,0.032
10,101,0.419,0.502,0.033
10,102,0.436,0.519,0.032
10,103,0.408,0.492,0.034
10,104,0.598,0.672,0.021
10,105,0.289,0.368,0.043
10,106,0.258,0.334,0.046
10,107,0.835,0.873,0.009
10,108,0.771,0.822,0.012
10,109,0.666,0.732,0.018
10,11,0.535,0.614,0.022
10,110,0.834,0.872,0.009
10,111,0.964,0.973,0.002
10,112,0.742,0.797,0.014
10,113,0.81,0.853,0.01
10,114,0.683,0.747,0.017
10,115,0.555,0.633,0.025
10,116,0.598,0.672,0.022
10,117,0.574,0.65,0.023
10,118,0.718,0.777,0.015
10,119,0.43,0.513,0.033
10,12,0.337,0.419,0.034
10,120,0.458,0.54,0.031
10,121,0.567,0.643,0.024
10,122,0.629,0.7,0.02
10,123,0.412,0.495,0.035
10,124,0.363,0.446,0.039
10,125,0.3,0.379,0.044
10,126,0.358,0.44,0.039
10,127,0.357,0.439,0.039
10,128,0.343,0.425,0.04
10,129,0.381,0.464,0.037
10,13,0.679,0.744,0.014
10,130,0.311,0.392,0.043
10,131,0.342,0.424,0.041
10,132,0.339,0.42,0.041
10,133,0.313,0.394,0.043
10,134,0.382,0.465,0.038
10,135,0.594,0.668,0.023
10,136,0.485,0.567,0.03
10,137,0.565,0.642,0.025
10,138,0.564,0.641,0.025
10,139,0.536,0.615,0.027
10,14,0.327,0.408,0.034
10,140,0.554,0.631,0.026
10,141,0.576,0.652,0.024
10,142,0.684,0.748,0.018
10,143,0.76,0.812,0.013
10,144,0.74,0.796,0.015
10,145,0.668,0.734,0.019
10,146,0.889,0.916,0.006
10,147,0.672,0.738,0.019
10,148,0.642,0.711,0.02
10,149,0.636,0.706,0.021
