slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.688,0.752,-0.016
1,101,0.648,0.717,-0.018
1,102,0.646,0.715,-0.018
1,103,0.713,0.773,-0.014
1,104,0.703,0.764,-0.015
1,105,0.78,0.829,-0.011
1,106,0.865,0.897,-0.007
1,107,0.619,0.691,-0.02
1,108,0.596,0.67,-0.021
1,109,0.624,0.695,-0.02
1,110,0.784,0.832,-0.011
1,111,0.679,0.743,-0.017
1,112,0.761,0.813,-0.012
1,113,0.915,0.936,-0.004
1,114,0.808,0.852,-0.01
1,115,0.842,0.879,-0.008
1,116,0.991,0.993,0.0
1,117,0.769,0.82,-0.012
1,118,0.773,0.823,-0.012
1,119,0.762,0.814,-0.012
1,120,0.911,0.933,-0.005
1,121,0.812,0.855,-0.01
1,122,0.915,0.936,-0.004
1,123,0.85,0.885,-0.008
1,124,0.769,0.819,-0.012
1,125,0.765,0.816,-0.012
1,126,0.803,0.847,-0.01
1,127,0.837,0.875,-0.009
1,128,0.934,0.95,0.003
1,129,0.955,0.967,-0.002
1,130,0.928,0.946,-0.004
1,131,0.99,0.993,0.001
1,132,0.923,0.942,0.004
1,133,0.92,0.94,-0.004
1,134,0.748,0.802,-0.014
1,135,0.929,0.947,0.004
1,136,0.997,0.998,0.0
1,137,0.866,0.898,-0.007
1,138,0.873,0.904,-0.007
1,139,0.813,0.856,-0.01
1,140,0.78,0.828,-0.012
1,141,0.717,0.776,-0.015
1,142,0.83,0.869,-0.009
1,143,0.673,0.739,-0.018
1,144,0.594,0.669,-0.023
1,145,0.621,0.693,-0.021
1,146,0.765,0.816,-0.013
1,147,0.98,0.985,-0.001
1,148,0.918,0.938,-0.004
1,149,0.849,0.884,-0.008
1,150,0.91,0.932,-0.005
1,151,0.83,0.869,-0.009
1,152,0.78,0.829,-0.012
1,153,0.771,0.821,-0.013
1,154,0.905,0.929,0.005
1,155,0.963,0.973,0.002
1,156,0.783,0.831,-0.012
1,157,0.992,0.994,0.0
1,158,0.837,0.875,-0.009
1,159,0.849,0.885,-0.008
1,160,0.825,0.865,-0.01
1,161,0.751,0.804,-0.014
1,162,0.809,0.853,-0.011
1,163,0.862,0.895,-0.008
1,164,0.682,0.746,-0.019
1,165,0.767,0.818,-0.014
1,166,0.792,0.839,-0.012
1,167,0.694,0.757,-0.018
1,168,0.815,0.857,-0.011
1,169,0.639,0.708,-0.022
1,170,0.656,0.724,-0.021
1,171,0.607,0.68,-0.024
1,172,0.466,0.549,-0.034
1,173,0.452,0.534,-0.036
1,174,0.451,0.534,-0.036
1,175,0.547,0.625,-0.029
1,176,0.515,0.595,-0.031
1,177,0.503,0.583,-0.032
1,178,0.378,0.461,-0.043
1,179,0.445,0.528,-0.037
1,180,0.381,0.464,-0.043
1,181,0.451,0.534,-0.037
1,182,0.594,0.668,-0.026
1,183,0.477,0.559,-0.035
1,184,0.463,0.545,-0.037
1,185,0.505,0.586,-0.033
1,186,0.422,0.505,-0.041
1,187,0.328,0.409,-0.05
1,188,0.446,0.529,-0.039
1,189,0.445,0.528,-0.039
1,190,0.553,0.631,-0.031
1,191,0.401,0.485,-0.043
1,192,0.52,0.6,-0.033
1,193,0.425,0.508,-0.042
1,194,0.394,0.478,-0.045
1,195,0.449,0.532,-0.04
1,196,0.609,0.682,-0.027
1,197,0.506,0.587,-0.035
1,198,0.389,0.472,-0.046
1,199,0.527,0.607,-0.034
1,200,0.568,0.644,-0.031
1,201,0.473,0.555,-0.039
1,202,0.666,0.732,-0.024
1,203,0.543,0.622,-0.033
1,204,0.427,0.511,-0.044
1,205,0.716,0.775,-0.02
1,206,0.74,0.795,-0.018
1,207,0.701,0.762,-0.021
1,208,0.664,0.73,-0.024
1,209,0.74,0.795,-0.019
1,210,0.633,0.703,-0.027
1,211,0.748,0.803,-0.018
1,212,0.828,0.868,-0.012
1,213,0.79,0.837,-0.015
1,214,0.713,0.773,-0.021
1,215,0.768,0.818,-0.017
1,216,0.755,0.808,-0.018
1,217,0.779,0.828,-0.016
1,218,0.609,0.682,-0.03
1,219,0.681,0.745,-0.024
