slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.012,0.024,0.103
1,101,0.019,0.035,0.096
1,102,0.023,0.042,0.094
1,103,0.028,0.05,0.091
1,104,0.048,0.08,0.082
1,105,0.022,0.041,0.095
1,106,0.024,0.043,0.094
1,107,0.038,0.064,0.087
1,108,0.034,0.059,0.089
1,109,0.033,0.058,0.089
1,110,0.034,0.059,0.089
1,111,0.051,0.083,0.083
1,112,0.04,0.068,0.087
1,113,0.03,0.053,0.092
1,114,0.02,0.037,0.099
1,115,0.022,0.041,0.098
1,116,0.023,0.042,0.097
1,117,0.036,0.062,0.09
1,118,0.029,0.051,0.094
1,119,0.038,0.064,0.089
1,120,0.036,0.061,0.091
1,121,0.049,0.081,0.085
1,122,0.038,0.066,0.09
1,123,0.023,0.042,0.099
1,124,0.031,0.054,0.094
1,125,0.02,0.037,0.102
1,126,0.022,0.04,0.1
1,127,0.024,0.043,0.099
1,128,0.008,0.018,0.116
1,129,0.016,0.031,0.105
1,130,0.025,0.045,0.099
1,131,0.016,0.031,0.106
1,132,0.02,0.038,0.102
1,133,0.023,0.042,0.1
1,134,0.026,0.047,0.099
1,135,0.012,0.024,0.112
1,136,0.013,0.027,0.11
1,137,0.024,0.044,0.101
1,138,0.031,0.055,0.097
1,139,0.035,0.061,0.094
1,140,0.025,0.045,0.1
1,141,0.026,0.046,0.1
1,142,0.027,0.048,0.1
1,143,0.043,0.072,0.092
1,144,0.054,0.088,0.087
1,145,0.044,0.074,0.091
1,146,0.07,0.11,0.082
1,147,0.042,0.071,0.093
1,148,0.027,0.049,0.101
1,149,0.039,0.067,0.094
1,150,0.028,0.05,0.1
1,151,0.029,0.051,0.1
1,152,0.03,0.054,0.099
1,153,0.043,0.072,0.094
1,154,0.01,0.021,0.119
1,155,0.017,0.032,0.111
1,156,0.032,0.056,0.1
1,157,0.018,0.034,0.11
1,158,0.026,0.047,0.104
1,159,0.021,0.039,0.108
1,160,0.024,0.043,0.106
1,161,0.034,0.059,0.1
1,162,0.022,0.04,0.109
1,163,0.022,0.041,0.109
1,164,0.032,0.056,0.103
1,165,0.033,0.057,0.102
1,166,0.049,0.081,0.095
1,167,0.059,0.095,0.091
1,168,0.058,0.093,0.092
1,169,0.096,0.144,0.081
1,170,0.073,0.113,0.088
1,171,0.085,0.13,0.085
1,172,0.077,0.118,0.088
1,173,0.126,0.181,0.076
1,174,0.119,0.173,0.078
1,175,0.076,0.118,0.089
1,176,0.113,0.165,0.08
1,177,0.103,0.153,0.083
1,178,0.152,0.213,0.073
1,179,0.157,0.219,0.072
1,180,0.153,0.215,0.073
1,181,0.123,0.178,0.079
1,182,0.115,0.168,0.082
1,183,0.154,0.216,0.074
1,184,0.204,0.274,0.067
1,185,0.22,0.293,0.065
1,186,0.288,0.367,0.056
1,187,0.32,0.401,0.053
1,188,0.273,0.35,0.059
1,189,0.271,0.348,0.059
1,190,0.205,0.275,0.069
1,191,0.233,0.307,0.065
1,192,0.308,0.388,0.056
1,193,0.385,0.468,0.048
1,194,0.297,0.377,0.058
1,195,0.228,0.301,0.067
1,196,0.217,0.288,0.069
1,197,0.291,0.371,0.059
1,198,0.332,0.414,0.055
1,199,0.31,0.39,0.058
1,200,0.191,0.259,0.074
1,201,0.39,0.473,0.049
1,202,0.296,0.376,0.06
1,203,0.332,0.414,0.056
1,204,0.345,0.427,0.055
1,205,0.2,0.269,0.075
1,206,0.259,0.336,0.066
1,207,0.275,0.353,0.064
1,208,0.24,0.314,0.069
1,209,0.215,0.287,0.073
1,210,0.233,0.307,0.07
1,211,0.21,0.28,0.074
1,212,0.184,0.251,0.079
1,213,0.211,0.282,0.075
1,214,0.222,0.294,0.073
1,215,0.174,0.24,0.082
1,216,0.229,0.303,0.073
1,217,0.245,0.32,0.071
1,218,0.256,0.333,0.069
1,219,0.21,0.281,0.076
1,220,0.279,0.358,0.066
1,221,0.325,0.407,0.061
1,222,0.276,0.354,0.067
1,223,0.412,0.496,0.051
1,224,0.438,0.521,0.048
1,39,0.003,0.008,0.106
1,40,0.005,0.011,0.103
1,41,0.004,0.01,0.103
1,42,0.002,0.004,0.114
1,43,0.006,0.013,0.1
1,44,0.006,0.013,0.099
1,45,0.005,0.011,0.102
1,46,0.001,0.004,0.116
1,47,0.008,0.017,0.097
1,48,0.005,0.012,0.102
1,49,0.001,0.003,0.122
1,50,0.007,0.015,0.099
1,51,0.008,0.017,0.098
1,52,0.001,0.003,0.121
1,53,0.001,0.004,0.116
1,54,0.005,0.011,0.103
1,55,0.003,0.007,0.11
1,56,0.001,0.002,0.126
