slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.335,0.417,-0.038
1,101,0.205,0.275,-0.05
1,102,0.085,0.129,-0.068
1,103,0.121,0.176,-0.061
1,104,0.183,0.249,-0.053
1,105,0.203,0.273,-0.051
1,106,0.183,0.25,-0.053
1,107,0.119,0.173,-0.062
1,108,0.182,0.248,-0.054
1,109,0.137,0.195,-0.06
1,110,0.153,0.214,-0.058
1,111,0.093,0.14,-0.068
1,112,0.095,0.142,-0.068
1,113,0.123,0.178,-0.063
1,114,0.088,0.134,-0.069
1,115,0.082,0.126,-0.071
1,116,0.13,0.186,-0.062
1,117,0.089,0.135,-0.07
1,118,0.069,0.109,-0.075
1,119,0.061,0.097,-0.077
1,120,0.062,0.099,-0.077
1,121,0.068,0.107,-0.076
1,122,0.062,0.099,-0.077
1,123,0.072,0.112,-0.075
1,124,0.046,0.077,-0.083
1,125,0.067,0.106,-0.076
1,126,0.119,0.172,-0.065
1,127,0.107,0.157,-0.068
1,128,0.148,0.208,-0.061
1,129,0.105,0.156,-0.068
1,130,0.097,0.145,-0.07
1,131,0.143,0.203,-0.061
1,132,0.105,0.155,-0.068
1,133,0.09,0.136,-0.072
1,134,0.088,0.134,-0.072
1,135,0.108,0.16,-0.068
1,136,0.117,0.17,-0.067
1,137,0.141,0.2,-0.063
1,138,0.096,0.144,-0.071
1,139,0.062,0.099,-0.08
1,140,0.08,0.123,-0.075
1,141,0.106,0.157,-0.069
1,142,0.087,0.132,-0.074
1,143,0.083,0.127,-0.075
1,144,0.062,0.098,-0.081
1,145,0.085,0.129,-0.075
1,146,0.055,0.09,-0.083
1,147,0.091,0.137,-0.074
1,148,0.103,0.153,-0.071
1,149,0.079,0.122,-0.077
1,150,0.097,0.146,-0.072
1,151,0.086,0.13,-0.075
1,152,0.061,0.097,-0.082
1,153,0.058,0.093,-0.084
1,154,0.151,0.212,-0.064
1,155,0.145,0.205,-0.065
1,156,0.116,0.169,-0.07
1,157,0.258,0.334,-0.05
1,158,0.152,0.213,-0.064
1,159,0.167,0.231,-0.062
1,160,0.138,0.196,-0.067
1,161,0.091,0.138,-0.076
1,162,0.134,0.192,-0.068
1,163,0.149,0.21,-0.066
1,164,0.125,0.18,-0.07
1,165,0.165,0.229,-0.064
1,166,0.072,0.112,-0.083
1,167,0.082,0.126,-0.08
1,168,0.115,0.168,-0.073
1,169,0.073,0.114,-0.084
1,170,0.075,0.116,-0.084
1,171,0.048,0.08,-0.093
1,172,0.044,0.074,-0.095
1,173,0.041,0.07,-0.097
1,174,0.074,0.114,-0.086
1,175,0.095,0.143,-0.08
1,176,0.051,0.084,-0.094
1,177,0.049,0.081,-0.095
1,178,0.032,0.056,-0.105
1,179,0.042,0.071,-0.099
1,180,0.057,0.093,-0.093
1,181,0.052,0.085,-0.096
1,182,0.068,0.107,-0.091
1,183,0.044,0.074,-0.1
1,184,0.047,0.078,-0.1
1,185,0.041,0.069,-0.103
1,186,0.026,0.047,-0.113
1,187,0.018,0.033,-0.121
1,188,0.036,0.062,-0.108
1,189,0.044,0.073,-0.104
1,190,0.052,0.084,-0.101
1,191,0.029,0.051,-0.114
1,192,0.025,0.046,-0.117
1,193,0.019,0.035,-0.124
1,194,0.019,0.037,-0.123
1,195,0.033,0.057,-0.113
1,196,0.032,0.057,-0.114
1,197,0.019,0.036,-0.126
1,198,0.012,0.024,-0.135
1,199,0.026,0.047,-0.121
1,200,0.032,0.057,-0.116
1,201,0.025,0.045,-0.122
1,202,0.02,0.037,-0.128
1,203,0.024,0.044,-0.124
1,204,0.026,0.047,-0.123
1,205,0.051,0.083,-0.109
1,206,0.033,0.057,-0.119
1,207,0.048,0.08,-0.111
1,208,0.051,0.084,-0.11
1,209,0.033,0.058,-0.12
1,210,0.044,0.073,-0.114
1,211,0.066,0.104,-0.104
1,212,0.048,0.08,-0.112
1,213,0.042,0.071,-0.116
1,214,0.063,0.1,-0.107
1,215,0.068,0.107,-0.105
1,216,0.061,0.098,-0.108
1,217,0.04,0.068,-0.119
1,218,0.044,0.073,-0.117
1,219,0.077,0.119,-0.103
1,220,0.058,0.093,-0.111
1,221,0.044,0.074,-0.118
1,222,0.082,0.126,-0.103
1,223,0.049,0.08,-0.117
1,224,0.054,0.087,-0.115
1,39,0.308,0.389,-0.035
1,40,0.248,0.323,-0.04
1,41,0.152,0.214,-0.05
1,42,0.245,0.32,-0.04
1,43,0.281,0.36,-0.038
1,44,0.219,0.291,-0.043
1,45,0.241,0.316,-0.041
1,46,0.337,0.419,-0.033
1,47,0.211,0.282,-0.044
1,48,0.157,0.22,-0.049
1,49,0.58,0.655,-0.019
1,50,0.233,0.306,-0.042
1,51,0.237,0.311,-0.042
1,52,0.377,0.46,-0.031
1,53,0.294,0.374,-0.037
1,54,0.298,0.378,-0.037
1,55,0.284,0.362,-0.038
1,56,0.474,0.556,-0.025
1,57,0.435,0.518,-0.028
1,58,0.24,0.315,-0.042
1,59,0.504,0.585,-0.024
1,60,0.271,0.348,-0.039
1,61,0.598,0.672,-0.019
1,62,0.31,0.39,-0.036
1,63,0.362,0.444,-0.033
1,64,0.278,0.356,-0.039
1,65,0.389,0.472,-0.031
1,66,0.543,0.621,-0.022
1,67,0.42,0.503,-0.029
1,68,0.386,0.469,-0.031
1,69,0.207,0.278,-0.046
1,70,0.477,0.559,-0.026
1,71,0.493,0.574,-0.025
1,72,0.536,0.615,-0.023
1,73,0.389,0.472,-0.032
1,74,0.379,0.462,-0.032
1,75,0.503,0.584,-0.025
1,76,0.514,0.594,-0.024
1,77,0.232,0.306,-0.044
1,78,0.448,0.531,-0.028
1,79,0.652,0.72,-0.017
1,80,0.475,0.557,-0.027
1,81,0.3,0.379,-0.039
1,82,0.458,0.54,-0.028
1,83,0.304,0.384,-0.039
1,84,0.295,0.374,-0.04
1,85,0.451,0.534,-0.029
1,86,0.477,0.559,-0.027
1,87,0.324,0.405,-0.038
1,88,0.512,0.593,-0.025
1,89,0.443,0.526,-0.029
1,90,0.32,0.401,-0.038
1,91,0.413,0.496,-0.031
1,92,0.248,0.323,-0.045
1,93,0.443,0.526,-0.03
1,94,0.333,0.415,-0.037
1,95,0.468,0.55,-0.028
1,96,0.248,0.324,-0.045
1,97,0.324,0.405,-0.038
1,98,0.311,0.392,-0.04
1,99,0.401,0.484,-0.033
10,10,0.363,0.446,-0.031
10,100,0.48,0.562,-0.028
10,101,0.484,0.566,-0.027
10,102,0.477,0.559,-0.028
10,103,0.479,0.561,-0.028
10,104,0.346,0.428,-0.037
10,105,0.596,0.67,-0.021
10,106,0.764,0.815,-0.012
10,107,0.243,0.318,-0.047
10,108,0.246,0.321,-0.046
10,109,0.317,0.398,-0.04
10,11,0.25,0.325,-0.04
10,110,0.183,0.249,-0.054
10,111,0.133,0.19,-0.06
10,112,0.247,0.322,-0.047
10,113,0.234,0.308,-0.048
10,114,0.292,0.372,-0.043
10,115,0.408,0.491,-0.034
10,116,0.381,0.465,-0.036
10,117,0.346,0.428,-0.038
10,118,0.272,0.35,-0.045
10,119,0.483,0.565,-0.029
10,12,0.46,0.542,-0.025
10,120,0.482,0.564,-0.029
10,121,0.364,0.446,-0.037
