slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.003,0.007,-0.108
1,101,0.003,0.006,-0.109
1,102,0.002,0.004,-0.115
1,103,0.003,0.007,-0.109
1,104,0.012,0.023,-0.093
1,105,0.007,0.015,-0.1
1,106,0.008,0.017,-0.098
1,107,0.004,0.009,-0.108
1,108,0.005,0.012,-0.104
1,109,0.005,0.011,-0.105
1,110,0.009,0.019,-0.097
1,111,0.005,0.012,-0.104
1,112,0.006,0.014,-0.102
1,113,0.009,0.019,-0.098
1,114,0.003,0.008,-0.112
1,115,0.004,0.01,-0.109
1,116,0.011,0.022,-0.097
1,117,0.006,0.014,-0.104
1,118,0.004,0.008,-0.111
1,119,0.005,0.012,-0.107
1,120,0.011,0.023,-0.097
1,121,0.013,0.026,-0.095
1,122,0.012,0.024,-0.097
1,123,0.007,0.015,-0.104
1,124,0.005,0.012,-0.108
1,125,0.002,0.006,-0.117
1,126,0.008,0.016,-0.104
1,127,0.01,0.02,-0.101
1,128,0.007,0.016,-0.104
1,129,0.007,0.016,-0.105
1,130,0.013,0.025,-0.097
1,131,0.016,0.03,-0.094
1,132,0.017,0.033,-0.093
1,133,0.009,0.018,-0.103
1,134,0.005,0.012,-0.109
1,135,0.012,0.024,-0.099
1,136,0.01,0.02,-0.102
1,137,0.013,0.026,-0.098
1,138,0.013,0.026,-0.098
1,139,0.01,0.021,-0.102
1,140,0.005,0.012,-0.111
1,141,0.005,0.011,-0.112
1,142,0.007,0.016,-0.107
1,143,0.008,0.018,-0.106
1,144,0.006,0.013,-0.11
1,145,0.006,0.013,-0.111
1,146,0.015,0.03,-0.098
1,147,0.02,0.038,-0.094
1,148,0.014,0.027,-0.1
1,149,0.011,0.023,-0.103
1,150,0.011,0.023,-0.103
1,151,0.01,0.02,-0.105
1,152,0.006,0.014,-0.111
1,153,0.007,0.014,-0.111
1,154,0.007,0.016,-0.11
1,155,0.009,0.02,-0.107
1,156,0.008,0.017,-0.109
1,157,0.02,0.038,-0.096
1,158,0.012,0.023,-0.105
1,159,0.011,0.022,-0.106
1,160,0.011,0.022,-0.107
1,161,0.009,0.018,-0.11
1,162,0.007,0.016,-0.113
1,163,0.01,0.021,-0.109
1,164,0.007,0.016,-0.114
1,165,0.012,0.024,-0.107
1,166,0.012,0.025,-0.107
1,167,0.011,0.022,-0.109
