slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.137,0.194,0.054
1,101,0.037,0.063,0.076
1,102,0.036,0.063,0.076
1,103,0.075,0.116,0.065
1,104,0.051,0.083,0.072
1,105,0.047,0.078,0.073
1,106,0.041,0.07,0.075
1,107,0.086,0.131,0.064
1,108,0.058,0.093,0.07
1,109,0.031,0.054,0.08
1,110,0.037,0.064,0.078
1,111,0.057,0.091,0.071
1,112,0.03,0.053,0.081
1,113,0.04,0.068,0.077
1,114,0.044,0.074,0.076
1,115,0.021,0.039,0.087
1,116,0.026,0.047,0.084
1,117,0.019,0.036,0.089
1,118,0.042,0.07,0.077
1,119,0.034,0.06,0.08
1,120,0.015,0.03,0.093
1,121,0.01,0.021,0.099
1,122,0.02,0.038,0.089
1,123,0.018,0.034,0.091
1,124,0.017,0.033,0.092
1,125,0.028,0.049,0.085
1,126,0.017,0.032,0.092
1,127,0.01,0.02,0.1
1,128,0.008,0.017,0.103
1,129,0.011,0.023,0.098
1,130,0.01,0.021,0.1
1,131,0.01,0.021,0.099
1,132,0.009,0.019,0.102
1,133,0.007,0.016,0.105
1,134,0.008,0.018,0.103
1,135,0.004,0.009,0.114
1,136,0.005,0.011,0.111
1,137,0.011,0.022,0.1
1,138,0.008,0.018,0.104
1,139,0.004,0.01,0.113
1,140,0.005,0.011,0.111
1,141,0.004,0.01,0.114
1,142,0.003,0.007,0.119
1,143,0.001,0.004,0.128
1,144,0.003,0.007,0.119
1,145,0.003,0.008,0.119
1,146,0.001,0.003,0.132
1,147,0.001,0.003,0.133
1,148,0.001,0.002,0.139
1,149,0.001,0.003,0.131
1,150,0.001,0.002,0.137
1,151,0.0,0.001,0.145
1,152,0.001,0.002,0.139
1,153,0.001,0.004,0.131
1,154,0.001,0.002,0.14
1,155,0.001,0.003,0.136
1,156,0.002,0.005,0.129
1,157,0.001,0.002,0.138
1,158,0.002,0.004,0.131
1,159,0.001,0.003,0.136
1,160,0.001,0.004,0.133
1,161,0.001,0.004,0.133
1,162,0.002,0.005,0.131
1,163,0.001,0.004,0.134
1,164,0.002,0.004,0.134
1,165,0.003,0.006,0.128
1,166,0.002,0.004,0.134
1,167,0.004,0.01,0.123
1,168,0.004,0.01,0.123
1,169,0.01,0.021,0.111
1,170,0.004,0.009,0.126
1,171,0.001,0.003,0.142
1,172,0.002,0.005,0.137
1,173,0.004,0.009,0.128
1,174,0.007,0.016,0.119
1,175,0.014,0.028,0.109
1,176,0.016,0.031,0.108
1,177,0.016,0.031,0.108
1,178,0.029,0.051,0.099
1,179,0.019,0.036,0.106
1,180,0.021,0.039,0.105
1,181,0.037,0.063,0.095
1,182,0.03,0.053,0.099
1,183,0.051,0.083,0.09
1,184,0.041,0.07,0.095
1,185,0.045,0.075,0.094
1,186,0.039,0.066,0.097
1,187,0.058,0.093,0.09
1,188,0.031,0.055,0.102
1,189,0.04,0.068,0.098
1,190,0.053,0.086,0.093
1,191,0.068,0.107,0.088
1,192,0.039,0.066,0.1
1,193,0.062,0.099,0.091
1,194,0.061,0.097,0.092
1,195,0.049,0.08,0.097
1,196,0.044,0.074,0.099
1,197,0.05,0.083,0.097
1,198,0.043,0.072,0.101
1,199,0.051,0.083,0.098
1,200,0.041,0.069,0.103
1,201,0.031,0.055,0.109
1,202,0.037,0.064,0.106
1,203,0.04,0.068,0.104
1,204,0.027,0.049,0.113
1,205,0.029,0.052,0.112
1,206,0.02,0.038,0.12
1,207,0.024,0.044,0.117
1,208,0.032,0.056,0.111
1,209,0.015,0.029,0.127
1,210,0.023,0.043,0.119
1,211,0.018,0.034,0.124
1,212,0.019,0.036,0.123
1,213,0.009,0.018,0.139
1,214,0.011,0.022,0.135
1,215,0.016,0.032,0.128
1,216,0.009,0.019,0.14
1,217,0.007,0.014,0.146
1,218,0.006,0.014,0.147
1,219,0.014,0.027,0.133
1,220,0.009,0.02,0.141
1,221,0.013,0.026,0.135
1,222,0.009,0.019,0.143
1,223,0.01,0.021,0.141
1,224,0.009,0.019,0.143
1,39,0.074,0.115,0.057
1,40,0.117,0.17,0.05
1,41,0.079,0.122,0.056
1,42,0.056,0.091,0.061
1,43,0.068,0.107,0.059
1,44,0.033,0.058,0.068
1,45,0.027,0.048,0.071
1,46,0.041,0.069,0.066
1,47,0.093,0.14,0.054
1,48,0.048,0.079,0.064
1,49,0.091,0.137,0.055
1,50,0.082,0.126,0.056
1,51,0.079,0.122,0.057
1,52,0.046,0.077,0.064
1,53,0.085,0.129,0.056
1,54,0.053,0.087,0.063
1,55,0.052,0.085,0.063
1,56,0.044,0.074,0.066
1,57,0.056,0.091,0.063
1,58,0.039,0.066,0.068
1,59,0.069,0.108,0.06
1,60,0.106,0.157,0.053
1,61,0.059,0.095,0.062
1,62,0.104,0.154,0.054
1,63,0.123,0.178,0.051
1,64,0.099,0.148,0.055
1,65,0.195,0.264,0.043
1,66,0.115,0.168,0.053
1,67,0.28,0.359,0.036
1,68,0.173,0.238,0.046
1,69,0.139,0.197,0.05
1,70,0.135,0.193,0.05
1,71,0.099,0.148,0.056
1,72,0.096,0.144,0.056
1,73,0.134,0.191,0.051
1,74,0.087,0.132,0.058
1,75,0.068,0.107,0.062
1,76,0.072,0.112,0.062
1,77,0.085,0.129,0.059
1,78,0.024,0.044,0.078
1,79,0.089,0.135,0.059
1,80,0.064,0.101,0.064
1,81,0.037,0.063,0.073
1,82,0.043,0.072,0.07
1,83,0.018,0.035,0.082
1,84,0.027,0.048,0.078
1,85,0.009,0.019,0.092
1,86,0.015,0.029,0.086
1,87,0.017,0.033,0.084
1,88,0.047,0.078,0.07
1,89,0.021,0.04,0.082
1,90,0.028,0.051,0.078
1,91,0.053,0.087,0.069
1,92,0.022,0.04,0.082
1,93,0.036,0.062,0.075
1,94,0.04,0.068,0.074
1,95,0.049,0.08,0.071
1,96,0.07,0.11,0.065
1,97,0.048,0.079,0.071
1,98,0.061,0.097,0.068
1,99,0.055,0.089,0.07
10,10,0.179,0.245,0.043
10,100,0.002,0.006,0.11
10,101,0.004,0.009,0.105
10,102,0.011,0.022,0.093
10,103,0.004,0.01,0.104
10,104,0.005,0.011,0.104
10,105,0.004,0.009,0.106
10,106,0.007,0.015,0.099
10,107,0.004,0.01,0.106
10,108,0.012,0.024,0.093
10,109,0.022,0.041,0.085
10,11,0.134,0.192,0.048
10,110,0.008,0.016,0.099
10,111,0.006,0.013,0.102
10,112,0.006,0.013,0.102
10,113,0.006,0.013,0.103
10,114,0.002,0.004,0.118
10,115,0.001,0.003,0.123
10,116,0.003,0.008,0.11
10,117,0.006,0.013,0.103
10,118,0.005,0.012,0.105
10,119,0.006,0.014,0.103
10,12,0.091,0.137,0.054
10,120,0.004,0.009,0.109
10,121,0.005,0.011,0.107
10,122,0.006,0.013,0.105
10,123,0.009,0.019,0.099
10,124,0.006,0.013,0.106
10,125,0.008,0.017,0.101
10,126,0.005,0.011,0.108
10,127,0.003,0.008,0.113
10,128,0.004,0.01,0.11
10,129,0.006,0.013,0.106
10,13,0.074,0.115,0.056
10,130,0.004,0.009,0.111
10,131,0.007,0.015,0.104
10,132,0.007,0.014,0.105
10,133,0.014,0.028,0.095
10,134,0.009,0.02,0.101
10,135,0.003,0.008,0.114
10,136,0.002,0.006,0.119
10,137,0.007,0.016,0.104
10,138,0.008,0.016,0.104
10,139,0.007,0.015,0.105
10,14,0.099,0.148,0.051
10,140,0.006,0.013,0.108
10,141,0.006,0.014,0.107
10,142,0.007,0.015,0.106
10,143,0.003,0.008,0.115
10,144,0.005,0.011,0.111
10,145,0.009,0.019,0.103
10,146,0.005,0.011,0.112
10,147,0.006,0.014,0.107
10,148,0.005,0.011,0.111
10,149,0.005,0.012,0.11
10,15,0.038,0.065,0.065
