slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.297,0.377,0.038
1,101,0.105,0.155,0.059
1,102,0.106,0.156,0.059
1,103,0.181,0.248,0.049
1,104,0.125,0.181,0.056
1,105,0.122,0.176,0.057
1,106,0.105,0.156,0.06
1,107,0.203,0.273,0.047
1,108,0.142,0.201,0.055
1,109,0.086,0.131,0.064
1,110,0.095,0.143,0.062
1,111,0.134,0.192,0.056
1,112,0.079,0.122,0.066
1,113,0.1,0.148,0.062
1,114,0.118,0.171,0.059
1,115,0.063,0.1,0.07
1,116,0.071,0.111,0.068
1,117,0.055,0.09,0.073
1,118,0.112,0.164,0.061
1,119,0.093,0.141,0.064
1,120,0.044,0.073,0.077
1,121,0.03,0.054,0.083
1,122,0.054,0.088,0.074
1,123,0.052,0.085,0.075
1,124,0.051,0.083,0.075
1,125,0.079,0.122,0.068
1,126,0.052,0.085,0.075
1,127,0.031,0.054,0.084
1,128,0.028,0.051,0.085
1,129,0.038,0.066,0.08
1,130,0.033,0.058,0.083
1,131,0.034,0.059,0.082
1,132,0.029,0.052,0.085
1,133,0.026,0.047,0.087
1,134,0.03,0.053,0.085
1,135,0.014,0.028,0.096
1,136,0.018,0.034,0.093
1,137,0.037,0.063,0.082
1,138,0.028,0.049,0.087
1,139,0.017,0.033,0.095
1,140,0.02,0.037,0.093
1,141,0.016,0.031,0.095
1,142,0.012,0.023,0.101
1,143,0.006,0.013,0.11
1,144,0.011,0.023,0.101
1,145,0.013,0.025,0.1
1,146,0.004,0.01,0.115
1,147,0.004,0.009,0.117
1,148,0.003,0.007,0.121
1,149,0.005,0.012,0.113
1,150,0.003,0.008,0.119
1,151,0.002,0.005,0.127
1,152,0.003,0.008,0.12
1,153,0.006,0.013,0.113
1,154,0.003,0.008,0.121
1,155,0.004,0.01,0.117
1,156,0.007,0.016,0.111
1,157,0.004,0.009,0.12
1,158,0.006,0.014,0.113
1,159,0.005,0.011,0.118
1,160,0.006,0.014,0.114
1,161,0.006,0.014,0.114
1,162,0.008,0.017,0.111
1,163,0.006,0.014,0.115
1,164,0.007,0.015,0.115
1,165,0.01,0.021,0.109
1,166,0.007,0.014,0.116
1,167,0.014,0.028,0.105
1,168,0.013,0.027,0.106
1,169,0.03,0.053,0.094
1,170,0.013,0.026,0.108
1,171,0.005,0.011,0.123
1,172,0.008,0.017,0.117
1,173,0.013,0.026,0.109
1,174,0.023,0.043,0.101
1,175,0.041,0.07,0.091
1,176,0.044,0.074,0.09
1,177,0.047,0.078,0.089
1,178,0.077,0.119,0.08
1,179,0.052,0.085,0.088
1,180,0.058,0.093,0.086
1,181,0.093,0.14,0.077
1,182,0.073,0.114,0.082
1,183,0.119,0.172,0.072
1,184,0.096,0.143,0.078
1,185,0.097,0.145,0.078
1,186,0.084,0.129,0.081
1,187,0.122,0.176,0.073
1,188,0.069,0.108,0.087
1,189,0.086,0.13,0.082
1,190,0.108,0.159,0.077
1,191,0.14,0.199,0.071
1,192,0.08,0.123,0.085
1,193,0.121,0.175,0.076
1,194,0.121,0.175,0.076
1,195,0.102,0.151,0.08
1,196,0.093,0.14,0.083
1,197,0.103,0.153,0.081
1,198,0.093,0.14,0.084
1,199,0.101,0.151,0.082
1,200,0.089,0.135,0.085
1,201,0.063,0.101,0.094
1,202,0.076,0.118,0.09
1,203,0.084,0.129,0.088
1,204,0.06,0.096,0.096
1,205,0.064,0.102,0.095
1,206,0.045,0.075,0.103
1,207,0.051,0.084,0.101
1,208,0.071,0.111,0.094
1,209,0.036,0.062,0.109
1,210,0.054,0.088,0.101
1,211,0.041,0.07,0.107
1,212,0.044,0.074,0.106
1,213,0.023,0.042,0.121
1,214,0.027,0.049,0.117
1,215,0.04,0.068,0.11
1,216,0.023,0.041,0.122
1,217,0.017,0.033,0.128
1,218,0.018,0.034,0.128
1,219,0.035,0.06,0.114
1,220,0.024,0.043,0.123
1,221,0.031,0.055,0.117
1,222,0.021,0.039,0.126
1,223,0.023,0.043,0.124
1,224,0.022,0.041,0.126
1,39,0.197,0.266,0.041
1,40,0.291,0.37,0.034
1,41,0.213,0.284,0.04
1,42,0.177,0.243,0.043
1,43,0.189,0.257,0.042
1,44,0.102,0.151,0.053
1,45,0.086,0.131,0.055
1,46,0.126,0.182,0.049
1,47,0.232,0.306,0.039
1,48,0.135,0.192,0.048
1,49,0.243,0.318,0.038
1,50,0.211,0.282,0.04
1,51,0.195,0.263,0.042
1,52,0.134,0.192,0.049
1,53,0.22,0.293,0.04
1,54,0.143,0.202,0.048
1,55,0.147,0.207,0.047
1,56,0.125,0.18,0.05
1,57,0.153,0.214,0.047
