slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.342,0.424,-0.035
1,101,0.538,0.617,-0.023
1,102,0.439,0.522,-0.028
1,103,0.383,0.466,-0.032
1,104,0.491,0.572,-0.026
1,105,0.526,0.606,-0.024
1,106,0.652,0.72,-0.017
1,107,0.44,0.523,-0.029
1,108,0.646,0.715,-0.017
1,109,0.741,0.796,-0.012
1,110,0.757,0.809,-0.012
1,111,0.768,0.819,-0.011
1,112,0.996,0.997,-0.0
1,113,0.915,0.936,-0.004
1,114,0.687,0.75,-0.015
1,115,0.723,0.781,-0.014
1,116,0.815,0.858,-0.009
1,117,0.994,0.995,0.0
1,118,0.675,0.74,-0.016
1,119,0.786,0.833,-0.01
1,120,0.99,0.993,0.0
1,121,0.938,0.953,0.003
1,122,0.98,0.985,-0.001
1,123,0.997,0.998,-0.0
1,124,0.975,0.982,-0.001
1,125,0.759,0.811,-0.012
1,126,0.843,0.88,-0.008
1,127,0.979,0.984,-0.001
1,128,0.893,0.919,-0.005
1,129,0.768,0.819,-0.012
1,130,0.835,0.873,-0.008
1,131,0.948,0.962,-0.003
1,132,0.989,0.992,-0.001
1,133,0.886,0.914,-0.006
1,134,0.826,0.866,-0.009
1,135,0.94,0.955,-0.003
1,136,0.895,0.92,-0.005
1,137,0.774,0.824,-0.011
1,138,0.972,0.98,-0.001
1,139,0.942,0.957,-0.003
1,140,0.956,0.967,-0.002
1,141,0.915,0.936,0.004
1,142,0.858,0.891,0.007
1,143,0.655,0.723,0.018
1,144,0.841,0.878,0.008
1,145,0.914,0.935,0.004
1,146,0.688,0.751,0.016
1,147,0.611,0.684,0.021
1,148,0.573,0.649,0.023
1,149,0.758,0.811,0.013
1,150,0.748,0.802,0.013
1,151,0.698,0.76,0.016
1,152,0.816,0.858,0.01
1,153,0.859,0.892,0.007
1,154,0.818,0.86,0.01
1,155,0.852,0.887,0.008
1,156,0.774,0.824,0.012
1,157,0.55,0.628,0.025
1,158,0.631,0.701,0.02
1,159,0.697,0.759,0.016
1,160,0.85,0.885,0.008
1,161,0.794,0.84,0.011
1,162,0.887,0.914,0.006
1,163,0.738,0.793,0.014
1,164,0.862,0.895,0.007
1,165,0.865,0.897,0.007
1,166,0.71,0.77,0.016
1,167,0.869,0.901,0.007
1,168,0.804,0.848,0.011
1,169,0.877,0.906,0.007
1,170,0.84,0.877,0.009
1,171,0.678,0.743,0.018
1,172,0.898,0.923,0.006
1,173,0.8,0.845,0.011
1,174,0.86,0.893,0.008
1,175,0.973,0.98,0.002
1,176,0.912,0.934,0.005
1,177,0.942,0.957,0.003
1,178,0.967,0.975,-0.002
1,179,0.996,0.997,-0.0
1,180,0.932,0.949,0.004
1,181,0.919,0.939,-0.005
1,182,0.844,0.88,0.009
1,183,0.907,0.93,-0.005
1,184,0.915,0.936,0.005
1,185,0.82,0.861,0.011
1,186,0.698,0.76,0.018
1,187,0.842,0.879,0.01
1,188,0.545,0.623,0.029
1,189,0.608,0.681,0.025
1,190,0.63,0.701,0.023
1,191,0.765,0.817,0.015
1,192,0.527,0.607,0.031
1,193,0.539,0.618,0.03
1,194,0.534,0.613,0.031
1,195,0.546,0.624,0.03
1,196,0.567,0.644,0.028
1,197,0.563,0.64,0.029
1,198,0.525,0.605,0.032
1,199,0.453,0.535,0.038
1,200,0.534,0.613,0.032
1,201,0.325,0.406,0.05
1,202,0.443,0.526,0.039
1,203,0.493,0.574,0.035
1,204,0.344,0.426,0.049
1,205,0.503,0.584,0.035
1,206,0.396,0.479,0.044
1,207,0.351,0.433,0.049
1,208,0.619,0.691,0.026
1,209,0.458,0.541,0.039
1,210,0.551,0.629,0.032
1,211,0.465,0.548,0.039
1,212,0.579,0.654,0.029
1,213,0.504,0.585,0.036
1,214,0.534,0.613,0.033
1,215,0.628,0.699,0.026
1,216,0.495,0.576,0.037
1,217,0.486,0.568,0.038
1,218,0.585,0.66,0.03
1,219,0.751,0.805,0.017
1,220,0.633,0.703,0.026
1,221,0.572,0.648,0.031
1,222,0.491,0.573,0.038
1,223,0.451,0.534,0.042
1,224,0.534,0.613,0.035
1,39,0.411,0.494,-0.027
1,40,0.451,0.534,-0.024
1,41,0.34,0.422,-0.031
1,42,0.358,0.441,-0.03
1,43,0.394,0.478,-0.028
1,44,0.676,0.741,-0.014
1,45,0.606,0.679,-0.017
1,46,0.499,0.58,-0.022
1,47,0.548,0.626,-0.02
1,48,0.68,0.744,-0.013
1,49,0.342,0.424,-0.031
1,50,0.475,0.557,-0.023
1,51,0.725,0.783,-0.012
1,52,0.461,0.544,-0.024
1,53,0.44,0.523,-0.025
1,54,0.467,0.549,-0.024
1,55,0.408,0.492,-0.027
1,56,0.601,0.674,-0.017
1,57,0.539,0.618,-0.02
1,58,0.493,0.574,-0.023
1,59,0.33,0.411,-0.032
1,60,0.334,0.416,-0.032
1,61,0.341,0.423,-0.032
1,62,0.373,0.455,-0.03
1,63,0.205,0.275,-0.042
1,64,0.403,0.487,-0.028
1,65,0.403,0.486,-0.028
1,66,0.19,0.258,-0.044
1,67,0.067,0.105,-0.062
1,68,0.182,0.248,-0.045
1,69,0.247,0.322,-0.039
1,70,0.2,0.27,-0.044
1,71,0.249,0.324,-0.039
1,72,0.281,0.36,-0.037
1,73,0.203,0.272,-0.044
1,74,0.291,0.37,-0.036
1,75,0.266,0.344,-0.038
1,76,0.229,0.302,-0.042
1,77,0.511,0.592,-0.023
1,78,0.695,0.757,-0.014
1,79,0.463,0.545,-0.026
1,80,0.689,0.752,-0.014
1,81,0.731,0.788,-0.012
1,82,0.654,0.722,-0.016
1,83,0.508,0.589,-0.023
1,84,0.551,0.629,-0.021
1,85,0.857,0.891,-0.006
1,86,0.849,0.884,-0.007
1,87,0.51,0.59,-0.024
1,88,0.457,0.539,-0.027
1,89,0.692,0.754,-0.014
1,90,0.612,0.685,-0.018
1,91,0.596,0.67,-0.019
1,92,0.587,0.662,-0.02
1,93,0.438,0.521,-0.028
1,94,0.675,0.74,-0.015
1,95,0.561,0.638,-0.021
1,96,0.336,0.417,-0.035
1,97,0.596,0.67,-0.019
1,98,0.561,0.638,-0.021
1,99,0.631,0.702,-0.018
10,10,0.748,0.802,-0.01
10,100,0.452,0.535,0.028
10,101,0.663,0.73,0.016
10,102,0.91,0.932,0.004
10,103,0.706,0.767,0.014
10,104,0.691,0.754,0.015
10,105,0.822,0.863,0.008
10,106,0.715,0.774,0.014
10,107,0.55,0.628,0.022
10,108,0.743,0.798,0.012
10,109,0.762,0.814,0.011
10,11,0.576,0.652,-0.018
10,110,0.695,0.757,0.015
10,111,0.896,0.921,0.005
10,112,0.772,0.822,0.011
10,113,0.655,0.722,0.017
10,114,0.627,0.698,0.018
10,115,0.478,0.56,0.027
10,116,0.51,0.591,0.025
10,117,0.913,0.934,0.004
10,118,0.702,0.763,0.015
10,119,0.75,0.804,0.012
10,12,0.764,0.815,-0.01
10,120,0.569,0.645,0.022
10,121,0.733,0.79,0.013
10,122,0.782,0.83,0.011
10,123,0.88,0.909,0.006
10,124,0.974,0.98,0.001
10,125,0.944,0.958,-0.003
10,126,0.747,0.801,0.012
10,127,0.59,0.664,0.021
10,128,0.843,0.88,0.008
10,129,0.891,0.917,0.005
10,13,0.956,0.967,-0.002
10,130,0.76,0.812,0.012
10,131,0.944,0.958,0.003
10,132,0.873,0.904,-0.006
10,133,0.624,0.696,-0.019
10,134,0.668,0.734,-0.017
10,135,0.812,0.855,-0.009
10,136,0.923,0.942,-0.004
10,137,0.913,0.935,-0.004
10,138,0.884,0.912,-0.006
10,139,0.687,0.75,-0.016
10,14,0.708,0.769,-0.012
10,140,0.562,0.639,-0.023
10,141,0.746,0.8,-0.013
10,142,0.813,0.856,-0.009
10,143,0.842,0.879,-0.008
10,144,0.694,0.757,-0.016
10,145,0.638,0.708,-0.019
10,146,0.881,0.909,-0.006
10,147,0.669,0.735,-0.017
10,148,0.683,0.747,-0.016
10,149,0.576,0.652,-0.022
10,15,0.847,0.883,0.006
10,150,0.673,0.738,-0.017
10,151,0.658,0.725,-0.018
10,152,0.91,0.932,-0.005
10,153,0.89,0.917,-0.006
10,154,0.892,0.919,0.005
10,155,0.938,0.954,0.003
10,156,0.829,0.869,0.009
10,157,0.687,0.751,0.016
10,158,0.756,0.809,0.013
10,159,0.734,0.79,0.014
10,16,0.624,0.695,-0.015
10,160,0.522,0.602,0.026
10,161,0.476,0.558,0.029
10,162,0.525,0.605,0.026
10,163,0.608,0.68,0.021
10,164,0.543,0.622,0.025
10,165,0.556,0.634,0.024
10,166,0.546,0.624,0.025
10,167,0.359,0.442,0.037
10,168,0.421,0.505,0.033
10,169,0.514,0.595,0.027
10,17,0.891,0.917,0.004
10,170,0.527,0.607,0.026
10,171,0.419,0.502,0.033
10,172,0.472,0.555,0.029
10,173,0.427,0.51,0.033
10,174,0.477,0.559,0.029
10,175,0.581,0.656,0.023
10,176,0.427,0.51,0.033
10,177,0.615,0.688,0.021
10,178,0.635,0.705,0.02
10,179,0.716,0.775,0.015
10,18,0.956,0.967,0.002
10,180,0.734,0.79,0.014
10,181,0.543,0.622,0.026
10,182,0.347,0.429,0.04
10,183,0.53,0.609,0.027
10,184,0.749,0.803,0.014
10,185,0.541,0.62,0.026
10,186,0.636,0.706,0.02
10,187,0.617,0.689,0.021
10,188,0.615,0.687,0.022
10,189,0.759,0.811,0.013
10,19,0.955,0.967,-0.002
10,190,0.739,0.794,0.015
10,191,0.51,0.591,0.029
10,192,0.456,0.539,0.033
10,193,0.489,0.57,0.031
10,194,0.481,0.563,0.032
10,195,0.333,0.415,0.044
10,196,0.392,0.476,0.039
10,197,0.389,0.472,0.039
10,198,0.431,0.514,0.036
10,199,0.404,0.487,0.039
10,20,0.744,0.798,-0.01
10,200,0.438,0.521,0.036
10,201,0.54,0.619,0.029
10,202,0.443,0.526,0.036
10,203,0.313,0.393,0.048
10,204,0.3,0.38,0.05
10,205,0.263,0.34,0.054
10,206,0.239,0.314,0.057
10,207,0.215,0.287,0.061
10,208,0.267,0.344,0.055
10,209,0.254,0.33,0.057
10,21,0.825,0.865,0.007
10,210,0.217,0.288,0.062
10,211,0.279,0.357,0.055
10,212,0.212,0.283,0.063
10,213,0.142,0.201,0.075
10,214,0.198,0.267,0.067
10,215,0.21,0.281,0.065
10,216,0.224,0.297,0.064
10,217,0.177,0.243,0.071
10,218,0.196,0.265,0.069
10,219,0.225,0.297,0.065
10,22,0.991,0.993,0.0
10,220,0.203,0.273,0.069
10,221,0.236,0.31,0.064
10,222,0.254,0.33,0.063
10,223,0.317,0.397,0.055
10,224,0.372,0.454,0.049
10,225,0.413,0.496,0.046
10,226,0.417,0.5,0.045
10,227,0.522,0.602,0.036
10,228,0.608,0.681,0.029
10,229,0.573,0.649,0.032
10,23,0.736,0.792,-0.011
10,230,0.628,0.699,0.028
10,231,0.542,0.621,0.035
10,232,0.652,0.72,0.026
10,233,0.631,0.701,0.028
10,234,0.57,0.646,0.033
10,235,0.427,0.511,0.046
10,236,0.614,0.687,0.03
10,237,0.677,0.742,0.024
10,238,0.458,0.541,0.044
10,239,0.607,0.68,0.031
10,24,0.976,0.982,-0.001
10,240,0.523,0.603,0.038
10,241,0.473,0.555,0.043
10,242,0.617,0.689,0.03
10,243,0.619,0.69,0.03
10,244,0.643,0.712,0.028
10,245,0.821,0.862,0.014
10,246,0.775,0.824,0.018
10,247,0.752,0.806,0.019
10,248,0.806,0.85,0.015
10,249,0.824,0.864,0.014
10,25,0.911,0.933,-0.004
10,250,0.892,0.918,0.009
10,251,0.968,0.976,0.003
10,26,0.943,0.957,-0.002
10,27,0.951,0.964,0.002
10,28,0.605,0.678,-0.016
10,29,0.856,0.89,0.006
10,30,0.847,0.883,-0.006
10,31,0.804,0.848,-0.008
10,32,0.993,0.995,-0.0
10,33,0.672,0.738,-0.013
10,34,0.894,0.92,-0.004
10,35,0.778,0.827,-0.009
10,36,0.766,0.817,-0.009
10,37,0.925,0.944,-0.003
10,38,0.856,0.89,-0.006
10,39,0.526,0.606,-0.02
10,40,0.433,0.516,-0.025
10,41,0.971,0.978,-0.001
10,42,0.557,0.634,-0.019
10,43,0.555,0.632,-0.019
10,44,0.584,0.659,-0.017
10,45,0.684,0.747,-0.013
10,46,0.417,0.5,-0.026
10,47,0.735,0.791,-0.011
10,48,0.443,0.526,-0.025
10,49,0.371,0.453,-0.029
10,50,0.431,0.514,-0.025
10,51,0.498,0.579,-0.022
10,52,0.217,0.289,-0.04
10,53,0.397,0.48,-0.027
10,54,0.751,0.804,-0.01
10,55,0.544,0.622,-0.02
10,56,0.425,0.509,-0.026
10,57,0.302,0.382,-0.034
10,58,0.344,0.426,-0.031
10,59,0.497,0.578,-0.022
10,60,0.695,0.758,-0.013
10,61,0.397,0.481,-0.028
10,62,0.594,0.668,-0.018
10,63,0.752,0.805,-0.01
