slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.001,0.004,0.119
1,101,0.001,0.004,0.118
1,102,0.001,0.003,0.122
1,103,0.002,0.005,0.117
1,104,0.005,0.01,0.107
1,105,0.004,0.008,0.11
1,106,0.005,0.011,0.106
1,107,0.002,0.005,0.117
1,108,0.003,0.008,0.111
1,109,0.003,0.007,0.115
1,110,0.005,0.012,0.107
1,111,0.005,0.012,0.107
1,112,0.007,0.015,0.104
1,113,0.007,0.015,0.104
1,114,0.002,0.006,0.118
1,115,0.002,0.006,0.117
1,116,0.005,0.012,0.108
1,117,0.006,0.014,0.106
1,118,0.002,0.006,0.119
1,119,0.004,0.009,0.112
1,120,0.01,0.021,0.101
1,121,0.012,0.024,0.099
1,122,0.011,0.023,0.1
1,123,0.007,0.015,0.106
1,124,0.006,0.014,0.108
1,125,0.003,0.008,0.117
1,126,0.004,0.009,0.115
1,127,0.006,0.014,0.109
1,128,0.003,0.008,0.116
1,129,0.003,0.008,0.117
1,130,0.005,0.012,0.112
1,131,0.005,0.012,0.111
1,132,0.006,0.013,0.109
1,133,0.003,0.008,0.118
1,134,0.003,0.006,0.121
1,135,0.004,0.009,0.116
1,136,0.003,0.008,0.118
1,137,0.004,0.008,0.118
1,138,0.007,0.015,0.11
1,139,0.005,0.011,0.115
1,140,0.003,0.008,0.119
1,141,0.005,0.011,0.115
1,142,0.006,0.014,0.112
1,143,0.01,0.021,0.105
1,144,0.007,0.016,0.11
1,145,0.005,0.011,0.116
1,146,0.014,0.027,0.101
1,147,0.02,0.037,0.096
1,148,0.011,0.022,0.106
1,149,0.009,0.02,0.107
1,150,0.009,0.018,0.109
1,151,0.008,0.017,0.111
1,152,0.005,0.012,0.116
1,153,0.007,0.015,0.113
1,154,0.006,0.013,0.116
1,155,0.007,0.015,0.114
1,156,0.009,0.019,0.11
1,157,0.017,0.033,0.101
1,158,0.014,0.027,0.104
1,159,0.009,0.019,0.111
1,160,0.007,0.016,0.114
1,161,0.01,0.02,0.111
1,162,0.006,0.012,0.119
1,163,0.009,0.019,0.113
1,164,0.007,0.015,0.117
1,165,0.01,0.021,0.112
1,166,0.016,0.031,0.105
1,167,0.013,0.026,0.109
1,168,0.023,0.042,0.1
1,169,0.021,0.039,0.102
1,170,0.014,0.027,0.11
1,171,0.02,0.037,0.104
1,172,0.006,0.014,0.123
1,173,0.014,0.027,0.111
1,174,0.014,0.027,0.112
1,175,0.01,0.021,0.117
1,176,0.013,0.026,0.114
1,177,0.009,0.019,0.12
1,178,0.008,0.016,0.123
1,179,0.012,0.023,0.117
1,180,0.011,0.023,0.118
1,181,0.008,0.017,0.124
1,182,0.018,0.033,0.112
1,183,0.011,0.022,0.121
1,184,0.019,0.035,0.112
1,185,0.029,0.052,0.104
1,186,0.038,0.064,0.1
1,187,0.026,0.047,0.108
1,188,0.053,0.086,0.094
1,189,0.045,0.075,0.098
1,190,0.041,0.07,0.1
1,191,0.025,0.045,0.111
1,192,0.058,0.093,0.094
1,193,0.06,0.097,0.094
1,194,0.043,0.072,0.101
1,195,0.039,0.067,0.104
1,196,0.045,0.076,0.101
1,197,0.045,0.075,0.102
1,198,0.032,0.056,0.109
1,199,0.058,0.093,0.098
1,200,0.036,0.063,0.108
1,201,0.09,0.136,0.088
1,202,0.06,0.097,0.098
1,203,0.05,0.083,0.102
1,204,0.053,0.086,0.102
1,205,0.045,0.075,0.106
1,206,0.061,0.098,0.099
1,207,0.073,0.114,0.095
1,208,0.035,0.061,0.112
1,209,0.043,0.072,0.108
1,210,0.036,0.062,0.112
1,211,0.051,0.084,0.105
1,212,0.041,0.069,0.11
1,213,0.038,0.065,0.113
1,214,0.04,0.067,0.112
1,215,0.033,0.057,0.117
1,216,0.049,0.081,0.108
1,217,0.049,0.081,0.108
1,218,0.033,0.058,0.118
1,219,0.027,0.049,0.122
1,220,0.048,0.079,0.11
1,221,0.05,0.082,0.109
1,222,0.079,0.122,0.098
1,223,0.074,0.115,0.1
1,224,0.066,0.104,0.104
1,39,0.0,0.001,0.116
1,40,0.0,0.001,0.123
1,41,0.0,0.001,0.121
1,42,0.0,0.0,0.132
1,43,0.0,0.001,0.12
1,44,0.001,0.002,0.11
1,45,0.001,0.002,0.113
1,46,0.0,0.001,0.119
1,47,0.0,0.001,0.116
1,48,0.001,0.002,0.112
1,49,0.0,0.0,0.127
1,50,0.0,0.002,0.115
1,51,0.001,0.003,0.107
1,52,0.0,0.002,0.116
1,53,0.0,0.001,0.12
1,54,0.001,0.003,0.111
1,55,0.0,0.002,0.117
1,56,0.001,0.003,0.111
1,57,0.001,0.002,0.112
1,58,0.001,0.002,0.113
1,59,0.0,0.001,0.127
1,60,0.0,0.001,0.122
1,61,0.0,0.001,0.126
1,62,0.0,0.001,0.126
1,63,0.0,0.0,0.132
1,64,0.001,0.002,0.116
1,65,0.001,0.002,0.117
1,66,0.0,0.0,0.136
1,67,0.0,0.0,0.155
1,68,0.0,0.0,0.139
1,69,0.0,0.0,0.134
1,70,0.0,0.0,0.139
1,71,0.0,0.001,0.133
1,72,0.0,0.001,0.125
1,73,0.0,0.0,0.134
1,74,0.0,0.001,0.129
1,75,0.0,0.001,0.131
1,76,0.0,0.001,0.13
1,77,0.002,0.005,0.108
1,78,0.004,0.01,0.101
