slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.202,0.272,0.046
1,101,0.063,0.1,0.067
1,102,0.06,0.097,0.068
1,103,0.114,0.167,0.058
1,104,0.077,0.119,0.065
1,105,0.074,0.116,0.066
1,106,0.068,0.106,0.067
1,107,0.134,0.192,0.055
1,108,0.096,0.143,0.062
1,109,0.055,0.089,0.071
1,110,0.063,0.1,0.069
1,111,0.095,0.143,0.062
1,112,0.056,0.09,0.072
1,113,0.071,0.111,0.068
1,114,0.078,0.121,0.066
1,115,0.038,0.065,0.078
1,116,0.046,0.076,0.076
1,117,0.037,0.064,0.079
1,118,0.073,0.114,0.068
1,119,0.061,0.098,0.071
1,120,0.028,0.05,0.084
1,121,0.019,0.036,0.09
1,122,0.036,0.062,0.08
1,123,0.034,0.06,0.081
1,124,0.033,0.057,0.082
1,125,0.05,0.082,0.076
1,126,0.032,0.056,0.083
1,127,0.019,0.035,0.091
1,128,0.016,0.031,0.094
1,129,0.021,0.04,0.089
1,130,0.019,0.036,0.091
1,131,0.02,0.038,0.09
1,132,0.017,0.033,0.092
1,133,0.015,0.029,0.095
1,134,0.016,0.032,0.094
1,135,0.007,0.016,0.105
1,136,0.009,0.019,0.102
1,137,0.02,0.038,0.091
1,138,0.016,0.031,0.095
1,139,0.009,0.019,0.104
1,140,0.011,0.022,0.101
1,141,0.009,0.019,0.103
1,142,0.006,0.014,0.109
1,143,0.003,0.008,0.117
1,144,0.006,0.014,0.109
1,145,0.007,0.015,0.109
1,146,0.002,0.006,0.123
1,147,0.002,0.005,0.124
1,148,0.001,0.004,0.129
1,149,0.003,0.007,0.121
1,150,0.002,0.004,0.128
1,151,0.001,0.002,0.135
1,152,0.001,0.004,0.129
1,153,0.003,0.007,0.122
1,154,0.001,0.004,0.13
1,155,0.002,0.005,0.127
1,156,0.004,0.009,0.119
1,157,0.002,0.005,0.128
1,158,0.004,0.009,0.121
1,159,0.002,0.006,0.126
1,160,0.003,0.007,0.124
1,161,0.003,0.008,0.123
1,162,0.004,0.01,0.121
1,163,0.003,0.008,0.124
1,164,0.003,0.008,0.124
1,165,0.005,0.012,0.119
1,166,0.004,0.008,0.124
1,167,0.008,0.017,0.113
1,168,0.008,0.017,0.114
1,169,0.018,0.035,0.102
1,170,0.007,0.016,0.117
1,171,0.002,0.006,0.132
1,172,0.004,0.009,0.127
1,173,0.007,0.016,0.118
1,174,0.014,0.027,0.109
1,175,0.025,0.046,0.099
1,176,0.029,0.051,0.098
1,177,0.03,0.053,0.097
1,178,0.051,0.083,0.088
1,179,0.033,0.058,0.096
1,180,0.038,0.065,0.094
1,181,0.063,0.1,0.085
1,182,0.053,0.086,0.089
1,183,0.083,0.126,0.08
1,184,0.069,0.109,0.084
1,185,0.074,0.115,0.084
1,186,0.066,0.104,0.086
1,187,0.094,0.142,0.079
1,188,0.055,0.089,0.091
1,189,0.069,0.109,0.087
1,190,0.09,0.136,0.081
1,191,0.115,0.167,0.076
1,192,0.068,0.106,0.088
1,193,0.105,0.156,0.079
1,194,0.107,0.158,0.079
1,195,0.088,0.133,0.084
1,196,0.078,0.12,0.087
1,197,0.088,0.134,0.085
1,198,0.08,0.123,0.087
1,199,0.09,0.136,0.085
1,200,0.075,0.116,0.09
1,201,0.058,0.094,0.096
1,202,0.067,0.106,0.093
1,203,0.072,0.113,0.091
1,204,0.054,0.087,0.099
1,205,0.054,0.087,0.099
1,206,0.039,0.066,0.106
1,207,0.046,0.077,0.103
1,208,0.058,0.093,0.099
1,209,0.029,0.052,0.114
1,210,0.044,0.073,0.105
1,211,0.034,0.06,0.111
1,212,0.035,0.06,0.111
1,213,0.017,0.033,0.126
1,214,0.021,0.039,0.123
1,215,0.03,0.053,0.116
1,216,0.017,0.033,0.128
1,217,0.013,0.025,0.134
1,218,0.013,0.025,0.134
1,219,0.024,0.045,0.121
1,220,0.017,0.032,0.13
1,221,0.024,0.044,0.123
1,222,0.016,0.031,0.132
1,223,0.019,0.035,0.129
1,224,0.016,0.032,0.132
1,39,0.128,0.184,0.049
1,40,0.207,0.278,0.041
1,41,0.136,0.194,0.048
1,42,0.109,0.16,0.051
1,43,0.119,0.173,0.05
1,44,0.064,0.102,0.059
1,45,0.052,0.085,0.062
1,46,0.079,0.121,0.056
1,47,0.166,0.23,0.045
1,48,0.091,0.137,0.055
1,49,0.157,0.219,0.046
1,50,0.141,0.2,0.048
1,51,0.141,0.199,0.048
1,52,0.082,0.126,0.056
1,53,0.147,0.208,0.047
1,54,0.09,0.136,0.055
1,55,0.09,0.136,0.055
1,56,0.08,0.123,0.057
1,57,0.098,0.146,0.054
1,58,0.068,0.107,0.06
1,59,0.12,0.174,0.051
1,60,0.172,0.237,0.045
1,61,0.104,0.155,0.054
1,62,0.176,0.242,0.045
1,63,0.195,0.264,0.043
1,64,0.16,0.223,0.047
1,65,0.3,0.38,0.034
1,66,0.185,0.252,0.044
1,67,0.413,0.496,0.027
1,68,0.271,0.349,0.037
1,69,0.224,0.297,0.041
1,70,0.218,0.289,0.042
1,71,0.161,0.224,0.047
1,72,0.151,0.212,0.049
1,73,0.205,0.276,0.043
1,74,0.141,0.2,0.05
1,75,0.112,0.164,0.054
1,76,0.113,0.165,0.054
1,77,0.133,0.19,0.052
1,78,0.041,0.069,0.071
1,79,0.139,0.197,0.051
1,80,0.106,0.156,0.056
1,81,0.062,0.098,0.065
1,82,0.071,0.111,0.063
1,83,0.033,0.058,0.074
1,84,0.047,0.078,0.07
1,85,0.017,0.032,0.084
1,86,0.028,0.049,0.078
1,87,0.031,0.055,0.076
1,88,0.079,0.121,0.062
1,89,0.039,0.066,0.073
1,90,0.053,0.086,0.069
1,91,0.092,0.139,0.06
1,92,0.039,0.066,0.074
1,93,0.062,0.098,0.067
1,94,0.068,0.107,0.065
1,95,0.081,0.125,0.063
1,96,0.111,0.162,0.058
1,97,0.081,0.124,0.063
1,98,0.099,0.147,0.06
1,99,0.087,0.133,0.062
10,10,0.308,0.388,0.033
10,100,0.006,0.013,0.1
10,101,0.009,0.019,0.095
10,102,0.023,0.042,0.083
10,103,0.01,0.021,0.094
10,104,0.01,0.021,0.094
10,105,0.009,0.019,0.096
10,106,0.016,0.031,0.089
10,107,0.01,0.02,0.095
10,108,0.026,0.047,0.082
10,109,0.044,0.074,0.075
10,11,0.24,0.315,0.037
10,110,0.017,0.033,0.088
10,111,0.014,0.027,0.092
10,112,0.014,0.027,0.092
10,113,0.013,0.027,0.092
10,114,0.004,0.009,0.108
10,115,0.003,0.007,0.113
10,116,0.008,0.017,0.1
10,117,0.013,0.026,0.093
10,118,0.011,0.023,0.095
10,119,0.014,0.027,0.093
10,12,0.176,0.241,0.043
10,120,0.009,0.018,0.099
10,121,0.011,0.022,0.097
10,122,0.013,0.026,0.094
10,123,0.019,0.036,0.089
10,124,0.012,0.024,0.096
10,125,0.017,0.032,0.091
10,126,0.01,0.021,0.098
10,127,0.008,0.016,0.103
10,128,0.01,0.02,0.099
10,129,0.013,0.025,0.096
10,13,0.149,0.21,0.045
10,130,0.009,0.019,0.1
10,131,0.015,0.03,0.093
10,132,0.014,0.027,0.095
10,133,0.027,0.049,0.086
10,134,0.019,0.035,0.091
10,135,0.008,0.017,0.103
10,136,0.005,0.012,0.109
10,137,0.016,0.031,0.094
10,138,0.016,0.032,0.093
10,139,0.015,0.029,0.095
10,14,0.196,0.265,0.04
10,140,0.012,0.025,0.098
10,141,0.013,0.026,0.097
