slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.141,0.2,0.053
1,101,0.04,0.068,0.074
1,102,0.036,0.062,0.076
1,103,0.069,0.109,0.067
1,104,0.057,0.092,0.07
1,105,0.051,0.084,0.072
1,106,0.037,0.063,0.077
1,107,0.08,0.123,0.065
1,108,0.063,0.101,0.069
1,109,0.035,0.06,0.079
1,110,0.032,0.056,0.08
1,111,0.046,0.077,0.075
1,112,0.024,0.043,0.085
1,113,0.027,0.049,0.083
1,114,0.035,0.061,0.079
1,115,0.018,0.034,0.089
1,116,0.021,0.038,0.088
1,117,0.015,0.029,0.093
1,118,0.036,0.062,0.08
1,119,0.031,0.054,0.082
1,120,0.012,0.023,0.097
1,121,0.009,0.019,0.1
1,122,0.015,0.028,0.094
1,123,0.014,0.027,0.095
1,124,0.014,0.027,0.095
1,125,0.027,0.049,0.085
1,126,0.018,0.035,0.091
1,127,0.009,0.019,0.101
1,128,0.007,0.015,0.105
1,129,0.011,0.022,0.099
1,130,0.01,0.021,0.1
1,131,0.011,0.022,0.099
1,132,0.008,0.016,0.104
1,133,0.008,0.016,0.104
1,134,0.012,0.024,0.099
1,135,0.004,0.009,0.113
1,136,0.005,0.011,0.111
1,137,0.013,0.025,0.098
1,138,0.01,0.021,0.102
1,139,0.005,0.011,0.111
1,140,0.007,0.014,0.108
1,141,0.006,0.013,0.11
1,142,0.004,0.009,0.116
1,143,0.002,0.005,0.124
1,144,0.004,0.01,0.114
1,145,0.004,0.01,0.114
1,146,0.001,0.004,0.129
1,147,0.001,0.004,0.13
1,148,0.001,0.002,0.136
1,149,0.002,0.005,0.127
1,150,0.001,0.003,0.131
1,151,0.001,0.002,0.138
1,152,0.001,0.003,0.132
1,153,0.002,0.005,0.127
1,154,0.001,0.003,0.133
1,155,0.001,0.004,0.132
1,156,0.003,0.006,0.124
1,157,0.001,0.003,0.134
1,158,0.002,0.005,0.127
1,159,0.001,0.004,0.133
1,160,0.003,0.007,0.125
1,161,0.002,0.006,0.128
1,162,0.003,0.008,0.123
1,163,0.002,0.006,0.129
1,164,0.003,0.006,0.128
1,165,0.004,0.01,0.122
1,166,0.002,0.004,0.134
1,167,0.004,0.01,0.123
1,168,0.004,0.009,0.123
1,169,0.009,0.019,0.112
1,170,0.004,0.009,0.126
1,171,0.001,0.004,0.139
1,172,0.003,0.006,0.133
1,173,0.004,0.009,0.127
1,174,0.009,0.019,0.116
1,175,0.017,0.033,0.106
1,176,0.015,0.029,0.109
1,177,0.017,0.032,0.107
1,178,0.026,0.047,0.1
1,179,0.019,0.036,0.106
1,180,0.024,0.044,0.102
1,181,0.036,0.063,0.096
1,182,0.03,0.054,0.099
1,183,0.048,0.08,0.091
1,184,0.039,0.066,0.096
1,185,0.04,0.068,0.096
1,186,0.03,0.053,0.102
1,187,0.045,0.075,0.095
1,188,0.024,0.043,0.108
1,189,0.029,0.052,0.104
1,190,0.036,0.062,0.1
1,191,0.046,0.076,0.096
1,192,0.025,0.045,0.109
1,193,0.039,0.066,0.101
1,194,0.033,0.058,0.104
1,195,0.026,0.046,0.11
1,196,0.025,0.045,0.111
1,197,0.025,0.045,0.111
1,198,0.019,0.035,0.117
1,199,0.023,0.042,0.114
1,200,0.017,0.033,0.12
1,201,0.011,0.022,0.128
1,202,0.013,0.026,0.126
1,203,0.016,0.031,0.123
1,204,0.009,0.019,0.133
1,205,0.012,0.025,0.129
1,206,0.008,0.017,0.137
1,207,0.009,0.019,0.135
1,208,0.015,0.029,0.127
1,209,0.006,0.013,0.144
1,210,0.011,0.022,0.134
1,211,0.007,0.016,0.14
1,212,0.007,0.016,0.141
1,213,0.003,0.008,0.155
1,214,0.005,0.011,0.149
1,215,0.009,0.019,0.14
1,216,0.005,0.01,0.152
