slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.565,0.642,0.021
1,101,0.635,0.705,0.017
1,102,0.486,0.567,0.025
1,103,0.53,0.609,0.023
1,104,0.584,0.659,0.02
1,105,0.665,0.731,0.016
1,106,0.853,0.888,0.007
1,107,0.676,0.741,0.016
1,108,0.849,0.884,0.007
1,109,0.859,0.892,0.007
1,110,0.932,0.949,0.003
1,111,0.933,0.95,0.003
1,112,0.858,0.892,-0.007
1,113,0.818,0.86,-0.009
1,114,1.0,1.0,0.0
1,115,0.792,0.838,0.01
1,116,0.97,0.978,0.001
1,117,0.864,0.896,-0.007
1,118,0.858,0.892,0.007
1,119,0.964,0.973,0.002
1,120,0.866,0.898,-0.006
1,121,0.97,0.978,-0.001
1,122,0.878,0.907,-0.006
1,123,0.802,0.847,-0.01
1,124,0.844,0.881,-0.008
1,125,0.92,0.94,0.004
1,126,1.0,1.0,-0.0
1,127,0.871,0.902,-0.006
1,128,0.923,0.942,-0.004
1,129,0.907,0.93,0.005
1,130,0.936,0.952,0.003
1,131,0.956,0.967,-0.002
1,132,0.929,0.947,-0.003
1,133,0.96,0.97,0.002
1,134,0.838,0.876,0.008
1,135,0.913,0.934,-0.004
1,136,0.907,0.93,-0.005
1,137,0.951,0.964,0.002
1,138,0.891,0.918,-0.005
1,139,0.937,0.953,0.003
1,140,0.963,0.972,0.002
1,141,0.996,0.997,-0.0
1,142,0.924,0.943,-0.004
1,143,0.813,0.856,-0.01
1,144,0.998,0.999,-0.0
1,145,0.929,0.947,0.004
1,146,0.925,0.944,-0.004
1,147,0.754,0.807,-0.013
1,148,0.69,0.753,-0.016
1,149,0.902,0.926,-0.005
1,150,0.924,0.943,-0.004
1,151,0.9,0.925,-0.005
1,152,0.957,0.968,0.002
1,153,0.884,0.912,0.006
1,154,0.999,1.0,-0.0
1,155,0.935,0.951,0.003
1,156,0.98,0.985,-0.001
1,157,0.717,0.776,-0.015
1,158,0.781,0.829,-0.012
1,159,0.921,0.941,-0.004
1,160,0.955,0.966,0.002
1,161,0.974,0.981,0.001
1,162,0.933,0.95,0.004
1,163,0.928,0.946,-0.004
1,164,0.891,0.918,0.006
1,165,0.901,0.926,0.005
1,166,0.871,0.902,-0.007
1,167,0.97,0.978,0.002
1,168,0.958,0.969,-0.002
1,169,0.995,0.996,0.0
1,170,0.996,0.997,-0.0
1,171,0.971,0.979,-0.002
1,172,0.836,0.874,0.009
1,173,0.991,0.993,-0.001
1,174,0.898,0.923,0.006
1,175,0.961,0.971,0.002
1,176,0.887,0.915,-0.006
1,177,0.937,0.953,-0.004
1,178,0.949,0.962,0.003
1,179,0.954,0.966,0.003
1,180,0.956,0.967,-0.003
1,181,0.961,0.971,0.002
1,182,0.721,0.78,-0.016
1,183,0.92,0.94,-0.005
1,184,0.807,0.851,-0.011
1,185,0.693,0.756,-0.018
1,186,0.652,0.72,-0.021
1,187,0.786,0.834,-0.013
1,188,0.547,0.625,-0.029
1,189,0.508,0.589,-0.032
1,190,0.459,0.542,-0.036
1,191,0.547,0.625,-0.029
1,192,0.396,0.479,-0.041
1,193,0.421,0.504,-0.039
1,194,0.349,0.431,-0.046
1,195,0.336,0.418,-0.047
1,196,0.348,0.431,-0.046
1,197,0.353,0.435,-0.046
1,198,0.362,0.445,-0.046
1,199,0.328,0.41,-0.049
1,200,0.362,0.445,-0.046
1,201,0.206,0.277,-0.064
1,202,0.288,0.366,-0.054
1,203,0.328,0.409,-0.05
1,204,0.258,0.334,-0.058
1,205,0.317,0.397,-0.052
1,206,0.247,0.322,-0.06
1,207,0.239,0.313,-0.061
1,208,0.453,0.535,-0.039
1,209,0.323,0.404,-0.052
1,210,0.425,0.508,-0.042
1,211,0.318,0.398,-0.053
1,212,0.368,0.45,-0.048
1,213,0.414,0.497,-0.043
1,214,0.437,0.52,-0.041
1,215,0.504,0.585,-0.036
1,216,0.42,0.503,-0.043
1,217,0.438,0.521,-0.042
1,218,0.505,0.585,-0.036
1,219,0.646,0.715,-0.025
1,220,0.581,0.657,-0.03
1,221,0.547,0.625,-0.033
1,222,0.458,0.54,-0.041
1,223,0.494,0.575,-0.038
1,224,0.624,0.695,-0.027
1,39,0.749,0.803,0.01
1,40,0.775,0.825,0.009
1,41,0.566,0.643,0.018
1,42,0.583,0.658,0.018
1,43,0.519,0.599,0.021
1,44,0.856,0.89,0.006
1,45,0.881,0.909,0.005
1,46,0.803,0.847,0.008
1,47,0.784,0.832,0.009
1,48,0.949,0.962,0.002
1,49,0.664,0.73,0.014
1,50,0.727,0.784,0.011
1,51,0.904,0.928,-0.004
1,52,0.863,0.896,0.006
1,53,0.87,0.901,0.005
1,54,0.771,0.821,0.01
1,55,0.722,0.78,0.012
1,56,0.97,0.978,-0.001
1,57,0.818,0.859,0.008
1,58,0.747,0.801,0.011
1,59,0.64,0.71,0.015
1,60,0.632,0.703,0.016
1,61,0.67,0.736,0.014
1,62,0.714,0.774,0.012
1,63,0.399,0.482,0.028
1,64,0.7,0.761,0.013
1,65,0.829,0.869,0.007
1,66,0.431,0.514,0.026
1,67,0.246,0.321,0.039
1,68,0.385,0.468,0.029
1,69,0.569,0.646,0.019
1,70,0.518,0.598,0.022
1,71,0.449,0.532,0.026
1,72,0.526,0.605,0.022
1,73,0.344,0.426,0.032
1,74,0.487,0.568,0.024
1,75,0.454,0.537,0.026
1,76,0.408,0.492,0.029
1,77,0.586,0.661,0.019
1,78,0.83,0.87,0.007
1,79,0.64,0.71,0.016
1,80,0.864,0.896,0.006
