slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.029,0.051,-0.08
1,101,0.041,0.069,-0.075
1,102,0.048,0.08,-0.073
1,103,0.055,0.089,-0.071
1,104,0.11,0.162,-0.059
1,105,0.082,0.125,-0.065
1,106,0.082,0.126,-0.065
1,107,0.038,0.065,-0.078
1,108,0.041,0.07,-0.076
1,109,0.041,0.069,-0.077
1,110,0.065,0.104,-0.069
1,111,0.044,0.073,-0.076
1,112,0.044,0.073,-0.076
1,113,0.057,0.092,-0.072
1,114,0.036,0.062,-0.08
1,115,0.055,0.09,-0.073
1,116,0.077,0.119,-0.068
1,117,0.058,0.093,-0.073
1,118,0.032,0.057,-0.082
1,119,0.042,0.071,-0.078
1,120,0.099,0.148,-0.064
1,121,0.111,0.163,-0.062
1,122,0.116,0.169,-0.061
1,123,0.079,0.122,-0.068
1,124,0.086,0.13,-0.067
1,125,0.051,0.084,-0.076
1,126,0.074,0.115,-0.07
1,127,0.105,0.155,-0.063
1,128,0.098,0.147,-0.065
1,129,0.092,0.139,-0.066
1,130,0.123,0.178,-0.061
1,131,0.094,0.142,-0.066
1,132,0.112,0.165,-0.062
1,133,0.088,0.134,-0.067
1,134,0.071,0.111,-0.071
1,135,0.138,0.196,-0.059
1,136,0.138,0.197,-0.059
1,137,0.106,0.157,-0.064
1,138,0.135,0.193,-0.06
1,139,0.13,0.187,-0.061
1,140,0.086,0.131,-0.069
1,141,0.077,0.119,-0.071
1,142,0.112,0.164,-0.064
1,143,0.126,0.181,-0.062
1,144,0.105,0.155,-0.065
1,145,0.081,0.125,-0.071
1,146,0.22,0.292,-0.05
1,147,0.265,0.342,-0.045
1,148,0.179,0.245,-0.055
1,149,0.19,0.258,-0.053
1,150,0.201,0.27,-0.052
1,151,0.233,0.307,-0.049
1,152,0.181,0.247,-0.055
1,153,0.165,0.229,-0.057
1,154,0.174,0.239,-0.056
1,155,0.189,0.257,-0.054
1,156,0.152,0.213,-0.06
1,157,0.214,0.285,-0.052
1,158,0.167,0.231,-0.058
1,159,0.143,0.202,-0.061
1,160,0.156,0.218,-0.06
1,161,0.149,0.21,-0.061
1,162,0.109,0.16,-0.068
1,163,0.146,0.205,-0.062
1,164,0.136,0.194,-0.064
1,165,0.15,0.21,-0.062
1,166,0.202,0.272,-0.055
1,167,0.155,0.217,-0.061
1,168,0.229,0.302,-0.052
1,169,0.173,0.238,-0.059
1,170,0.179,0.245,-0.059
1,171,0.235,0.309,-0.052
1,172,0.136,0.193,-0.066
1,173,0.162,0.225,-0.062
1,174,0.113,0.165,-0.071
1,175,0.098,0.146,-0.074
1,176,0.102,0.152,-0.074
1,177,0.074,0.116,-0.081
1,178,0.053,0.086,-0.088
1,179,0.101,0.15,-0.075
1,180,0.074,0.116,-0.082
1,181,0.056,0.09,-0.088
1,182,0.1,0.148,-0.076
1,183,0.077,0.119,-0.082
1,184,0.086,0.131,-0.08
1,185,0.103,0.153,-0.077
1,186,0.097,0.145,-0.079
1,187,0.072,0.113,-0.086
1,188,0.096,0.143,-0.08
1,189,0.09,0.136,-0.081
1,190,0.078,0.121,-0.085
1,191,0.053,0.087,-0.094
1,192,0.106,0.157,-0.079
1,193,0.074,0.115,-0.088
1,194,0.053,0.087,-0.095
1,195,0.06,0.096,-0.093
1,196,0.097,0.145,-0.083
1,197,0.078,0.121,-0.088
1,198,0.05,0.082,-0.099
1,199,0.068,0.107,-0.092
1,200,0.061,0.098,-0.095
1,201,0.118,0.171,-0.08
1,202,0.099,0.148,-0.084
1,203,0.086,0.131,-0.088
1,204,0.064,0.102,-0.096
1,205,0.113,0.165,-0.082
1,206,0.139,0.198,-0.077
1,207,0.125,0.181,-0.08
1,208,0.112,0.164,-0.083
1,209,0.138,0.197,-0.078
1,210,0.105,0.156,-0.085
1,211,0.154,0.215,-0.075
1,212,0.187,0.254,-0.07
1,213,0.179,0.245,-0.072
1,214,0.183,0.25,-0.071
1,215,0.174,0.24,-0.073
1,216,0.248,0.323,-0.062
1,217,0.28,0.358,-0.059
1,218,0.244,0.319,-0.063
1,219,0.213,0.284,-0.068
1,220,0.306,0.386,-0.056
1,221,0.22,0.293,-0.067
1,222,0.345,0.427,-0.052
1,223,0.264,0.341,-0.062
1,224,0.316,0.397,-0.056
1,39,0.01,0.02,-0.083
1,40,0.001,0.004,-0.104
1,41,0.006,0.013,-0.089
1,42,0.002,0.004,-0.102
1,43,0.005,0.012,-0.091
1,44,0.012,0.024,-0.082
1,45,0.014,0.028,-0.079
1,46,0.008,0.016,-0.086
1,47,0.003,0.008,-0.096
1,48,0.008,0.016,-0.087
1,49,0.004,0.01,-0.093
1,50,0.008,0.017,-0.086
1,51,0.009,0.019,-0.085
1,52,0.022,0.041,-0.075
1,53,0.008,0.017,-0.086
1,54,0.035,0.06,-0.069
1,55,0.023,0.043,-0.075
1,56,0.024,0.044,-0.074
1,57,0.018,0.034,-0.078
1,58,0.029,0.051,-0.072
1,59,0.01,0.021,-0.085
1,60,0.01,0.021,-0.086
1,61,0.011,0.022,-0.085
1,62,0.006,0.013,-0.092
1,63,0.007,0.014,-0.091
1,64,0.017,0.033,-0.08
1,65,0.008,0.018,-0.089
1,66,0.007,0.016,-0.091
1,67,0.001,0.003,-0.11
1,68,0.003,0.007,-0.1
1,69,0.006,0.014,-0.092
1,70,0.006,0.013,-0.094
1,71,0.009,0.02,-0.089
1,72,0.024,0.044,-0.077
1,73,0.011,0.022,-0.087
1,74,0.014,0.028,-0.084
1,75,0.02,0.038,-0.08
1,76,0.033,0.057,-0.074
1,77,0.033,0.058,-0.074
1,78,0.141,0.2,-0.051
1,79,0.037,0.064,-0.072
1,80,0.037,0.064,-0.073
1,81,0.08,0.123,-0.062
1,82,0.088,0.134,-0.06
1,83,0.061,0.097,-0.066
1,84,0.044,0.074,-0.071
1,85,0.152,0.213,-0.051
1,86,0.103,0.153,-0.058
1,87,0.056,0.091,-0.068
1,88,0.037,0.064,-0.075
1,89,0.053,0.087,-0.069
1,90,0.025,0.045,-0.08
1,91,0.019,0.036,-0.084
1,92,0.053,0.086,-0.07
1,93,0.028,0.05,-0.08
1,94,0.043,0.072,-0.073
1,95,0.032,0.056,-0.078
1,96,0.034,0.059,-0.077
1,97,0.045,0.075,-0.073
1,98,0.043,0.072,-0.074
1,99,0.077,0.119,-0.065
10,10,0.001,0.003,-0.106
10,100,0.144,0.203,-0.054
10,101,0.128,0.184,-0.056
10,102,0.061,0.097,-0.069
10,103,0.098,0.147,-0.061
10,104,0.113,0.166,-0.058
10,105,0.057,0.092,-0.07
10,106,0.049,0.081,-0.073
10,107,0.062,0.099,-0.069
10,108,0.04,0.067,-0.077
10,109,0.054,0.087,-0.072
10,11,0.001,0.003,-0.105
10,110,0.045,0.076,-0.075
10,111,0.032,0.056,-0.081
10,112,0.049,0.081,-0.074
10,113,0.044,0.074,-0.076
10,114,0.131,0.188,-0.057
10,115,0.177,0.242,-0.051
10,116,0.127,0.182,-0.058
10,117,0.078,0.12,-0.067
10,118,0.102,0.152,-0.062
10,119,0.087,0.133,-0.065
10,12,0.001,0.002,-0.107
10,120,0.159,0.222,-0.054
10,121,0.08,0.124,-0.067
10,122,0.064,0.101,-0.071
10,123,0.069,0.108,-0.07
10,124,0.095,0.142,-0.064
10,125,0.103,0.152,-0.063
10,126,0.108,0.159,-0.062
10,127,0.119,0.173,-0.06
10,128,0.07,0.11,-0.07
10,129,0.096,0.144,-0.065
10,13,0.002,0.005,-0.097
10,130,0.1,0.148,-0.064
10,131,0.09,0.136,-0.066
10,132,0.09,0.136,-0.066
10,133,0.066,0.104,-0.072
10,134,0.092,0.139,-0.066
10,135,0.09,0.136,-0.067
10,136,0.129,0.186,-0.06
10,137,0.054,0.088,-0.076
10,138,0.057,0.092,-0.075
10,139,0.059,0.095,-0.074
10,14,0.001,0.002,-0.109
10,140,0.075,0.117,-0.07
10,141,0.123,0.178,-0.061
10,142,0.148,0.208,-0.057
10,143,0.162,0.225,-0.056
10,144,0.108,0.159,-0.064
10,145,0.094,0.142,-0.067
10,146,0.143,0.202,-0.058
10,147,0.097,0.145,-0.066
10,148,0.119,0.173,-0.062
10,149,0.144,0.203,-0.058
10,15,0.002,0.005,-0.098
10,150,0.146,0.206,-0.058
10,151,0.156,0.218,-0.057
10,152,0.166,0.23,-0.056
10,153,0.201,0.271,-0.051
10,154,0.247,0.322,-0.046
10,155,0.255,0.332,-0.046
10,156,0.255,0.331,-0.046
10,157,0.371,0.454,-0.036
10,158,0.392,0.475,-0.034
10,159,0.414,0.498,-0.033
10,16,0.002,0.004,-0.099
10,160,0.466,0.548,-0.029
10,161,0.541,0.62,-0.025
10,162,0.323,0.404,-0.04
10,163,0.279,0.358,-0.044
10,164,0.319,0.4,-0.04
10,165,0.175,0.24,-0.055
10,166,0.265,0.342,-0.045
10,167,0.285,0.364,-0.043
10,168,0.138,0.196,-0.06
10,169,0.206,0.276,-0.051
10,17,0.005,0.012,-0.088
10,170,0.209,0.279,-0.051
10,171,0.33,0.412,-0.04
10,172,0.268,0.346,-0.045
10,173,0.216,0.288,-0.051
10,174,0.17,0.235,-0.056
10,175,0.257,0.334,-0.047
10,176,0.271,0.349,-0.045
10,177,0.201,0.27,-0.053
10,178,0.228,0.301,-0.05
10,179,0.21,0.281,-0.052
10,18,0.001,0.004,-0.1
10,180,0.222,0.295,-0.051
10,181,0.193,0.261,-0.055
10,182,0.228,0.301,-0.051
10,183,0.274,0.352,-0.046
10,184,0.33,0.412,-0.041
10,185,0.23,0.304,-0.051
10,186,0.164,0.227,-0.06
10,187,0.144,0.204,-0.063
10,188,0.146,0.206,-0.063
10,189,0.136,0.193,-0.065
10,19,0.004,0.009,-0.091
10,190,0.071,0.111,-0.079
10,191,0.08,0.124,-0.077
10,192,0.077,0.119,-0.078
10,193,0.094,0.141,-0.075
10,194,0.064,0.102,-0.083
10,195,0.108,0.16,-0.072
10,196,0.066,0.104,-0.084
10,197,0.051,0.084,-0.089
10,198,0.02,0.038,-0.107
10,199,0.059,0.094,-0.087
10,20,0.001,0.002,-0.106
10,200,0.055,0.09,-0.089
10,201,0.033,0.058,-0.1
10,202,0.047,0.079,-0.094
10,203,0.057,0.093,-0.09
10,204,0.077,0.119,-0.085
10,205,0.072,0.112,-0.087
10,206,0.1,0.149,-0.08
10,207,0.124,0.179,-0.075
10,208,0.13,0.187,-0.074
10,209,0.128,0.184,-0.076
10,21,0.003,0.008,-0.092
10,210,0.157,0.219,-0.071
10,211,0.136,0.193,-0.075
10,212,0.15,0.211,-0.073
10,213,0.18,0.246,-0.069
10,214,0.213,0.284,-0.064
10,215,0.097,0.145,-0.086
10,216,0.119,0.173,-0.081
10,217,0.095,0.142,-0.088
10,218,0.188,0.256,-0.07
10,219,0.09,0.137,-0.091
