slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.897,0.922,0.005
1,101,0.582,0.657,0.02
1,102,0.521,0.601,0.024
1,103,0.636,0.706,0.017
1,104,0.503,0.584,0.025
1,105,0.528,0.608,0.023
1,106,0.416,0.5,0.03
1,107,0.67,0.736,0.016
1,108,0.616,0.688,0.019
1,109,0.461,0.544,0.028
1,110,0.395,0.478,0.032
1,111,0.426,0.509,0.03
1,112,0.337,0.419,0.036
1,113,0.371,0.453,0.034
1,114,0.463,0.545,0.028
1,115,0.28,0.359,0.041
1,116,0.254,0.33,0.043
1,117,0.271,0.348,0.042
1,118,0.418,0.502,0.031
1,119,0.364,0.447,0.035
1,120,0.183,0.249,0.051
1,121,0.142,0.201,0.057
1,122,0.201,0.271,0.049
1,123,0.22,0.292,0.047
1,124,0.207,0.278,0.049
1,125,0.31,0.39,0.039
1,126,0.257,0.333,0.044
1,127,0.187,0.255,0.051
1,128,0.219,0.291,0.048
1,129,0.238,0.312,0.046
1,130,0.219,0.291,0.048
1,131,0.209,0.279,0.049
1,132,0.165,0.229,0.054
1,133,0.19,0.258,0.051
1,134,0.227,0.301,0.048
1,135,0.144,0.204,0.058
1,136,0.179,0.246,0.053
1,137,0.233,0.307,0.047
1,138,0.177,0.242,0.054
1,139,0.127,0.183,0.061
1,140,0.17,0.235,0.055
1,141,0.156,0.218,0.057
1,142,0.131,0.187,0.061
1,143,0.092,0.138,0.068
1,144,0.112,0.164,0.064
1,145,0.141,0.2,0.059
1,146,0.052,0.086,0.078
1,147,0.051,0.084,0.079
1,148,0.058,0.093,0.077
1,149,0.08,0.123,0.071
1,150,0.059,0.094,0.077
1,151,0.046,0.077,0.081
1,152,0.074,0.115,0.073
1,153,0.089,0.134,0.07
1,154,0.072,0.112,0.074
1,155,0.09,0.136,0.07
1,156,0.116,0.17,0.065
1,157,0.093,0.14,0.07
1,158,0.124,0.18,0.064
1,159,0.114,0.166,0.066
1,160,0.126,0.182,0.064
1,161,0.111,0.163,0.067
1,162,0.144,0.203,0.062
1,163,0.114,0.167,0.067
1,164,0.139,0.198,0.063
1,165,0.147,0.208,0.062
1,166,0.096,0.144,0.071
1,167,0.158,0.22,0.061
1,168,0.14,0.198,0.064
1,169,0.215,0.286,0.054
1,170,0.141,0.2,0.064
1,171,0.084,0.128,0.076
1,172,0.151,0.211,0.063
1,173,0.165,0.229,0.062
1,174,0.197,0.266,0.058
1,175,0.285,0.363,0.048
1,176,0.286,0.365,0.048
1,177,0.329,0.41,0.044
1,178,0.419,0.502,0.037
1,179,0.314,0.395,0.046
1,180,0.331,0.412,0.045
1,181,0.441,0.524,0.035
1,182,0.342,0.424,0.044
1,183,0.503,0.584,0.031
1,184,0.436,0.519,0.036
1,185,0.385,0.468,0.041
1,186,0.36,0.442,0.043
1,187,0.44,0.523,0.037
1,188,0.322,0.403,0.047
1,189,0.409,0.492,0.04
1,190,0.464,0.546,0.035
1,191,0.569,0.646,0.028
1,192,0.346,0.428,0.046
1,193,0.463,0.545,0.036
1,194,0.487,0.568,0.034
1,195,0.502,0.583,0.033
1,196,0.451,0.534,0.037
1,197,0.419,0.503,0.04
1,198,0.479,0.561,0.036
1,199,0.459,0.541,0.037
1,200,0.495,0.576,0.035
1,201,0.361,0.443,0.046
1,202,0.349,0.431,0.048
1,203,0.44,0.523,0.04
1,204,0.402,0.485,0.043
1,205,0.414,0.497,0.042
1,206,0.298,0.378,0.054
1,207,0.349,0.431,0.049
1,208,0.459,0.542,0.039
1,209,0.31,0.39,0.053
1,210,0.427,0.51,0.042
1,211,0.353,0.436,0.049
1,212,0.356,0.439,0.049
1,213,0.248,0.323,0.062
1,214,0.318,0.399,0.053
1,215,0.359,0.442,0.049
1,216,0.241,0.316,0.063
1,217,0.199,0.268,0.069
1,218,0.251,0.327,0.062
1,219,0.352,0.434,0.051
1,220,0.245,0.32,0.063
1,221,0.307,0.387,0.056
1,222,0.203,0.272,0.07
1,223,0.222,0.294,0.067
1,224,0.225,0.297,0.067
1,39,0.926,0.945,-0.003
1,40,0.775,0.824,-0.009
1,41,0.993,0.995,-0.0
1,42,0.818,0.859,-0.007
1,43,0.947,0.96,0.002
1,44,0.789,0.836,0.009
1,45,0.676,0.741,0.013
1,46,0.862,0.895,0.006
1,47,0.908,0.931,-0.004
1,48,0.851,0.886,0.006
1,49,0.808,0.852,-0.008
1,50,0.992,0.994,-0.0
1,51,0.89,0.917,0.005
1,52,0.826,0.866,0.007
1,53,0.937,0.953,-0.003
1,54,0.847,0.883,0.006
1,55,0.874,0.904,0.005
1,56,0.86,0.893,0.006
1,57,0.913,0.935,0.004
1,58,0.738,0.794,0.011
1,59,0.949,0.962,-0.002
1,60,0.793,0.84,-0.009
1,61,0.963,0.973,-0.002
1,62,0.822,0.863,-0.008
1,63,0.654,0.721,-0.015
1,64,0.897,0.922,-0.004
1,65,0.609,0.682,-0.017
1,66,0.66,0.727,-0.015
1,67,0.296,0.375,-0.035
1,68,0.494,0.575,-0.023
1,69,0.609,0.681,-0.017
1,70,0.562,0.639,-0.02
1,71,0.708,0.769,-0.013
1,72,0.825,0.865,-0.008
1,73,0.621,0.693,-0.017
1,74,0.727,0.785,-0.012
1,75,0.841,0.878,-0.007
1,76,0.784,0.832,-0.009
1,77,0.969,0.977,0.001
1,78,0.575,0.651,0.019
1,79,0.91,0.933,-0.004
1,80,0.907,0.93,0.004
1,81,0.641,0.71,0.016
1,82,0.782,0.83,0.01
1,83,0.678,0.742,0.015
1,84,0.656,0.724,0.016
1,85,0.355,0.437,0.033
1,86,0.458,0.54,0.026
1,87,0.578,0.654,0.02
1,88,0.804,0.849,0.009
1,89,0.611,0.684,0.018
1,90,0.744,0.799,0.012
1,91,0.813,0.855,0.008
1,92,0.529,0.608,0.023
1,93,0.719,0.778,0.013
1,94,0.672,0.738,0.015
1,95,0.729,0.787,0.013
1,96,0.876,0.906,0.006
1,97,0.692,0.755,0.014
1,98,0.744,0.798,0.012
1,99,0.577,0.653,0.02
10,10,0.723,0.782,-0.011
10,100,0.102,0.151,0.06
10,101,0.147,0.207,0.053
10,102,0.316,0.397,0.037
10,103,0.176,0.241,0.05
10,104,0.163,0.226,0.051
10,105,0.247,0.322,0.043
10,106,0.281,0.359,0.04
10,107,0.17,0.234,0.051
10,108,0.256,0.332,0.042
10,109,0.379,0.462,0.033
10,11,0.794,0.84,-0.008
10,110,0.241,0.315,0.044
10,111,0.282,0.36,0.04
10,112,0.242,0.317,0.044
10,113,0.267,0.344,0.042
10,114,0.165,0.229,0.052
10,115,0.086,0.131,0.065
10,116,0.146,0.206,0.055
10,117,0.274,0.352,0.041
10,118,0.191,0.259,0.05
10,119,0.248,0.323,0.044
10,12,0.75,0.804,-0.01
10,120,0.15,0.211,0.055
10,121,0.249,0.324,0.044
10,122,0.237,0.311,0.045
10,123,0.301,0.38,0.04
10,124,0.256,0.332,0.044
10,125,0.278,0.356,0.042
10,126,0.17,0.235,0.053
10,127,0.144,0.203,0.056
10,128,0.203,0.273,0.049
10,129,0.217,0.289,0.048
10,13,0.84,0.878,-0.006
10,130,0.165,0.229,0.054
10,131,0.213,0.284,0.048
10,132,0.203,0.273,0.049
10,133,0.282,0.36,0.042
10,134,0.25,0.326,0.045
10,135,0.177,0.242,0.053
10,136,0.122,0.177,0.061
10,137,0.23,0.303,0.047
10,138,0.243,0.318,0.046
10,139,0.274,0.351,0.043
10,14,0.722,0.78,-0.011
10,140,0.267,0.344,0.044
10,141,0.207,0.278,0.05
