slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.342,0.424,0.034
1,101,0.146,0.206,0.053
1,102,0.114,0.166,0.058
1,103,0.176,0.242,0.05
1,104,0.126,0.182,0.056
1,105,0.136,0.194,0.055
1,106,0.101,0.151,0.06
1,107,0.188,0.256,0.049
1,108,0.178,0.244,0.05
1,109,0.099,0.148,0.061
1,110,0.093,0.14,0.063
1,111,0.109,0.16,0.06
1,112,0.067,0.106,0.069
1,113,0.074,0.115,0.067
1,114,0.094,0.141,0.063
1,115,0.045,0.075,0.076
1,116,0.042,0.071,0.077
1,117,0.046,0.076,0.076
1,118,0.08,0.124,0.067
1,119,0.064,0.102,0.071
1,120,0.024,0.044,0.086
1,121,0.019,0.036,0.09
1,122,0.033,0.058,0.082
1,123,0.036,0.062,0.081
1,124,0.031,0.055,0.083
1,125,0.058,0.093,0.073
1,126,0.041,0.07,0.079
1,127,0.025,0.046,0.087
1,128,0.027,0.048,0.086
1,129,0.033,0.057,0.083
1,130,0.03,0.054,0.084
1,131,0.027,0.048,0.086
1,132,0.019,0.036,0.091
1,133,0.021,0.039,0.09
1,134,0.03,0.053,0.085
1,135,0.013,0.026,0.097
1,136,0.018,0.034,0.093
1,137,0.03,0.054,0.085
1,138,0.022,0.04,0.091
1,139,0.012,0.024,0.1
1,140,0.017,0.032,0.095
1,141,0.017,0.032,0.095
1,142,0.012,0.024,0.101
1,143,0.008,0.016,0.107
1,144,0.011,0.022,0.102
1,145,0.013,0.025,0.1
1,146,0.004,0.009,0.117
1,147,0.004,0.009,0.116
1,148,0.004,0.009,0.117
1,149,0.006,0.014,0.111
1,150,0.004,0.01,0.115
1,151,0.003,0.008,0.12
1,152,0.005,0.012,0.114
1,153,0.008,0.017,0.109
1,154,0.006,0.013,0.113
1,155,0.007,0.016,0.11
1,156,0.011,0.023,0.104
1,157,0.009,0.019,0.108
1,158,0.013,0.026,0.103
1,159,0.01,0.02,0.107
1,160,0.012,0.024,0.105
1,161,0.01,0.021,0.107
1,162,0.015,0.029,0.102
1,163,0.011,0.023,0.107
1,164,0.014,0.027,0.104
1,165,0.017,0.032,0.102
1,166,0.009,0.018,0.112
1,167,0.019,0.035,0.101
1,168,0.017,0.032,0.103
1,169,0.032,0.056,0.093
1,170,0.016,0.031,0.105
1,171,0.007,0.016,0.117
1,172,0.016,0.03,0.106
1,173,0.021,0.039,0.102
1,174,0.029,0.051,0.097
1,175,0.05,0.082,0.087
1,176,0.048,0.079,0.088
1,177,0.054,0.087,0.087
1,178,0.079,0.122,0.079
1,179,0.054,0.088,0.087
1,180,0.06,0.097,0.086
1,181,0.091,0.138,0.077
1,182,0.067,0.106,0.084
1,183,0.113,0.166,0.073
1,184,0.094,0.142,0.078
1,185,0.082,0.126,0.081
1,186,0.074,0.115,0.084
1,187,0.106,0.156,0.077
1,188,0.063,0.101,0.088
1,189,0.094,0.141,0.08
1,190,0.113,0.165,0.076
1,191,0.161,0.225,0.067
1,192,0.079,0.122,0.085
1,193,0.117,0.171,0.076
1,194,0.124,0.179,0.075
1,195,0.124,0.179,0.076
1,196,0.107,0.158,0.08
1,197,0.097,0.145,0.082
1,198,0.111,0.163,0.08
1,199,0.109,0.16,0.08
1,200,0.11,0.161,0.08
1,201,0.074,0.116,0.09
1,202,0.067,0.106,0.093
1,203,0.09,0.136,0.086
1,204,0.072,0.113,0.092
1,205,0.079,0.121,0.091
1,206,0.051,0.083,0.101
1,207,0.065,0.102,0.096
1,208,0.091,0.138,0.088
1,209,0.046,0.076,0.104
1,210,0.08,0.123,0.092
1,211,0.059,0.094,0.099
1,212,0.057,0.093,0.1
1,213,0.031,0.055,0.114
1,214,0.046,0.077,0.106
