slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.092,0.139,-0.062
1,101,0.136,0.194,-0.055
1,102,0.14,0.199,-0.055
1,103,0.14,0.199,-0.055
1,104,0.212,0.284,-0.047
1,105,0.189,0.256,-0.049
1,106,0.274,0.352,-0.041
1,107,0.123,0.178,-0.058
1,108,0.156,0.218,-0.054
1,109,0.185,0.252,-0.05
1,110,0.291,0.37,-0.04
1,111,0.288,0.367,-0.041
1,112,0.292,0.371,-0.04
1,113,0.266,0.343,-0.043
1,114,0.166,0.23,-0.053
1,115,0.293,0.373,-0.041
1,116,0.348,0.431,-0.036
1,117,0.324,0.406,-0.038
1,118,0.188,0.256,-0.051
1,119,0.218,0.29,-0.048
1,120,0.418,0.501,-0.032
1,121,0.542,0.62,-0.024
1,122,0.466,0.549,-0.029
1,123,0.404,0.488,-0.033
1,124,0.394,0.477,-0.034
1,125,0.289,0.368,-0.042
1,126,0.327,0.408,-0.039
1,127,0.4,0.484,-0.033
1,128,0.288,0.367,-0.042
1,129,0.294,0.373,-0.042
1,130,0.338,0.42,-0.038
1,131,0.329,0.411,-0.039
1,132,0.391,0.474,-0.034
1,133,0.311,0.392,-0.04
1,134,0.29,0.369,-0.042
1,135,0.356,0.438,-0.037
1,136,0.297,0.376,-0.042
1,137,0.293,0.372,-0.042
1,138,0.392,0.476,-0.035
1,139,0.428,0.511,-0.032
1,140,0.318,0.399,-0.04
1,141,0.365,0.448,-0.037
1,142,0.387,0.47,-0.035
1,143,0.517,0.597,-0.027
1,144,0.483,0.565,-0.029
1,145,0.361,0.443,-0.038
1,146,0.695,0.757,-0.016
1,147,0.755,0.808,-0.013
1,148,0.616,0.688,-0.021
1,149,0.55,0.628,-0.025
1,150,0.654,0.721,-0.019
1,151,0.713,0.773,-0.015
1,152,0.52,0.6,-0.027
1,153,0.53,0.609,-0.026
1,154,0.562,0.64,-0.024
1,155,0.486,0.568,-0.029
1,156,0.462,0.545,-0.031
1,157,0.551,0.629,-0.025
1,158,0.475,0.557,-0.03
1,159,0.424,0.507,-0.034
1,160,0.409,0.492,-0.035
1,161,0.457,0.54,-0.032
1,162,0.381,0.464,-0.038
1,163,0.468,0.55,-0.031
1,164,0.39,0.474,-0.037
1,165,0.43,0.513,-0.034
1,166,0.539,0.618,-0.027
1,167,0.424,0.507,-0.035
1,168,0.499,0.58,-0.03
1,169,0.402,0.486,-0.037
1,170,0.457,0.54,-0.033
1,171,0.576,0.652,-0.025
1,172,0.377,0.46,-0.04
1,173,0.42,0.503,-0.036
1,174,0.416,0.5,-0.037
1,175,0.319,0.4,-0.045
1,176,0.297,0.377,-0.048
1,177,0.229,0.302,-0.055
1,178,0.18,0.247,-0.062
1,179,0.27,0.348,-0.051
1,180,0.271,0.348,-0.051
1,181,0.191,0.259,-0.061
1,182,0.28,0.358,-0.051
1,183,0.165,0.228,-0.066
1,184,0.206,0.277,-0.06
1,185,0.259,0.336,-0.054
1,186,0.273,0.351,-0.053
1,187,0.238,0.312,-0.057
1,188,0.308,0.388,-0.049
1,189,0.251,0.326,-0.056
1,190,0.225,0.298,-0.059
1,191,0.181,0.248,-0.066
1,192,0.34,0.422,-0.047
1,193,0.245,0.32,-0.058
1,194,0.219,0.291,-0.061
1,195,0.192,0.261,-0.065
1,196,0.225,0.298,-0.061
1,197,0.251,0.327,-0.058
1,198,0.197,0.266,-0.066
1,199,0.236,0.31,-0.061
1,200,0.173,0.238,-0.07
1,201,0.296,0.375,-0.054
1,202,0.28,0.358,-0.056
1,203,0.211,0.282,-0.065
1,204,0.208,0.279,-0.066
1,205,0.21,0.281,-0.066
1,206,0.328,0.41,-0.051
1,207,0.283,0.362,-0.057
1,208,0.195,0.264,-0.069
1,209,0.26,0.337,-0.06
1,210,0.205,0.275,-0.068
1,211,0.252,0.328,-0.061
1,212,0.241,0.316,-0.063
1,213,0.304,0.384,-0.056
1,214,0.252,0.328,-0.062
1,215,0.245,0.32,-0.063
1,216,0.385,0.468,-0.048
1,217,0.439,0.522,-0.042
1,218,0.336,0.418,-0.053
1,219,0.277,0.355,-0.06
1,220,0.415,0.498,-0.045
1,221,0.356,0.439,-0.051
1,222,0.554,0.632,-0.033
1,223,0.496,0.577,-0.038
1,224,0.54,0.618,-0.035
1,39,0.031,0.055,-0.071
1,40,0.018,0.035,-0.077
1,41,0.045,0.075,-0.066
1,42,0.015,0.03,-0.079
1,43,0.048,0.079,-0.065
1,44,0.074,0.115,-0.059
1,45,0.081,0.124,-0.057
1,46,0.054,0.087,-0.063
1,47,0.037,0.064,-0.069
1,48,0.062,0.099,-0.062
1,49,0.024,0.043,-0.075
1,50,0.052,0.085,-0.064
1,51,0.078,0.12,-0.059
1,52,0.07,0.11,-0.06
1,53,0.04,0.068,-0.068
1,54,0.094,0.141,-0.056
1,55,0.065,0.103,-0.062
1,56,0.064,0.102,-0.062
1,57,0.055,0.09,-0.064
1,58,0.092,0.138,-0.057
1,59,0.034,0.059,-0.071
1,60,0.018,0.034,-0.08
1,61,0.029,0.052,-0.074
1,62,0.027,0.049,-0.075
1,63,0.012,0.024,-0.085
1,64,0.035,0.06,-0.072
1,65,0.016,0.031,-0.082
1,66,0.015,0.029,-0.083
1,67,0.002,0.006,-0.104
1,68,0.007,0.016,-0.092
1,69,0.013,0.026,-0.085
1,70,0.011,0.023,-0.087
1,71,0.023,0.043,-0.078
1,72,0.041,0.07,-0.071
1,73,0.016,0.03,-0.084
1,74,0.019,0.036,-0.082
1,75,0.028,0.05,-0.077
1,76,0.023,0.042,-0.08
1,77,0.079,0.122,-0.062
1,78,0.189,0.257,-0.046
1,79,0.054,0.087,-0.068
1,80,0.082,0.126,-0.062
1,81,0.164,0.228,-0.05
1,82,0.108,0.159,-0.057
1,83,0.102,0.151,-0.058
1,84,0.104,0.154,-0.058
1,85,0.262,0.338,-0.04
1,86,0.201,0.271,-0.046
1,87,0.132,0.189,-0.054
1,88,0.076,0.118,-0.064
1,89,0.124,0.18,-0.056
1,90,0.078,0.121,-0.064
1,91,0.083,0.126,-0.063
1,92,0.157,0.219,-0.052
1,93,0.086,0.131,-0.063
1,94,0.119,0.173,-0.057
1,95,0.107,0.158,-0.059
1,96,0.064,0.102,-0.068
1,97,0.114,0.167,-0.058
1,98,0.128,0.184,-0.056
1,99,0.182,0.248,-0.05
10,10,0.026,0.047,-0.073
10,100,0.702,0.764,-0.014
10,101,0.544,0.622,-0.023
10,102,0.333,0.414,-0.036
10,103,0.466,0.549,-0.027
10,104,0.539,0.618,-0.023
10,105,0.335,0.416,-0.036
10,106,0.332,0.414,-0.036
10,107,0.521,0.601,-0.024
10,108,0.413,0.496,-0.031
10,109,0.287,0.366,-0.04
10,11,0.025,0.045,-0.073
10,110,0.344,0.426,-0.036
10,111,0.261,0.338,-0.043
10,112,0.35,0.432,-0.036
10,113,0.331,0.413,-0.037
10,114,0.478,0.56,-0.027
10,115,0.735,0.792,-0.013
10,116,0.609,0.682,-0.02
10,117,0.354,0.436,-0.036
10,118,0.443,0.526,-0.03
10,119,0.362,0.445,-0.035
10,12,0.019,0.036,-0.076
10,120,0.583,0.658,-0.021
10,121,0.327,0.408,-0.038
10,122,0.325,0.407,-0.038
10,123,0.294,0.373,-0.041
10,124,0.313,0.393,-0.039
10,125,0.332,0.414,-0.038
10,126,0.464,0.547,-0.029
10,127,0.508,0.588,-0.026
10,128,0.33,0.411,-0.038
10,129,0.38,0.463,-0.034
10,13,0.02,0.038,-0.074
10,130,0.408,0.491,-0.033
10,131,0.345,0.427,-0.037
10,132,0.371,0.454,-0.035
10,133,0.285,0.364,-0.042
10,134,0.291,0.37,-0.042
10,135,0.326,0.407,-0.039
10,136,0.404,0.487,-0.033
10,137,0.287,0.366,-0.042
10,138,0.302,0.382,-0.041
10,139,0.258,0.334,-0.045
10,14,0.018,0.034,-0.076
10,140,0.229,0.303,-0.048
10,141,0.353,0.435,-0.037
10,142,0.358,0.441,-0.037
10,143,0.432,0.515,-0.032
10,144,0.31,0.39,-0.041
10,145,0.282,0.36,-0.043
10,146,0.399,0.482,-0.034
10,147,0.312,0.393,-0.041
10,148,0.334,0.416,-0.039
10,149,0.282,0.36,-0.044
