slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.119,0.173,-0.059
1,101,0.127,0.182,-0.058
1,102,0.114,0.167,-0.06
1,103,0.116,0.169,-0.06
1,104,0.238,0.312,-0.045
1,105,0.242,0.317,-0.045
1,106,0.221,0.293,-0.047
1,107,0.143,0.202,-0.057
1,108,0.2,0.27,-0.05
1,109,0.178,0.245,-0.052
1,110,0.149,0.209,-0.056
1,111,0.141,0.2,-0.057
1,112,0.164,0.227,-0.054
1,113,0.114,0.167,-0.062
1,114,0.065,0.103,-0.073
1,115,0.122,0.176,-0.061
1,116,0.323,0.404,-0.039
1,117,0.213,0.284,-0.049
1,118,0.087,0.132,-0.068
1,119,0.135,0.193,-0.059
1,120,0.221,0.294,-0.049
1,121,0.213,0.285,-0.05
1,122,0.217,0.289,-0.049
1,123,0.15,0.211,-0.058
1,124,0.277,0.355,-0.044
1,125,0.244,0.319,-0.047
1,126,0.291,0.37,-0.043
1,127,0.401,0.484,-0.034
1,128,0.301,0.381,-0.042
1,129,0.262,0.338,-0.045
1,130,0.382,0.465,-0.035
1,131,0.34,0.422,-0.039
1,132,0.29,0.369,-0.043
1,133,0.231,0.305,-0.049
1,134,0.267,0.344,-0.045
1,135,0.349,0.432,-0.038
1,136,0.438,0.521,-0.032
1,137,0.348,0.43,-0.039
1,138,0.339,0.421,-0.04
1,139,0.262,0.339,-0.046
1,140,0.18,0.247,-0.055
1,141,0.228,0.301,-0.05
1,142,0.305,0.385,-0.043
1,143,0.241,0.316,-0.049
1,144,0.221,0.293,-0.051
1,145,0.206,0.276,-0.053
1,146,0.305,0.385,-0.043
1,147,0.352,0.435,-0.039
1,148,0.34,0.422,-0.04
1,149,0.217,0.289,-0.052
1,150,0.3,0.38,-0.044
1,151,0.376,0.459,-0.037
1,152,0.444,0.527,-0.032
1,153,0.375,0.458,-0.038
1,154,0.546,0.624,-0.026
1,155,0.526,0.606,-0.027
1,156,0.408,0.491,-0.036
1,157,0.516,0.596,-0.028
1,158,0.4,0.484,-0.036
1,159,0.491,0.573,-0.03
1,160,0.317,0.398,-0.043
1,161,0.419,0.502,-0.035
1,162,0.438,0.521,-0.034
1,163,0.421,0.504,-0.035
1,164,0.321,0.402,-0.044
1,165,0.293,0.372,-0.047
1,166,0.424,0.507,-0.035
1,167,0.336,0.418,-0.043
1,168,0.334,0.416,-0.043
1,169,0.38,0.463,-0.04
1,170,0.382,0.465,-0.04
1,171,0.514,0.594,-0.03
1,172,0.443,0.526,-0.035
1,173,0.456,0.539,-0.034
1,174,0.333,0.415,-0.045
1,175,0.371,0.454,-0.041
1,176,0.281,0.359,-0.05
1,177,0.381,0.464,-0.041
1,178,0.39,0.473,-0.041
1,179,0.356,0.439,-0.044
1,180,0.369,0.451,-0.043
1,181,0.285,0.364,-0.051
1,182,0.411,0.495,-0.039
1,183,0.381,0.465,-0.042
1,184,0.506,0.587,-0.032
1,185,0.625,0.696,-0.024
1,186,0.474,0.556,-0.035
1,187,0.488,0.57,-0.034
1,188,0.581,0.657,-0.027
1,189,0.627,0.698,-0.024
1,190,0.583,0.658,-0.027
1,191,0.514,0.594,-0.033
1,192,0.508,0.589,-0.033
1,193,0.556,0.633,-0.03
1,194,0.538,0.617,-0.031
1,195,0.836,0.874,-0.011
1,196,0.847,0.883,-0.01
1,197,0.708,0.769,-0.019
1,198,0.576,0.652,-0.029
1,199,0.554,0.632,-0.031
1,200,0.6,0.673,-0.028
1,201,0.645,0.714,-0.024
1,202,0.594,0.669,-0.028
1,203,0.597,0.671,-0.028
1,204,0.602,0.676,-0.028
1,205,0.752,0.805,-0.017
1,206,0.823,0.863,-0.012
