slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.006,0.013,0.103
1,101,0.005,0.012,0.104
1,102,0.004,0.01,0.107
1,103,0.008,0.017,0.101
1,104,0.02,0.037,0.088
1,105,0.015,0.03,0.092
1,106,0.011,0.022,0.097
1,107,0.01,0.021,0.098
1,108,0.015,0.029,0.093
1,109,0.013,0.025,0.095
1,110,0.008,0.017,0.102
1,111,0.01,0.02,0.1
1,112,0.01,0.02,0.1
1,113,0.007,0.016,0.104
1,114,0.003,0.007,0.117
1,115,0.005,0.012,0.108
1,116,0.032,0.056,0.084
1,117,0.015,0.03,0.095
1,118,0.006,0.013,0.108
1,119,0.01,0.022,0.1
1,120,0.013,0.027,0.098
1,121,0.013,0.026,0.098
1,122,0.021,0.039,0.091
1,123,0.01,0.021,0.102
1,124,0.029,0.051,0.087
1,125,0.03,0.053,0.086
1,126,0.029,0.052,0.087
1,127,0.042,0.071,0.081
1,128,0.027,0.049,0.088
1,129,0.025,0.046,0.089
1,130,0.061,0.098,0.075
1,131,0.044,0.074,0.081
1,132,0.03,0.053,0.087
1,133,0.018,0.034,0.096
1,134,0.024,0.043,0.091
1,135,0.031,0.054,0.087
1,136,0.051,0.084,0.079
1,137,0.054,0.088,0.078
1,138,0.054,0.088,0.079
1,139,0.037,0.063,0.085
1,140,0.018,0.034,0.097
1,141,0.024,0.044,0.092
1,142,0.041,0.07,0.084
1,143,0.026,0.047,0.092
1,144,0.029,0.052,0.09
1,145,0.028,0.049,0.091
1,146,0.039,0.066,0.086
1,147,0.047,0.079,0.083
1,148,0.057,0.092,0.079
1,149,0.033,0.057,0.089
1,150,0.033,0.058,0.089
1,151,0.045,0.076,0.084
1,152,0.099,0.147,0.069
1,153,0.06,0.096,0.079
1,154,0.09,0.136,0.072
1,155,0.082,0.125,0.074
1,156,0.063,0.101,0.079
1,157,0.079,0.122,0.075
1,158,0.08,0.123,0.075
1,159,0.128,0.185,0.065
1,160,0.047,0.078,0.085
1,161,0.08,0.123,0.075
1,162,0.083,0.127,0.075
1,163,0.084,0.128,0.075
1,164,0.056,0.09,0.083
1,165,0.046,0.076,0.087
1,166,0.072,0.112,0.079
1,167,0.066,0.105,0.081
1,168,0.055,0.089,0.085
1,169,0.106,0.157,0.072
1,170,0.091,0.138,0.076
1,171,0.125,0.18,0.069
1,172,0.118,0.172,0.071
1,173,0.135,0.193,0.068
1,174,0.095,0.142,0.076
1,175,0.128,0.183,0.07
1,176,0.078,0.121,0.081
1,177,0.133,0.19,0.07
1,178,0.121,0.176,0.072
1,179,0.101,0.151,0.076
1,180,0.113,0.165,0.074
1,181,0.077,0.119,0.083
1,182,0.136,0.194,0.07
1,183,0.119,0.173,0.074
1,184,0.206,0.276,0.061
1,185,0.239,0.314,0.057
1,186,0.155,0.217,0.069
1,187,0.213,0.284,0.061
1,188,0.243,0.318,0.057
1,189,0.271,0.349,0.054
1,190,0.224,0.297,0.06
1,191,0.229,0.302,0.06
1,192,0.199,0.269,0.064
1,193,0.285,0.364,0.054
1,194,0.244,0.319,0.059
1,195,0.452,0.534,0.038
1,196,0.397,0.481,0.043
1,197,0.307,0.387,0.052
1,198,0.246,0.322,0.06
1,199,0.219,0.291,0.064
1,200,0.249,0.325,0.06
1,201,0.237,0.311,0.062
1,202,0.208,0.278,0.066
1,203,0.239,0.313,0.062
1,204,0.24,0.315,0.062
1,205,0.333,0.414,0.051
1,206,0.384,0.467,0.046
1,207,0.446,0.528,0.041
1,208,0.367,0.45,0.048
1,209,0.48,0.562,0.038
1,210,0.398,0.481,0.046
1,211,0.551,0.629,0.032
1,212,0.572,0.648,0.031
1,213,0.448,0.531,0.041
1,214,0.586,0.661,0.03
1,215,0.494,0.576,0.038
1,216,0.465,0.547,0.04
1,217,0.378,0.461,0.049
1,218,0.369,0.452,0.05
1,219,0.339,0.421,0.053
1,220,0.342,0.424,0.053
1,221,0.363,0.445,0.051
1,222,0.371,0.453,0.05
1,223,0.227,0.299,0.068
1,224,0.209,0.28,0.071
1,39,0.013,0.025,0.082
1,40,0.004,0.01,0.095
1,41,0.015,0.028,0.081
1,42,0.01,0.02,0.085
1,43,0.009,0.018,0.087
1,44,0.025,0.046,0.074
1,45,0.009,0.019,0.086
1,46,0.041,0.07,0.068
1,47,0.014,0.028,0.082
1,48,0.01,0.021,0.085
1,49,0.009,0.02,0.087
1,50,0.01,0.021,0.085
1,51,0.012,0.024,0.084
1,52,0.03,0.053,0.073
1,53,0.011,0.023,0.084
1,54,0.039,0.067,0.069
1,55,0.011,0.023,0.085
1,56,0.021,0.039,0.078
1,57,0.017,0.033,0.08
1,58,0.01,0.02,0.088
1,59,0.005,0.011,0.095
1,60,0.002,0.006,0.104
1,61,0.002,0.006,0.104
1,62,0.01,0.02,0.088
1,63,0.006,0.013,0.094
1,64,0.004,0.009,0.098
1,65,0.005,0.011,0.097
1,66,0.017,0.033,0.082
1,67,0.014,0.028,0.085
1,68,0.008,0.016,0.092
1,69,0.003,0.007,0.103
1,70,0.003,0.008,0.102
1,71,0.019,0.035,0.082
1,72,0.016,0.032,0.084
1,73,0.006,0.014,0.095
1,74,0.016,0.03,0.085
1,75,0.011,0.023,0.09
1,76,0.015,0.029,0.086
1,77,0.03,0.053,0.077
1,78,0.014,0.028,0.087
1,79,0.016,0.031,0.086
1,80,0.037,0.064,0.074
1,81,0.054,0.088,0.069
1,82,0.032,0.056,0.077
1,83,0.024,0.044,0.081
1,84,0.039,0.066,0.075
1,85,0.035,0.06,0.076
1,86,0.028,0.049,0.08
1,87,0.058,0.093,0.069
1,88,0.032,0.056,0.078
1,89,0.033,0.058,0.078
1,90,0.013,0.025,0.091
1,91,0.023,0.043,0.083
1,92,0.024,0.043,0.084
1,93,0.012,0.025,0.093
1,94,0.016,0.032,0.089
1,95,0.027,0.049,0.082
1,96,0.014,0.028,0.091
1,97,0.004,0.009,0.107
