slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.018,0.033,0.089
1,101,0.015,0.03,0.091
1,102,0.015,0.029,0.091
1,103,0.018,0.034,0.09
1,104,0.04,0.068,0.078
1,105,0.041,0.069,0.078
1,106,0.031,0.055,0.082
1,107,0.023,0.042,0.087
1,108,0.037,0.063,0.08
1,109,0.024,0.044,0.087
1,110,0.019,0.035,0.09
1,111,0.021,0.04,0.089
1,112,0.019,0.036,0.09
1,113,0.009,0.019,0.101
1,114,0.005,0.011,0.11
1,115,0.009,0.019,0.102
1,116,0.046,0.077,0.078
1,117,0.027,0.049,0.087
1,118,0.009,0.019,0.103
1,119,0.018,0.033,0.093
1,120,0.028,0.051,0.087
1,121,0.021,0.039,0.092
1,122,0.022,0.04,0.091
1,123,0.009,0.02,0.103
1,124,0.035,0.061,0.084
1,125,0.031,0.054,0.086
1,126,0.032,0.057,0.086
1,127,0.048,0.079,0.079
1,128,0.028,0.049,0.088
1,129,0.028,0.05,0.088
1,130,0.049,0.08,0.079
1,131,0.032,0.056,0.086
1,132,0.029,0.051,0.088
1,133,0.018,0.035,0.095
1,134,0.026,0.048,0.09
1,135,0.035,0.06,0.085
1,136,0.049,0.081,0.08
1,137,0.035,0.06,0.086
1,138,0.03,0.054,0.089
1,139,0.02,0.037,0.096
1,140,0.009,0.019,0.107
1,141,0.013,0.026,0.102
1,142,0.023,0.042,0.094
1,143,0.013,0.026,0.102
1,144,0.012,0.024,0.104
1,145,0.01,0.021,0.106
1,146,0.016,0.032,0.1
1,147,0.019,0.035,0.098
1,148,0.018,0.033,0.099
1,149,0.009,0.02,0.108
1,150,0.015,0.029,0.102
1,151,0.022,0.041,0.096
1,152,0.037,0.063,0.088
1,153,0.034,0.059,0.089
1,154,0.048,0.08,0.083
1,155,0.054,0.088,0.082
1,156,0.04,0.069,0.087
1,157,0.054,0.088,0.082
1,158,0.039,0.066,0.088
1,159,0.055,0.089,0.082
1,160,0.023,0.042,0.098
1,161,0.047,0.079,0.086
1,162,0.054,0.087,0.084
1,163,0.049,0.081,0.086
1,164,0.03,0.053,0.095
1,165,0.025,0.045,0.098
1,166,0.056,0.09,0.084
1,167,0.04,0.068,0.091
1,168,0.032,0.056,0.095
1,169,0.058,0.094,0.084
1,170,0.046,0.077,0.089
1,171,0.074,0.114,0.08
1,172,0.068,0.107,0.083
1,173,0.079,0.122,0.08
1,174,0.045,0.076,0.091
1,175,0.058,0.093,0.087
1,176,0.041,0.07,0.094
1,177,0.072,0.113,0.083
1,178,0.093,0.139,0.078
1,179,0.066,0.104,0.086
1,180,0.08,0.122,0.082
1,181,0.054,0.088,0.091
1,182,0.081,0.125,0.082
1,183,0.101,0.151,0.078
1,184,0.155,0.217,0.068
1,185,0.21,0.28,0.061
1,186,0.135,0.192,0.073
1,187,0.158,0.221,0.069
1,188,0.173,0.238,0.067
1,189,0.22,0.292,0.06
1,190,0.195,0.264,0.064
1,191,0.188,0.255,0.065
1,192,0.155,0.216,0.071
1,193,0.199,0.269,0.064
1,194,0.193,0.262,0.066
1,195,0.374,0.457,0.045
1,196,0.371,0.454,0.046
1,197,0.283,0.362,0.055
1,198,0.232,0.306,0.062
1,199,0.196,0.265,0.067
1,200,0.197,0.266,0.067
1,201,0.229,0.302,0.063
1,202,0.194,0.263,0.068
1,203,0.213,0.284,0.065
1,204,0.213,0.284,0.066
1,205,0.303,0.383,0.055
1,206,0.295,0.375,0.056
1,207,0.331,0.413,0.052
1,208,0.269,0.346,0.059
1,209,0.362,0.445,0.049
1,210,0.315,0.396,0.054
1,211,0.406,0.489,0.045
1,212,0.485,0.566,0.038
1,213,0.341,0.423,0.052
1,214,0.416,0.499,0.044
1,215,0.425,0.508,0.044
1,216,0.35,0.432,0.052
1,217,0.306,0.386,0.057
1,218,0.287,0.365,0.059
1,219,0.249,0.325,0.064
1,220,0.283,0.362,0.06
1,221,0.279,0.357,0.061
1,222,0.304,0.383,0.058
1,223,0.184,0.251,0.075
1,224,0.163,0.226,0.079
1,39,0.016,0.03,0.08
1,40,0.006,0.013,0.091
1,41,0.016,0.031,0.08
1,42,0.014,0.028,0.081
1,43,0.011,0.023,0.084
1,44,0.035,0.06,0.07
1,45,0.008,0.017,0.088
1,46,0.042,0.07,0.068
1,47,0.02,0.037,0.078
1,48,0.011,0.022,0.085
1,49,0.013,0.026,0.083
1,50,0.024,0.043,0.075
1,51,0.013,0.026,0.083
1,52,0.039,0.067,0.069
1,53,0.02,0.037,0.078
1,54,0.066,0.104,0.062
1,55,0.016,0.031,0.081
1,56,0.035,0.06,0.071
1,57,0.023,0.041,0.077
1,58,0.016,0.031,0.081
1,59,0.012,0.025,0.085
1,60,0.003,0.007,0.102
1,61,0.006,0.012,0.095
1,62,0.019,0.035,0.08
1,63,0.009,0.02,0.089
1,64,0.007,0.016,0.092
1,65,0.005,0.011,0.097
1,66,0.026,0.047,0.077
1,67,0.012,0.025,0.086
1,68,0.012,0.024,0.087
1,69,0.006,0.013,0.096
1,70,0.006,0.014,0.095
1,71,0.015,0.03,0.085
1,72,0.022,0.041,0.08
1,73,0.008,0.017,0.093
1,74,0.028,0.049,0.077
1,75,0.011,0.023,0.09
1,76,0.016,0.03,0.086
1,77,0.028,0.05,0.078
1,78,0.013,0.026,0.088
1,79,0.019,0.035,0.084
1,80,0.053,0.086,0.069
1,81,0.059,0.095,0.068
1,82,0.038,0.065,0.075
1,83,0.028,0.051,0.079
1,84,0.056,0.091,0.069
1,85,0.051,0.083,0.071
1,86,0.035,0.06,0.077
1,87,0.07,0.11,0.066
1,88,0.041,0.069,0.075
1,89,0.031,0.055,0.079
1,90,0.011,0.023,0.093
1,91,0.031,0.054,0.079
1,92,0.041,0.07,0.075
1,93,0.012,0.025,0.092
1,94,0.02,0.038,0.086
1,95,0.035,0.061,0.078
1,96,0.026,0.047,0.083
1,97,0.01,0.021,0.096
1,98,0.029,0.051,0.082
1,99,0.037,0.063,0.078
10,10,0.031,0.054,0.071
10,100,0.098,0.146,0.062
10,101,0.066,0.105,0.069
10,102,0.058,0.093,0.071
10,103,0.057,0.092,0.072
10,104,0.046,0.077,0.075
10,105,0.046,0.077,0.075
10,106,0.05,0.083,0.074
10,107,0.038,0.065,0.079
10,108,0.057,0.092,0.073
10,109,0.034,0.06,0.081
10,11,0.018,0.035,0.077
10,110,0.035,0.061,0.081
10,111,0.039,0.066,0.079
10,112,0.016,0.031,0.092
10,113,0.023,0.042,0.088
10,114,0.03,0.053,0.084
10,115,0.038,0.065,0.08
10,116,0.041,0.07,0.079
10,117,0.029,0.051,0.085
10,118,0.038,0.065,0.081
10,119,0.028,0.049,0.086
10,12,0.008,0.017,0.087
10,120,0.057,0.092,0.074
10,121,0.059,0.095,0.074
10,122,0.119,0.173,0.061
10,123,0.055,0.09,0.075
10,124,0.047,0.078,0.078
10,125,0.089,0.135,0.067
10,126,0.108,0.159,0.063
10,127,0.066,0.105,0.073
10,128,0.063,0.1,0.074
10,129,0.055,0.089,0.076
10,13,0.006,0.013,0.089
10,130,0.062,0.099,0.074
10,131,0.072,0.112,0.072
10,132,0.047,0.077,0.079
10,133,0.035,0.061,0.084
10,134,0.036,0.062,0.084
10,135,0.031,0.054,0.087
10,136,0.053,0.086,0.078
10,137,0.021,0.039,0.093
10,138,0.015,0.03,0.097
10,139,0.01,0.021,0.103
10,14,0.006,0.014,0.088
10,140,0.022,0.041,0.092
10,141,0.009,0.018,0.106
10,142,0.016,0.031,0.098
10,143,0.014,0.027,0.1
10,144,0.007,0.015,0.11
10,145,0.011,0.023,0.103
10,146,0.015,0.03,0.099
10,147,0.01,0.021,0.104
10,148,0.008,0.017,0.109
10,149,0.017,0.033,0.097
10,15,0.016,0.031,0.078
10,150,0.01,0.02,0.106
10,151,0.008,0.018,0.108
10,152,0.007,0.016,0.11
10,153,0.013,0.025,0.102
10,154,0.018,0.035,0.097
10,155,0.02,0.037,0.096
10,156,0.015,0.028,0.1
10,157,0.014,0.028,0.101
10,158,0.014,0.028,0.101
10,159,0.02,0.038,0.096
10,16,0.012,0.024,0.081
10,160,0.043,0.072,0.084
10,161,0.037,0.063,0.086
10,162,0.013,0.026,0.103
10,163,0.005,0.012,0.115
10,164,0.011,0.022,0.106
10,165,0.021,0.039,0.096
10,166,0.013,0.025,0.103
10,167,0.008,0.017,0.111
10,168,0.018,0.034,0.099
10,169,0.029,0.052,0.091
10,17,0.011,0.022,0.082
10,170,0.031,0.055,0.09
10,171,0.048,0.08,0.083
10,172,0.016,0.031,0.101
10,173,0.017,0.033,0.1
10,174,0.018,0.034,0.099
10,175,0.024,0.043,0.095
10,176,0.017,0.033,0.1
10,177,0.028,0.051,0.093
10,178,0.013,0.025,0.106
10,179,0.006,0.014,0.116
10,18,0.017,0.033,0.076
10,180,0.006,0.014,0.116
10,181,0.007,0.015,0.116
10,182,0.011,0.022,0.11
10,183,0.021,0.039,0.1
10,184,0.017,0.033,0.103
10,185,0.011,0.022,0.111
10,186,0.011,0.023,0.111
10,187,0.011,0.023,0.111
10,188,0.01,0.021,0.113
10,189,0.018,0.035,0.105
10,19,0.004,0.01,0.091
10,190,0.019,0.036,0.105
10,191,0.021,0.04,0.103
10,192,0.02,0.037,0.105
10,193,0.019,0.036,0.107
10,194,0.016,0.03,0.111
10,195,0.027,0.048,0.102
10,196,0.031,0.054,0.1
10,197,0.022,0.041,0.107
10,198,0.017,0.033,0.112
10,199,0.066,0.104,0.087
10,20,0.011,0.023,0.081
10,200,0.056,0.09,0.091
10,201,0.035,0.061,0.101
10,202,0.016,0.032,0.116
10,203,0.028,0.05,0.107
10,204,0.057,0.092,0.093
10,205,0.069,0.108,0.09
10,206,0.05,0.082,0.098
10,207,0.051,0.084,0.098
10,208,0.053,0.087,0.097
10,209,0.067,0.105,0.093
10,21,0.006,0.014,0.087
10,210,0.072,0.113,0.092
10,211,0.054,0.087,0.1
10,212,0.083,0.127,0.09
10,213,0.113,0.166,0.083
10,214,0.069,0.109,0.096
10,215,0.099,0.148,0.088
10,216,0.105,0.155,0.087
10,217,0.05,0.082,0.106
10,218,0.115,0.167,0.086
10,219,0.096,0.143,0.091
10,22,0.009,0.019,0.083
10,220,0.088,0.134,0.094
10,221,0.082,0.126,0.096
10,222,0.088,0.134,0.096
10,223,0.07,0.11,0.102
10,224,0.079,0.122,0.099
10,225,0.076,0.118,0.101
10,226,0.046,0.077,0.114
10,227,0.1,0.149,0.095
10,228,0.063,0.1,0.107
10,229,0.062,0.099,0.108
10,23,0.008,0.017,0.085
10,230,0.05,0.082,0.114
10,231,0.053,0.087,0.113
10,232,0.058,0.093,0.112
10,233,0.062,0.098,0.11
10,234,0.091,0.137,0.101
10,235,0.083,0.127,0.103
10,236,0.051,0.084,0.117
10,237,0.041,0.069,0.123
10,238,0.05,0.082,0.118
10,239,0.05,0.082,0.119
10,24,0.006,0.014,0.087
10,240,0.053,0.087,0.118
10,241,0.041,0.07,0.125
10,242,0.054,0.088,0.118
10,243,0.034,0.059,0.131
10,244,0.017,0.033,0.148
10,245,0.023,0.042,0.142
10,246,0.027,0.048,0.138
10,247,0.019,0.037,0.147
10,248,0.012,0.024,0.159
10,249,0.019,0.037,0.149
10,25,0.025,0.046,0.072
10,250,0.03,0.053,0.14
10,251,0.034,0.058,0.137
10,26,0.003,0.008,0.095
10,27,0.022,0.04,0.074
10,28,0.014,0.027,0.079
10,29,0.008,0.017,0.085
10,30,0.006,0.014,0.088
10,31,0.007,0.014,0.087
10,32,0.031,0.054,0.069
10,33,0.023,0.043,0.073
10,34,0.007,0.016,0.086
10,35,0.02,0.038,0.075
10,36,0.08,0.123,0.056
10,37,0.031,0.055,0.07
10,38,0.012,0.024,0.081
10,39,0.014,0.028,0.079
10,40,0.01,0.02,0.083
10,41,0.008,0.018,0.086
10,42,0.029,0.052,0.071
10,43,0.013,0.026,0.081
10,44,0.008,0.017,0.086
10,45,0.01,0.021,0.084
10,46,0.011,0.023,0.083
10,47,0.005,0.011,0.093
10,48,0.002,0.006,0.1
10,49,0.007,0.015,0.089
10,50,0.006,0.012,0.092
10,51,0.003,0.007,0.098
10,52,0.002,0.005,0.103
10,53,0.003,0.008,0.097
10,54,0.006,0.012,0.092
10,55,0.004,0.009,0.096
10,56,0.007,0.016,0.089
10,57,0.009,0.018,0.087
10,58,0.007,0.016,0.089
10,59,0.004,0.009,0.097
10,60,0.002,0.005,0.103
10,61,0.001,0.003,0.11
10,62,0.006,0.013,0.093
10,63,0.01,0.02,0.087
10,64,0.005,0.012,0.094
10,65,0.002,0.006,0.102
10,66,0.002,0.005,0.106
10,67,0.001,0.004,0.109
10,68,0.009,0.019,0.089
10,69,0.008,0.017,0.091
10,7,0.002,0.006,0.104
10,70,0.003,0.007,0.103
10,71,0.009,0.019,0.09
10,72,0.005,0.012,0.097
10,73,0.004,0.009,0.1
10,74,0.025,0.045,0.078
10,75,0.015,0.03,0.084
10,76,0.014,0.027,0.086
10,77,0.009,0.018,0.092
10,78,0.009,0.019,0.092
10,79,0.008,0.017,0.093
10,8,0.007,0.015,0.091
10,80,0.022,0.041,0.081
10,81,0.064,0.102,0.066
10,82,0.018,0.034,0.084
10,83,0.007,0.016,0.096
10,84,0.015,0.03,0.087
10,85,0.018,0.034,0.085
10,86,0.015,0.029,0.088
10,87,0.036,0.062,0.076
10,88,0.072,0.113,0.065
10,89,0.072,0.112,0.066
10,9,0.015,0.029,0.081
10,90,0.041,0.07,0.075
10,91,0.066,0.104,0.067
10,92,0.053,0.086,0.071
