slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.262,0.339,0.042
1,101,0.18,0.246,0.05
1,102,0.226,0.299,0.046
1,103,0.276,0.353,0.041
1,104,0.174,0.239,0.052
1,105,0.153,0.214,0.054
1,106,0.127,0.183,0.058
1,107,0.251,0.327,0.044
1,108,0.213,0.285,0.048
1,109,0.174,0.239,0.052
1,110,0.203,0.273,0.049
1,111,0.257,0.334,0.044
1,112,0.154,0.216,0.055
1,113,0.171,0.236,0.053
1,114,0.213,0.284,0.048
1,115,0.123,0.178,0.06
1,116,0.087,0.132,0.067
1,117,0.135,0.193,0.059
1,118,0.246,0.321,0.046
1,119,0.2,0.27,0.05
1,120,0.106,0.157,0.064
1,121,0.083,0.127,0.069
1,122,0.099,0.148,0.065
1,123,0.084,0.128,0.069
1,124,0.077,0.119,0.071
1,125,0.099,0.147,0.066
1,126,0.063,0.101,0.074
1,127,0.033,0.058,0.085
1,128,0.032,0.057,0.086
1,129,0.055,0.09,0.077
1,130,0.046,0.076,0.08
1,131,0.034,0.059,0.085
1,132,0.041,0.069,0.082
1,133,0.042,0.07,0.082
1,134,0.051,0.083,0.079
1,135,0.025,0.045,0.091
1,136,0.024,0.044,0.092
1,137,0.038,0.066,0.084
1,138,0.037,0.063,0.086
1,139,0.037,0.064,0.085
1,140,0.039,0.066,0.085
1,141,0.033,0.058,0.087
1,142,0.03,0.053,0.09
1,143,0.026,0.048,0.092
1,144,0.033,0.057,0.088
1,145,0.036,0.062,0.087
1,146,0.018,0.034,0.098
1,147,0.013,0.025,0.104
1,148,0.014,0.028,0.102
1,149,0.03,0.053,0.091
1,150,0.016,0.031,0.1
1,151,0.012,0.023,0.106
1,152,0.021,0.038,0.097
1,153,0.03,0.053,0.091
1,154,0.01,0.02,0.109
1,155,0.014,0.027,0.105
1,156,0.027,0.049,0.094
1,157,0.016,0.03,0.103
1,158,0.034,0.059,0.091
1,159,0.026,0.046,0.096
1,160,0.029,0.051,0.094
1,161,0.036,0.063,0.09
1,162,0.036,0.062,0.091
1,163,0.038,0.065,0.09
1,164,0.049,0.081,0.086
1,165,0.052,0.085,0.085
1,166,0.05,0.082,0.086
1,167,0.071,0.111,0.08
1,168,0.052,0.085,0.086
1,169,0.093,0.14,0.075
1,170,0.061,0.098,0.084
1,171,0.04,0.068,0.092
1,172,0.071,0.111,0.082
1,173,0.092,0.139,0.077
1,174,0.113,0.165,0.073
1,175,0.125,0.18,0.071
1,176,0.163,0.226,0.064
1,177,0.167,0.231,0.064
1,178,0.204,0.274,0.059
1,179,0.148,0.209,0.068
1,180,0.166,0.23,0.065
1,181,0.198,0.268,0.061
1,182,0.134,0.191,0.071
1,183,0.221,0.293,0.058
1,184,0.204,0.274,0.061
1,185,0.158,0.221,0.068
1,186,0.183,0.25,0.065
1,187,0.255,0.331,0.056
1,188,0.155,0.217,0.07
1,189,0.187,0.255,0.065
1,190,0.194,0.263,0.064
1,191,0.285,0.363,0.053
1,192,0.201,0.271,0.064
1,193,0.268,0.345,0.056
1,194,0.265,0.341,0.056
1,195,0.197,0.266,0.065
1,196,0.163,0.226,0.071
1,197,0.182,0.249,0.068
1,198,0.271,0.349,0.057
1,199,0.234,0.307,0.062
1,200,0.176,0.242,0.07
1,201,0.178,0.244,0.07
1,202,0.177,0.243,0.071
1,203,0.213,0.284,0.066
1,204,0.193,0.261,0.069
1,205,0.17,0.234,0.073
1,206,0.115,0.168,0.084
1,207,0.139,0.198,0.079
1,208,0.152,0.213,0.077
1,209,0.121,0.175,0.083
1,210,0.147,0.207,0.078
1,211,0.089,0.134,0.092
1,212,0.088,0.133,0.093
1,213,0.053,0.086,0.106
1,214,0.09,0.136,0.093
1,215,0.089,0.135,0.094
1,216,0.067,0.105,0.101
1,217,0.063,0.1,0.103
1,218,0.069,0.108,0.101
1,219,0.087,0.132,0.095
1,220,0.062,0.099,0.104
1,221,0.09,0.136,0.095
1,222,0.063,0.101,0.105
1,223,0.088,0.133,0.096
1,224,0.094,0.141,0.095
1,39,0.394,0.477,0.028
1,40,0.578,0.654,0.018
1,41,0.38,0.463,0.029
1,42,0.449,0.531,0.025
1,43,0.341,0.423,0.032
1,44,0.322,0.403,0.033
1,45,0.231,0.304,0.04
1,46,0.213,0.284,0.041
1,47,0.479,0.561,0.024
1,48,0.374,0.457,0.03
1,49,0.374,0.456,0.03
1,50,0.463,0.545,0.024
1,51,0.375,0.458,0.03
1,52,0.222,0.295,0.041
1,53,0.393,0.477,0.029
1,54,0.337,0.418,0.032
1,55,0.287,0.366,0.036
1,56,0.209,0.28,0.042
1,57,0.297,0.377,0.035
1,58,0.269,0.346,0.037
1,59,0.335,0.416,0.033
1,60,0.592,0.667,0.018
1,61,0.261,0.338,0.038
1,62,0.47,0.553,0.025
1,63,0.569,0.645,0.019
1,64,0.5,0.582,0.023
1,65,0.747,0.802,0.011
1,66,0.497,0.578,0.023
1,67,0.845,0.882,0.007
1,68,0.742,0.797,0.011
1,69,0.843,0.88,0.007
1,70,0.695,0.757,0.014
1,71,0.514,0.594,0.023
1,72,0.446,0.529,0.027
1,73,0.71,0.77,0.013
1,74,0.606,0.679,0.018
1,75,0.391,0.474,0.03
1,76,0.453,0.536,0.027
1,77,0.567,0.644,0.02
1,78,0.194,0.262,0.046
1,79,0.423,0.506,0.029
1,80,0.372,0.455,0.032
1,81,0.227,0.301,0.043
1,82,0.237,0.311,0.043
1,83,0.25,0.326,0.041
1,84,0.223,0.295,0.044
1,85,0.105,0.156,0.059
1,86,0.169,0.234,0.05
1,87,0.16,0.222,0.051
1,88,0.21,0.281,0.046
1,89,0.167,0.231,0.051
1,90,0.242,0.316,0.043
1,91,0.229,0.303,0.044
1,92,0.166,0.23,0.051
1,93,0.186,0.253,0.049
1,94,0.232,0.306,0.044
1,95,0.166,0.23,0.052
1,96,0.265,0.343,0.042
1,97,0.203,0.273,0.047
1,98,0.237,0.311,0.044
1,99,0.159,0.221,0.053
10,10,0.54,0.618,0.02
10,100,0.009,0.019,0.098
10,101,0.019,0.035,0.088
10,102,0.05,0.082,0.074
10,103,0.027,0.049,0.083
10,104,0.038,0.065,0.078
10,105,0.027,0.048,0.084
10,106,0.038,0.065,0.079
10,107,0.065,0.102,0.07
10,108,0.096,0.143,0.064
10,109,0.115,0.168,0.06
10,11,0.445,0.528,0.025
10,110,0.075,0.116,0.068
10,111,0.103,0.153,0.063
10,112,0.074,0.115,0.069
10,113,0.084,0.129,0.067
10,114,0.048,0.079,0.076
10,115,0.019,0.035,0.091
10,116,0.037,0.064,0.081
10,117,0.069,0.109,0.071
10,118,0.047,0.078,0.077
10,119,0.038,0.064,0.081
10,12,0.454,0.537,0.024
10,120,0.022,0.041,0.089
10,121,0.045,0.075,0.078
10,122,0.046,0.077,0.078
10,123,0.047,0.078,0.078
10,124,0.033,0.057,0.084
10,125,0.025,0.045,0.089
10,126,0.014,0.027,0.097
10,127,0.011,0.022,0.101
10,128,0.016,0.03,0.096
10,129,0.018,0.035,0.094
10,13,0.541,0.62,0.02
10,130,0.018,0.035,0.094
10,131,0.028,0.05,0.088
10,132,0.018,0.034,0.095
10,133,0.029,0.052,0.087
10,134,0.027,0.048,0.089
10,135,0.027,0.048,0.089
10,136,0.016,0.031,0.097
10,137,0.046,0.077,0.08
10,138,0.061,0.097,0.075
10,139,0.062,0.098,0.075
10,14,0.443,0.526,0.025
10,140,0.058,0.094,0.077
10,141,0.057,0.091,0.077
10,142,0.049,0.081,0.08
10,143,0.047,0.078,0.081
10,144,0.077,0.119,0.072
10,145,0.097,0.145,0.068
10,146,0.063,0.101,0.076
10,147,0.081,0.125,0.071
10,148,0.066,0.104,0.075
10,149,0.071,0.111,0.074
10,15,0.305,0.385,0.033
10,150,0.054,0.088,0.079
10,151,0.04,0.068,0.084
10,152,0.027,0.049,0.091
10,153,0.015,0.029,0.1
10,154,0.01,0.021,0.105
10,155,0.013,0.026,0.102
10,156,0.008,0.017,0.109
10,157,0.006,0.012,0.114
10,158,0.013,0.025,0.103
10,159,0.012,0.025,0.103
10,16,0.607,0.68,0.017
10,160,0.007,0.016,0.111
10,161,0.007,0.016,0.111
10,162,0.018,0.035,0.097
10,163,0.026,0.048,0.092
10,164,0.019,0.035,0.097
10,165,0.042,0.07,0.084
10,166,0.034,0.058,0.088
10,167,0.039,0.067,0.086
10,168,0.048,0.079,0.082
10,169,0.033,0.058,0.089
10,17,0.316,0.397,0.032
10,170,0.04,0.069,0.086
10,171,0.024,0.044,0.094
10,172,0.033,0.058,0.089
10,173,0.057,0.091,0.08
10,174,0.069,0.109,0.076
10,175,0.035,0.06,0.089
10,176,0.034,0.059,0.09
10,177,0.107,0.158,0.068
10,178,0.083,0.127,0.074
10,179,0.111,0.162,0.068
10,18,0.329,0.411,0.031
10,180,0.118,0.172,0.067
10,181,0.146,0.205,0.063
10,182,0.093,0.14,0.072
10,183,0.056,0.09,0.083
10,184,0.064,0.102,0.08
10,185,0.072,0.112,0.079
10,186,0.123,0.177,0.068
10,187,0.116,0.169,0.069
10,188,0.161,0.224,0.062
10,189,0.204,0.274,0.057
10,19,0.404,0.487,0.027
10,190,0.178,0.244,0.06
10,191,0.181,0.247,0.06
10,192,0.156,0.218,0.064
10,193,0.183,0.25,0.061
10,194,0.149,0.209,0.066
10,195,0.109,0.161,0.074
10,196,0.181,0.247,0.062
10,197,0.3,0.38,0.049
10,198,0.424,0.507,0.038
10,199,0.21,0.281,0.059
10,20,0.604,0.678,0.017
10,200,0.259,0.335,0.054
10,201,0.382,0.465,0.042
10,202,0.4,0.483,0.041
10,203,0.343,0.425,0.046
10,204,0.301,0.381,0.051
10,205,0.263,0.34,0.055
10,206,0.224,0.296,0.061
10,207,0.255,0.331,0.057
10,208,0.278,0.356,0.055
10,209,0.255,0.331,0.058
10,21,0.373,0.456,0.029
10,210,0.221,0.293,0.063
