slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.043,0.072,-0.073
1,101,0.023,0.041,-0.083
1,102,0.032,0.056,-0.078
1,103,0.044,0.073,-0.074
1,104,0.054,0.088,-0.071
1,105,0.038,0.065,-0.076
1,106,0.045,0.076,-0.074
1,107,0.011,0.023,-0.094
1,108,0.013,0.026,-0.092
1,109,0.028,0.05,-0.082
1,110,0.023,0.043,-0.084
1,111,0.035,0.061,-0.079
1,112,0.012,0.025,-0.094
1,113,0.023,0.042,-0.085
1,114,0.008,0.018,-0.099
1,115,0.009,0.019,-0.099
1,116,0.044,0.074,-0.076
1,117,0.039,0.067,-0.078
1,118,0.032,0.056,-0.081
1,119,0.056,0.09,-0.073
1,120,0.028,0.049,-0.084
1,121,0.025,0.045,-0.086
1,122,0.044,0.074,-0.077
1,123,0.024,0.044,-0.087
1,124,0.025,0.046,-0.086
1,125,0.061,0.098,-0.072
1,126,0.037,0.064,-0.081
1,127,0.062,0.098,-0.072
1,128,0.031,0.054,-0.084
1,129,0.036,0.063,-0.081
1,130,0.033,0.057,-0.083
1,131,0.065,0.103,-0.072
1,132,0.074,0.115,-0.07
1,133,0.05,0.082,-0.077
1,134,0.049,0.081,-0.077
1,135,0.039,0.067,-0.081
1,136,0.071,0.11,-0.071
1,137,0.056,0.09,-0.075
1,138,0.058,0.093,-0.075
1,139,0.028,0.05,-0.087
1,140,0.055,0.089,-0.076
1,141,0.09,0.136,-0.067
1,142,0.118,0.172,-0.062
1,143,0.062,0.099,-0.075
1,144,0.076,0.118,-0.071
1,145,0.037,0.063,-0.084
1,146,0.099,0.148,-0.066
1,147,0.091,0.137,-0.068
1,148,0.052,0.085,-0.079
1,149,0.052,0.086,-0.078
1,150,0.064,0.101,-0.075
1,151,0.035,0.061,-0.085
1,152,0.054,0.087,-0.078
1,153,0.078,0.121,-0.072
1,154,0.115,0.168,-0.064
1,155,0.169,0.234,-0.057
1,156,0.188,0.256,-0.054
1,157,0.101,0.15,-0.068
1,158,0.118,0.171,-0.065
1,159,0.128,0.184,-0.063
1,160,0.152,0.213,-0.06
1,161,0.075,0.116,-0.074
1,162,0.093,0.139,-0.071
1,163,0.099,0.147,-0.07
1,164,0.082,0.126,-0.073
1,165,0.077,0.119,-0.075
1,166,0.09,0.137,-0.072
1,167,0.079,0.121,-0.075
1,168,0.085,0.13,-0.074
1,169,0.071,0.111,-0.078
1,170,0.071,0.111,-0.078
1,171,0.054,0.088,-0.084
1,172,0.047,0.078,-0.087
1,173,0.059,0.095,-0.083
1,174,0.068,0.107,-0.081
1,175,0.088,0.133,-0.076
1,176,0.066,0.104,-0.082
1,177,0.077,0.119,-0.079
1,178,0.056,0.09,-0.086
1,179,0.106,0.156,-0.073
1,180,0.076,0.118,-0.081
1,181,0.068,0.107,-0.083
1,182,0.046,0.077,-0.091
1,183,0.062,0.098,-0.086
1,184,0.056,0.09,-0.089
1,185,0.057,0.092,-0.089
1,186,0.06,0.096,-0.088
1,187,0.038,0.065,-0.098
1,188,0.025,0.046,-0.106
1,189,0.024,0.043,-0.108
1,190,0.013,0.026,-0.119
1,191,0.019,0.035,-0.113
1,192,0.022,0.041,-0.11
1,193,0.022,0.04,-0.111
1,194,0.016,0.031,-0.118
1,195,0.02,0.037,-0.114
1,196,0.052,0.085,-0.096
