slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.578,0.654,0.022
1,101,0.547,0.625,0.024
1,102,0.695,0.757,0.015
1,103,0.716,0.775,0.014
1,104,0.532,0.612,0.025
1,105,0.537,0.616,0.024
1,106,0.51,0.59,0.026
1,107,0.753,0.807,0.013
1,108,0.672,0.737,0.017
1,109,0.606,0.679,0.021
1,110,0.596,0.67,0.021
1,111,0.788,0.835,0.011
1,112,0.663,0.73,0.018
1,113,0.581,0.656,0.022
1,114,0.665,0.731,0.018
1,115,0.556,0.633,0.024
1,116,0.434,0.517,0.032
1,117,0.587,0.662,0.022
1,118,0.693,0.756,0.016
1,119,0.698,0.76,0.016
1,120,0.533,0.612,0.026
1,121,0.538,0.616,0.025
1,122,0.573,0.649,0.023
1,123,0.511,0.591,0.027
1,124,0.593,0.667,0.022
1,125,0.628,0.699,0.02
1,126,0.403,0.487,0.035
1,127,0.369,0.451,0.038
1,128,0.286,0.365,0.045
1,129,0.379,0.462,0.037
1,130,0.409,0.492,0.035
1,131,0.292,0.371,0.044
1,132,0.318,0.399,0.042
1,133,0.375,0.458,0.037
1,134,0.445,0.528,0.032
1,135,0.277,0.355,0.046
1,136,0.305,0.385,0.043
1,137,0.332,0.414,0.041
1,138,0.376,0.458,0.038
1,139,0.38,0.463,0.037
1,140,0.351,0.433,0.04
1,141,0.353,0.436,0.04
1,142,0.346,0.428,0.041
1,143,0.379,0.462,0.038
1,144,0.454,0.537,0.032
1,145,0.388,0.471,0.037
1,146,0.348,0.43,0.041
1,147,0.267,0.344,0.048
1,148,0.243,0.317,0.051
1,149,0.325,0.406,0.043
1,150,0.266,0.343,0.048
1,151,0.252,0.328,0.05
1,152,0.353,0.435,0.041
1,153,0.436,0.519,0.034
1,154,0.205,0.275,0.056
1,155,0.244,0.319,0.052
1,156,0.361,0.443,0.041
1,157,0.203,0.273,0.057
1,158,0.333,0.415,0.043
1,159,0.273,0.35,0.049
1,160,0.283,0.362,0.048
1,161,0.412,0.495,0.037
1,162,0.37,0.453,0.04
1,163,0.345,0.427,0.043
1,164,0.419,0.503,0.037
1,165,0.374,0.457,0.041
1,166,0.485,0.567,0.032
1,167,0.554,0.631,0.027
1,168,0.457,0.54,0.034
1,169,0.683,0.747,0.019
1,170,0.538,0.617,0.029
1,171,0.559,0.636,0.027
1,172,0.663,0.73,0.021
1,173,0.789,0.836,0.013
1,174,0.737,0.793,0.016
1,175,0.697,0.759,0.019
1,176,0.825,0.866,0.011
1,177,0.847,0.883,0.009
1,178,0.945,0.959,-0.003
1,179,0.945,0.959,0.003
1,180,0.939,0.954,0.004
1,181,0.969,0.977,0.002
1,182,0.817,0.859,0.011
1,183,0.951,0.963,-0.003
1,184,0.982,0.987,0.001
1,185,0.984,0.988,-0.001
1,186,0.843,0.88,-0.01
1,187,0.676,0.741,-0.021
1,188,0.935,0.951,-0.004
1,189,0.937,0.953,-0.004
1,190,0.993,0.995,-0.0
1,191,0.756,0.808,-0.016
1,192,0.853,0.887,-0.01
1,193,0.662,0.729,-0.023
1,194,0.657,0.724,-0.023
1,195,0.791,0.838,-0.014
1,196,0.848,0.884,-0.01
1,197,0.763,0.815,-0.016
1,198,0.634,0.704,-0.026
1,199,0.799,0.844,-0.014
1,200,0.897,0.922,-0.007
1,201,0.826,0.866,-0.012
1,202,0.855,0.889,-0.01
1,203,0.831,0.87,-0.012
1,204,0.885,0.913,-0.008
1,205,0.905,0.928,0.007
