slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.966,0.975,0.002
1,101,0.893,0.919,0.005
1,102,0.88,0.909,-0.006
1,103,0.877,0.907,-0.006
1,104,0.896,0.921,0.005
1,105,0.877,0.907,0.006
1,106,0.855,0.889,0.007
1,107,0.851,0.886,-0.007
1,108,0.968,0.976,-0.002
1,109,0.969,0.977,0.002
1,110,0.941,0.956,0.003
1,111,0.84,0.878,-0.008
1,112,0.978,0.983,-0.001
1,113,0.941,0.956,0.003
1,114,0.937,0.953,-0.003
1,115,0.942,0.957,0.003
1,116,0.792,0.839,0.011
1,117,0.962,0.972,0.002
1,118,0.889,0.916,-0.006
1,119,0.9,0.925,-0.005
1,120,0.925,0.944,0.004
1,121,0.902,0.926,0.005
1,122,0.96,0.97,0.002
1,123,0.91,0.932,0.005
1,124,0.992,0.994,0.0
1,125,0.978,0.984,-0.001
1,126,0.785,0.833,0.011
1,127,0.698,0.76,0.016
1,128,0.582,0.657,0.023
1,129,0.733,0.789,0.014
1,130,0.744,0.799,0.014
1,131,0.605,0.678,0.021
1,132,0.649,0.718,0.019
1,133,0.716,0.775,0.015
1,134,0.789,0.836,0.011
1,135,0.554,0.632,0.025
1,136,0.568,0.645,0.024
1,137,0.641,0.71,0.02
1,138,0.704,0.765,0.016
1,139,0.744,0.799,0.014
1,140,0.717,0.776,0.015
1,141,0.682,0.746,0.017
1,142,0.659,0.726,0.019
1,143,0.667,0.733,0.018
1,144,0.804,0.848,0.011
1,145,0.737,0.793,0.014
1,146,0.663,0.73,0.019
1,147,0.536,0.615,0.027
1,148,0.506,0.587,0.029
1,149,0.63,0.7,0.021
1,150,0.532,0.611,0.027
1,151,0.511,0.591,0.028
1,152,0.652,0.72,0.02
1,153,0.749,0.803,0.014
1,154,0.415,0.498,0.036
1,155,0.471,0.554,0.032
1,156,0.651,0.719,0.02
1,157,0.404,0.487,0.037
1,158,0.61,0.682,0.023
1,159,0.533,0.612,0.028
1,160,0.573,0.649,0.025
1,161,0.717,0.776,0.016
1,162,0.655,0.722,0.02
1,163,0.619,0.691,0.022
1,164,0.699,0.761,0.017
1,165,0.66,0.727,0.02
1,166,0.778,0.827,0.013
1,167,0.844,0.88,0.009
