slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.521,0.601,0.024
1,101,0.513,0.594,0.024
1,102,0.86,0.893,0.007
1,103,0.533,0.613,0.024
1,104,0.556,0.634,0.022
1,105,0.546,0.624,0.023
1,106,0.682,0.746,0.016
1,107,0.718,0.777,0.014
1,108,0.584,0.66,0.021
1,109,0.535,0.614,0.024
1,110,0.615,0.687,0.019
1,111,0.677,0.742,0.016
1,112,0.811,0.854,0.009
1,113,0.635,0.705,0.018
1,114,0.909,0.932,0.004
1,115,0.953,0.965,0.002
1,116,0.85,0.886,0.007
1,117,0.819,0.86,0.009
1,118,0.718,0.777,0.014
1,119,0.855,0.89,0.007
1,120,0.711,0.771,0.015
1,121,0.672,0.737,0.017
1,122,0.581,0.657,0.022
1,123,0.869,0.9,0.007
1,124,0.729,0.786,0.014
1,125,0.766,0.817,0.012
1,126,0.551,0.629,0.024
1,127,0.497,0.578,0.027
1,128,0.454,0.536,0.03
1,129,0.417,0.501,0.032
1,130,0.402,0.485,0.034
1,131,0.406,0.49,0.033
1,132,0.494,0.576,0.027
1,133,0.545,0.624,0.024
1,134,0.654,0.722,0.018
1,135,0.584,0.66,0.022
1,136,0.441,0.524,0.031
1,137,0.361,0.444,0.037
1,138,0.285,0.364,0.044
1,139,0.412,0.495,0.034
1,140,0.282,0.36,0.044
1,141,0.203,0.273,0.052
1,142,0.2,0.27,0.053
1,143,0.192,0.261,0.054
1,144,0.186,0.253,0.055
1,145,0.195,0.264,0.054
1,146,0.182,0.248,0.055
1,147,0.111,0.163,0.066
1,148,0.133,0.19,0.063
1,149,0.142,0.201,0.061
1,150,0.214,0.285,0.052
1,151,0.268,0.346,0.046
1,152,0.178,0.244,0.056
1,153,0.145,0.204,0.061
1,154,0.173,0.238,0.057
1,155,0.112,0.164,0.067
1,156,0.078,0.121,0.075
1,157,0.091,0.138,0.072
1,158,0.129,0.186,0.065
1,159,0.126,0.182,0.065
1,160,0.127,0.182,0.066
1,161,0.111,0.163,0.069
1,162,0.113,0.166,0.068
1,163,0.087,0.132,0.074
1,164,0.068,0.107,0.08
1,165,0.065,0.103,0.081
1,166,0.11,0.162,0.07
1,167,0.092,0.138,0.074
1,168,0.121,0.175,0.069
1,169,0.19,0.258,0.058
1,170,0.152,0.213,0.064
1,171,0.22,0.292,0.055
1,172,0.166,0.229,0.063
1,173,0.246,0.321,0.053
1,174,0.188,0.256,0.06
1,175,0.265,0.342,0.051
1,176,0.336,0.418,0.044
1,177,0.313,0.394,0.047
1,178,0.311,0.392,0.047
1,179,0.331,0.412,0.045
1,180,0.479,0.561,0.033
1,181,0.455,0.538,0.035
1,182,0.405,0.488,0.039
1,183,0.343,0.425,0.045
1,184,0.372,0.455,0.043
1,185,0.453,0.536,0.036
1,186,0.485,0.567,0.034
1,187,0.519,0.599,0.031
1,188,0.506,0.587,0.033
1,189,0.478,0.56,0.035
1,190,0.488,0.57,0.034
1,191,0.403,0.486,0.041
1,192,0.417,0.5,0.04
1,193,0.334,0.415,0.048
1,194,0.519,0.599,0.033
1,195,0.648,0.717,0.023
1,196,0.347,0.429,0.048
1,197,0.429,0.512,0.04
1,198,0.381,0.464,0.045
1,199,0.494,0.575,0.035
1,200,0.41,0.494,0.043
1,201,0.484,0.565,0.036
1,202,0.644,0.713,0.024
1,203,0.488,0.57,0.036
1,204,0.336,0.418,0.051
1,205,0.428,0.511,0.042
1,206,0.401,0.484,0.045
1,207,0.602,0.675,0.028
1,208,0.566,0.643,0.031
1,209,0.428,0.511,0.043
1,210,0.541,0.62,0.033
1,211,0.385,0.468,0.047
1,212,0.473,0.556,0.039
1,213,0.509,0.59,0.036
1,214,0.398,0.482,0.046
1,215,0.42,0.503,0.044
1,216,0.497,0.579,0.037
1,217,0.394,0.477,0.047
1,218,0.32,0.401,0.055
1,219,0.298,0.377,0.058
1,220,0.264,0.341,0.062
1,221,0.401,0.485,0.047
1,222,0.347,0.429,0.053
1,223,0.319,0.4,0.056
1,224,0.26,0.336,0.064
1,39,0.165,0.229,0.046
1,40,0.248,0.323,0.038
1,41,0.116,0.169,0.052
1,42,0.213,0.284,0.041
1,43,0.225,0.297,0.04
1,44,0.113,0.165,0.052
1,45,0.133,0.19,0.05
