slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.0,0.001,-0.127
1,101,0.001,0.002,-0.122
1,102,0.0,0.001,-0.13
1,103,0.001,0.003,-0.119
1,104,0.001,0.004,-0.117
1,105,0.001,0.002,-0.127
1,106,0.001,0.003,-0.122
1,107,0.0,0.001,-0.133
1,108,0.001,0.002,-0.125
1,109,0.001,0.002,-0.125
1,110,0.003,0.008,-0.109
1,111,0.001,0.003,-0.122
1,112,0.001,0.002,-0.128
1,113,0.002,0.006,-0.114
1,114,0.001,0.002,-0.126
1,115,0.0,0.001,-0.135
1,116,0.0,0.001,-0.135
1,117,0.001,0.002,-0.131
1,118,0.001,0.002,-0.131
1,119,0.001,0.002,-0.131
1,120,0.0,0.001,-0.138
1,121,0.0,0.001,-0.142
1,122,0.0,0.001,-0.141
1,123,0.0,0.0,-0.148
1,124,0.0,0.0,-0.155
1,125,0.0,0.0,-0.159
1,126,0.0,0.0,-0.156
1,127,0.0,0.0,-0.159
1,128,0.0,0.0,-0.151
1,129,0.0,0.0,-0.153
1,130,0.0,0.0,-0.155
1,131,0.0,0.0,-0.157
1,132,0.0,0.001,-0.146
1,133,0.0,0.0,-0.152
1,134,0.0,0.0,-0.155
1,135,0.0,0.001,-0.144
1,136,0.0,0.0,-0.151
1,137,0.0,0.0,-0.151
1,138,0.0,0.0,-0.156
1,139,0.0,0.0,-0.152
1,140,0.0,0.0,-0.159
1,141,0.0,0.0,-0.157
1,142,0.0,0.001,-0.15
1,143,0.0,0.001,-0.148
1,144,0.0,0.0,-0.161
1,145,0.0,0.0,-0.157
1,146,0.0,0.001,-0.153
1,147,0.0,0.001,-0.146
1,148,0.0,0.001,-0.145
1,149,0.0,0.001,-0.142
1,150,0.0,0.001,-0.141
1,151,0.0,0.001,-0.147
1,152,0.0,0.001,-0.15
1,153,0.0,0.001,-0.152
1,154,0.0,0.001,-0.144
1,155,0.0,0.001,-0.146
1,156,0.0,0.001,-0.153
1,157,0.001,0.003,-0.136
1,158,0.001,0.002,-0.14
1,159,0.001,0.002,-0.142
1,160,0.0,0.001,-0.15
1,161,0.0,0.001,-0.15
1,162,0.0,0.001,-0.151
1,163,0.001,0.003,-0.138
1,164,0.001,0.003,-0.141
1,165,0.001,0.004,-0.136
1,166,0.002,0.004,-0.133
1,167,0.002,0.004,-0.134
1,168,0.002,0.005,-0.132
1,169,0.001,0.002,-0.144
1,170,0.001,0.003,-0.141
1,171,0.001,0.003,-0.143
1,172,0.001,0.002,-0.152
1,173,0.001,0.003,-0.144
1,174,0.002,0.006,-0.135
1,175,0.002,0.004,-0.141
1,176,0.002,0.004,-0.14
1,177,0.002,0.004,-0.141
1,178,0.001,0.002,-0.156
1,179,0.001,0.002,-0.156
1,180,0.002,0.005,-0.142
1,181,0.001,0.002,-0.158
1,182,0.0,0.002,-0.16
1,183,0.001,0.002,-0.153
1,184,0.001,0.002,-0.155
1,185,0.0,0.001,-0.165
1,186,0.0,0.001,-0.168
1,187,0.0,0.001,-0.167
1,188,0.001,0.003,-0.157
1,189,0.001,0.003,-0.154
1,190,0.001,0.004,-0.152
1,191,0.001,0.002,-0.163
1,192,0.001,0.004,-0.154
1,193,0.001,0.002,-0.162
1,194,0.001,0.003,-0.16
1,195,0.001,0.004,-0.156
1,196,0.001,0.003,-0.162
1,197,0.0,0.002,-0.172
1,198,0.001,0.003,-0.164
1,199,0.002,0.004,-0.157
1,200,0.001,0.003,-0.162
1,201,0.002,0.006,-0.153
1,202,0.002,0.006,-0.155
1,203,0.002,0.006,-0.154
1,204,0.002,0.005,-0.158
1,205,0.007,0.016,-0.138
1,206,0.003,0.007,-0.154
1,207,0.006,0.012,-0.143
1,208,0.003,0.008,-0.152
1,209,0.005,0.011,-0.146
1,210,0.004,0.01,-0.149
1,211,0.006,0.013,-0.144
1,212,0.003,0.008,-0.154
1,213,0.002,0.005,-0.163
1,214,0.008,0.017,-0.141
1,215,0.004,0.009,-0.155
1,216,0.007,0.015,-0.144
1,217,0.005,0.011,-0.151
1,218,0.004,0.009,-0.156
1,219,0.005,0.012,-0.15
1,220,0.006,0.012,-0.15
1,221,0.002,0.006,-0.164
1,222,0.009,0.019,-0.142
1,223,0.004,0.01,-0.156
1,224,0.004,0.009,-0.158
1,39,0.005,0.011,-0.09
1,40,0.001,0.003,-0.104
1,41,0.0,0.001,-0.113
1,42,0.001,0.003,-0.105
1,43,0.001,0.003,-0.104
1,44,0.003,0.007,-0.095
1,45,0.001,0.003,-0.106
1,46,0.001,0.002,-0.108
1,47,0.001,0.002,-0.109
1,48,0.001,0.003,-0.104
1,49,0.003,0.007,-0.096
1,50,0.002,0.004,-0.101
1,51,0.001,0.003,-0.106
1,52,0.004,0.009,-0.093
1,53,0.002,0.004,-0.102
1,54,0.011,0.023,-0.082
1,55,0.002,0.004,-0.103
1,56,0.002,0.004,-0.103
1,57,0.004,0.01,-0.094
1,58,0.002,0.005,-0.102
1,59,0.003,0.006,-0.099
1,60,0.007,0.016,-0.088
1,61,0.004,0.01,-0.094
1,62,0.002,0.005,-0.103
1,63,0.002,0.006,-0.101
1,64,0.004,0.01,-0.095
1,65,0.012,0.024,-0.084
1,66,0.006,0.014,-0.091
1,67,0.003,0.008,-0.098
1,68,0.005,0.012,-0.093
1,69,0.005,0.012,-0.093
1,70,0.009,0.019,-0.088
1,71,0.006,0.014,-0.092
1,72,0.011,0.022,-0.086
1,73,0.007,0.016,-0.091
1,74,0.01,0.021,-0.087
1,75,0.005,0.011,-0.096
1,76,0.016,0.031,-0.082
1,77,0.014,0.027,-0.084
1,78,0.016,0.03,-0.083
1,79,0.026,0.047,-0.076
1,80,0.015,0.029,-0.084
1,81,0.007,0.015,-0.094
1,82,0.008,0.017,-0.092
1,83,0.009,0.019,-0.091
1,84,0.005,0.012,-0.098
1,85,0.015,0.03,-0.085
1,86,0.035,0.061,-0.074
1,87,0.003,0.007,-0.105
1,88,0.004,0.01,-0.101
1,89,0.006,0.012,-0.098
1,90,0.002,0.005,-0.109
1,91,0.002,0.004,-0.111
1,92,0.002,0.006,-0.109
1,93,0.001,0.004,-0.115
1,94,0.003,0.008,-0.105
1,95,0.002,0.004,-0.113
1,96,0.002,0.004,-0.114
1,97,0.004,0.009,-0.104
1,98,0.002,0.005,-0.111
1,99,0.003,0.008,-0.106
10,10,0.004,0.009,-0.092
10,100,0.001,0.002,-0.122
10,101,0.003,0.007,-0.108
10,102,0.001,0.003,-0.117
10,103,0.001,0.004,-0.116
10,104,0.003,0.007,-0.11
10,105,0.001,0.003,-0.119
10,106,0.003,0.008,-0.108
10,107,0.001,0.002,-0.125
10,108,0.001,0.002,-0.125
10,109,0.002,0.004,-0.117
10,11,0.001,0.002,-0.11
10,110,0.001,0.002,-0.127
10,111,0.001,0.002,-0.129
10,112,0.001,0.003,-0.124
10,113,0.0,0.001,-0.134
10,114,0.002,0.004,-0.117
10,115,0.002,0.004,-0.118
10,116,0.001,0.004,-0.12
10,117,0.002,0.004,-0.118
10,118,0.001,0.004,-0.121
10,119,0.001,0.002,-0.126
10,12,0.003,0.006,-0.095
10,120,0.003,0.006,-0.113
10,121,0.001,0.003,-0.123
10,122,0.001,0.002,-0.129
10,123,0.002,0.004,-0.12
10,124,0.002,0.005,-0.118
10,125,0.002,0.004,-0.12
10,126,0.001,0.002,-0.128
10,127,0.001,0.002,-0.131
10,128,0.0,0.001,-0.137
10,129,0.001,0.003,-0.127
10,13,0.004,0.009,-0.09
10,130,0.004,0.01,-0.109
10,131,0.008,0.017,-0.102
