slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.462,0.544,-0.027
1,101,0.61,0.682,-0.019
1,102,0.328,0.41,-0.036
1,103,0.285,0.363,-0.039
1,104,0.473,0.555,-0.026
1,105,0.488,0.57,-0.026
1,106,0.436,0.519,-0.029
1,107,0.278,0.356,-0.04
1,108,0.537,0.616,-0.023
1,109,0.482,0.564,-0.026
1,110,0.428,0.511,-0.03
1,111,0.249,0.324,-0.043
1,112,0.309,0.389,-0.038
1,113,0.243,0.318,-0.044
1,114,0.195,0.264,-0.049
1,115,0.274,0.352,-0.042
1,116,0.288,0.367,-0.04
1,117,0.345,0.427,-0.036
1,118,0.167,0.231,-0.053
1,119,0.181,0.248,-0.051
1,120,0.247,0.323,-0.044
1,121,0.401,0.485,-0.032
1,122,0.209,0.279,-0.048
1,123,0.217,0.289,-0.048
1,124,0.163,0.227,-0.054
1,125,0.208,0.278,-0.049
1,126,0.349,0.431,-0.036
1,127,0.417,0.501,-0.032
1,128,0.389,0.472,-0.034
1,129,0.355,0.438,-0.036
1,130,0.42,0.503,-0.032
1,131,0.418,0.501,-0.032
1,132,0.315,0.395,-0.039
1,133,0.366,0.449,-0.035
1,134,0.461,0.544,-0.029
1,135,0.483,0.564,-0.028
1,136,0.454,0.536,-0.03
1,137,0.481,0.563,-0.028
1,138,0.411,0.495,-0.033
1,139,0.392,0.475,-0.034
1,140,0.41,0.493,-0.033
1,141,0.618,0.689,-0.02
1,142,0.529,0.608,-0.025
1,143,0.799,0.844,-0.01
1,144,0.624,0.695,-0.02
1,145,0.66,0.727,-0.018
1,146,0.69,0.753,-0.016
1,147,0.757,0.81,-0.013
1,148,0.956,0.967,-0.002
1,149,0.786,0.833,-0.011
1,150,0.954,0.966,-0.002
1,151,0.949,0.962,0.003
1,152,0.915,0.936,-0.004
1,153,0.787,0.835,-0.011
1,154,0.931,0.948,0.004
1,155,0.975,0.982,0.001
1,156,0.976,0.982,-0.001
1,157,0.653,0.721,0.019
1,158,0.861,0.894,0.007
1,159,0.802,0.847,0.01
1,160,0.892,0.918,0.006
1,161,0.996,0.997,-0.0
1,162,0.934,0.951,0.003
1,163,0.872,0.903,0.007
1,164,0.861,0.894,0.007
1,165,0.885,0.913,0.006
1,166,0.815,0.857,-0.01
1,167,0.758,0.81,-0.013
1,168,0.81,0.854,-0.01
1,169,0.605,0.679,-0.022
1,170,0.758,0.811,-0.013
1,171,0.872,0.903,-0.007
1,172,0.869,0.9,-0.007
1,173,0.704,0.765,-0.017
1,174,0.752,0.806,-0.014
1,175,0.618,0.69,-0.022
1,176,0.44,0.523,-0.035
1,177,0.429,0.512,-0.036
