slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.482,0.564,-0.026
1,101,0.646,0.715,-0.017
1,102,0.349,0.431,-0.034
1,103,0.296,0.375,-0.038
1,104,0.475,0.558,-0.026
1,105,0.492,0.573,-0.025
1,106,0.434,0.517,-0.029
1,107,0.299,0.378,-0.039
1,108,0.582,0.658,-0.02
1,109,0.521,0.601,-0.024
1,110,0.44,0.523,-0.029
1,111,0.271,0.348,-0.041
1,112,0.332,0.414,-0.036
1,113,0.247,0.322,-0.044
1,114,0.206,0.276,-0.048
1,115,0.289,0.368,-0.04
1,116,0.286,0.365,-0.041
1,117,0.371,0.454,-0.034
1,118,0.18,0.247,-0.051
1,119,0.195,0.264,-0.049
1,120,0.251,0.327,-0.044
1,121,0.423,0.506,-0.031
1,122,0.205,0.276,-0.049
1,123,0.216,0.287,-0.048
1,124,0.164,0.228,-0.054
1,125,0.217,0.289,-0.048
1,126,0.349,0.431,-0.036
1,127,0.418,0.501,-0.031
1,128,0.374,0.456,-0.035
1,129,0.353,0.435,-0.036
1,130,0.418,0.502,-0.032
1,131,0.41,0.493,-0.032
1,132,0.305,0.385,-0.04
1,133,0.37,0.452,-0.035
1,134,0.482,0.564,-0.028
1,135,0.467,0.549,-0.029
1,136,0.436,0.519,-0.031
1,137,0.478,0.56,-0.028
1,138,0.407,0.491,-0.033
1,139,0.391,0.475,-0.034
1,140,0.417,0.5,-0.032
1,141,0.653,0.721,-0.018
1,142,0.538,0.616,-0.025
1,143,0.85,0.885,-0.008
1,144,0.675,0.74,-0.017
1,145,0.709,0.77,-0.015
1,146,0.712,0.771,-0.015
1,147,0.755,0.808,-0.013
1,148,0.981,0.986,-0.001
1,149,0.807,0.851,-0.01
1,150,0.971,0.979,-0.001
1,151,0.928,0.946,0.004
1,152,0.952,0.964,-0.002
1,153,0.827,0.867,-0.009
1,154,0.923,0.942,0.004
1,155,0.968,0.977,0.002
1,156,0.992,0.994,0.0
1,157,0.638,0.707,0.019
1,158,0.821,0.862,0.009
1,159,0.768,0.818,0.012
1,160,0.867,0.899,0.007
1,161,0.955,0.967,0.002
1,162,0.879,0.908,0.006
1,163,0.829,0.869,0.009
1,164,0.802,0.846,0.011
1,165,0.838,0.876,0.009
1,166,0.847,0.883,-0.008
1,167,0.802,0.847,-0.011
1,168,0.832,0.871,-0.009
1,169,0.646,0.714,-0.02
1,170,0.799,0.844,-0.011
1,171,0.925,0.944,-0.004
1,172,0.947,0.961,-0.003
1,173,0.773,0.823,-0.013
1,174,0.83,0.869,-0.01
1,175,0.667,0.733,-0.019
1,176,0.486,0.568,-0.031
1,177,0.482,0.564,-0.032
1,178,0.358,0.441,-0.042
1,179,0.464,0.546,-0.033
1,180,0.61,0.682,-0.023
1,181,0.388,0.471,-0.04
1,182,0.384,0.467,-0.04
1,183,0.27,0.347,-0.051
1,184,0.312,0.392,-0.047
1,185,0.239,0.313,-0.055
1,186,0.267,0.345,-0.052
1,187,0.211,0.282,-0.059
1,188,0.336,0.418,-0.046
1,189,0.341,0.423,-0.045
1,190,0.25,0.325,-0.055
1,191,0.23,0.303,-0.058
1,192,0.252,0.328,-0.055
1,193,0.193,0.262,-0.063
1,194,0.182,0.249,-0.065
1,195,0.262,0.339,-0.055
1,196,0.197,0.266,-0.064
1,197,0.158,0.22,-0.07
1,198,0.171,0.236,-0.068
1,199,0.191,0.259,-0.066
1,200,0.214,0.286,-0.063
1,201,0.242,0.316,-0.059
1,202,0.121,0.176,-0.079
1,203,0.177,0.243,-0.069
1,204,0.293,0.372,-0.054
1,205,0.249,0.324,-0.059
1,206,0.222,0.295,-0.063
1,207,0.275,0.353,-0.057
1,208,0.294,0.373,-0.055
1,209,0.234,0.308,-0.062
1,210,0.314,0.394,-0.053
1,211,0.339,0.421,-0.05
1,212,0.242,0.316,-0.062
1,213,0.334,0.416,-0.051
1,214,0.483,0.565,-0.037
1,215,0.424,0.507,-0.043
1,216,0.53,0.609,-0.034
1,217,0.441,0.524,-0.041
1,218,0.592,0.666,-0.029
1,219,0.577,0.653,-0.03
1,220,0.591,0.665,-0.029
1,221,0.563,0.64,-0.032
1,222,0.693,0.755,-0.022
1,223,0.689,0.752,-0.022
1,224,0.856,0.89,-0.01
1,39,0.491,0.573,-0.022
1,40,0.47,0.553,-0.023
1,41,0.47,0.552,-0.023
1,42,0.635,0.705,-0.015
1,43,0.667,0.733,-0.014
1,44,0.732,0.789,-0.011
1,45,0.658,0.725,-0.014
1,46,0.67,0.736,-0.014
1,47,0.549,0.627,-0.019
1,48,0.465,0.547,-0.024
1,49,0.75,0.804,-0.01
1,50,0.527,0.607,-0.02
1,51,0.437,0.52,-0.025
1,52,0.492,0.573,-0.022
1,53,0.39,0.473,-0.028
1,54,0.56,0.637,-0.019
1,55,0.431,0.514,-0.026
1,56,0.573,0.649,-0.018
1,57,0.484,0.566,-0.023
1,58,0.447,0.529,-0.025
1,59,0.63,0.7,-0.016
1,60,0.315,0.396,-0.033
1,61,0.58,0.656,-0.018
1,62,0.44,0.523,-0.026
1,63,0.643,0.712,-0.015
1,64,0.416,0.499,-0.027
1,65,0.362,0.444,-0.03
1,66,0.744,0.798,-0.011
1,67,0.457,0.54,-0.025
1,68,0.585,0.66,-0.018
1,69,0.418,0.502,-0.027
1,70,0.703,0.764,-0.013
1,71,0.965,0.974,-0.001
1,72,0.767,0.818,-0.01
1,73,0.653,0.721,-0.015
1,74,0.806,0.85,-0.008
1,75,0.847,0.883,-0.007
1,76,0.923,0.942,-0.003
1,77,0.693,0.756,-0.014
1,78,0.884,0.912,-0.005
1,79,0.927,0.946,-0.003
1,80,0.918,0.938,-0.004
1,81,0.767,0.818,-0.01
1,82,0.875,0.905,-0.005
1,83,0.918,0.938,-0.004
1,84,0.701,0.762,-0.014
1,85,0.942,0.956,-0.003
1,86,0.845,0.881,-0.007
1,87,0.903,0.927,-0.004
1,88,0.862,0.895,-0.006
1,89,0.941,0.956,-0.003
1,90,0.897,0.922,-0.005
1,91,0.852,0.887,-0.007
1,92,0.752,0.806,-0.011
1,93,0.885,0.913,-0.005
1,94,0.775,0.824,-0.01
1,95,0.96,0.97,-0.002
1,96,0.468,0.55,-0.026
1,97,0.661,0.728,-0.016
1,98,0.762,0.814,-0.011
1,99,0.612,0.685,-0.018
10,10,0.412,0.495,-0.026
10,100,0.943,0.957,-0.003
10,101,0.864,0.897,-0.006
10,102,0.981,0.986,0.001
10,103,0.899,0.923,-0.005
10,104,0.915,0.936,-0.004
10,105,0.766,0.817,0.011
10,106,0.692,0.755,0.015
10,107,0.813,0.855,0.009
10,108,0.869,0.9,-0.006
10,109,0.723,0.781,-0.013
10,11,0.345,0.427,-0.03
10,110,0.632,0.703,-0.018
10,111,0.772,0.822,-0.011
10,112,0.983,0.987,-0.001
10,113,0.874,0.904,0.006
10,114,0.773,0.823,0.011
10,115,0.686,0.75,0.015
10,116,0.831,0.87,0.008
10,117,0.941,0.956,0.003
10,118,0.844,0.881,-0.007
10,119,0.896,0.921,0.005
10,12,0.77,0.821,-0.009
10,120,0.9,0.924,0.005
10,121,0.97,0.978,0.001
10,122,0.829,0.868,-0.008
10,123,0.978,0.984,-0.001
10,124,0.992,0.994,-0.0
10,125,0.981,0.986,0.001
10,126,0.996,0.997,-0.0
10,127,0.971,0.979,-0.001
10,128,0.95,0.963,-0.002
10,129,0.901,0.925,-0.005
10,13,0.34,0.421,-0.03
10,130,0.929,0.947,-0.003
10,131,0.717,0.776,-0.014
10,132,0.839,0.877,-0.008
10,133,0.551,0.629,-0.023
10,134,0.591,0.666,-0.021
10,135,0.539,0.617,-0.024
10,136,0.542,0.621,-0.024
10,137,0.55,0.628,-0.023
10,138,0.722,0.781,-0.014
10,139,0.663,0.729,-0.017
10,14,0.53,0.61,-0.02
10,140,0.598,0.672,-0.021
10,141,0.632,0.702,-0.019
10,142,0.47,0.552,-0.028
10,143,0.476,0.558,-0.028
10,144,0.544,0.622,-0.024
10,145,0.47,0.553,-0.029
10,146,0.427,0.51,-0.031
10,147,0.591,0.665,-0.021
10,148,0.618,0.69,-0.02
10,149,0.654,0.722,-0.018
10,15,0.639,0.708,-0.015
10,150,0.696,0.758,-0.016
10,151,0.691,0.754,-0.016
10,152,0.94,0.955,-0.003
10,153,0.995,0.996,-0.0
10,154,0.841,0.878,0.008
10,155,0.831,0.87,-0.009
10,156,0.956,0.967,0.002
10,157,0.917,0.938,0.004
10,158,0.897,0.922,-0.005
10,159,0.987,0.99,-0.001
10,16,0.189,0.257,-0.041
10,160,0.986,0.99,0.001
10,161,0.88,0.909,0.006
10,162,0.905,0.929,0.005
10,163,0.868,0.899,0.007
10,164,0.917,0.938,0.004
10,165,0.942,0.957,-0.003
10,166,0.896,0.921,0.005
10,167,0.956,0.967,0.002
10,168,0.899,0.924,-0.005
10,169,0.723,0.781,-0.014
10,17,0.566,0.643,-0.018
10,170,0.604,0.678,-0.021
10,171,0.767,0.818,-0.012
10,172,0.975,0.982,-0.001
10,173,0.719,0.778,-0.015
10,174,0.707,0.768,-0.015
10,175,0.792,0.839,-0.011
10,176,0.789,0.836,-0.011
10,177,0.65,0.718,-0.019
10,178,0.667,0.733,-0.018
10,179,0.748,0.802,-0.013
10,18,0.531,0.611,-0.019
10,180,0.635,0.705,-0.02
10,181,0.64,0.709,-0.02
10,182,0.685,0.749,-0.017
10,183,0.699,0.761,-0.016
10,184,0.692,0.755,-0.017
10,185,0.828,0.868,-0.009
10,186,0.727,0.784,-0.015
10,187,0.75,0.803,-0.014
10,188,0.546,0.624,-0.026
10,189,0.384,0.468,-0.038
10,19,0.349,0.432,-0.029
10,190,0.576,0.652,-0.024
10,191,0.461,0.544,-0.032
10,192,0.536,0.615,-0.027
10,193,0.639,0.708,-0.021
10,194,0.492,0.573,-0.031
10,195,0.565,0.642,-0.026
10,196,0.473,0.555,-0.032
10,197,0.341,0.423,-0.043
10,198,0.29,0.369,-0.048
10,199,0.292,0.372,-0.048
10,20,0.445,0.528,-0.024
10,200,0.251,0.326,-0.053
10,201,0.343,0.425,-0.044
10,202,0.32,0.401,-0.047
10,203,0.274,0.352,-0.052
10,204,0.228,0.301,-0.057
10,205,0.321,0.402,-0.048
10,206,0.339,0.421,-0.046
10,207,0.278,0.356,-0.053
10,208,0.207,0.278,-0.062
10,209,0.233,0.307,-0.059
10,21,0.349,0.431,-0.029
10,210,0.15,0.211,-0.071
10,211,0.176,0.241,-0.068
10,212,0.248,0.323,-0.058
10,213,0.167,0.231,-0.07
10,214,0.194,0.262,-0.067
10,215,0.142,0.201,-0.076
10,216,0.128,0.185,-0.079
10,217,0.151,0.212,-0.075
10,218,0.176,0.241,-0.072
10,219,0.201,0.27,-0.068
10,22,0.452,0.535,-0.023
10,220,0.188,0.256,-0.071
10,221,0.179,0.245,-0.072
10,222,0.187,0.255,-0.072
10,223,0.196,0.265,-0.071
10,224,0.144,0.204,-0.08
10,225,0.078,0.121,-0.097
10,226,0.191,0.26,-0.073
10,227,0.229,0.302,-0.067
10,228,0.281,0.359,-0.06
10,229,0.192,0.26,-0.073
10,23,0.616,0.688,-0.016
10,230,0.249,0.325,-0.065
10,231,0.238,0.313,-0.067
10,232,0.191,0.259,-0.075
10,233,0.277,0.355,-0.062
10,234,0.241,0.316,-0.068
10,235,0.175,0.241,-0.078
10,236,0.291,0.37,-0.061
10,237,0.217,0.288,-0.072
10,238,0.277,0.355,-0.064
10,239,0.167,0.231,-0.081
10,24,0.338,0.42,-0.03
10,240,0.2,0.269,-0.076
10,241,0.198,0.267,-0.076
10,242,0.16,0.222,-0.084
10,243,0.179,0.245,-0.081
10,244,0.283,0.362,-0.064
10,245,0.167,0.231,-0.083
10,246,0.289,0.368,-0.064
10,247,0.305,0.385,-0.063
10,248,0.299,0.379,-0.064
10,249,0.392,0.476,-0.053
10,25,0.42,0.503,-0.025
10,250,0.344,0.426,-0.059
10,251,0.27,0.347,-0.069
10,26,0.42,0.504,-0.025
10,27,0.386,0.469,-0.027
10,28,0.405,0.489,-0.026
10,29,0.363,0.445,-0.028
10,30,0.406,0.489,-0.026
10,31,0.4,0.483,-0.026
10,32,0.518,0.599,-0.02
10,33,0.235,0.309,-0.037
10,34,0.272,0.349,-0.034
10,35,0.487,0.569,-0.022
10,36,0.471,0.554,-0.022
10,37,0.354,0.437,-0.029
10,38,0.641,0.71,-0.015
10,39,0.328,0.41,-0.031
10,40,0.371,0.454,-0.028
10,41,0.531,0.61,-0.02
10,42,0.438,0.521,-0.024
10,43,0.582,0.657,-0.017
10,44,0.668,0.734,-0.014
10,45,0.622,0.693,-0.016
10,46,0.653,0.72,-0.014
10,47,0.915,0.936,-0.003
10,48,0.861,0.894,-0.006
10,49,0.752,0.806,-0.01
10,50,0.871,0.902,-0.005
10,51,0.997,0.998,0.0
10,52,0.581,0.656,-0.018
10,53,0.823,0.864,-0.007
10,54,0.685,0.749,-0.013
10,55,0.976,0.982,0.001
10,56,0.678,0.742,-0.013
10,57,0.992,0.994,0.0
10,58,0.972,0.979,-0.001
10,59,0.934,0.951,-0.003
10,60,0.933,0.95,-0.003
10,61,0.809,0.852,-0.008
10,62,0.856,0.89,0.006
