slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.008,0.017,0.097
1,101,0.004,0.009,0.105
1,102,0.004,0.01,0.104
1,103,0.012,0.024,0.093
1,104,0.019,0.037,0.086
1,105,0.013,0.026,0.092
1,106,0.017,0.032,0.089
1,107,0.012,0.024,0.094
1,108,0.007,0.015,0.101
1,109,0.007,0.014,0.102
1,110,0.017,0.032,0.09
1,111,0.015,0.03,0.091
1,112,0.015,0.029,0.092
1,113,0.031,0.054,0.082
1,114,0.013,0.026,0.094
1,115,0.01,0.021,0.098
1,116,0.025,0.046,0.085
1,117,0.01,0.02,0.099
1,118,0.014,0.028,0.094
1,119,0.015,0.029,0.094
1,120,0.021,0.039,0.089
1,121,0.013,0.025,0.096
1,122,0.029,0.051,0.085
1,123,0.017,0.033,0.092
1,124,0.016,0.031,0.093
1,125,0.009,0.019,0.102
1,126,0.012,0.024,0.098
1,127,0.011,0.022,0.1
1,128,0.012,0.023,0.099
1,129,0.012,0.023,0.099
1,130,0.013,0.026,0.098
1,131,0.016,0.031,0.094
1,132,0.023,0.042,0.089
1,133,0.01,0.021,0.101
1,134,0.005,0.011,0.112
1,135,0.01,0.02,0.102
1,136,0.01,0.021,0.102
1,137,0.012,0.025,0.099
1,138,0.014,0.028,0.098
1,139,0.01,0.021,0.103
1,140,0.006,0.014,0.109
1,141,0.003,0.008,0.118
1,142,0.006,0.014,0.11
1,143,0.003,0.007,0.121
1,144,0.003,0.008,0.119
1,145,0.003,0.007,0.12
1,146,0.007,0.014,0.11
1,147,0.01,0.02,0.105
1,148,0.004,0.008,0.119
1,149,0.005,0.011,0.115
1,150,0.004,0.009,0.118
1,151,0.002,0.006,0.125
1,152,0.002,0.004,0.129
1,153,0.002,0.006,0.125
1,154,0.003,0.007,0.124
1,155,0.004,0.008,0.121
1,156,0.003,0.007,0.124
1,157,0.004,0.009,0.121
1,158,0.003,0.007,0.125
1,159,0.002,0.006,0.127
1,160,0.003,0.006,0.127
1,161,0.002,0.006,0.128
1,162,0.002,0.005,0.131
1,163,0.002,0.006,0.128
1,164,0.001,0.004,0.135
1,165,0.003,0.008,0.126
1,166,0.005,0.012,0.119
1,167,0.005,0.012,0.12
1,168,0.011,0.022,0.11
1,169,0.01,0.021,0.112
1,170,0.006,0.013,0.12
1,171,0.003,0.007,0.131
1,172,0.001,0.003,0.146
1,173,0.003,0.007,0.134
1,174,0.003,0.008,0.131
1,175,0.006,0.013,0.124
1,176,0.007,0.016,0.12
1,177,0.005,0.011,0.127
1,178,0.005,0.011,0.129
1,179,0.006,0.014,0.124
1,180,0.004,0.01,0.132
1,181,0.006,0.014,0.126
1,182,0.015,0.03,0.112
1,183,0.012,0.024,0.117
1,184,0.015,0.03,0.113
1,185,0.023,0.042,0.107
1,186,0.014,0.028,0.116
1,187,0.012,0.024,0.119
1,188,0.016,0.03,0.116
1,189,0.016,0.031,0.115
1,190,0.024,0.044,0.109
1,191,0.012,0.023,0.122
1,192,0.023,0.042,0.111
1,193,0.02,0.037,0.114
1,194,0.013,0.026,0.122
1,195,0.012,0.025,0.124
1,196,0.023,0.042,0.113
1,197,0.022,0.041,0.114
1,198,0.012,0.024,0.126
1,199,0.025,0.045,0.113
1,200,0.016,0.03,0.123
1,201,0.026,0.047,0.113
1,202,0.041,0.069,0.105
1,203,0.031,0.054,0.111
1,204,0.016,0.031,0.124
1,205,0.032,0.057,0.111
1,206,0.041,0.069,0.106
1,207,0.041,0.07,0.107
1,208,0.032,0.057,0.112
1,209,0.033,0.058,0.112
1,210,0.024,0.044,0.119
1,211,0.038,0.065,0.11
1,212,0.045,0.075,0.106
1,213,0.029,0.051,0.117
1,214,0.024,0.044,0.12
1,215,0.024,0.044,0.121
1,216,0.025,0.045,0.121
1,217,0.026,0.048,0.12
1,218,0.013,0.025,0.135
1,219,0.019,0.036,0.127
1,220,0.024,0.044,0.123
1,221,0.016,0.031,0.132
1,222,0.032,0.057,0.118
1,223,0.018,0.034,0.131
1,224,0.014,0.027,0.137
1,39,0.003,0.008,0.095
1,40,0.001,0.002,0.109
1,41,0.001,0.002,0.111
1,42,0.0,0.001,0.12
1,43,0.001,0.003,0.105
1,44,0.001,0.003,0.105
1,45,0.001,0.004,0.103
1,46,0.001,0.004,0.103
1,47,0.001,0.003,0.107
1,48,0.001,0.003,0.105
1,49,0.002,0.005,0.101
1,50,0.002,0.004,0.102
1,51,0.004,0.01,0.094
1,52,0.006,0.013,0.09
1,53,0.003,0.007,0.097
