slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.919,0.939,-0.004
1,101,0.951,0.963,0.002
1,102,0.888,0.915,-0.005
1,103,0.784,0.832,-0.01
1,104,0.792,0.838,-0.01
1,105,0.776,0.825,-0.011
1,106,0.727,0.784,-0.013
1,107,0.864,0.897,-0.007
1,108,0.896,0.921,0.005
1,109,0.954,0.966,0.002
1,110,0.833,0.871,-0.008
1,111,0.915,0.936,-0.004
1,112,0.91,0.933,-0.004
1,113,0.685,0.748,-0.016
1,114,0.76,0.812,-0.012
1,115,0.83,0.869,-0.008
1,116,0.67,0.736,-0.017
1,117,0.957,0.968,-0.002
1,118,0.79,0.837,-0.011
1,119,0.8,0.845,-0.01
1,120,0.716,0.775,-0.014
1,121,0.934,0.951,-0.003
1,122,0.612,0.684,-0.02
1,123,0.637,0.707,-0.019
1,124,0.635,0.705,-0.019
1,125,0.772,0.822,-0.012
1,126,0.758,0.811,-0.012
1,127,0.791,0.837,-0.011
1,128,0.635,0.705,-0.019
1,129,0.734,0.79,-0.014
1,130,0.766,0.817,-0.012
1,131,0.726,0.783,-0.014
1,132,0.663,0.73,-0.018
1,133,0.803,0.847,-0.01
1,134,0.978,0.984,-0.001
1,135,0.699,0.761,-0.016
1,136,0.678,0.742,-0.017
1,137,0.804,0.848,-0.01
1,138,0.766,0.817,-0.012
1,139,0.792,0.839,-0.011
1,140,0.87,0.901,-0.007
1,141,0.863,0.896,0.007
1,142,0.904,0.928,-0.005
1,143,0.757,0.809,0.013
1,144,0.799,0.844,0.011
1,145,0.796,0.842,0.011
1,146,0.952,0.964,0.003
1,147,0.904,0.928,-0.005
1,148,0.881,0.91,0.006
1,149,0.951,0.963,0.003
1,150,0.941,0.956,0.003
1,151,0.871,0.902,0.007
1,152,0.83,0.87,0.009
1,153,0.833,0.872,0.009
1,154,0.968,0.976,0.002
1,155,0.989,0.992,0.001
1,156,0.844,0.881,0.008
1,157,0.825,0.865,0.009
1,158,0.765,0.816,0.013
1,159,0.788,0.835,0.012
1,160,0.881,0.91,0.006
1,161,0.782,0.831,0.012
1,162,0.72,0.779,0.016
1,163,0.763,0.814,0.013
1,164,0.679,0.743,0.018
1,165,0.768,0.819,0.013
1,166,0.932,0.949,0.004
1,167,0.85,0.886,0.008
1,168,0.973,0.98,0.002
1,169,0.904,0.928,0.005
1,170,0.865,0.897,0.008
1,171,0.763,0.814,0.014
1,172,0.616,0.688,0.023
1,173,0.687,0.751,0.018
1,174,0.619,0.691,0.023
1,175,0.806,0.85,0.011
1,176,0.838,0.876,0.009
1,177,0.782,0.83,0.013
1,178,0.712,0.772,0.017
1,179,0.776,0.825,0.013
1,180,0.589,0.664,0.026
1,181,0.776,0.825,0.014
1,182,0.978,0.984,0.001
1,183,0.919,0.939,0.005
1,184,0.876,0.906,0.008
1,185,1.0,1.0,0.0
1,186,0.803,0.848,0.012
1,187,0.773,0.823,0.014
1,188,0.753,0.806,0.016
1,189,0.793,0.84,0.013
1,190,0.959,0.97,0.003
1,191,0.827,0.867,0.011
1,192,0.905,0.929,0.006
1,193,0.764,0.816,0.015
1,194,0.745,0.799,0.017
1,195,0.797,0.842,0.013
1,196,0.964,0.974,-0.002
1,197,0.965,0.974,0.002
1,198,0.788,0.836,0.014
1,199,0.937,0.953,0.004
1,200,0.922,0.942,0.005
1,201,0.903,0.927,0.006
1,202,0.879,0.908,-0.008
1,203,0.998,0.999,-0.0
1,204,0.737,0.793,0.018
1,205,0.908,0.931,-0.006
1,206,0.872,0.903,-0.009
1,207,0.953,0.965,-0.003
1,208,0.977,0.983,-0.002
1,209,0.852,0.887,-0.01
1,210,0.951,0.963,0.003
1,211,0.936,0.952,-0.004
1,212,0.767,0.818,-0.016
1,213,0.937,0.953,-0.004
1,214,0.957,0.968,0.003
1,215,0.995,0.996,0.0
1,216,0.945,0.959,0.004
1,217,0.989,0.992,-0.001
1,218,0.838,0.876,0.011
1,219,0.915,0.936,0.006
1,220,0.907,0.93,0.007
1,221,0.758,0.811,0.017
1,222,0.926,0.944,0.005
1,223,0.658,0.725,0.025
1,224,0.587,0.662,0.031
1,39,0.959,0.969,-0.002
1,40,0.643,0.712,0.016
1,41,0.705,0.765,0.013
1,42,0.62,0.691,0.017
1,43,0.715,0.774,0.012
1,44,0.735,0.791,0.011
1,45,0.902,0.926,0.004
1,46,0.928,0.946,0.003
1,47,0.619,0.691,0.017
1,48,0.83,0.869,0.007
1,49,0.942,0.957,0.002
1,50,0.837,0.875,0.007
1,51,0.997,0.998,0.0
1,52,0.66,0.727,-0.015
1,53,0.783,0.832,-0.009
1,54,0.784,0.832,-0.009
1,55,0.649,0.717,-0.015
1,56,0.624,0.695,-0.017
1,57,0.633,0.703,-0.016
1,58,0.709,0.769,-0.013
1,59,0.884,0.912,-0.005
1,60,0.791,0.838,-0.009
1,61,0.668,0.734,-0.015
1,62,0.928,0.946,-0.003
1,63,0.791,0.838,0.009
1,64,0.861,0.894,-0.006
1,65,0.928,0.946,-0.003
1,66,0.906,0.929,0.004
1,67,0.845,0.881,0.007
1,68,0.785,0.833,0.01
1,69,0.869,0.9,0.006
1,70,0.822,0.863,0.008
1,71,0.655,0.722,0.016
1,72,0.924,0.943,-0.003
1,73,0.775,0.824,0.01
1,74,0.737,0.793,0.012
1,75,0.921,0.941,0.004
1,76,0.882,0.911,0.005
1,77,0.739,0.795,0.012
1,78,0.788,0.835,-0.01
1,79,0.986,0.99,0.001
1,80,0.815,0.857,0.008
1,81,0.995,0.996,-0.0
1,82,0.869,0.9,-0.006
1,83,0.922,0.942,0.004
1,84,0.937,0.953,-0.003
1,85,0.693,0.755,-0.014
1,86,0.691,0.754,-0.015
1,87,0.994,0.996,0.0
1,88,0.903,0.927,-0.004
1,89,0.992,0.994,-0.0
1,90,0.749,0.803,0.012
1,91,0.766,0.817,0.011
1,92,0.952,0.964,0.002
1,93,0.987,0.991,0.001
1,94,0.972,0.979,0.001
1,95,0.868,0.899,0.006
1,96,0.794,0.84,-0.01
1,97,0.924,0.943,-0.004
1,98,0.84,0.877,0.008
1,99,0.745,0.799,-0.012
10,10,0.731,0.788,0.011
10,100,0.705,0.766,-0.014
10,101,0.727,0.785,-0.013
10,102,0.897,0.922,0.005
10,103,0.752,0.806,-0.012
10,104,0.887,0.915,-0.005
10,105,0.927,0.945,0.004
10,106,0.847,0.883,0.007
10,107,0.535,0.614,0.024
10,108,0.691,0.754,0.015
10,109,0.888,0.916,0.005
10,11,0.739,0.794,0.011
10,110,0.88,0.909,0.006
10,111,0.608,0.681,0.02
10,112,0.648,0.717,0.018
10,113,0.453,0.536,0.029
10,114,0.781,0.829,0.011
10,115,0.88,0.909,0.006
10,116,0.821,0.862,0.009
10,117,0.826,0.866,0.009
10,118,0.994,0.995,-0.0
10,119,0.988,0.991,0.001
10,12,0.499,0.58,0.022
10,120,0.877,0.907,-0.006
10,121,0.928,0.946,0.004
10,122,0.928,0.946,-0.004
10,123,0.9,0.925,-0.005
10,124,0.744,0.799,-0.013
10,125,0.665,0.732,-0.017
10,126,0.721,0.78,-0.014
10,127,0.676,0.741,-0.017
10,128,0.76,0.812,-0.012
10,129,0.724,0.782,-0.014
10,13,0.763,0.815,0.01
10,130,0.625,0.696,-0.02
10,131,0.523,0.603,-0.026
10,132,0.657,0.724,-0.018
10,133,0.458,0.541,-0.03
10,134,0.478,0.56,-0.029
10,135,0.568,0.645,-0.023
10,136,0.396,0.479,-0.034
10,137,0.685,0.748,-0.016
10,138,0.783,0.831,-0.011
10,139,0.704,0.765,-0.015
10,14,0.731,0.788,0.011
10,140,0.61,0.683,-0.021
