slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.926,0.945,0.003
1,101,0.945,0.959,-0.003
1,102,0.893,0.919,0.005
1,103,0.789,0.836,0.01
1,104,0.797,0.842,0.01
1,105,0.782,0.83,0.011
1,106,0.732,0.789,0.013
1,107,0.869,0.901,0.006
1,108,0.892,0.918,-0.005
1,109,0.949,0.962,-0.002
1,110,0.838,0.876,0.008
1,111,0.919,0.939,0.004
1,112,0.915,0.936,0.004
1,113,0.689,0.752,0.016
1,114,0.764,0.816,0.012
1,115,0.834,0.873,0.008
1,116,0.675,0.74,0.017
1,117,0.963,0.972,0.002
1,118,0.796,0.842,0.01
1,119,0.806,0.85,0.01
1,120,0.721,0.779,0.014
1,121,0.939,0.955,0.003
1,122,0.616,0.688,0.02
1,123,0.641,0.71,0.019
1,124,0.639,0.708,0.019
1,125,0.775,0.825,0.011
1,126,0.761,0.813,0.012
1,127,0.793,0.84,0.011
1,128,0.637,0.707,0.019
1,129,0.735,0.792,0.014
1,130,0.768,0.819,0.012
1,131,0.726,0.784,0.014
1,132,0.662,0.729,0.018
1,133,0.805,0.849,0.01
1,134,0.98,0.986,0.001
1,135,0.7,0.762,0.016
1,136,0.68,0.744,0.017
1,137,0.806,0.85,0.01
1,138,0.767,0.818,0.012
1,139,0.793,0.84,0.011
1,140,0.872,0.903,0.007
1,141,0.862,0.895,-0.007
1,142,0.906,0.929,0.005
1,143,0.755,0.808,-0.013
1,144,0.797,0.843,-0.011
1,145,0.794,0.84,-0.011
1,146,0.951,0.963,-0.003
1,147,0.904,0.928,0.005
1,148,0.881,0.91,-0.006
1,149,0.951,0.963,-0.003
1,150,0.941,0.956,-0.003
1,151,0.871,0.902,-0.007
1,152,0.83,0.87,-0.009
1,153,0.832,0.871,-0.009
1,154,0.969,0.977,-0.002
1,155,0.988,0.991,-0.001
1,156,0.842,0.879,-0.009
1,157,0.825,0.866,-0.009
1,158,0.764,0.815,-0.013
1,159,0.786,0.833,-0.012
1,160,0.879,0.908,-0.007
1,161,0.781,0.829,-0.012
1,162,0.719,0.778,-0.016
1,163,0.76,0.812,-0.013
1,164,0.675,0.74,-0.018
1,165,0.765,0.816,-0.013
1,166,0.929,0.947,-0.004
1,167,0.849,0.884,-0.008
1,168,0.971,0.979,-0.002
1,169,0.902,0.926,-0.006
1,170,0.863,0.896,-0.008
1,171,0.762,0.814,-0.014
1,172,0.615,0.687,-0.023
1,173,0.685,0.749,-0.019
1,174,0.617,0.689,-0.023
1,175,0.804,0.849,-0.011
1,176,0.837,0.875,-0.01
1,177,0.78,0.829,-0.013
1,178,0.71,0.77,-0.017
1,179,0.774,0.824,-0.014
1,180,0.588,0.663,-0.026
1,181,0.774,0.824,-0.014
1,182,0.978,0.984,-0.001
1,183,0.917,0.938,-0.005
1,184,0.876,0.905,-0.008
1,185,0.998,0.999,-0.0
1,186,0.803,0.847,-0.012
1,187,0.771,0.822,-0.014
1,188,0.752,0.805,-0.016
1,189,0.791,0.838,-0.013
1,190,0.957,0.968,-0.003
1,191,0.824,0.864,-0.011
1,192,0.904,0.928,-0.006
1,193,0.764,0.815,-0.015
1,194,0.744,0.799,-0.017
1,195,0.794,0.84,-0.013
1,196,0.968,0.976,0.002
1,197,0.962,0.972,-0.002
1,198,0.786,0.833,-0.014
1,199,0.934,0.95,-0.004
1,200,0.919,0.94,-0.005
1,201,0.9,0.925,-0.007
1,202,0.882,0.91,0.008
1,203,0.998,0.999,-0.0
1,204,0.734,0.79,-0.018
1,205,0.91,0.932,0.006
1,206,0.874,0.905,0.008
1,207,0.955,0.967,0.003
1,208,0.98,0.985,0.001
1,209,0.854,0.889,0.01
1,210,0.948,0.962,-0.004
1,211,0.938,0.954,0.004
1,212,0.768,0.819,0.016
1,213,0.939,0.954,0.004
1,214,0.955,0.966,-0.003
1,215,0.992,0.994,-0.001
1,216,0.942,0.957,-0.004
1,217,0.992,0.994,0.001
1,218,0.835,0.873,-0.012
1,219,0.912,0.934,-0.006
1,220,0.903,0.927,-0.007
1,221,0.754,0.807,-0.018
1,222,0.921,0.941,-0.006
1,223,0.654,0.721,-0.026
1,224,0.583,0.658,-0.032
1,39,0.962,0.972,0.002
1,40,0.638,0.708,-0.016
1,41,0.701,0.763,-0.013
1,42,0.613,0.685,-0.017
1,43,0.708,0.769,-0.013
1,44,0.73,0.787,-0.012
1,45,0.896,0.922,-0.004
1,46,0.921,0.94,-0.003
1,47,0.612,0.685,-0.017
1,48,0.822,0.863,-0.008
1,49,0.933,0.95,-0.003
1,50,0.829,0.868,-0.007
1,51,0.987,0.99,-0.001
1,52,0.667,0.733,0.014
1,53,0.792,0.838,0.009
1,54,0.795,0.841,0.009
1,55,0.661,0.727,0.015
1,56,0.633,0.703,0.016
1,57,0.645,0.714,0.016
1,58,0.72,0.779,0.012
1,59,0.894,0.92,0.005
1,60,0.802,0.847,0.009
1,61,0.678,0.742,0.014
1,62,0.939,0.954,0.003
1,63,0.782,0.83,-0.01
1,64,0.871,0.902,0.006
1,65,0.937,0.953,0.003
1,66,0.897,0.922,-0.005
1,67,0.835,0.873,-0.007
1,68,0.776,0.825,-0.01
1,69,0.859,0.893,-0.006
1,70,0.813,0.856,-0.008
1,71,0.647,0.716,-0.016
1,72,0.934,0.951,0.003
1,73,0.768,0.819,-0.01
1,74,0.73,0.787,-0.012
1,75,0.912,0.934,-0.004
1,76,0.874,0.904,-0.006
1,77,0.731,0.788,-0.012
1,78,0.797,0.842,0.009
1,79,0.977,0.983,-0.001
1,80,0.808,0.851,-0.009
1,81,0.998,0.999,-0.0
1,82,0.878,0.907,0.006
1,83,0.915,0.936,-0.004
1,84,0.942,0.957,0.003
1,85,0.696,0.758,0.014
1,86,0.695,0.758,0.014
1,87,0.989,0.992,-0.0
1,88,0.909,0.932,0.004
1,89,0.996,0.997,0.0
1,90,0.746,0.8,-0.012
1,91,0.761,0.813,-0.011
1,92,0.949,0.962,-0.002
1,93,0.982,0.986,-0.001
