slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.039,0.067,-0.075
1,101,0.053,0.086,-0.071
1,102,0.016,0.031,-0.088
1,103,0.018,0.034,-0.087
1,104,0.054,0.087,-0.071
1,105,0.047,0.077,-0.074
1,106,0.042,0.07,-0.076
1,107,0.017,0.033,-0.089
1,108,0.052,0.085,-0.073
1,109,0.04,0.068,-0.077
1,110,0.042,0.07,-0.076
1,111,0.017,0.032,-0.09
1,112,0.023,0.042,-0.085
1,113,0.019,0.036,-0.088
1,114,0.009,0.019,-0.099
1,115,0.015,0.03,-0.092
1,116,0.023,0.043,-0.086
1,117,0.025,0.045,-0.086
1,118,0.008,0.016,-0.102
1,119,0.009,0.019,-0.1
1,120,0.017,0.033,-0.091
1,121,0.036,0.062,-0.081
1,122,0.014,0.028,-0.095
1,123,0.012,0.024,-0.097
1,124,0.007,0.016,-0.104
1,125,0.009,0.018,-0.102
1,126,0.025,0.045,-0.087
1,127,0.033,0.057,-0.083
1,128,0.027,0.049,-0.086
1,129,0.025,0.045,-0.088
1,130,0.035,0.061,-0.082
1,131,0.038,0.065,-0.081
1,132,0.026,0.047,-0.087
1,133,0.026,0.047,-0.088
1,134,0.032,0.056,-0.084
1,135,0.04,0.068,-0.081
1,136,0.036,0.062,-0.083
1,137,0.047,0.078,-0.079
1,138,0.036,0.062,-0.084
1,139,0.029,0.051,-0.087
1,140,0.027,0.048,-0.088
1,141,0.053,0.087,-0.077
1,142,0.044,0.074,-0.081
1,143,0.091,0.138,-0.068
1,144,0.056,0.09,-0.077
1,145,0.062,0.099,-0.075
1,146,0.084,0.128,-0.07
1,147,0.107,0.158,-0.065
1,148,0.141,0.2,-0.06
1,149,0.098,0.146,-0.067
1,150,0.138,0.196,-0.06
1,151,0.157,0.219,-0.058
1,152,0.104,0.153,-0.067
1,153,0.085,0.129,-0.071
1,154,0.167,0.231,-0.057
1,155,0.16,0.223,-0.058
1,156,0.143,0.202,-0.061
1,157,0.341,0.423,-0.04
1,158,0.21,0.281,-0.052
1,159,0.225,0.298,-0.051
1,160,0.183,0.25,-0.056
1,161,0.143,0.202,-0.062
1,162,0.165,0.228,-0.059
1,163,0.201,0.27,-0.054
1,164,0.186,0.254,-0.056
1,165,0.208,0.278,-0.054
1,166,0.109,0.16,-0.069
1,167,0.098,0.146,-0.071
1,168,0.133,0.19,-0.065
1,169,0.076,0.118,-0.077
1,170,0.101,0.15,-0.072
1,171,0.114,0.166,-0.069
1,172,0.088,0.133,-0.075
1,173,0.073,0.114,-0.08
1,174,0.096,0.144,-0.074
1,175,0.069,0.108,-0.082
1,176,0.04,0.067,-0.092
1,177,0.033,0.058,-0.096
1,178,0.018,0.034,-0.107
1,179,0.034,0.059,-0.096
1,180,0.052,0.085,-0.089
1,181,0.024,0.045,-0.103
1,182,0.035,0.06,-0.097
1,183,0.017,0.032,-0.111
1,184,0.024,0.044,-0.105
1,185,0.018,0.034,-0.111
1,186,0.018,0.034,-0.112
1,187,0.011,0.022,-0.121
1,188,0.028,0.049,-0.105
1,189,0.03,0.052,-0.104
1,190,0.02,0.038,-0.112
1,191,0.012,0.024,-0.122
1,192,0.02,0.037,-0.114
1,193,0.012,0.023,-0.124
1,194,0.008,0.018,-0.13
1,195,0.015,0.03,-0.12
1,196,0.013,0.025,-0.124
1,197,0.009,0.018,-0.131
1,198,0.007,0.015,-0.135
1,199,0.013,0.025,-0.126
1,200,0.012,0.024,-0.127
1,201,0.02,0.037,-0.119
1,202,0.008,0.017,-0.135
1,203,0.012,0.024,-0.128
1,204,0.021,0.039,-0.119
1,205,0.022,0.041,-0.118
1,206,0.021,0.038,-0.12
1,207,0.029,0.052,-0.113
1,208,0.029,0.052,-0.114
1,209,0.02,0.038,-0.122
1,210,0.028,0.05,-0.116
1,211,0.04,0.068,-0.108
1,212,0.025,0.045,-0.119
1,213,0.034,0.059,-0.113
1,214,0.061,0.098,-0.1
1,215,0.049,0.08,-0.106
1,216,0.073,0.114,-0.096
1,217,0.054,0.088,-0.104
1,218,0.071,0.111,-0.098
1,219,0.076,0.117,-0.096
1,220,0.089,0.134,-0.093
1,221,0.067,0.106,-0.1
1,222,0.133,0.19,-0.083
1,223,0.106,0.156,-0.089
1,224,0.151,0.212,-0.08
1,39,0.029,0.051,-0.07
1,40,0.016,0.03,-0.078
1,41,0.014,0.028,-0.079
1,42,0.019,0.035,-0.076
1,43,0.04,0.067,-0.067
1,44,0.048,0.08,-0.064
1,45,0.041,0.07,-0.066
1,46,0.042,0.071,-0.066
1,47,0.023,0.043,-0.074
1,48,0.018,0.034,-0.077
1,49,0.063,0.101,-0.06
1,50,0.027,0.048,-0.072
1,51,0.025,0.045,-0.073
1,52,0.037,0.063,-0.068
1,53,0.017,0.032,-0.078
1,54,0.049,0.081,-0.064
1,55,0.029,0.051,-0.072
1,56,0.052,0.085,-0.064
1,57,0.041,0.069,-0.068
1,58,0.031,0.054,-0.071
1,59,0.046,0.076,-0.066
1,60,0.014,0.027,-0.082
1,61,0.051,0.083,-0.065
1,62,0.02,0.037,-0.078
1,63,0.037,0.064,-0.069
1,64,0.026,0.048,-0.074
1,65,0.02,0.038,-0.078
1,66,0.056,0.091,-0.064
1,67,0.014,0.028,-0.083
1,68,0.028,0.05,-0.074
1,69,0.014,0.028,-0.083
1,70,0.044,0.074,-0.068
1,71,0.093,0.14,-0.057
1,72,0.085,0.13,-0.059
1,73,0.04,0.068,-0.07
1,74,0.064,0.102,-0.063
1,75,0.084,0.128,-0.06
1,76,0.114,0.167,-0.055
1,77,0.066,0.105,-0.064
1,78,0.158,0.22,-0.049
1,79,0.157,0.22,-0.049
1,80,0.139,0.198,-0.052
1,81,0.1,0.149,-0.058
1,82,0.141,0.2,-0.052
1,83,0.104,0.154,-0.057
1,84,0.068,0.107,-0.064
1,85,0.18,0.246,-0.047
1,86,0.149,0.209,-0.051
1,87,0.106,0.157,-0.057
1,88,0.106,0.156,-0.058
