slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.365,0.448,-0.033
1,101,0.495,0.576,-0.025
1,102,0.265,0.342,-0.041
1,103,0.234,0.308,-0.044
1,104,0.414,0.497,-0.03
1,105,0.406,0.49,-0.031
1,106,0.378,0.461,-0.033
1,107,0.219,0.291,-0.046
1,108,0.449,0.532,-0.028
1,109,0.414,0.497,-0.03
1,110,0.377,0.46,-0.033
1,111,0.2,0.269,-0.048
1,112,0.259,0.336,-0.042
1,113,0.2,0.269,-0.048
1,114,0.155,0.217,-0.054
1,115,0.223,0.296,-0.046
1,116,0.235,0.309,-0.045
1,117,0.288,0.367,-0.041
1,118,0.13,0.186,-0.058
1,119,0.148,0.209,-0.055
1,120,0.204,0.274,-0.049
1,121,0.347,0.429,-0.036
1,122,0.165,0.229,-0.053
1,123,0.182,0.249,-0.052
1,124,0.127,0.183,-0.059
1,125,0.148,0.209,-0.056
1,126,0.252,0.327,-0.045
1,127,0.331,0.412,-0.038
1,128,0.311,0.391,-0.039
1,129,0.267,0.344,-0.043
1,130,0.323,0.404,-0.039
1,131,0.336,0.418,-0.037
1,132,0.266,0.344,-0.043
1,133,0.3,0.38,-0.041
1,134,0.371,0.454,-0.035
1,135,0.398,0.481,-0.033
1,136,0.37,0.453,-0.035
1,137,0.413,0.496,-0.032
1,138,0.35,0.432,-0.037
1,139,0.349,0.431,-0.037
1,140,0.336,0.418,-0.038
1,141,0.504,0.585,-0.027
1,142,0.431,0.514,-0.032
1,143,0.691,0.754,-0.016
1,144,0.543,0.621,-0.024
1,145,0.581,0.656,-0.022
1,146,0.666,0.732,-0.017
1,147,0.737,0.793,-0.014
1,148,0.893,0.919,-0.005
1,149,0.702,0.764,-0.015
1,150,0.864,0.896,-0.007
1,151,0.954,0.966,-0.002
1,152,0.805,0.849,-0.01
1,153,0.705,0.765,-0.016
1,154,0.952,0.965,-0.002
1,155,0.946,0.959,-0.003
1,156,0.885,0.913,-0.006
1,157,0.731,0.788,0.014
1,158,0.963,0.972,0.002
1,159,0.892,0.918,0.006
1,160,0.991,0.993,0.0
1,161,0.915,0.936,-0.004
1,162,0.966,0.975,-0.002
1,163,0.954,0.966,0.002
1,164,0.952,0.964,0.003
1,165,0.966,0.975,0.002
1,166,0.762,0.814,-0.013
1,167,0.68,0.745,-0.018
1,168,0.73,0.787,-0.015
1,169,0.526,0.606,-0.027
1,170,0.67,0.736,-0.019
1,171,0.789,0.836,-0.012
1,172,0.74,0.795,-0.015
1,173,0.608,0.681,-0.023
1,174,0.661,0.728,-0.019
1,175,0.544,0.622,-0.027
1,176,0.385,0.468,-0.039
1,177,0.353,0.436,-0.042
1,178,0.251,0.326,-0.052
1,179,0.353,0.435,-0.042
1,180,0.457,0.539,-0.034
1,181,0.296,0.376,-0.048
1,182,0.321,0.402,-0.046
1,183,0.2,0.269,-0.059
1,184,0.247,0.322,-0.054
1,185,0.189,0.256,-0.062
1,186,0.207,0.278,-0.059
1,187,0.152,0.214,-0.068
1,188,0.266,0.343,-0.053
1,189,0.269,0.346,-0.053
1,190,0.203,0.273,-0.061
1,191,0.17,0.235,-0.066
1,192,0.212,0.283,-0.061
1,193,0.141,0.2,-0.072
1,194,0.125,0.18,-0.075
1,195,0.187,0.255,-0.065
1,196,0.161,0.224,-0.069
1,197,0.122,0.177,-0.077
1,198,0.124,0.179,-0.077
1,199,0.15,0.211,-0.072
1,200,0.154,0.216,-0.072
1,201,0.203,0.273,-0.065
1,202,0.105,0.155,-0.083
1,203,0.149,0.21,-0.074
1,204,0.235,0.309,-0.061
1,205,0.217,0.289,-0.064
1,206,0.197,0.266,-0.067
1,207,0.234,0.308,-0.062
1,208,0.241,0.316,-0.061
1,209,0.208,0.279,-0.066
1,210,0.275,0.353,-0.057
1,211,0.314,0.394,-0.053
1,212,0.214,0.286,-0.065
1,213,0.301,0.381,-0.055
1,214,0.424,0.507,-0.043
1,215,0.371,0.454,-0.048
1,216,0.492,0.573,-0.037
1,217,0.431,0.514,-0.042
1,218,0.539,0.618,-0.033
1,219,0.502,0.583,-0.036
1,220,0.562,0.639,-0.032
1,221,0.484,0.566,-0.038
1,222,0.669,0.735,-0.023
1,223,0.608,0.681,-0.028
1,224,0.78,0.829,-0.015
1,39,0.352,0.434,-0.03
1,40,0.27,0.347,-0.036
1,41,0.274,0.352,-0.035
1,42,0.368,0.45,-0.029
1,43,0.415,0.498,-0.026
1,44,0.537,0.616,-0.02
1,45,0.467,0.55,-0.023
1,46,0.452,0.535,-0.024
1,47,0.321,0.402,-0.032
1,48,0.31,0.39,-0.033
1,49,0.507,0.588,-0.022
1,50,0.31,0.39,-0.033
1,51,0.291,0.37,-0.034
1,52,0.376,0.459,-0.029
1,53,0.268,0.346,-0.036
1,54,0.416,0.499,-0.027
1,55,0.337,0.419,-0.031
1,56,0.463,0.546,-0.024
1,57,0.389,0.472,-0.028
1,58,0.349,0.432,-0.031
1,59,0.468,0.55,-0.024
1,60,0.214,0.285,-0.041
1,61,0.452,0.535,-0.025
1,62,0.307,0.387,-0.034
1,63,0.417,0.5,-0.027
1,64,0.27,0.348,-0.037
1,65,0.239,0.313,-0.039
1,66,0.493,0.574,-0.023
1,67,0.252,0.328,-0.038
1,68,0.36,0.443,-0.031
1,69,0.226,0.299,-0.041
1,70,0.476,0.558,-0.024
1,71,0.697,0.759,-0.013
1,72,0.604,0.677,-0.018
1,73,0.449,0.532,-0.026
1,74,0.573,0.649,-0.019
1,75,0.647,0.716,-0.016
1,76,0.742,0.797,-0.011
1,77,0.54,0.618,-0.021
1,78,0.798,0.844,-0.009
1,79,0.77,0.821,-0.01
1,80,0.755,0.808,-0.011
1,81,0.683,0.747,-0.014
1,82,0.759,0.811,-0.011
1,83,0.765,0.816,-0.01
1,84,0.61,0.682,-0.018
1,85,0.894,0.92,-0.005
1,86,0.793,0.84,-0.009
1,87,0.77,0.82,-0.01
1,88,0.724,0.782,-0.013
1,89,0.8,0.845,-0.009
1,90,0.697,0.759,-0.014
1,91,0.655,0.723,-0.016
1,92,0.604,0.677,-0.019
1,93,0.716,0.775,-0.013
1,94,0.628,0.699,-0.017
1,95,0.774,0.824,-0.01
1,96,0.352,0.434,-0.034
1,97,0.507,0.587,-0.024
1,98,0.579,0.655,-0.02
1,99,0.516,0.596,-0.024
10,10,0.181,0.248,-0.043
10,100,0.877,0.906,-0.006
10,101,0.775,0.825,-0.01
10,102,0.85,0.886,-0.007
10,103,0.809,0.853,-0.009
10,104,0.818,0.859,-0.008
10,105,0.933,0.949,0.003
10,106,0.862,0.894,0.006
10,107,0.994,0.996,0.0
10,108,0.68,0.744,-0.015
10,109,0.575,0.651,-0.021
10,11,0.158,0.22,-0.045
10,110,0.493,0.574,-0.026
10,111,0.575,0.651,-0.021
10,112,0.784,0.832,-0.01
10,113,0.876,0.906,-0.006
10,114,0.915,0.936,0.004
10,115,0.763,0.814,0.011
10,116,0.946,0.959,0.003
10,117,0.918,0.939,-0.004
10,118,0.749,0.803,-0.012
10,119,0.998,0.999,0.0
10,12,0.415,0.498,-0.026
10,120,0.961,0.971,0.002
10,121,0.894,0.92,-0.005
10,122,0.712,0.772,-0.014
10,123,0.892,0.919,-0.005
10,124,0.925,0.944,-0.004
10,125,0.954,0.966,-0.002
10,126,0.948,0.961,-0.003
10,127,0.939,0.954,-0.003
10,128,0.908,0.93,-0.004
10,129,0.851,0.886,-0.007
10,13,0.164,0.228,-0.044
10,130,0.904,0.928,-0.005
10,131,0.726,0.784,-0.014
10,132,0.823,0.864,-0.009
10,133,0.566,0.643,-0.022
10,134,0.613,0.685,-0.02
10,135,0.552,0.63,-0.023
10,136,0.582,0.657,-0.021
10,137,0.511,0.592,-0.026
10,138,0.662,0.729,-0.017
10,139,0.603,0.677,-0.02
10,14,0.276,0.354,-0.034
10,140,0.549,0.628,-0.024
10,141,0.611,0.683,-0.02
10,142,0.462,0.545,-0.029
10,143,0.506,0.586,-0.026
10,144,0.523,0.602,-0.025
10,145,0.446,0.529,-0.03
10,146,0.421,0.504,-0.032
10,147,0.54,0.619,-0.024
10,148,0.587,0.662,-0.022
10,149,0.617,0.689,-0.02
10,15,0.383,0.466,-0.027
10,150,0.705,0.766,-0.015
10,151,0.693,0.755,-0.016
10,152,0.896,0.921,-0.005
10,153,0.999,0.999,-0.0
10,154,0.832,0.871,0.008
10,155,0.873,0.904,-0.006
10,156,0.964,0.973,0.002
10,157,0.88,0.909,0.006
10,158,0.923,0.943,-0.004
10,159,0.979,0.984,-0.001
10,16,0.084,0.128,-0.054
10,160,0.943,0.958,0.003
10,161,0.866,0.898,0.007
10,162,0.96,0.97,0.002
10,163,0.929,0.947,0.004
10,164,0.935,0.951,0.003
10,165,0.896,0.921,-0.005
10,166,0.912,0.934,0.004
10,167,0.968,0.977,0.002
10,168,0.824,0.865,-0.009
10,169,0.721,0.779,-0.014
10,17,0.383,0.466,-0.027
10,170,0.61,0.682,-0.021
10,171,0.813,0.856,-0.01
10,172,0.956,0.967,-0.002
10,173,0.718,0.777,-0.015
10,174,0.702,0.764,-0.016
10,175,0.803,0.848,-0.01
10,176,0.834,0.873,-0.009
10,177,0.653,0.721,-0.019
10,178,0.678,0.743,-0.017
10,179,0.709,0.77,-0.015
10,18,0.311,0.391,-0.031
10,180,0.619,0.691,-0.021
10,181,0.619,0.691,-0.021
10,182,0.699,0.761,-0.016
10,183,0.728,0.785,-0.015
10,184,0.728,0.785,-0.015
10,185,0.838,0.876,-0.009
10,186,0.693,0.755,-0.017
10,187,0.718,0.777,-0.015
10,188,0.514,0.594,-0.028
10,189,0.349,0.431,-0.041
10,19,0.218,0.29,-0.039
10,190,0.484,0.566,-0.03
10,191,0.411,0.495,-0.036
10,192,0.453,0.536,-0.033
10,193,0.528,0.607,-0.028
10,194,0.39,0.473,-0.038
10,195,0.469,0.551,-0.033
10,196,0.371,0.454,-0.04
10,197,0.264,0.341,-0.051
10,198,0.18,0.246,-0.061
10,199,0.219,0.291,-0.057
10,20,0.232,0.306,-0.037
10,200,0.174,0.24,-0.063
10,201,0.231,0.305,-0.056
10,202,0.214,0.285,-0.058
10,203,0.19,0.258,-0.062
10,204,0.164,0.227,-0.066
10,205,0.224,0.296,-0.058
10,206,0.244,0.319,-0.056
10,207,0.201,0.271,-0.062
10,208,0.152,0.214,-0.07
10,209,0.172,0.237,-0.067
10,21,0.217,0.289,-0.038
10,210,0.112,0.164,-0.079
10,211,0.118,0.172,-0.079
10,212,0.181,0.247,-0.068
10,213,0.136,0.194,-0.076
10,214,0.169,0.233,-0.071
10,215,0.099,0.148,-0.085
10,216,0.091,0.137,-0.088
10,217,0.103,0.152,-0.086
10,218,0.141,0.2,-0.078
10,219,0.137,0.195,-0.079
10,22,0.298,0.378,-0.032
10,220,0.12,0.174,-0.083
10,221,0.118,0.171,-0.084
10,222,0.111,0.163,-0.087
10,223,0.119,0.172,-0.085
10,224,0.083,0.127,-0.095
10,225,0.041,0.069,-0.113
10,226,0.11,0.162,-0.089
10,227,0.12,0.174,-0.087
10,228,0.143,0.203,-0.082
10,229,0.098,0.146,-0.093
10,23,0.357,0.439,-0.029
10,230,0.118,0.172,-0.089
10,231,0.122,0.176,-0.088
10,232,0.088,0.134,-0.098
10,233,0.13,0.187,-0.087
10,234,0.109,0.16,-0.093
10,235,0.09,0.137,-0.098
10,236,0.148,0.208,-0.084
10,237,0.097,0.145,-0.097
10,238,0.168,0.232,-0.081
10,239,0.079,0.122,-0.104
10,24,0.217,0.289,-0.038
10,240,0.116,0.169,-0.093
10,241,0.113,0.166,-0.094
10,242,0.094,0.141,-0.1
10,243,0.107,0.158,-0.097
10,244,0.172,0.237,-0.082
10,245,0.098,0.147,-0.1
10,246,0.192,0.261,-0.079
10,247,0.2,0.269,-0.078
10,248,0.193,0.261,-0.08
10,249,0.265,0.342,-0.069
10,25,0.252,0.328,-0.036
10,250,0.275,0.353,-0.068
10,251,0.21,0.281,-0.079
10,26,0.277,0.355,-0.034
10,27,0.282,0.36,-0.034
10,28,0.26,0.336,-0.035
10,29,0.225,0.298,-0.038
10,30,0.291,0.371,-0.033
10,31,0.227,0.3,-0.038
10,32,0.359,0.442,-0.029
10,33,0.12,0.174,-0.049
10,34,0.171,0.236,-0.043
10,35,0.301,0.381,-0.032
10,36,0.304,0.384,-0.032
10,37,0.202,0.271,-0.04
10,38,0.403,0.487,-0.026
10,39,0.149,0.209,-0.045
10,40,0.217,0.289,-0.039
10,41,0.36,0.442,-0.029
10,42,0.198,0.267,-0.041
10,43,0.304,0.384,-0.032
10,44,0.317,0.398,-0.032
10,45,0.344,0.426,-0.03
10,46,0.33,0.412,-0.031
10,47,0.464,0.547,-0.023
10,48,0.424,0.507,-0.025
10,49,0.364,0.446,-0.029
10,50,0.441,0.524,-0.025
10,51,0.569,0.646,-0.018
10,52,0.294,0.374,-0.034
10,53,0.468,0.551,-0.023
10,54,0.384,0.467,-0.028
10,55,0.679,0.743,-0.013
10,56,0.481,0.563,-0.023
10,57,0.708,0.768,-0.012
10,58,0.578,0.654,-0.018
10,59,0.672,0.737,-0.014
10,60,0.683,0.747,-0.013
10,61,0.561,0.638,-0.019
10,62,0.882,0.91,-0.005
10,63,0.513,0.593,-0.021
10,64,0.7,0.761,-0.013
10,65,0.569,0.646,-0.019
10,66,0.727,0.784,-0.012
10,67,0.58,0.656,-0.018
10,68,0.979,0.985,0.001
10,69,0.645,0.714,-0.015
10,7,0.128,0.184,-0.05
10,70,0.912,0.934,-0.004
10,71,0.999,0.999,0.0
10,72,0.979,0.984,0.001
10,73,0.729,0.786,-0.012
10,74,0.793,0.839,-0.009
10,75,0.772,0.822,-0.01
10,76,0.953,0.965,0.002
10,77,0.718,0.777,-0.012
10,78,0.62,0.692,-0.017
10,79,0.96,0.971,-0.002
10,8,0.13,0.187,-0.05
10,80,0.882,0.91,-0.005
10,81,0.921,0.941,-0.003
10,82,0.781,0.83,-0.01
10,83,0.649,0.717,-0.016
10,84,0.966,0.975,0.001
10,85,0.941,0.956,-0.003
10,86,0.965,0.974,0.002
10,87,0.978,0.983,-0.001
10,88,0.836,0.874,-0.007
10,89,0.858,0.892,-0.006
10,9,0.174,0.239,-0.044
10,90,0.873,0.903,0.006
10,91,0.909,0.932,-0.004
10,92,0.777,0.826,-0.01
10,93,0.801,0.846,-0.009
10,94,0.985,0.989,-0.001
10,95,0.81,0.853,-0.009
10,96,0.845,0.882,-0.007
10,97,0.699,0.761,-0.014
10,98,0.896,0.921,-0.005
10,99,0.81,0.853,-0.009
100,10,0.078,0.121,-0.061
100,100,0.652,0.72,-0.02
100,101,0.734,0.791,-0.015
100,102,0.996,0.997,-0.0
100,103,0.725,0.783,-0.015
100,104,0.704,0.765,-0.017
100,105,0.859,0.893,-0.008
100,106,0.599,0.673,-0.023
100,107,0.713,0.772,-0.016
100,108,0.77,0.82,-0.013
100,109,0.668,0.734,-0.019
100,11,0.108,0.159,-0.055
100,110,0.403,0.486,-0.037
100,111,0.493,0.574,-0.031
100,112,0.581,0.656,-0.025
100,113,0.635,0.705,-0.021
100,114,0.777,0.826,-0.013
100,115,0.671,0.737,-0.019
100,116,0.478,0.56,-0.032
100,117,0.688,0.751,-0.018
100,118,0.595,0.669,-0.024
100,119,0.722,0.781,-0.016
100,12,0.099,0.147,-0.056
100,120,0.668,0.734,-0.019
100,121,0.711,0.771,-0.017
100,122,0.761,0.813,-0.014
100,123,0.784,0.832,-0.013
100,124,0.715,0.774,-0.017
100,125,0.733,0.789,-0.016
100,126,0.905,0.928,-0.005
100,127,0.928,0.946,-0.004
100,128,0.855,0.89,-0.008
100,129,0.898,0.923,-0.006
100,13,0.04,0.068,-0.069
100,130,0.979,0.985,-0.001
100,131,0.832,0.871,0.01
100,132,0.955,0.967,-0.003
100,133,0.925,0.944,-0.004
100,134,0.98,0.985,-0.001
100,135,0.938,0.954,0.004
100,136,0.849,0.884,0.009
100,137,0.97,0.978,0.002
100,138,0.867,0.899,0.008
100,139,0.739,0.794,0.015
100,14,0.073,0.114,-0.06
100,140,0.853,0.888,0.008
100,141,0.969,0.977,-0.002
100,142,0.869,0.901,0.008
100,143,0.94,0.955,0.003
100,144,0.954,0.966,0.003
100,145,0.939,0.954,0.004
100,146,0.841,0.878,0.009
100,147,0.952,0.965,-0.003
100,148,0.797,0.843,-0.012
100,149,0.913,0.934,-0.005
100,15,0.101,0.15,-0.055
100,150,0.869,0.9,0.008
100,151,0.944,0.958,0.003
100,152,0.87,0.901,-0.008
100,153,0.846,0.882,-0.009
100,154,0.978,0.984,0.001
100,155,0.802,0.847,-0.012
100,156,0.932,0.949,-0.004
100,157,0.9,0.925,0.006
100,158,0.929,0.947,-0.004
100,159,0.924,0.943,0.004
100,16,0.017,0.033,-0.079
100,160,0.967,0.975,0.002
100,161,0.856,0.89,0.008
100,162,0.921,0.94,-0.005
100,163,0.821,0.862,-0.01
100,164,0.795,0.841,-0.012
100,165,0.901,0.925,-0.006
100,166,0.888,0.915,-0.006
100,167,0.941,0.956,-0.003
100,168,0.923,0.942,0.004
100,169,0.954,0.966,-0.003
100,17,0.033,0.057,-0.071
100,170,0.963,0.972,-0.002
100,171,0.646,0.714,-0.021
100,172,0.589,0.664,-0.024
100,173,0.935,0.951,-0.004
100,174,0.8,0.845,-0.011
100,175,0.703,0.764,-0.017
100,176,0.787,0.835,-0.012
100,177,0.592,0.667,-0.024
100,178,0.632,0.702,-0.021
100,179,0.617,0.689,-0.022
100,18,0.021,0.039,-0.077
100,180,0.595,0.669,-0.024
100,181,0.527,0.606,-0.028
100,182,0.465,0.547,-0.033
100,183,0.724,0.782,-0.016
100,184,0.708,0.768,-0.017
100,185,0.66,0.727,-0.02
100,186,0.611,0.684,-0.023
100,187,0.641,0.71,-0.021
100,188,0.457,0.54,-0.033
100,189,0.381,0.464,-0.039
100,19,0.02,0.038,-0.077
100,190,0.695,0.757,-0.018
100,191,0.589,0.664,-0.024
100,192,0.381,0.464,-0.039
100,193,0.436,0.519,-0.035
100,194,0.592,0.667,-0.024
100,195,0.55,0.628,-0.027
100,196,0.448,0.531,-0.035
100,197,0.479,0.561,-0.033
100,198,0.416,0.499,-0.037
100,199,0.359,0.442,-0.043
100,20,0.07,0.11,-0.06
100,200,0.452,0.535,-0.035
100,201,0.532,0.612,-0.029
100,202,0.568,0.644,-0.027
100,203,0.435,0.519,-0.037
100,204,0.523,0.603,-0.031
100,205,0.481,0.563,-0.034
100,206,0.534,0.613,-0.03
100,207,0.488,0.57,-0.034
100,208,0.529,0.608,-0.031
100,209,0.483,0.565,-0.035
100,21,0.06,0.096,-0.062
100,210,0.44,0.523,-0.039
100,211,0.662,0.729,-0.022
100,212,0.672,0.737,-0.022
100,213,0.519,0.599,-0.033
100,214,0.554,0.632,-0.031
100,215,0.471,0.553,-0.038
100,216,0.433,0.516,-0.042
100,217,0.32,0.401,-0.053
100,218,0.472,0.555,-0.039
100,219,0.505,0.586,-0.036
100,22,0.045,0.075,-0.067
100,220,0.462,0.544,-0.041
100,221,0.543,0.622,-0.034
100,222,0.399,0.482,-0.047
100,223,0.425,0.508,-0.045
100,224,0.444,0.527,-0.044
100,225,0.359,0.442,-0.053
100,226,0.226,0.299,-0.07
100,227,0.408,0.491,-0.048
100,228,0.366,0.449,-0.053
100,229,0.349,0.431,-0.055
100,23,0.029,0.051,-0.073
100,230,0.294,0.373,-0.063
100,231,0.237,0.311,-0.071
100,232,0.242,0.317,-0.07
100,233,0.195,0.263,-0.078
100,234,0.218,0.29,-0.075
100,235,0.126,0.182,-0.093
100,236,0.084,0.128,-0.106
100,237,0.169,0.233,-0.084
