slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.021,0.04,-0.087
1,101,0.005,0.012,-0.106
1,102,0.003,0.007,-0.114
1,103,0.01,0.02,-0.099
1,104,0.012,0.024,-0.096
1,105,0.008,0.017,-0.102
1,106,0.009,0.02,-0.1
1,107,0.011,0.023,-0.098
1,108,0.007,0.016,-0.103
1,109,0.006,0.014,-0.106
1,110,0.011,0.023,-0.098
1,111,0.011,0.022,-0.099
1,112,0.009,0.019,-0.102
1,113,0.023,0.042,-0.089
1,114,0.009,0.019,-0.102
1,115,0.005,0.012,-0.11
1,116,0.011,0.023,-0.1
1,117,0.004,0.01,-0.113
1,118,0.009,0.019,-0.103
1,119,0.006,0.013,-0.109
1,120,0.004,0.01,-0.114
1,121,0.002,0.006,-0.122
1,122,0.006,0.013,-0.11
1,123,0.005,0.011,-0.114
1,124,0.003,0.008,-0.118
1,125,0.004,0.009,-0.117
1,126,0.005,0.011,-0.113
1,127,0.003,0.007,-0.121
1,128,0.004,0.009,-0.117
1,129,0.003,0.008,-0.119
1,130,0.002,0.006,-0.123
1,131,0.006,0.013,-0.111
1,132,0.007,0.015,-0.109
1,133,0.003,0.007,-0.123
1,134,0.001,0.003,-0.132
1,135,0.002,0.004,-0.13
1,136,0.002,0.005,-0.127
1,137,0.004,0.009,-0.118
1,138,0.003,0.007,-0.124
1,139,0.001,0.004,-0.133
1,140,0.001,0.004,-0.132
1,141,0.001,0.003,-0.135
1,142,0.001,0.003,-0.135
1,143,0.0,0.001,-0.148
1,144,0.0,0.002,-0.146
1,145,0.001,0.003,-0.139
1,146,0.0,0.001,-0.148
1,147,0.001,0.002,-0.142
1,148,0.0,0.001,-0.15
1,149,0.0,0.001,-0.148
1,150,0.0,0.001,-0.153
1,151,0.0,0.0,-0.162
1,152,0.0,0.0,-0.165
1,153,0.0,0.001,-0.161
1,154,0.0,0.001,-0.153
1,155,0.0,0.001,-0.151
1,156,0.0,0.001,-0.152
1,157,0.001,0.002,-0.146
1,158,0.001,0.002,-0.15
1,159,0.0,0.001,-0.152
1,160,0.0,0.001,-0.157
1,161,0.0,0.001,-0.159
1,162,0.001,0.002,-0.152
1,163,0.001,0.002,-0.153
1,164,0.0,0.001,-0.16
1,165,0.001,0.002,-0.148
1,166,0.001,0.002,-0.154
1,167,0.001,0.003,-0.147
1,168,0.002,0.005,-0.139
1,169,0.002,0.005,-0.138
1,170,0.001,0.003,-0.148
1,171,0.0,0.001,-0.168
1,172,0.0,0.0,-0.178
1,173,0.0,0.001,-0.167
1,174,0.001,0.003,-0.152
1,175,0.002,0.006,-0.141
1,176,0.002,0.005,-0.144
1,177,0.002,0.004,-0.147
1,178,0.002,0.004,-0.148
1,179,0.002,0.004,-0.15
1,180,0.002,0.005,-0.147
1,181,0.003,0.008,-0.141
1,182,0.005,0.012,-0.134
1,183,0.004,0.01,-0.137
1,184,0.006,0.013,-0.134
1,185,0.006,0.013,-0.134
1,186,0.003,0.007,-0.147
1,187,0.003,0.007,-0.148
1,188,0.004,0.009,-0.142
1,189,0.005,0.011,-0.14
1,190,0.009,0.019,-0.13
1,191,0.003,0.008,-0.148
1,192,0.003,0.008,-0.148
1,193,0.004,0.01,-0.145
1,194,0.004,0.009,-0.148
1,195,0.004,0.009,-0.147
1,196,0.004,0.009,-0.148
1,197,0.004,0.009,-0.15
1,198,0.002,0.006,-0.159
1,199,0.005,0.012,-0.146
1,200,0.004,0.009,-0.151
1,201,0.004,0.009,-0.152
1,202,0.007,0.014,-0.143
1,203,0.006,0.012,-0.147
1,204,0.004,0.009,-0.154
1,205,0.007,0.016,-0.144
1,206,0.006,0.013,-0.148
1,207,0.01,0.02,-0.14
1,208,0.008,0.017,-0.143
1,209,0.005,0.011,-0.153
1,210,0.005,0.012,-0.151
1,211,0.01,0.021,-0.14
1,212,0.007,0.015,-0.148
1,213,0.004,0.009,-0.159
1,214,0.004,0.01,-0.158
1,215,0.005,0.011,-0.157
1,216,0.003,0.007,-0.165
1,217,0.002,0.005,-0.172
1,218,0.001,0.003,-0.184
1,219,0.003,0.008,-0.165
1,220,0.003,0.006,-0.17
1,221,0.002,0.005,-0.174
1,222,0.004,0.01,-0.163
1,223,0.003,0.006,-0.172
1,224,0.002,0.004,-0.182
1,39,0.016,0.031,-0.08
1,40,0.016,0.03,-0.081
1,41,0.003,0.008,-0.098
1,42,0.004,0.01,-0.096
1,43,0.01,0.021,-0.086
1,44,0.004,0.01,-0.095
1,45,0.004,0.01,-0.096
1,46,0.008,0.017,-0.089
1,47,0.009,0.018,-0.088
1,48,0.004,0.009,-0.097
1,49,0.022,0.041,-0.077
1,50,0.007,0.015,-0.091
1,51,0.014,0.027,-0.084
1,52,0.014,0.027,-0.083
1,53,0.011,0.022,-0.086
1,54,0.007,0.016,-0.091
1,55,0.009,0.02,-0.088
1,56,0.014,0.028,-0.084
1,57,0.02,0.038,-0.079
1,58,0.008,0.017,-0.091
1,59,0.013,0.025,-0.085
1,60,0.016,0.031,-0.083
1,61,0.033,0.057,-0.074
1,62,0.009,0.019,-0.09
1,63,0.012,0.023,-0.087
1,64,0.015,0.028,-0.084
1,65,0.04,0.068,-0.071
1,66,0.014,0.028,-0.085
1,67,0.022,0.041,-0.08
1,68,0.018,0.034,-0.083
1,69,0.006,0.014,-0.095
1,70,0.014,0.028,-0.086
1,71,0.009,0.019,-0.092
1,72,0.018,0.034,-0.084
1,73,0.01,0.02,-0.091
1,74,0.008,0.018,-0.094
1,75,0.011,0.023,-0.09
1,76,0.011,0.023,-0.091
1,77,0.01,0.021,-0.092
1,78,0.011,0.022,-0.091
1,79,0.031,0.055,-0.077
1,80,0.018,0.034,-0.086
1,81,0.006,0.013,-0.1
1,82,0.01,0.02,-0.094
1,83,0.003,0.007,-0.109
1,84,0.006,0.013,-0.101
1,85,0.006,0.012,-0.102
1,86,0.01,0.021,-0.094
1,87,0.003,0.008,-0.108
1,88,0.009,0.019,-0.097
1,89,0.006,0.013,-0.102
1,90,0.004,0.009,-0.106
