slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.001,0.002,-0.126
1,101,0.001,0.003,-0.122
1,102,0.001,0.003,-0.124
1,103,0.001,0.004,-0.119
1,104,0.006,0.013,-0.103
1,105,0.003,0.008,-0.111
1,106,0.003,0.008,-0.11
1,107,0.002,0.004,-0.12
1,108,0.003,0.006,-0.114
1,109,0.002,0.006,-0.116
1,110,0.004,0.01,-0.109
1,111,0.003,0.007,-0.114
1,112,0.003,0.008,-0.112
1,113,0.003,0.008,-0.113
1,114,0.001,0.003,-0.125
1,115,0.002,0.006,-0.118
1,116,0.005,0.011,-0.11
1,117,0.004,0.009,-0.112
1,118,0.001,0.004,-0.124
1,119,0.002,0.006,-0.119
1,120,0.008,0.016,-0.105
1,121,0.011,0.022,-0.1
1,122,0.007,0.015,-0.106
1,123,0.003,0.008,-0.116
1,124,0.003,0.007,-0.117
1,125,0.001,0.004,-0.127
1,126,0.003,0.008,-0.117
1,127,0.005,0.011,-0.111
1,128,0.003,0.006,-0.12
1,129,0.003,0.008,-0.116
1,130,0.007,0.016,-0.107
1,131,0.006,0.013,-0.11
1,132,0.007,0.015,-0.108
1,133,0.004,0.009,-0.115
1,134,0.003,0.007,-0.119
1,135,0.006,0.013,-0.111
1,136,0.004,0.01,-0.114
1,137,0.006,0.013,-0.112
1,138,0.008,0.016,-0.108
1,139,0.007,0.015,-0.11
1,140,0.003,0.007,-0.121
1,141,0.003,0.008,-0.119
1,142,0.005,0.011,-0.115
1,143,0.009,0.018,-0.108
1,144,0.006,0.014,-0.112
1,145,0.004,0.01,-0.117
1,146,0.019,0.036,-0.097
1,147,0.02,0.038,-0.096
1,148,0.014,0.027,-0.102
1,149,0.013,0.025,-0.103
1,150,0.013,0.026,-0.103
1,151,0.014,0.028,-0.102
1,152,0.01,0.02,-0.107
1,153,0.01,0.022,-0.107
1,154,0.008,0.016,-0.112
1,155,0.009,0.019,-0.11
1,156,0.009,0.019,-0.11
1,157,0.018,0.034,-0.1
1,158,0.014,0.027,-0.104
1,159,0.011,0.022,-0.109
1,160,0.01,0.021,-0.109
1,161,0.011,0.023,-0.109
1,162,0.007,0.016,-0.115
1,163,0.011,0.023,-0.109
1,164,0.009,0.019,-0.113
1,165,0.013,0.025,-0.108
1,166,0.017,0.032,-0.104
1,167,0.013,0.025,-0.109
1,168,0.02,0.037,-0.102
1,169,0.015,0.029,-0.108
1,170,0.013,0.026,-0.11
1,171,0.016,0.03,-0.108
1,172,0.007,0.015,-0.122
1,173,0.011,0.022,-0.115
1,174,0.01,0.021,-0.117
1,175,0.006,0.014,-0.125
1,176,0.008,0.017,-0.121
1,177,0.005,0.011,-0.13
1,178,0.004,0.009,-0.135
1,179,0.007,0.016,-0.124
1,180,0.006,0.014,-0.127
1,181,0.004,0.009,-0.136
1,182,0.009,0.019,-0.122
1,183,0.005,0.011,-0.133
1,184,0.009,0.018,-0.125
1,185,0.011,0.022,-0.122
1,186,0.013,0.025,-0.12
1,187,0.009,0.019,-0.127
1,188,0.016,0.03,-0.117
1,189,0.014,0.028,-0.12
1,190,0.01,0.021,-0.126
1,191,0.006,0.013,-0.135
1,192,0.018,0.035,-0.117
1,193,0.014,0.028,-0.122
1,194,0.007,0.015,-0.135
1,195,0.007,0.014,-0.137
1,196,0.01,0.022,-0.129
1,197,0.011,0.022,-0.129
1,198,0.008,0.017,-0.136
1,199,0.012,0.025,-0.129
1,200,0.006,0.014,-0.141
1,201,0.023,0.042,-0.118
1,202,0.016,0.03,-0.126
1,203,0.016,0.03,-0.126
1,204,0.016,0.031,-0.126
1,205,0.015,0.03,-0.128
1,206,0.025,0.046,-0.118
1,207,0.024,0.044,-0.119
1,208,0.02,0.037,-0.124
1,209,0.02,0.038,-0.124
1,210,0.018,0.034,-0.127
1,211,0.025,0.045,-0.121
1,212,0.024,0.044,-0.122
1,213,0.027,0.049,-0.12
1,214,0.031,0.055,-0.117
1,215,0.025,0.046,-0.122
1,216,0.045,0.075,-0.11
1,217,0.046,0.077,-0.11
1,218,0.038,0.064,-0.115
1,219,0.028,0.051,-0.121
1,220,0.054,0.087,-0.107
1,221,0.037,0.064,-0.116
1,222,0.075,0.117,-0.1
1,223,0.064,0.101,-0.104
1,224,0.083,0.127,-0.098
1,39,0.0,0.001,-0.12
1,40,0.0,0.0,-0.134
1,41,0.0,0.0,-0.127
1,42,0.0,0.0,-0.143
1,43,0.0,0.001,-0.122
1,44,0.001,0.002,-0.112
1,45,0.0,0.001,-0.117
1,46,0.0,0.001,-0.123
1,47,0.0,0.001,-0.125
1,48,0.0,0.001,-0.122
1,49,0.0,0.001,-0.126
1,50,0.0,0.001,-0.119
1,51,0.0,0.002,-0.116
1,52,0.0,0.001,-0.116
1,53,0.0,0.0,-0.129
1,54,0.001,0.004,-0.107
1,55,0.001,0.002,-0.114
1,56,0.001,0.002,-0.116
1,57,0.001,0.002,-0.117
1,58,0.001,0.002,-0.112
1,59,0.0,0.001,-0.125
1,60,0.0,0.001,-0.128
1,61,0.0,0.001,-0.127
1,62,0.0,0.0,-0.131
1,63,0.0,0.001,-0.128
1,64,0.001,0.002,-0.117
1,65,0.0,0.001,-0.127
1,66,0.0,0.0,-0.132
1,67,0.0,0.0,-0.153
1,68,0.0,0.0,-0.14
1,69,0.0,0.0,-0.136
1,70,0.0,0.0,-0.138
1,71,0.0,0.001,-0.127
1,72,0.001,0.002,-0.12
1,73,0.0,0.001,-0.131
1,74,0.0,0.001,-0.128
1,75,0.0,0.001,-0.126
1,76,0.001,0.002,-0.119
1,77,0.002,0.005,-0.109
1,78,0.005,0.012,-0.098
1,79,0.002,0.005,-0.11
1,80,0.003,0.006,-0.107
1,81,0.004,0.009,-0.104
1,82,0.003,0.008,-0.105
1,83,0.001,0.004,-0.114
1,84,0.001,0.003,-0.116
1,85,0.006,0.013,-0.099
1,86,0.004,0.009,-0.104
1,87,0.001,0.004,-0.116
1,88,0.001,0.002,-0.122
1,89,0.001,0.004,-0.117
1,90,0.001,0.002,-0.126
1,91,0.001,0.002,-0.125
1,92,0.001,0.003,-0.119
1,93,0.001,0.002,-0.126
1,94,0.002,0.005,-0.115
1,95,0.001,0.003,-0.12
1,96,0.0,0.001,-0.131
1,97,0.001,0.004,-0.118
1,98,0.001,0.004,-0.118
1,99,0.003,0.007,-0.11
10,10,0.0,0.0,-0.142
10,100,0.007,0.014,-0.101
10,101,0.004,0.01,-0.107
10,102,0.002,0.004,-0.118
10,103,0.003,0.007,-0.111
10,104,0.005,0.012,-0.105
10,105,0.001,0.003,-0.123
10,106,0.002,0.005,-0.116
10,107,0.005,0.012,-0.106
10,108,0.002,0.005,-0.116
10,109,0.003,0.006,-0.115
10,11,0.0,0.0,-0.142
10,110,0.001,0.004,-0.122
10,111,0.001,0.003,-0.125
10,112,0.002,0.005,-0.118
10,113,0.002,0.006,-0.116
10,114,0.006,0.014,-0.104
10,115,0.013,0.027,-0.095
10,116,0.009,0.018,-0.101
10,117,0.003,0.006,-0.116
10,118,0.004,0.01,-0.111
10,119,0.003,0.008,-0.113
10,12,0.0,0.0,-0.139
10,120,0.008,0.018,-0.102
10,121,0.003,0.008,-0.114
10,122,0.003,0.007,-0.116
10,123,0.003,0.007,-0.117
10,124,0.003,0.007,-0.117
10,125,0.003,0.008,-0.115
10,126,0.005,0.011,-0.111
10,127,0.005,0.01,-0.112
10,128,0.002,0.005,-0.122
10,129,0.003,0.008,-0.115
10,13,0.0,0.0,-0.137
10,130,0.004,0.009,-0.114
10,131,0.003,0.008,-0.116
10,132,0.003,0.007,-0.118
10,133,0.002,0.004,-0.125
10,134,0.002,0.006,-0.121
10,135,0.001,0.004,-0.127
10,136,0.002,0.005,-0.123
10,137,0.001,0.003,-0.13
10,138,0.002,0.004,-0.126
10,139,0.001,0.003,-0.132
10,14,0.0,0.0,-0.143
10,140,0.001,0.003,-0.132
10,141,0.004,0.009,-0.116
10,142,0.004,0.01,-0.115
10,143,0.006,0.012,-0.112
10,144,0.003,0.007,-0.121
10,145,0.002,0.006,-0.124
10,146,0.005,0.012,-0.113
10,147,0.003,0.006,-0.122
10,148,0.003,0.008,-0.119
10,149,0.004,0.009,-0.117
10,15,0.0,0.0,-0.129
10,150,0.006,0.013,-0.112
10,151,0.004,0.01,-0.116
10,152,0.005,0.011,-0.115
10,153,0.004,0.01,-0.116
10,154,0.008,0.018,-0.107
10,155,0.011,0.022,-0.104
