slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.699,0.761,-0.014
1,101,0.877,0.907,-0.006
1,102,0.69,0.753,-0.015
1,103,0.597,0.671,-0.019
1,104,0.838,0.876,-0.008
1,105,0.958,0.968,-0.002
1,106,0.982,0.987,-0.001
1,107,0.763,0.815,-0.011
1,108,0.948,0.961,-0.002
1,109,0.995,0.996,0.0
1,110,0.994,0.995,-0.0
1,111,0.933,0.95,-0.003
1,112,0.9,0.925,0.005
1,113,0.931,0.949,0.003
1,114,0.839,0.876,-0.008
1,115,0.919,0.939,-0.004
1,116,0.946,0.959,0.003
1,117,0.844,0.881,0.007
1,118,0.911,0.933,-0.004
1,119,0.936,0.952,0.003
1,120,0.72,0.779,0.014
1,121,0.544,0.622,0.023
1,122,0.675,0.74,0.016
1,123,0.764,0.816,0.012
1,124,0.8,0.845,0.01
1,125,0.997,0.998,-0.0
1,126,0.825,0.865,0.009
1,127,0.655,0.723,0.017
1,128,0.729,0.786,0.013
1,129,0.827,0.867,0.009
1,130,0.66,0.727,0.017
1,131,0.603,0.677,0.02
1,132,0.626,0.697,0.019
1,133,0.603,0.676,0.02
1,134,0.621,0.693,0.019
1,135,0.504,0.585,0.026
1,136,0.553,0.631,0.023
1,137,0.561,0.638,0.023
1,138,0.553,0.63,0.024
1,139,0.578,0.654,0.022
1,140,0.627,0.698,0.019
1,141,0.573,0.649,0.022
1,142,0.492,0.574,0.028
1,143,0.329,0.411,0.039
1,144,0.425,0.509,0.032
1,145,0.461,0.543,0.03
1,146,0.348,0.431,0.038
1,147,0.325,0.406,0.04
1,148,0.316,0.397,0.041
1,149,0.458,0.541,0.03
1,150,0.366,0.449,0.037
1,151,0.41,0.493,0.034
1,152,0.505,0.586,0.027
1,153,0.541,0.62,0.025
1,154,0.435,0.519,0.032
1,155,0.414,0.497,0.034
1,156,0.432,0.515,0.032
1,157,0.268,0.345,0.046
1,158,0.429,0.512,0.033
1,159,0.429,0.512,0.033
1,160,0.455,0.538,0.031
1,161,0.427,0.51,0.033
1,162,0.436,0.519,0.033
1,163,0.423,0.506,0.034
1,164,0.424,0.508,0.034
1,165,0.452,0.535,0.032
1,166,0.382,0.465,0.037
1,167,0.46,0.542,0.032
1,168,0.428,0.511,0.034
1,169,0.54,0.619,0.027
1,170,0.54,0.619,0.027
1,171,0.43,0.513,0.035
1,172,0.652,0.72,0.02
1,173,0.59,0.664,0.024
1,174,0.585,0.66,0.024
1,175,0.69,0.753,0.018
1,176,0.653,0.721,0.02
1,177,0.668,0.734,0.019
1,178,0.792,0.839,0.012
1,179,0.673,0.738,0.019
1,180,0.632,0.702,0.022
1,181,0.793,0.839,0.012
1,182,0.648,0.716,0.021
1,183,0.83,0.87,0.01
1,184,0.756,0.808,0.015
1,185,0.654,0.722,0.021
1,186,0.557,0.635,0.028
1,187,0.75,0.804,0.015
1,188,0.388,0.471,0.041
1,189,0.433,0.516,0.037
1,190,0.521,0.601,0.031
1,191,0.696,0.758,0.019
1,192,0.492,0.573,0.033
1,193,0.477,0.559,0.035
1,194,0.476,0.558,0.035
1,195,0.477,0.559,0.035
1,196,0.439,0.522,0.038
1,197,0.454,0.537,0.037
1,198,0.49,0.571,0.035
1,199,0.386,0.469,0.044
1,200,0.422,0.505,0.041
1,201,0.251,0.326,0.058
1,202,0.39,0.473,0.044
1,203,0.344,0.426,0.048
1,204,0.228,0.301,0.062
1,205,0.381,0.464,0.045
1,206,0.224,0.297,0.063
1,207,0.271,0.348,0.057
1,208,0.354,0.437,0.048
1,209,0.32,0.401,0.052
1,210,0.344,0.426,0.05
1,211,0.274,0.352,0.058
1,212,0.313,0.394,0.053
1,213,0.239,0.313,0.063
1,214,0.275,0.353,0.058
1,215,0.305,0.386,0.055
1,216,0.222,0.295,0.066
1,217,0.21,0.281,0.068
1,218,0.277,0.355,0.059
1,219,0.329,0.411,0.053
1,220,0.229,0.302,0.065
1,221,0.285,0.364,0.058
1,222,0.234,0.308,0.065
1,223,0.218,0.29,0.068
1,224,0.203,0.273,0.07
1,39,0.321,0.402,-0.032
1,40,0.206,0.276,-0.041
1,41,0.25,0.325,-0.037
1,42,0.132,0.189,-0.048
1,43,0.317,0.398,-0.032
1,44,0.409,0.492,-0.027
1,45,0.431,0.514,-0.025
1,46,0.342,0.424,-0.031
1,47,0.28,0.359,-0.035
1,48,0.339,0.421,-0.031
1,49,0.242,0.317,-0.038
1,50,0.27,0.348,-0.036
1,51,0.442,0.525,-0.025
1,52,0.296,0.376,-0.034
1,53,0.217,0.289,-0.04
1,54,0.272,0.349,-0.036
1,55,0.347,0.429,-0.031
1,56,0.534,0.613,-0.02
1,57,0.441,0.524,-0.025
1,58,0.416,0.499,-0.027
1,59,0.283,0.362,-0.035
1,60,0.311,0.392,-0.033
1,61,0.375,0.458,-0.029
1,62,0.23,0.303,-0.04
1,63,0.3,0.38,-0.034
1,64,0.354,0.436,-0.031
1,65,0.292,0.371,-0.035
1,66,0.264,0.341,-0.037
1,67,0.072,0.112,-0.06
1,68,0.164,0.228,-0.047
1,69,0.155,0.217,-0.048
1,70,0.243,0.318,-0.04
