slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.005,0.012,0.101
1,101,0.001,0.003,0.12
1,102,0.002,0.005,0.113
1,103,0.008,0.018,0.096
1,104,0.005,0.012,0.102
1,105,0.002,0.006,0.112
1,106,0.002,0.006,0.111
1,107,0.004,0.008,0.108
1,108,0.001,0.004,0.119
1,109,0.001,0.002,0.129
1,110,0.001,0.004,0.118
1,111,0.002,0.006,0.114
1,112,0.001,0.002,0.127
1,113,0.002,0.004,0.119
1,114,0.002,0.004,0.119
1,115,0.001,0.002,0.126
1,116,0.001,0.003,0.122
1,117,0.0,0.001,0.134
1,118,0.001,0.003,0.124
1,119,0.001,0.003,0.126
1,120,0.001,0.002,0.132
1,121,0.0,0.001,0.141
1,122,0.001,0.002,0.129
1,123,0.001,0.002,0.133
1,124,0.001,0.002,0.133
1,125,0.001,0.002,0.129
1,126,0.0,0.001,0.137
1,127,0.0,0.001,0.141
1,128,0.0,0.001,0.144
1,129,0.0,0.001,0.138
1,130,0.0,0.001,0.142
1,131,0.0,0.001,0.146
1,132,0.0,0.001,0.143
1,133,0.0,0.0,0.153
1,134,0.0,0.0,0.156
1,135,0.0,0.0,0.16
1,136,0.0,0.0,0.158
1,137,0.0,0.001,0.15
1,138,0.0,0.001,0.149
1,139,0.0,0.0,0.155
1,140,0.0,0.0,0.157
1,141,0.0,0.0,0.161
1,142,0.0,0.0,0.163
1,143,0.0,0.0,0.177
1,144,0.0,0.0,0.168
1,145,0.0,0.0,0.171
1,146,0.0,0.0,0.17
1,147,0.0,0.0,0.168
1,148,0.0,0.0,0.184
1,149,0.0,0.0,0.167
1,150,0.0,0.0,0.175
1,151,0.0,0.0,0.178
1,152,0.0,0.0,0.176
1,153,0.0,0.0,0.17
1,154,0.0,0.0,0.18
1,155,0.0,0.0,0.178
1,156,0.0,0.0,0.176
1,157,0.0,0.0,0.187
1,158,0.0,0.0,0.177
1,159,0.0,0.0,0.183
1,160,0.0,0.0,0.178
1,161,0.0,0.0,0.179
1,162,0.0,0.0,0.184
1,163,0.0,0.0,0.185
1,164,0.0,0.0,0.186
1,165,0.0,0.0,0.175
1,166,0.0,0.0,0.176
1,167,0.0,0.0,0.169
1,168,0.0,0.001,0.161
1,169,0.0,0.001,0.154
1,170,0.0,0.0,0.166
1,171,0.0,0.0,0.176
1,172,0.0,0.0,0.178
1,173,0.0,0.001,0.168
1,174,0.0,0.001,0.164
1,175,0.0,0.001,0.157
