slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.004,0.009,0.104
1,101,0.0,0.001,0.127
1,102,0.0,0.001,0.132
1,103,0.001,0.003,0.118
1,104,0.001,0.003,0.119
1,105,0.001,0.003,0.121
1,106,0.001,0.003,0.122
1,107,0.002,0.005,0.116
1,108,0.001,0.004,0.119
1,109,0.0,0.001,0.132
1,110,0.001,0.002,0.126
1,111,0.001,0.003,0.121
1,112,0.0,0.001,0.13
1,113,0.001,0.002,0.125
1,114,0.001,0.002,0.13
1,115,0.0,0.001,0.143
1,116,0.0,0.001,0.135
1,117,0.0,0.001,0.139
1,118,0.0,0.001,0.134
1,119,0.0,0.001,0.133
1,120,0.0,0.001,0.141
1,121,0.0,0.001,0.144
1,122,0.0,0.001,0.135
1,123,0.0,0.001,0.141
1,124,0.0,0.001,0.144
1,125,0.0,0.001,0.141
1,126,0.0,0.001,0.145
1,127,0.0,0.0,0.149
1,128,0.0,0.0,0.155
1,129,0.0,0.0,0.151
1,130,0.0,0.0,0.149
1,131,0.0,0.0,0.149
1,132,0.0,0.0,0.152
1,133,0.0,0.0,0.156
1,134,0.0,0.0,0.156
1,135,0.0,0.0,0.164
1,136,0.0,0.0,0.162
1,137,0.0,0.001,0.148
1,138,0.0,0.0,0.152
1,139,0.0,0.0,0.163
1,140,0.0,0.0,0.164
1,141,0.0,0.0,0.165
1,142,0.0,0.0,0.169
1,143,0.0,0.0,0.175
1,144,0.0,0.0,0.169
1,145,0.0,0.0,0.17
1,146,0.0,0.0,0.178
1,147,0.0,0.0,0.177
1,148,0.0,0.0,0.186
1,149,0.0,0.0,0.18
1,150,0.0,0.0,0.185
1,151,0.0,0.0,0.194
1,152,0.0,0.0,0.192
1,153,0.0,0.0,0.184
1,154,0.0,0.0,0.191
1,155,0.0,0.0,0.186
1,156,0.0,0.0,0.178
1,157,0.0,0.0,0.18
1,158,0.0,0.0,0.178
1,159,0.0,0.0,0.186
1,160,0.0,0.0,0.184
1,161,0.0,0.0,0.183
1,162,0.0,0.0,0.182
1,163,0.0,0.0,0.184
1,164,0.0,0.0,0.185
1,165,0.0,0.0,0.177
1,166,0.0,0.0,0.182
1,167,0.0,0.0,0.171
1,168,0.0,0.0,0.168
1,169,0.0,0.001,0.158
1,170,0.0,0.0,0.177
1,171,0.0,0.0,0.191
1,172,0.0,0.0,0.194
1,173,0.0,0.0,0.18
1,174,0.0,0.0,0.169
1,175,0.0,0.001,0.162
1,176,0.0,0.001,0.16
1,177,0.0,0.001,0.162
1,178,0.001,0.002,0.155
1,179,0.0,0.001,0.158
1,180,0.001,0.002,0.157
1,181,0.001,0.003,0.15
1,182,0.001,0.003,0.149
1,183,0.002,0.005,0.144
1,184,0.002,0.004,0.146
1,185,0.002,0.006,0.142
1,186,0.002,0.005,0.144
1,187,0.003,0.007,0.142
1,188,0.002,0.005,0.146
1,189,0.003,0.007,0.142
1,190,0.004,0.009,0.138
1,191,0.004,0.009,0.139
1,192,0.003,0.007,0.144
1,193,0.005,0.012,0.136
1,194,0.004,0.01,0.139
1,195,0.003,0.008,0.145
1,196,0.003,0.007,0.146
1,197,0.003,0.008,0.144
1,198,0.002,0.006,0.152
1,199,0.004,0.01,0.143
1,200,0.002,0.006,0.153
1,201,0.003,0.008,0.148
1,202,0.003,0.006,0.153
1,203,0.003,0.007,0.151
1,204,0.002,0.005,0.159
1,205,0.002,0.004,0.161
1,206,0.002,0.004,0.162
1,207,0.002,0.005,0.161
1,208,0.002,0.005,0.16
1,209,0.001,0.002,0.177
1,210,0.001,0.003,0.169
1,211,0.001,0.003,0.169
1,212,0.001,0.003,0.171
1,213,0.0,0.001,0.189
1,214,0.001,0.002,0.183
1,215,0.001,0.002,0.178
1,216,0.0,0.002,0.186
1,217,0.0,0.001,0.192
1,218,0.0,0.001,0.197
1,219,0.001,0.002,0.184
1,220,0.001,0.002,0.186
1,221,0.001,0.002,0.184
1,222,0.001,0.002,0.185
1,223,0.001,0.002,0.186
1,224,0.001,0.002,0.188
1,39,0.001,0.002,0.111
1,40,0.001,0.002,0.109
1,41,0.0,0.001,0.113
1,42,0.0,0.0,0.125
1,43,0.0,0.001,0.115
1,44,0.0,0.001,0.121
1,45,0.0,0.0,0.124
1,46,0.0,0.001,0.121
1,47,0.001,0.002,0.109
1,48,0.0,0.001,0.118
1,49,0.001,0.002,0.111
1,50,0.001,0.002,0.111
1,51,0.001,0.002,0.108
1,52,0.0,0.001,0.118
1,53,0.0,0.002,0.112
1,54,0.0,0.001,0.114
1,55,0.0,0.001,0.117
1,56,0.0,0.001,0.115
1,57,0.0,0.001,0.115
1,58,0.0,0.001,0.12
1,59,0.0,0.001,0.116
1,60,0.001,0.003,0.109
1,61,0.0,0.001,0.118
1,62,0.001,0.002,0.112
1,63,0.001,0.003,0.109
1,64,0.001,0.003,0.107
1,65,0.003,0.008,0.097
1,66,0.001,0.003,0.111
1,67,0.002,0.005,0.104
1,68,0.001,0.003,0.108
1,69,0.001,0.003,0.111
1,70,0.001,0.003,0.11
1,71,0.001,0.002,0.113
1,72,0.001,0.003,0.11
1,73,0.001,0.003,0.111
1,74,0.001,0.002,0.116
1,75,0.0,0.001,0.12
1,76,0.001,0.002,0.116
1,77,0.001,0.004,0.109
1,78,0.0,0.001,0.123
1,79,0.002,0.005,0.108
1,80,0.001,0.004,0.11
1,81,0.001,0.002,0.117
1,82,0.001,0.003,0.115
1,83,0.0,0.0,0.135
1,84,0.0,0.001,0.131
1,85,0.0,0.0,0.136
1,86,0.0,0.001,0.13
1,87,0.0,0.0,0.138
1,88,0.0,0.001,0.124
1,89,0.0,0.001,0.129
1,90,0.0,0.001,0.129
1,91,0.001,0.002,0.119
1,92,0.0,0.001,0.134
1,93,0.0,0.001,0.129
1,94,0.001,0.002,0.122
1,95,0.001,0.003,0.119
1,96,0.001,0.002,0.121
1,97,0.001,0.003,0.12
1,98,0.001,0.004,0.116
1,99,0.001,0.004,0.116
10,10,0.003,0.007,0.095
10,100,0.0,0.0,0.153
10,101,0.0,0.0,0.15
10,102,0.0,0.0,0.143
10,103,0.0,0.0,0.15
10,104,0.0,0.0,0.149
10,105,0.0,0.0,0.157
10,106,0.0,0.0,0.146
10,107,0.0,0.0,0.152
10,108,0.0,0.0,0.141
10,109,0.0,0.001,0.131
10,11,0.001,0.003,0.102
10,110,0.0,0.0,0.151
10,111,0.0,0.0,0.159
10,112,0.0,0.0,0.153
10,113,0.0,0.0,0.152
10,114,0.0,0.0,0.163
10,115,0.0,0.0,0.163
10,116,0.0,0.0,0.151
10,117,0.0,0.0,0.154
10,118,0.0,0.0,0.151
10,119,0.0,0.0,0.147
10,12,0.001,0.002,0.106
10,120,0.0,0.0,0.148
10,121,0.0,0.0,0.153
10,122,0.0,0.0,0.154
10,123,0.0,0.0,0.147
10,124,0.0,0.0,0.155
10,125,0.0,0.0,0.149
10,126,0.0,0.0,0.155
10,127,0.0,0.0,0.158
10,128,0.0,0.0,0.162
10,129,0.0,0.0,0.154
10,13,0.001,0.002,0.108
10,130,0.0,0.0,0.159
10,131,0.0,0.0,0.154
10,132,0.0,0.0,0.159
10,133,0.0,0.0,0.152
10,134,0.0,0.0,0.157
10,135,0.0,0.0,0.173
10,136,0.0,0.0,0.176
10,137,0.0,0.0,0.162
10,138,0.0,0.0,0.16
10,139,0.0,0.0,0.165
10,14,0.001,0.002,0.106
10,140,0.0,0.0,0.17
10,141,0.0,0.0,0.163
10,142,0.0,0.0,0.16
10,143,0.0,0.0,0.172
10,144,0.0,0.0,0.171
10,145,0.0,0.0,0.165
10,146,0.0,0.0,0.168
10,147,0.0,0.0,0.167
10,148,0.0,0.0,0.17
10,149,0.0,0.0,0.17
10,15,0.0,0.001,0.113
10,150,0.0,0.0,0.169
10,151,0.0,0.0,0.176
10,152,0.0,0.0,0.189
10,153,0.0,0.0,0.196
10,154,0.0,0.0,0.198
10,155,0.0,0.0,0.185
10,156,0.0,0.0,0.193
10,157,0.0,0.0,0.185
10,158,0.0,0.0,0.176
10,159,0.0,0.0,0.174
10,16,0.001,0.002,0.106
10,160,0.0,0.0,0.186
10,161,0.0,0.0,0.18
10,162,0.0,0.0,0.179
10,163,0.0,0.0,0.171
10,164,0.0,0.0,0.167
10,165,0.0,0.0,0.165
10,166,0.0,0.0,0.158
10,167,0.0,0.0,0.156
