slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.413,0.496,0.03
1,101,0.518,0.598,0.024
1,102,0.354,0.437,0.034
1,103,0.31,0.39,0.037
1,104,0.514,0.595,0.024
1,105,0.612,0.684,0.019
1,106,0.617,0.689,0.019
1,107,0.435,0.518,0.029
1,108,0.611,0.684,0.019
1,109,0.64,0.71,0.017
1,110,0.673,0.738,0.016
1,111,0.606,0.679,0.019
1,112,0.714,0.774,0.014
1,113,0.63,0.701,0.018
1,114,0.467,0.549,0.028
1,115,0.554,0.631,0.023
1,116,0.69,0.753,0.015
1,117,0.804,0.849,0.009
1,118,0.553,0.631,0.023
1,119,0.691,0.754,0.015
1,120,0.908,0.931,0.004
1,121,0.875,0.905,-0.006
1,122,0.942,0.957,0.003
1,123,0.85,0.885,0.007
1,124,0.819,0.861,0.009
1,125,0.641,0.71,0.018
1,126,0.816,0.858,0.009
1,127,0.943,0.957,0.003
1,128,0.876,0.906,0.006
1,129,0.817,0.859,0.009
1,130,0.997,0.998,0.0
1,131,0.945,0.959,-0.003
1,132,0.995,0.997,-0.0
1,133,0.965,0.974,-0.002
1,134,0.944,0.958,-0.003
1,135,0.785,0.833,-0.011
1,136,0.85,0.885,-0.007
1,137,0.839,0.876,-0.008
1,138,0.855,0.889,-0.007
1,139,0.889,0.916,-0.006
1,140,0.993,0.995,0.0
1,141,0.948,0.961,-0.003
1,142,0.888,0.915,-0.006
1,143,0.616,0.688,-0.02
1,144,0.752,0.806,-0.013
1,145,0.822,0.863,-0.009
1,146,0.655,0.723,-0.018
1,147,0.61,0.682,-0.021
1,148,0.57,0.647,-0.023
1,149,0.8,0.845,-0.01
1,150,0.659,0.726,-0.018
1,151,0.726,0.783,-0.014
1,152,0.885,0.913,-0.006
1,153,0.887,0.914,-0.006
1,154,0.732,0.789,-0.014
1,155,0.736,0.792,-0.014
1,156,0.764,0.815,-0.012
1,157,0.519,0.599,-0.027
1,158,0.756,0.809,-0.013
1,159,0.77,0.821,-0.012
1,160,0.797,0.842,-0.011
1,161,0.742,0.797,-0.014
1,162,0.75,0.804,-0.013
1,163,0.718,0.777,-0.015
1,164,0.73,0.787,-0.015
1,165,0.793,0.84,-0.011
1,166,0.74,0.796,-0.014
1,167,0.835,0.873,-0.009
1,168,0.802,0.847,-0.011
1,169,0.952,0.964,-0.003
1,170,0.945,0.959,-0.003
1,171,0.851,0.886,-0.008
1,172,0.921,0.941,0.004
1,173,0.993,0.995,0.0
1,174,0.98,0.985,0.001
1,175,0.818,0.86,0.01
1,176,0.855,0.889,0.008
1,177,0.82,0.861,0.01
1,178,0.691,0.754,0.018
1,179,0.816,0.858,0.011
1,180,0.895,0.921,0.006
1,181,0.703,0.764,0.018
1,182,0.876,0.906,0.007
1,183,0.693,0.755,0.018
1,184,0.749,0.803,0.015
1,185,0.82,0.862,0.011
1,186,0.944,0.958,0.003
1,187,0.759,0.811,0.015
1,188,0.838,0.876,-0.01
1,189,0.853,0.888,-0.009
1,190,0.983,0.988,0.001
1,191,0.856,0.89,0.009
1,192,0.9,0.924,-0.006
1,193,0.904,0.928,-0.006
1,194,0.892,0.918,-0.007
1,195,0.89,0.917,-0.007
1,196,0.798,0.844,-0.013
1,197,0.83,0.87,-0.011
1,198,0.911,0.933,-0.006
1,199,0.777,0.826,-0.014
1,200,0.823,0.864,-0.011
1,201,0.575,0.651,-0.028
1,202,0.798,0.844,-0.013
1,203,0.698,0.76,-0.02
1,204,0.519,0.599,-0.033
1,205,0.735,0.791,-0.018
1,206,0.497,0.578,-0.035
1,207,0.589,0.664,-0.028
1,208,0.713,0.773,-0.019
1,209,0.652,0.72,-0.024
1,210,0.666,0.732,-0.023
1,211,0.592,0.666,-0.028
1,212,0.625,0.696,-0.026
1,213,0.51,0.59,-0.035
1,214,0.556,0.634,-0.031
1,215,0.578,0.654,-0.03
1,216,0.428,0.511,-0.043
1,217,0.427,0.511,-0.043
1,218,0.478,0.56,-0.038
1,219,0.572,0.648,-0.031
1,220,0.424,0.508,-0.044
1,221,0.506,0.587,-0.036
1,222,0.409,0.492,-0.045
1,223,0.387,0.47,-0.048
1,224,0.332,0.413,-0.054
1,39,0.157,0.219,0.046
1,40,0.088,0.134,0.055
1,41,0.13,0.186,0.049
1,42,0.056,0.091,0.062
1,43,0.158,0.22,0.046
1,44,0.227,0.3,0.039
1,45,0.24,0.314,0.038
1,46,0.192,0.26,0.042
1,47,0.134,0.192,0.049
1,48,0.176,0.242,0.044
1,49,0.145,0.205,0.047
1,50,0.145,0.205,0.047
1,51,0.26,0.337,0.037
1,52,0.176,0.242,0.044
1,53,0.123,0.178,0.05
1,54,0.175,0.241,0.044
1,55,0.222,0.295,0.04
1,56,0.342,0.424,0.031
1,57,0.271,0.348,0.036
1,58,0.265,0.343,0.037
1,59,0.184,0.251,0.044
1,60,0.171,0.236,0.045
1,61,0.22,0.292,0.041
1,62,0.15,0.211,0.048
1,63,0.184,0.251,0.044
1,64,0.215,0.286,0.041
1,65,0.184,0.251,0.045
1,66,0.187,0.254,0.044
1,67,0.04,0.068,0.069
1,68,0.083,0.127,0.058
1,69,0.093,0.14,0.057
1,70,0.154,0.216,0.048
1,71,0.188,0.255,0.045
1,72,0.226,0.299,0.041
1,73,0.116,0.17,0.054
1,74,0.183,0.25,0.046
1,75,0.176,0.242,0.047
1,76,0.257,0.333,0.039
1,77,0.389,0.472,0.03
1,78,0.474,0.556,0.025
1,79,0.356,0.438,0.032
1,80,0.563,0.64,0.02
1,81,0.595,0.669,0.019
1,82,0.503,0.584,0.023
1,83,0.438,0.521,0.027
1,84,0.452,0.535,0.027
1,85,0.743,0.798,0.012
1,86,0.771,0.821,0.01
1,87,0.438,0.521,0.028
1,88,0.371,0.454,0.032
1,89,0.621,0.692,0.018
1,90,0.615,0.687,0.018
1,91,0.524,0.604,0.023
1,92,0.471,0.554,0.026
1,93,0.374,0.457,0.032
1,94,0.618,0.69,0.018
1,95,0.612,0.685,0.018
1,96,0.288,0.367,0.039
1,97,0.548,0.627,0.022
1,98,0.505,0.586,0.024
1,99,0.585,0.661,0.02
10,10,0.147,0.208,0.047
10,100,0.875,0.905,-0.006
10,101,0.991,0.993,0.0
10,102,0.766,0.817,0.011
10,103,0.889,0.916,0.005
10,104,0.999,1.0,-0.0
10,105,0.88,0.909,0.006
10,106,0.993,0.995,-0.0
10,107,0.86,0.893,-0.007
10,108,0.843,0.88,0.007
10,109,0.968,0.976,0.001
10,11,0.148,0.208,0.046
10,110,0.845,0.882,0.007
10,111,0.639,0.708,0.018
10,112,0.939,0.954,0.003
10,113,0.95,0.963,-0.002
10,114,0.894,0.92,-0.005
10,115,0.657,0.725,-0.017
10,116,0.803,0.847,-0.009
10,117,0.801,0.846,0.01
10,118,0.978,0.984,-0.001
10,119,0.851,0.886,-0.007
10,12,0.288,0.367,0.034
10,120,0.695,0.757,-0.015
10,121,0.927,0.945,-0.004
10,122,0.906,0.929,0.005
10,123,0.91,0.932,0.004
10,124,0.814,0.856,0.009
10,125,0.878,0.907,0.006
10,126,0.981,0.986,0.001
10,127,0.942,0.957,-0.003
10,128,0.914,0.935,0.004
10,129,0.985,0.989,0.001
