slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.02,0.038,-0.085
1,101,0.025,0.045,-0.082
1,102,0.028,0.05,-0.081
1,103,0.038,0.066,-0.077
1,104,0.072,0.113,-0.067
1,105,0.053,0.087,-0.072
1,106,0.066,0.104,-0.069
1,107,0.027,0.048,-0.083
1,108,0.03,0.054,-0.081
1,109,0.034,0.058,-0.08
1,110,0.061,0.098,-0.071
1,111,0.053,0.087,-0.073
1,112,0.047,0.077,-0.075
1,113,0.058,0.093,-0.072
1,114,0.033,0.057,-0.081
1,115,0.054,0.088,-0.074
1,116,0.081,0.125,-0.067
1,117,0.062,0.099,-0.072
1,118,0.037,0.063,-0.081
1,119,0.047,0.077,-0.077
1,120,0.105,0.155,-0.063
1,121,0.125,0.18,-0.06
1,122,0.125,0.18,-0.06
1,123,0.095,0.142,-0.065
1,124,0.099,0.147,-0.064
1,125,0.054,0.089,-0.075
1,126,0.07,0.11,-0.071
1,127,0.097,0.146,-0.065
1,128,0.089,0.134,-0.067
1,129,0.081,0.125,-0.069
1,130,0.103,0.152,-0.064
1,131,0.094,0.141,-0.066
1,132,0.119,0.172,-0.061
1,133,0.084,0.128,-0.068
1,134,0.062,0.099,-0.074
1,135,0.109,0.16,-0.064
1,136,0.102,0.151,-0.065
1,137,0.091,0.138,-0.067
1,138,0.124,0.179,-0.062
1,139,0.118,0.172,-0.063
1,140,0.076,0.118,-0.071
1,141,0.076,0.118,-0.071
1,142,0.102,0.152,-0.066
1,143,0.124,0.179,-0.062
1,144,0.108,0.159,-0.065
1,145,0.076,0.118,-0.072
1,146,0.21,0.28,-0.051
1,147,0.255,0.331,-0.047
1,148,0.157,0.219,-0.058
1,149,0.158,0.22,-0.058
1,150,0.176,0.241,-0.055
1,151,0.194,0.263,-0.053
1,152,0.124,0.179,-0.063
1,153,0.127,0.183,-0.063
1,154,0.133,0.191,-0.062
1,155,0.127,0.183,-0.064
1,156,0.1,0.15,-0.069
1,157,0.137,0.195,-0.062
1,158,0.103,0.153,-0.068
1,159,0.084,0.129,-0.073
1,160,0.089,0.135,-0.072
1,161,0.096,0.143,-0.071
1,162,0.066,0.105,-0.078
1,163,0.09,0.136,-0.072
1,164,0.077,0.119,-0.076
1,165,0.092,0.139,-0.072
