slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.303,0.383,0.037
1,101,0.103,0.153,0.059
1,102,0.077,0.119,0.065
1,103,0.132,0.188,0.055
1,104,0.087,0.132,0.063
1,105,0.093,0.14,0.062
1,106,0.084,0.128,0.064
1,107,0.138,0.196,0.055
1,108,0.12,0.175,0.058
1,109,0.066,0.104,0.068
1,110,0.077,0.12,0.066
1,111,0.103,0.153,0.061
1,112,0.051,0.084,0.073
1,113,0.059,0.095,0.071
1,114,0.067,0.105,0.069
1,115,0.035,0.061,0.08
1,116,0.032,0.056,0.081
1,117,0.035,0.06,0.08
1,118,0.062,0.099,0.071
1,119,0.048,0.079,0.076
1,120,0.016,0.031,0.092
1,121,0.014,0.028,0.094
1,122,0.029,0.052,0.084
1,123,0.035,0.06,0.081
1,124,0.028,0.05,0.085
1,125,0.049,0.081,0.076
1,126,0.03,0.053,0.084
1,127,0.017,0.033,0.093
1,128,0.018,0.034,0.092
1,129,0.02,0.038,0.09
1,130,0.016,0.031,0.094
1,131,0.015,0.03,0.094
1,132,0.012,0.023,0.098
1,133,0.012,0.024,0.099
1,134,0.018,0.034,0.093
1,135,0.006,0.014,0.107
1,136,0.008,0.017,0.105
1,137,0.016,0.032,0.095
1,138,0.013,0.025,0.099
1,139,0.007,0.015,0.107
1,140,0.01,0.021,0.102
1,141,0.01,0.021,0.102
1,142,0.006,0.014,0.11
1,143,0.004,0.01,0.115
1,144,0.006,0.014,0.109
1,145,0.007,0.015,0.109
1,146,0.002,0.005,0.126
1,147,0.003,0.006,0.122
1,148,0.002,0.005,0.125
1,149,0.003,0.007,0.12
1,150,0.002,0.006,0.124
1,151,0.002,0.004,0.129
1,152,0.002,0.005,0.127
1,153,0.003,0.008,0.121
1,154,0.003,0.008,0.121
1,155,0.003,0.008,0.121
1,156,0.005,0.011,0.116
1,157,0.004,0.009,0.119
1,158,0.006,0.013,0.115
1,159,0.004,0.01,0.119
1,160,0.005,0.012,0.116
1,161,0.004,0.01,0.12
1,162,0.007,0.014,0.114
1,163,0.005,0.012,0.118
1,164,0.006,0.013,0.117
1,165,0.008,0.017,0.113
1,166,0.003,0.008,0.126
1,167,0.008,0.017,0.114
1,168,0.008,0.017,0.114
1,169,0.014,0.028,0.106
1,170,0.007,0.015,0.118
1,171,0.003,0.007,0.13
1,172,0.006,0.013,0.121
1,173,0.009,0.019,0.116
1,174,0.015,0.03,0.108
1,175,0.03,0.053,0.097
1,176,0.023,0.041,0.102
1,177,0.024,0.044,0.102
1,178,0.034,0.059,0.096
1,179,0.023,0.042,0.103
1,180,0.03,0.054,0.099
1,181,0.046,0.076,0.091
1,182,0.031,0.055,0.099
1,183,0.049,0.081,0.091
1,184,0.038,0.066,0.096
1,185,0.035,0.061,0.099
1,186,0.029,0.051,0.103
1,187,0.044,0.073,0.096
1,188,0.027,0.048,0.106
1,189,0.037,0.063,0.1
1,190,0.053,0.086,0.093
1,191,0.073,0.114,0.086
1,192,0.034,0.059,0.103
1,193,0.048,0.079,0.097
1,194,0.059,0.095,0.092
1,195,0.05,0.083,0.096
1,196,0.045,0.075,0.099
1,197,0.041,0.069,0.102
1,198,0.04,0.068,0.103
1,199,0.047,0.078,0.1
1,200,0.045,0.075,0.101
1,201,0.026,0.047,0.113
1,202,0.025,0.045,0.114
1,203,0.031,0.054,0.11
1,204,0.022,0.04,0.118
1,205,0.025,0.046,0.115
1,206,0.02,0.037,0.121
1,207,0.022,0.041,0.118
1,208,0.028,0.05,0.115
1,209,0.014,0.027,0.129
1,210,0.026,0.046,0.117
1,211,0.019,0.036,0.123
1,212,0.017,0.032,0.126
1,213,0.009,0.018,0.139
1,214,0.011,0.023,0.134
1,215,0.018,0.035,0.126
1,216,0.011,0.022,0.136
1,217,0.008,0.017,0.143
1,218,0.009,0.018,0.142
1,219,0.022,0.04,0.124
1,220,0.014,0.027,0.134
1,221,0.02,0.038,0.127
1,222,0.015,0.029,0.134
1,223,0.014,0.027,0.135
1,224,0.016,0.032,0.132
1,39,0.324,0.405,0.032
1,40,0.461,0.543,0.024
1,41,0.351,0.433,0.03
1,42,0.411,0.494,0.026
1,43,0.277,0.355,0.035
1,44,0.188,0.256,0.042
1,45,0.134,0.192,0.048
1,46,0.224,0.297,0.039
1,47,0.359,0.442,0.03
1,48,0.245,0.32,0.038
1,49,0.427,0.51,0.026
1,50,0.326,0.408,0.032
1,51,0.289,0.368,0.035
1,52,0.212,0.283,0.04
1,53,0.379,0.462,0.029
1,54,0.238,0.312,0.038
1,55,0.21,0.281,0.041
1,56,0.221,0.294,0.04
1,57,0.232,0.306,0.039
1,58,0.165,0.228,0.046
1,59,0.324,0.405,0.032
1,60,0.333,0.415,0.032
1,61,0.28,0.358,0.036
1,62,0.416,0.499,0.027
1,63,0.397,0.481,0.028
1,64,0.286,0.365,0.035
1,65,0.566,0.643,0.019
1,66,0.467,0.549,0.024
1,67,0.883,0.912,0.005
1,68,0.626,0.697,0.016
1,69,0.489,0.571,0.023
1,70,0.569,0.646,0.019
1,71,0.484,0.566,0.024
1,72,0.455,0.538,0.025
1,73,0.523,0.602,0.022
1,74,0.379,0.462,0.03
1,75,0.34,0.422,0.033
1,76,0.3,0.38,0.036
1,77,0.286,0.364,0.037
1,78,0.121,0.175,0.054
1,79,0.356,0.438,0.032
1,80,0.233,0.307,0.041
1,81,0.146,0.206,0.051
1,82,0.17,0.234,0.048
1,83,0.123,0.178,0.054
1,84,0.127,0.183,0.054
1,85,0.051,0.084,0.069
1,86,0.079,0.122,0.062
1,87,0.107,0.158,0.057
1,88,0.201,0.271,0.045
1,89,0.132,0.189,0.054
1,90,0.166,0.23,0.049
1,91,0.243,0.317,0.042
1,92,0.103,0.153,0.058
