slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.507,0.588,0.024
1,101,0.211,0.281,0.046
1,102,0.163,0.227,0.051
1,103,0.246,0.321,0.043
1,104,0.164,0.228,0.051
1,105,0.18,0.246,0.05
1,106,0.171,0.236,0.051
1,107,0.252,0.328,0.043
1,108,0.222,0.294,0.046
1,109,0.137,0.195,0.056
1,110,0.156,0.219,0.053
1,111,0.201,0.271,0.048
1,112,0.11,0.161,0.06
1,113,0.122,0.177,0.058
1,114,0.137,0.195,0.056
1,115,0.081,0.124,0.066
1,116,0.072,0.113,0.068
1,117,0.079,0.121,0.067
1,118,0.129,0.185,0.058
1,119,0.101,0.15,0.063
1,120,0.038,0.065,0.08
1,121,0.035,0.061,0.081
1,122,0.065,0.103,0.071
1,123,0.082,0.126,0.067
1,124,0.066,0.104,0.071
1,125,0.11,0.161,0.062
1,126,0.07,0.11,0.07
1,127,0.043,0.072,0.079
1,128,0.047,0.078,0.077
1,129,0.05,0.082,0.076
1,130,0.038,0.065,0.081
1,131,0.038,0.065,0.081
1,132,0.029,0.052,0.085
1,133,0.031,0.055,0.085
1,134,0.047,0.077,0.078
1,135,0.018,0.034,0.093
1,136,0.021,0.039,0.091
1,137,0.04,0.068,0.081
1,138,0.032,0.056,0.085
1,139,0.02,0.037,0.093
1,140,0.029,0.051,0.087
1,141,0.029,0.052,0.087
1,142,0.018,0.034,0.095
1,143,0.012,0.025,0.101
1,144,0.019,0.036,0.094
1,145,0.02,0.038,0.094
1,146,0.006,0.013,0.112
1,147,0.008,0.017,0.107
1,148,0.007,0.015,0.11
1,149,0.009,0.019,0.106
1,150,0.007,0.016,0.109
1,151,0.006,0.013,0.113
1,152,0.006,0.013,0.112
1,153,0.01,0.021,0.106
1,154,0.011,0.023,0.104
1,155,0.011,0.022,0.105
1,156,0.014,0.028,0.101
1,157,0.012,0.024,0.104
1,158,0.016,0.031,0.1
1,159,0.013,0.026,0.104
1,160,0.016,0.031,0.101
1,161,0.012,0.025,0.105
1,162,0.019,0.035,0.099
1,163,0.015,0.03,0.103
1,164,0.017,0.033,0.101
1,165,0.022,0.041,0.098
1,166,0.009,0.019,0.111
1,167,0.021,0.038,0.099
1,168,0.02,0.037,0.1
1,169,0.032,0.056,0.093
1,170,0.018,0.034,0.103
1,171,0.009,0.019,0.114
1,172,0.018,0.034,0.105
1,173,0.023,0.042,0.101
1,174,0.037,0.063,0.093
1,175,0.068,0.107,0.082
1,176,0.049,0.081,0.088
1,177,0.053,0.086,0.087
1,178,0.069,0.108,0.082
1,179,0.049,0.081,0.09
1,180,0.064,0.102,0.085
1,181,0.092,0.139,0.077
1,182,0.063,0.101,0.085
1,183,0.091,0.138,0.078
1,184,0.071,0.111,0.084
1,185,0.066,0.104,0.086
1,186,0.053,0.087,0.091
1,187,0.077,0.119,0.084
1,188,0.049,0.081,0.094
1,189,0.065,0.103,0.088
1,190,0.092,0.138,0.081
1,191,0.124,0.179,0.074
1,192,0.06,0.097,0.091
1,193,0.078,0.12,0.086
1,194,0.101,0.15,0.08
1,195,0.087,0.132,0.084
1,196,0.077,0.119,0.088
1,197,0.07,0.11,0.09
1,198,0.068,0.107,0.091
1,199,0.079,0.122,0.088
1,200,0.078,0.121,0.089
1,201,0.044,0.074,0.102
1,202,0.043,0.072,0.103
1,203,0.05,0.082,0.1
1,204,0.037,0.063,0.108
1,205,0.044,0.073,0.104
1,206,0.035,0.06,0.109
1,207,0.039,0.066,0.107
1,208,0.046,0.076,0.104
1,209,0.025,0.045,0.118
1,210,0.043,0.072,0.106
1,211,0.033,0.058,0.112
1,212,0.028,0.05,0.116
1,213,0.016,0.031,0.128
1,214,0.02,0.037,0.124
1,215,0.031,0.055,0.115
1,216,0.019,0.036,0.126
1,217,0.015,0.029,0.132
1,218,0.015,0.03,0.131
1,219,0.037,0.064,0.113
1,220,0.023,0.043,0.124
1,221,0.034,0.059,0.116
1,222,0.025,0.046,0.123
1,223,0.023,0.043,0.125
1,224,0.027,0.048,0.122
1,39,0.54,0.619,0.02
1,40,0.737,0.793,0.011
1,41,0.589,0.664,0.017
1,42,0.713,0.772,0.012
1,43,0.486,0.568,0.023
1,44,0.347,0.429,0.03
1,45,0.276,0.354,0.035
1,46,0.423,0.506,0.026
1,47,0.592,0.667,0.017
1,48,0.448,0.531,0.025
1,49,0.697,0.759,0.013
1,50,0.545,0.623,0.02
1,51,0.493,0.574,0.022
1,52,0.394,0.478,0.028
1,53,0.641,0.71,0.015
1,54,0.416,0.499,0.027
1,55,0.377,0.46,0.029
1,56,0.4,0.483,0.028
1,57,0.409,0.492,0.027
1,58,0.31,0.39,0.033
1,59,0.557,0.634,0.019
1,60,0.54,0.618,0.02
1,61,0.499,0.581,0.022
1,62,0.674,0.739,0.014
1,63,0.618,0.69,0.017
1,64,0.466,0.549,0.024
1,65,0.82,0.861,0.008
1,66,0.729,0.786,0.012
1,67,0.8,0.845,-0.009
1,68,0.92,0.94,0.003
1,69,0.741,0.796,0.011
1,70,0.854,0.889,0.006
1,71,0.752,0.805,0.011
1,72,0.71,0.77,0.013
1,73,0.786,0.834,0.009
1,74,0.605,0.678,0.018
1,75,0.564,0.641,0.02
1,76,0.483,0.565,0.024
1,77,0.454,0.536,0.026
1,78,0.233,0.307,0.041
1,79,0.562,0.639,0.02
1,80,0.386,0.469,0.03
1,81,0.266,0.343,0.039
1,82,0.303,0.383,0.036
1,83,0.245,0.32,0.041
1,84,0.253,0.329,0.04
1,85,0.119,0.172,0.055
1,86,0.17,0.234,0.049
1,87,0.227,0.3,0.043
1,88,0.378,0.461,0.031
1,89,0.267,0.344,0.04
1,90,0.323,0.404,0.035
1,91,0.442,0.525,0.027
1,92,0.221,0.293,0.044
1,93,0.344,0.426,0.034
1,94,0.301,0.38,0.037
1,95,0.364,0.447,0.033
1,96,0.422,0.505,0.029
1,97,0.324,0.405,0.036
1,98,0.411,0.495,0.03
1,99,0.272,0.35,0.04
10,10,0.883,0.911,-0.005
10,100,0.07,0.11,0.066
10,101,0.095,0.143,0.061
10,102,0.209,0.279,0.046
10,103,0.103,0.153,0.06
10,104,0.096,0.144,0.061
10,105,0.16,0.223,0.052
10,106,0.166,0.23,0.051
10,107,0.087,0.132,0.063
10,108,0.163,0.226,0.052
10,109,0.205,0.275,0.047
10,11,0.941,0.956,0.002
10,110,0.124,0.179,0.057
10,111,0.115,0.168,0.059
10,112,0.116,0.169,0.059
10,113,0.115,0.168,0.059
10,114,0.069,0.108,0.068
10,115,0.045,0.076,0.075
10,116,0.078,0.12,0.067
10,117,0.138,0.197,0.056
10,118,0.082,0.125,0.066
10,119,0.108,0.159,0.061
10,12,0.937,0.953,0.003
10,120,0.074,0.115,0.068
10,121,0.082,0.126,0.066
10,122,0.077,0.119,0.068
10,123,0.126,0.182,0.059
10,124,0.097,0.145,0.064
10,125,0.124,0.179,0.059
10,126,0.076,0.118,0.068
10,127,0.067,0.105,0.071
10,128,0.076,0.118,0.068
