slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.003,0.007,-0.113
1,101,0.003,0.007,-0.114
1,102,0.004,0.009,-0.109
1,103,0.006,0.014,-0.104
1,104,0.019,0.036,-0.09
1,105,0.011,0.023,-0.097
1,106,0.006,0.013,-0.106
1,107,0.009,0.019,-0.101
1,108,0.012,0.024,-0.097
1,109,0.01,0.02,-0.1
1,110,0.01,0.02,-0.1
1,111,0.008,0.017,-0.103
1,112,0.013,0.025,-0.097
1,113,0.012,0.024,-0.098
1,114,0.011,0.023,-0.099
1,115,0.012,0.024,-0.099
1,116,0.015,0.03,-0.095
1,117,0.015,0.029,-0.096
1,118,0.01,0.021,-0.101
1,119,0.016,0.03,-0.096
1,120,0.038,0.065,-0.083
1,121,0.031,0.055,-0.086
1,122,0.018,0.034,-0.095
1,123,0.007,0.016,-0.107
1,124,0.009,0.02,-0.104
1,125,0.007,0.015,-0.108
1,126,0.01,0.021,-0.103
1,127,0.012,0.025,-0.101
1,128,0.007,0.014,-0.11
1,129,0.011,0.023,-0.102
1,130,0.023,0.042,-0.092
1,131,0.018,0.033,-0.096
1,132,0.017,0.033,-0.097
1,133,0.008,0.017,-0.107
1,134,0.006,0.013,-0.113
1,135,0.013,0.025,-0.102
1,136,0.016,0.03,-0.099
1,137,0.015,0.03,-0.1
1,138,0.013,0.026,-0.102
1,139,0.01,0.02,-0.106
1,140,0.006,0.014,-0.113
1,141,0.007,0.016,-0.111
1,142,0.01,0.021,-0.107
1,143,0.013,0.025,-0.104
1,144,0.009,0.018,-0.109
1,145,0.005,0.012,-0.116
1,146,0.017,0.033,-0.1
1,147,0.01,0.021,-0.108
1,148,0.01,0.02,-0.109
1,149,0.011,0.023,-0.106
1,150,0.007,0.015,-0.114
1,151,0.007,0.014,-0.115
1,152,0.012,0.024,-0.107
1,153,0.012,0.024,-0.107
1,154,0.003,0.007,-0.128
1,155,0.006,0.013,-0.118
1,156,0.01,0.021,-0.111
1,157,0.011,0.022,-0.109
1,158,0.018,0.034,-0.102
1,159,0.012,0.025,-0.108
1,160,0.01,0.021,-0.111
1,161,0.021,0.039,-0.101
1,162,0.012,0.024,-0.11
1,163,0.011,0.023,-0.111
1,164,0.012,0.025,-0.11
1,165,0.013,0.026,-0.109
1,166,0.031,0.055,-0.095
1,167,0.023,0.043,-0.101
1,168,0.026,0.047,-0.099
1,169,0.035,0.061,-0.095
1,170,0.019,0.036,-0.106
1,171,0.016,0.031,-0.109
1,172,0.009,0.019,-0.119
1,173,0.018,0.034,-0.109
1,174,0.015,0.029,-0.113
1,175,0.01,0.02,-0.12
1,176,0.025,0.045,-0.104
1,177,0.018,0.034,-0.111
1,178,0.026,0.046,-0.105
1,179,0.027,0.049,-0.104
1,180,0.021,0.039,-0.109
1,181,0.015,0.03,-0.115
1,182,0.03,0.053,-0.104
1,183,0.037,0.064,-0.1
1,184,0.061,0.098,-0.09
1,185,0.06,0.096,-0.092
1,186,0.089,0.135,-0.083
1,187,0.084,0.128,-0.085
1,188,0.093,0.14,-0.083
1,189,0.092,0.138,-0.084
1,190,0.067,0.105,-0.091
1,191,0.056,0.091,-0.096
1,192,0.091,0.138,-0.085
1,193,0.137,0.196,-0.075
1,194,0.067,0.106,-0.093
1,195,0.075,0.116,-0.091
1,196,0.083,0.127,-0.089
1,197,0.094,0.141,-0.086
1,198,0.118,0.171,-0.081
1,199,0.115,0.167,-0.082
1,200,0.083,0.126,-0.091
1,201,0.166,0.229,-0.073
1,202,0.151,0.212,-0.076
1,203,0.208,0.278,-0.067
1,204,0.231,0.304,-0.064
1,205,0.158,0.221,-0.076
1,206,0.166,0.23,-0.074
1,207,0.18,0.247,-0.072
1,208,0.218,0.29,-0.067
1,209,0.196,0.265,-0.07
1,210,0.219,0.291,-0.067
1,211,0.208,0.279,-0.069
1,212,0.237,0.312,-0.065
1,213,0.225,0.298,-0.067
1,214,0.273,0.351,-0.061
1,215,0.231,0.304,-0.067
1,216,0.261,0.338,-0.063
1,217,0.253,0.329,-0.064
1,218,0.275,0.353,-0.061
1,219,0.222,0.294,-0.069
1,220,0.304,0.384,-0.058
1,221,0.298,0.377,-0.059
1,222,0.282,0.36,-0.061
1,223,0.362,0.445,-0.052
1,224,0.38,0.463,-0.05
1,39,0.003,0.008,-0.098
1,40,0.001,0.004,-0.107
1,41,0.002,0.005,-0.104
1,42,0.0,0.001,-0.122
1,43,0.002,0.006,-0.102
1,44,0.007,0.014,-0.091
1,45,0.002,0.005,-0.104
