slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.613,0.685,-0.019
1,101,0.921,0.941,-0.004
1,102,0.995,0.997,-0.0
1,103,0.895,0.921,-0.005
1,104,0.889,0.916,0.005
1,105,0.926,0.945,0.003
1,106,0.854,0.889,0.007
1,107,0.88,0.909,-0.006
1,108,0.945,0.959,-0.003
1,109,0.919,0.939,0.004
1,110,0.852,0.887,0.007
1,111,0.934,0.951,0.003
1,112,0.775,0.825,0.011
1,113,0.822,0.863,0.009
1,114,0.943,0.957,0.003
1,115,0.715,0.775,0.014
1,116,0.62,0.691,0.019
1,117,0.692,0.755,0.015
1,118,0.92,0.94,0.004
1,119,0.821,0.862,0.009
1,120,0.491,0.573,0.027
1,121,0.437,0.52,0.03
1,122,0.564,0.641,0.022
1,123,0.634,0.704,0.019
1,124,0.597,0.671,0.021
1,125,0.766,0.817,0.012
1,126,0.634,0.704,0.019
1,127,0.488,0.569,0.027
1,128,0.566,0.643,0.023
1,129,0.583,0.658,0.022
1,130,0.498,0.579,0.027
1,131,0.504,0.585,0.026
1,132,0.44,0.523,0.03
1,133,0.498,0.579,0.027
1,134,0.583,0.658,0.022
1,135,0.39,0.473,0.034
1,136,0.432,0.516,0.031
1,137,0.522,0.602,0.025
1,138,0.432,0.515,0.031
1,139,0.371,0.454,0.036
1,140,0.487,0.569,0.028
1,141,0.462,0.544,0.03
1,142,0.379,0.462,0.035
1,143,0.306,0.386,0.041
1,144,0.362,0.445,0.037
1,145,0.425,0.508,0.032
1,146,0.188,0.255,0.054
1,147,0.199,0.268,0.052
1,148,0.224,0.297,0.05
1,149,0.261,0.338,0.046
1,150,0.219,0.291,0.05
1,151,0.184,0.251,0.054
1,152,0.231,0.304,0.049
1,153,0.274,0.352,0.045
1,154,0.276,0.354,0.045
1,155,0.289,0.368,0.044
1,156,0.33,0.412,0.041
1,157,0.284,0.363,0.045
1,158,0.345,0.427,0.04
1,159,0.337,0.419,0.04
1,160,0.361,0.444,0.038
1,161,0.327,0.408,0.041
1,162,0.412,0.495,0.035
1,163,0.348,0.43,0.04
1,164,0.394,0.477,0.036
1,165,0.399,0.482,0.036
1,166,0.268,0.346,0.048
1,167,0.394,0.478,0.037
1,168,0.344,0.426,0.041
1,169,0.439,0.522,0.034
1,170,0.359,0.442,0.04
1,171,0.255,0.331,0.05
1,172,0.394,0.477,0.038
1,173,0.4,0.484,0.037
1,174,0.477,0.559,0.032
1,175,0.619,0.691,0.022
1,176,0.569,0.646,0.026
1,177,0.649,0.717,0.021
1,178,0.735,0.791,0.015
1,179,0.582,0.657,0.025
1,180,0.651,0.719,0.021
1,181,0.776,0.825,0.013
1,182,0.593,0.668,0.025
1,183,0.773,0.823,0.013
1,184,0.685,0.749,0.019
1,185,0.606,0.679,0.024
1,186,0.578,0.654,0.026
1,187,0.678,0.743,0.02
1,188,0.559,0.636,0.028
1,189,0.643,0.712,0.022
1,190,0.731,0.788,0.017
1,191,0.843,0.879,0.01
1,192,0.572,0.649,0.028
1,193,0.7,0.761,0.019
1,194,0.791,0.838,0.013
1,195,0.768,0.819,0.015
1,196,0.692,0.755,0.02
1,197,0.658,0.725,0.022
1,198,0.739,0.795,0.017
1,199,0.721,0.779,0.018
1,200,0.772,0.822,0.015
1,201,0.553,0.631,0.03
1,202,0.565,0.642,0.03
1,203,0.649,0.717,0.023
1,204,0.617,0.689,0.026
1,205,0.619,0.69,0.026
1,206,0.5,0.581,0.035
1,207,0.542,0.62,0.032
1,208,0.634,0.704,0.025
1,209,0.492,0.573,0.036
1,210,0.627,0.698,0.026
1,211,0.537,0.616,0.033
1,212,0.506,0.587,0.035
1,213,0.406,0.49,0.044
1,214,0.457,0.539,0.04
1,215,0.527,0.607,0.034
1,216,0.395,0.478,0.046
1,217,0.338,0.42,0.052
1,218,0.383,0.466,0.047
1,219,0.539,0.618,0.034
1,220,0.406,0.49,0.045
1,221,0.495,0.576,0.038
1,222,0.353,0.435,0.051
1,223,0.385,0.468,0.048
1,224,0.385,0.468,0.048
1,39,0.437,0.52,-0.025
1,40,0.288,0.367,-0.034
1,41,0.44,0.523,-0.025
1,42,0.273,0.35,-0.036
1,43,0.493,0.574,-0.022
1,44,0.662,0.729,-0.014
1,45,0.761,0.813,-0.01
1,46,0.575,0.651,-0.018
1,47,0.409,0.492,-0.027
1,48,0.554,0.632,-0.019
1,49,0.338,0.42,-0.031
1,50,0.483,0.565,-0.023
1,51,0.569,0.645,-0.019
1,52,0.666,0.732,-0.014
1,53,0.423,0.506,-0.026
1,54,0.688,0.751,-0.013
1,55,0.66,0.727,-0.014
1,56,0.632,0.702,-0.016
1,57,0.597,0.671,-0.018
1,58,0.758,0.811,-0.01
1,59,0.452,0.535,-0.025
1,60,0.378,0.461,-0.029
1,61,0.461,0.544,-0.025
1,62,0.356,0.438,-0.031
1,63,0.316,0.396,-0.033
1,64,0.52,0.6,-0.022
1,65,0.262,0.339,-0.038
1,66,0.295,0.374,-0.035
1,67,0.089,0.135,-0.057
1,68,0.184,0.251,-0.045
1,69,0.269,0.347,-0.037
1,70,0.23,0.304,-0.041
1,71,0.318,0.398,-0.034
1,72,0.4,0.483,-0.029
1,73,0.278,0.356,-0.037
1,74,0.362,0.444,-0.031
1,75,0.422,0.506,-0.028
1,76,0.465,0.547,-0.025
1,77,0.605,0.678,-0.018
1,78,0.994,0.996,-0.0
1,79,0.505,0.586,-0.023
1,80,0.679,0.744,-0.014
1,81,0.922,0.942,-0.003
1,82,0.851,0.886,-0.007
1,83,0.849,0.884,-0.007
1,84,0.841,0.878,-0.007
1,85,0.748,0.802,0.011
1,86,0.922,0.941,0.004
1,87,0.913,0.934,-0.004
1,88,0.696,0.758,-0.014
1,89,0.848,0.884,-0.007
1,90,0.696,0.758,-0.014
1,91,0.627,0.698,-0.017
1,92,0.954,0.966,-0.002
1,93,0.715,0.775,-0.013
1,94,0.804,0.848,-0.009
1,95,0.731,0.788,-0.013
1,96,0.628,0.698,-0.018
1,97,0.79,0.837,-0.01
1,98,0.724,0.782,-0.013
1,99,0.947,0.96,-0.002
10,10,0.202,0.271,-0.041
10,100,0.442,0.525,0.028
10,101,0.567,0.644,0.021
10,102,0.877,0.907,0.006
10,103,0.618,0.69,0.018
10,104,0.581,0.656,0.02
10,105,0.812,0.854,0.009
10,106,0.831,0.87,0.008
10,107,0.587,0.662,0.02
10,108,0.788,0.835,0.01
10,109,0.883,0.912,0.005
10,11,0.245,0.32,-0.037
10,110,0.755,0.808,0.012
10,111,0.82,0.861,0.009
10,112,0.75,0.804,0.012
10,113,0.77,0.821,0.011
10,114,0.562,0.639,0.022
10,115,0.378,0.461,0.033
10,116,0.505,0.586,0.025
10,117,0.768,0.819,0.011
10,118,0.593,0.667,0.02
10,119,0.678,0.743,0.016
10,12,0.22,0.293,-0.039
10,120,0.491,0.573,0.026
10,121,0.655,0.723,0.017
10,122,0.628,0.699,0.019
10,123,0.761,0.813,0.012
10,124,0.676,0.741,0.016
10,125,0.691,0.754,0.015
10,126,0.52,0.6,0.025
10,127,0.483,0.565,0.027
10,128,0.61,0.682,0.02
10,129,0.618,0.69,0.019
10,13,0.292,0.372,-0.033
10,130,0.515,0.596,0.025
10,131,0.602,0.676,0.02
10,132,0.605,0.678,0.02
10,133,0.774,0.824,0.011
10,134,0.697,0.759,0.015
10,135,0.591,0.666,0.021
10,136,0.471,0.553,0.028
10,137,0.733,0.79,0.013
10,138,0.736,0.792,0.013
10,139,0.818,0.86,0.009
10,14,0.178,0.244,-0.043
10,140,0.75,0.804,0.013
10,141,0.581,0.656,0.022
10,142,0.527,0.606,0.025
10,143,0.405,0.488,0.033
10,144,0.587,0.662,0.022
10,145,0.662,0.729,0.017
10,146,0.44,0.523,0.031
10,147,0.598,0.672,0.021
10,148,0.562,0.639,0.023
10,149,0.561,0.638,0.023
10,15,0.458,0.541,-0.023
10,150,0.518,0.598,0.026
10,151,0.453,0.536,0.03
10,152,0.35,0.432,0.038
10,153,0.306,0.387,0.041
10,154,0.244,0.319,0.047
10,155,0.254,0.33,0.046
10,156,0.217,0.289,0.05
10,157,0.212,0.283,0.05
10,158,0.247,0.322,0.047
10,159,0.226,0.299,0.049
10,16,0.212,0.283,-0.039
10,160,0.149,0.21,0.058
10,161,0.117,0.171,0.063
10,162,0.216,0.288,0.05
10,163,0.338,0.419,0.039
10,164,0.266,0.343,0.045
10,165,0.405,0.489,0.034
10,166,0.347,0.429,0.038
10,167,0.302,0.382,0.042
10,168,0.407,0.49,0.034
10,169,0.392,0.475,0.035
10,17,0.452,0.535,-0.024
10,170,0.386,0.469,0.035
10,171,0.272,0.35,0.045
10,172,0.281,0.359,0.044
10,173,0.355,0.437,0.038
10,174,0.479,0.561,0.029
10,175,0.39,0.474,0.035
10,176,0.349,0.431,0.039
10,177,0.559,0.636,0.024
10,178,0.529,0.609,0.026
10,179,0.565,0.642,0.024
10,18,0.4,0.483,-0.026
10,180,0.448,0.53,0.032
10,181,0.499,0.58,0.028
10,182,0.4,0.483,0.036
10,183,0.384,0.468,0.037
10,184,0.336,0.418,0.041
10,185,0.425,0.508,0.034
10,186,0.557,0.634,0.025
10,187,0.533,0.612,0.027
10,188,0.522,0.602,0.028
10,189,0.681,0.745,0.018
10,19,0.458,0.54,-0.023
10,190,0.785,0.833,0.012
10,191,0.663,0.729,0.019
10,192,0.628,0.699,0.021
10,193,0.631,0.702,0.021
10,194,0.586,0.661,0.024
10,195,0.471,0.553,0.033
10,196,0.65,0.718,0.021
10,197,0.672,0.738,0.019
10,198,0.937,0.953,0.004
10,199,0.627,0.698,0.022
10,20,0.228,0.301,-0.038
10,200,0.629,0.699,0.023
10,201,0.818,0.86,0.011
10,202,0.727,0.785,0.017
10,203,0.607,0.68,0.025
10,204,0.619,0.691,0.024
10,205,0.553,0.631,0.029
10,206,0.494,0.575,0.033
10,207,0.456,0.539,0.036
10,208,0.473,0.556,0.035
10,209,0.45,0.533,0.038
10,21,0.455,0.538,-0.023
10,210,0.368,0.451,0.045
10,211,0.441,0.524,0.039
10,212,0.432,0.515,0.04
10,213,0.321,0.402,0.051
10,214,0.292,0.371,0.054
10,215,0.481,0.562,0.037
10,216,0.431,0.514,0.041
10,217,0.442,0.525,0.041
10,218,0.358,0.441,0.049
10,219,0.575,0.651,0.03
10,22,0.51,0.59,-0.021
10,220,0.632,0.702,0.026
10,221,0.597,0.671,0.029
10,222,0.697,0.759,0.021
10,223,0.812,0.855,0.013
10,224,0.775,0.825,0.016
10,225,0.751,0.804,0.018
10,226,0.789,0.836,0.015
10,227,0.972,0.979,0.002
10,228,0.986,0.99,0.001
10,229,0.928,0.946,-0.005
10,23,0.316,0.397,-0.031
10,230,0.996,0.997,-0.0
10,231,0.996,0.997,-0.0
10,232,0.897,0.922,-0.007
10,233,0.982,0.987,-0.001
10,234,0.969,0.977,0.002
10,235,0.801,0.846,0.015
10,236,0.938,0.954,0.005
10,237,0.844,0.88,-0.012
10,238,0.718,0.777,0.021
10,239,0.862,0.895,0.01
10,24,0.466,0.549,-0.023
10,240,0.824,0.865,0.013
10,241,0.639,0.708,0.028
10,242,0.683,0.747,0.024
10,243,0.768,0.819,0.018
10,244,0.801,0.846,0.015
10,245,0.846,0.882,0.012
10,246,0.777,0.826,0.017
10,247,0.772,0.822,0.018
10,248,0.806,0.85,0.015
10,249,0.752,0.805,0.02
10,25,0.528,0.608,-0.02
10,250,0.648,0.716,0.029
10,251,0.668,0.734,0.027
10,26,0.524,0.604,-0.02
10,27,0.739,0.794,-0.01
10,28,0.459,0.541,-0.023
10,29,0.506,0.587,-0.021
10,30,0.54,0.619,-0.019
10,31,0.43,0.513,-0.025
10,32,0.531,0.61,-0.02
10,33,0.305,0.385,-0.032
10,34,0.525,0.604,-0.02
10,35,0.319,0.4,-0.031
10,36,0.327,0.408,-0.031
10,37,0.345,0.428,-0.03
10,38,0.427,0.51,-0.025
10,39,0.126,0.181,-0.048
10,40,0.221,0.294,-0.039
10,41,0.501,0.582,-0.021
10,42,0.105,0.155,-0.052
10,43,0.164,0.227,-0.044
10,44,0.172,0.237,-0.044
10,45,0.261,0.338,-0.036
10,46,0.141,0.2,-0.047
10,47,0.165,0.228,-0.045
10,48,0.101,0.15,-0.053
10,49,0.121,0.175,-0.05
10,50,0.211,0.282,-0.04
10,51,0.257,0.333,-0.037
10,52,0.165,0.229,-0.045
10,53,0.312,0.392,-0.033
10,54,0.433,0.516,-0.025
10,55,0.229,0.302,-0.039
10,56,0.415,0.499,-0.027
10,57,0.342,0.424,-0.031
10,58,0.246,0.321,-0.038
10,59,0.439,0.522,-0.025
10,60,0.392,0.475,-0.028
10,61,0.4,0.483,-0.028
10,62,0.498,0.579,-0.022
10,63,0.81,0.853,-0.008
10,64,0.824,0.865,-0.007
10,65,0.741,0.796,-0.011
10,66,0.743,0.798,-0.011
10,67,0.714,0.774,-0.012
10,68,0.837,0.875,-0.007
10,69,0.73,0.787,-0.012
10,7,0.201,0.27,-0.043
10,70,0.622,0.693,-0.017
10,71,0.959,0.97,-0.002
10,72,0.995,0.997,-0.0
10,73,0.899,0.924,-0.004
10,74,0.904,0.928,-0.004
10,75,0.939,0.954,0.003
10,76,0.864,0.896,-0.006
10,77,0.895,0.921,-0.005
10,78,0.876,0.905,-0.005
10,79,0.815,0.857,0.008
10,8,0.22,0.292,-0.04
10,80,0.845,0.881,-0.007
10,81,0.976,0.982,0.001
10,82,0.989,0.992,-0.0
10,83,0.866,0.898,-0.006
10,84,0.886,0.914,0.005
10,85,0.882,0.91,0.005
10,86,0.8,0.845,0.009
10,87,0.848,0.884,0.007
10,88,0.973,0.98,-0.001
10,89,0.898,0.923,0.005
10,9,0.215,0.287,-0.04
10,90,0.899,0.924,0.005
10,91,0.742,0.797,0.012
10,92,0.697,0.759,0.014
10,93,0.665,0.731,0.016
10,94,0.743,0.798,0.012
10,95,0.675,0.74,0.015
10,96,0.796,0.842,0.009
10,97,0.782,0.83,0.01
10,98,0.614,0.687,0.018
10,99,0.806,0.85,0.009
100,10,0.249,0.324,-0.04
100,100,0.686,0.75,0.018
100,101,0.76,0.812,0.013
100,102,0.634,0.704,0.021
100,103,0.861,0.894,0.008
100,104,0.687,0.75,0.018
100,105,0.5,0.581,0.03
100,106,0.615,0.687,0.022
100,107,0.533,0.612,0.028
100,108,0.487,0.568,0.031
100,109,0.689,0.752,0.018
100,11,0.428,0.512,-0.027
100,110,0.911,0.933,0.005
100,111,0.652,0.72,0.02
100,112,0.555,0.633,0.027
100,113,0.631,0.701,0.022
100,114,0.6,0.673,0.024
100,115,0.656,0.723,0.02
100,116,0.787,0.834,0.012
100,117,0.889,0.916,0.006
100,118,0.94,0.955,0.003
100,119,0.983,0.988,0.001
100,12,0.368,0.451,-0.031
100,120,0.989,0.992,0.001
100,121,0.937,0.953,0.004
100,122,0.797,0.843,0.012
100,123,0.863,0.895,0.008
100,124,0.713,0.773,0.017
100,125,0.852,0.887,0.009
100,126,0.671,0.736,0.02
100,127,0.68,0.744,0.019
100,128,0.755,0.808,0.014
100,129,0.837,0.875,0.009
100,13,0.43,0.513,-0.027
100,130,0.677,0.742,0.019
100,131,0.544,0.622,0.028
100,132,0.551,0.629,0.027
100,133,0.658,0.725,0.02
100,134,0.638,0.708,0.022
100,135,0.522,0.602,0.03
100,136,0.417,0.5,0.037
100,137,0.498,0.579,0.031
100,138,0.688,0.751,0.019
100,139,0.773,0.823,0.013
100,14,0.423,0.506,-0.027
100,140,0.724,0.782,0.016
100,141,0.516,0.596,0.03
100,142,0.535,0.614,0.029
100,143,0.547,0.626,0.028
100,144,0.536,0.615,0.029
100,145,0.416,0.5,0.038
100,146,0.622,0.693,0.023
100,147,0.772,0.822,0.013
100,148,0.978,0.984,0.001
100,149,0.474,0.556,0.033
100,15,0.546,0.625,-0.02
100,150,0.501,0.582,0.031
100,151,0.624,0.695,0.023
100,152,0.6,0.674,0.024
100,153,0.785,0.833,0.013
100,154,0.683,0.747,0.019
100,155,0.729,0.786,0.016
100,156,0.69,0.753,0.018
100,157,0.733,0.79,0.016
100,158,0.664,0.73,0.02
100,159,0.62,0.691,0.023
100,16,0.355,0.437,-0.031
100,160,0.599,0.673,0.024
100,161,0.523,0.603,0.029
100,162,0.594,0.668,0.025
100,163,0.423,0.506,0.037
100,164,0.541,0.62,0.028
100,165,0.536,0.615,0.028
100,166,0.66,0.727,0.02
100,167,0.553,0.631,0.027
100,168,0.541,0.62,0.028
100,169,0.51,0.59,0.03
100,17,0.722,0.78,-0.012
100,170,0.483,0.564,0.032
100,171,0.454,0.537,0.034
100,172,0.549,0.627,0.027
100,173,0.587,0.662,0.025
100,174,0.527,0.607,0.029
100,175,0.547,0.626,0.027
100,176,0.465,0.547,0.033
100,177,0.451,0.534,0.034
100,178,0.388,0.471,0.039
100,179,0.365,0.448,0.041
100,18,0.514,0.594,-0.022
100,180,0.387,0.47,0.039
100,181,0.45,0.533,0.034
100,182,0.433,0.516,0.035
100,183,0.255,0.331,0.051
100,184,0.203,0.273,0.057
100,185,0.143,0.203,0.066
100,186,0.147,0.207,0.065
100,187,0.157,0.219,0.064
100,188,0.227,0.3,0.054
100,189,0.213,0.284,0.056
100,19,0.574,0.65,-0.019
100,190,0.12,0.174,0.07
100,191,0.135,0.192,0.068
100,192,0.12,0.174,0.071
100,193,0.22,0.292,0.056
100,194,0.126,0.182,0.07
100,195,0.123,0.178,0.071
100,196,0.097,0.145,0.076
100,197,0.091,0.137,0.078
100,198,0.106,0.157,0.075
100,199,0.1,0.149,0.077
100,20,0.757,0.81,-0.01
100,200,0.11,0.162,0.075
100,201,0.073,0.114,0.085
100,202,0.052,0.085,0.093
100,203,0.084,0.128,0.083
