slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.519,0.599,-0.024
1,101,0.802,0.847,-0.009
1,102,0.926,0.944,-0.003
1,103,0.818,0.86,-0.009
1,104,0.994,0.996,0.0
1,105,0.96,0.97,-0.002
1,106,0.951,0.963,0.002
1,107,0.775,0.825,-0.011
1,108,0.849,0.885,-0.007
1,109,0.979,0.984,-0.001
1,110,0.952,0.964,0.002
1,111,0.977,0.983,-0.001
1,112,0.862,0.895,0.007
1,113,0.899,0.924,0.005
1,114,0.992,0.994,-0.0
1,115,0.816,0.858,0.009
1,116,0.718,0.777,0.014
1,117,0.797,0.843,0.01
1,118,0.971,0.979,-0.001
1,119,0.927,0.946,0.004
1,120,0.588,0.663,0.021
1,121,0.522,0.602,0.025
1,122,0.649,0.718,0.018
1,123,0.727,0.784,0.014
1,124,0.665,0.732,0.017
1,125,0.877,0.906,0.006
1,126,0.758,0.811,0.012
1,127,0.593,0.668,0.021
1,128,0.688,0.752,0.016
1,129,0.705,0.766,0.015
1,130,0.603,0.676,0.02
1,131,0.613,0.685,0.02
1,132,0.56,0.637,0.023
1,133,0.633,0.703,0.019
1,134,0.731,0.788,0.014
1,135,0.533,0.613,0.025
1,136,0.565,0.642,0.023
1,137,0.649,0.717,0.018
1,138,0.547,0.625,0.024
1,139,0.479,0.561,0.028
1,140,0.631,0.701,0.019
1,141,0.613,0.685,0.02
1,142,0.526,0.606,0.026
1,143,0.436,0.519,0.032
1,144,0.522,0.602,0.026
1,145,0.584,0.659,0.022
1,146,0.281,0.359,0.044
1,147,0.288,0.366,0.043
1,148,0.337,0.418,0.039
1,149,0.39,0.473,0.035
1,150,0.338,0.42,0.039
1,151,0.284,0.363,0.044
1,152,0.347,0.429,0.039
1,153,0.394,0.477,0.035
1,154,0.403,0.486,0.035
1,155,0.406,0.489,0.035
1,156,0.465,0.547,0.031
1,157,0.408,0.492,0.035
1,158,0.49,0.571,0.029
1,159,0.463,0.546,0.031
1,160,0.491,0.572,0.029
1,161,0.46,0.542,0.031
1,162,0.553,0.63,0.025
1,163,0.479,0.561,0.03
1,164,0.526,0.606,0.027
1,165,0.527,0.607,0.027
1,166,0.373,0.456,0.038
1,167,0.524,0.604,0.028
1,168,0.456,0.539,0.032
1,169,0.554,0.631,0.026
1,170,0.476,0.558,0.031
1,171,0.363,0.446,0.04
1,172,0.525,0.605,0.028
1,173,0.53,0.609,0.028
1,174,0.626,0.697,0.022
1,175,0.775,0.825,0.013
1,176,0.723,0.781,0.016
1,177,0.809,0.852,0.011
1,178,0.907,0.93,0.005
1,179,0.734,0.79,0.016
