slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.017,0.033,-0.088
1,101,0.023,0.042,-0.084
1,102,0.024,0.043,-0.084
1,103,0.028,0.051,-0.082
1,104,0.06,0.097,-0.07
1,105,0.051,0.084,-0.073
1,106,0.067,0.105,-0.069
1,107,0.028,0.049,-0.083
1,108,0.035,0.061,-0.08
1,109,0.036,0.062,-0.079
1,110,0.064,0.101,-0.07
1,111,0.059,0.094,-0.072
1,112,0.062,0.098,-0.071
1,113,0.055,0.089,-0.074
1,114,0.03,0.053,-0.083
1,115,0.056,0.091,-0.074
1,116,0.091,0.137,-0.065
1,117,0.065,0.103,-0.072
1,118,0.031,0.055,-0.084
1,119,0.041,0.069,-0.08
1,120,0.106,0.156,-0.063
1,121,0.134,0.192,-0.059
1,122,0.116,0.169,-0.062
1,123,0.091,0.137,-0.066
1,124,0.087,0.133,-0.067
1,125,0.057,0.092,-0.075
1,126,0.079,0.121,-0.069
1,127,0.111,0.163,-0.063
1,128,0.07,0.109,-0.072
1,129,0.07,0.11,-0.072
1,130,0.099,0.148,-0.065
1,131,0.094,0.141,-0.066
1,132,0.114,0.166,-0.063
1,133,0.075,0.117,-0.071
1,134,0.062,0.099,-0.075
1,135,0.095,0.143,-0.067
1,136,0.084,0.128,-0.069
1,137,0.086,0.132,-0.069
1,138,0.126,0.182,-0.062
1,139,0.118,0.172,-0.063
1,140,0.069,0.108,-0.074
1,141,0.082,0.126,-0.07
1,142,0.1,0.149,-0.067
1,143,0.132,0.189,-0.062
1,144,0.12,0.174,-0.063
1,145,0.078,0.12,-0.072
1,146,0.224,0.297,-0.05
1,147,0.245,0.32,-0.048
1,148,0.163,0.227,-0.057
1,149,0.154,0.215,-0.059
1,150,0.183,0.25,-0.055
1,151,0.211,0.282,-0.052
1,152,0.142,0.201,-0.061
1,153,0.143,0.203,-0.061
1,154,0.131,0.188,-0.063
1,155,0.12,0.174,-0.065
1,156,0.12,0.174,-0.065
1,157,0.152,0.214,-0.06
1,158,0.122,0.177,-0.065
1,159,0.098,0.146,-0.07
1,160,0.097,0.145,-0.071
1,161,0.108,0.159,-0.069
1,162,0.077,0.119,-0.076
1,163,0.106,0.157,-0.069
1,164,0.081,0.124,-0.075
1,165,0.102,0.151,-0.071
1,166,0.151,0.212,-0.062
1,167,0.109,0.161,-0.07
1,168,0.154,0.216,-0.062
1,169,0.132,0.189,-0.066
1,170,0.124,0.18,-0.068
1,171,0.153,0.215,-0.063
1,172,0.084,0.128,-0.077
1,173,0.111,0.163,-0.072
1,174,0.106,0.157,-0.073
1,175,0.082,0.125,-0.079
1,176,0.086,0.131,-0.078
1,177,0.055,0.089,-0.088
1,178,0.047,0.078,-0.092
1,179,0.082,0.126,-0.08
1,180,0.07,0.11,-0.084
1,181,0.052,0.085,-0.091
1,182,0.106,0.157,-0.076
1,183,0.058,0.093,-0.089
1,184,0.075,0.116,-0.085
1,185,0.112,0.164,-0.076
1,186,0.108,0.16,-0.077
1,187,0.093,0.14,-0.081
1,188,0.112,0.165,-0.077
1,189,0.093,0.14,-0.082
1,190,0.083,0.127,-0.085
1,191,0.066,0.105,-0.09
1,192,0.138,0.196,-0.073
1,193,0.096,0.144,-0.083
1,194,0.072,0.113,-0.09
1,195,0.068,0.107,-0.091
1,196,0.093,0.14,-0.084
1,197,0.101,0.15,-0.083
1,198,0.065,0.103,-0.094
1,199,0.084,0.128,-0.088
1,200,0.056,0.091,-0.098
1,201,0.126,0.181,-0.079
1,202,0.111,0.163,-0.082
1,203,0.084,0.128,-0.09
1,204,0.073,0.113,-0.094
1,205,0.084,0.129,-0.091
1,206,0.138,0.196,-0.078
1,207,0.121,0.176,-0.082
1,208,0.087,0.132,-0.091
1,209,0.107,0.158,-0.086
1,210,0.082,0.125,-0.093
1,211,0.11,0.161,-0.085
1,212,0.12,0.174,-0.083
1,213,0.131,0.187,-0.082
1,214,0.118,0.171,-0.085
1,215,0.114,0.166,-0.086
1,216,0.173,0.238,-0.074
1,217,0.204,0.275,-0.069
1,218,0.156,0.218,-0.078
1,219,0.121,0.175,-0.085
1,220,0.187,0.255,-0.073
