slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.005,0.01,-0.11
1,101,0.006,0.013,-0.106
1,102,0.008,0.017,-0.103
1,103,0.012,0.023,-0.099
1,104,0.02,0.038,-0.091
1,105,0.013,0.026,-0.098
1,106,0.021,0.039,-0.091
1,107,0.01,0.021,-0.102
1,108,0.011,0.022,-0.101
1,109,0.012,0.025,-0.099
1,110,0.028,0.051,-0.087
1,111,0.036,0.062,-0.084
1,112,0.027,0.048,-0.089
1,113,0.027,0.049,-0.089
1,114,0.012,0.024,-0.101
1,115,0.023,0.042,-0.092
1,116,0.03,0.053,-0.088
1,117,0.03,0.054,-0.088
1,118,0.018,0.034,-0.096
1,119,0.024,0.043,-0.092
1,120,0.047,0.078,-0.081
1,121,0.063,0.101,-0.076
1,122,0.064,0.101,-0.076
1,123,0.044,0.073,-0.083
1,124,0.047,0.078,-0.082
1,125,0.023,0.042,-0.094
1,126,0.022,0.04,-0.095
1,127,0.028,0.05,-0.091
1,128,0.015,0.029,-0.101
1,129,0.018,0.035,-0.098
1,130,0.026,0.046,-0.093
1,131,0.021,0.04,-0.095
1,132,0.033,0.058,-0.088
1,133,0.02,0.038,-0.097
1,134,0.017,0.032,-0.1
1,135,0.018,0.035,-0.099
1,136,0.015,0.029,-0.102
1,137,0.018,0.034,-0.1
1,138,0.029,0.052,-0.092
1,139,0.033,0.057,-0.09
1,140,0.017,0.032,-0.101
1,141,0.018,0.035,-0.1
1,142,0.024,0.044,-0.096
1,143,0.038,0.064,-0.089
1,144,0.038,0.065,-0.089
1,145,0.02,0.037,-0.1
1,146,0.066,0.104,-0.079
1,147,0.076,0.118,-0.076
1,148,0.04,0.068,-0.088
1,149,0.043,0.072,-0.087
1,150,0.045,0.075,-0.087
1,151,0.05,0.082,-0.085
1,152,0.029,0.051,-0.095
1,153,0.034,0.059,-0.093
1,154,0.022,0.04,-0.1
1,155,0.022,0.041,-0.1
1,156,0.023,0.042,-0.1
1,157,0.025,0.046,-0.099
1,158,0.025,0.045,-0.099
1,159,0.017,0.032,-0.106
1,160,0.018,0.034,-0.105
1,161,0.025,0.046,-0.1
1,162,0.013,0.027,-0.111
1,163,0.021,0.039,-0.104
1,164,0.017,0.033,-0.107
1,165,0.022,0.04,-0.104
1,166,0.042,0.071,-0.092
1,167,0.035,0.06,-0.096
1,168,0.049,0.081,-0.09
1,169,0.047,0.078,-0.092
1,170,0.04,0.069,-0.095
1,171,0.053,0.086,-0.09
1,172,0.025,0.045,-0.105
1,173,0.046,0.077,-0.094
1,174,0.042,0.071,-0.096
1,175,0.029,0.051,-0.104
1,176,0.035,0.061,-0.1
1,177,0.021,0.039,-0.111
1,178,0.018,0.035,-0.114
1,179,0.03,0.054,-0.105
1,180,0.031,0.054,-0.105
1,181,0.018,0.034,-0.115
1,182,0.029,0.052,-0.107
1,183,0.021,0.039,-0.114
1,184,0.029,0.051,-0.109
1,185,0.043,0.072,-0.101
1,186,0.047,0.079,-0.099
1,187,0.047,0.077,-0.1
1,188,0.057,0.092,-0.097
1,189,0.04,0.068,-0.104
1,190,0.036,0.062,-0.107
1,191,0.029,0.052,-0.112
1,192,0.073,0.113,-0.093
1,193,0.065,0.103,-0.096
1,194,0.049,0.08,-0.103
1,195,0.032,0.057,-0.112
1,196,0.044,0.074,-0.106
1,197,0.056,0.09,-0.101
1,198,0.042,0.07,-0.109
1,199,0.051,0.084,-0.104
1,200,0.028,0.05,-0.118
1,201,0.078,0.121,-0.095
1,202,0.069,0.109,-0.098
1,203,0.05,0.082,-0.107
1,204,0.043,0.072,-0.111
1,205,0.04,0.068,-0.113
1,206,0.075,0.117,-0.098
1,207,0.063,0.101,-0.103
1,208,0.038,0.065,-0.115
1,209,0.051,0.083,-0.109
1,210,0.039,0.067,-0.115
1,211,0.047,0.078,-0.111
1,212,0.048,0.079,-0.111
1,213,0.055,0.089,-0.108
1,214,0.046,0.077,-0.113
1,215,0.045,0.075,-0.114
1,216,0.082,0.126,-0.099
1,217,0.097,0.146,-0.095
1,218,0.068,0.107,-0.105
1,219,0.057,0.092,-0.11
1,220,0.11,0.162,-0.093
1,221,0.093,0.14,-0.098
1,222,0.162,0.226,-0.081
1,223,0.156,0.217,-0.083
1,224,0.182,0.248,-0.079
1,39,0.001,0.003,-0.113
1,40,0.0,0.001,-0.121
1,41,0.001,0.004,-0.109
1,42,0.0,0.001,-0.128
1,43,0.001,0.004,-0.11
1,44,0.002,0.006,-0.104
1,45,0.002,0.005,-0.107
1,46,0.001,0.002,-0.116
1,47,0.001,0.003,-0.113
1,48,0.002,0.005,-0.107
1,49,0.0,0.001,-0.127
1,50,0.002,0.004,-0.109
1,51,0.003,0.007,-0.103
1,52,0.001,0.004,-0.111
1,53,0.001,0.002,-0.117
1,54,0.003,0.008,-0.102
1,55,0.001,0.004,-0.111
1,56,0.001,0.002,-0.117
1,57,0.001,0.003,-0.115
1,58,0.002,0.006,-0.106
1,59,0.0,0.001,-0.126
1,60,0.0,0.001,-0.124
1,61,0.0,0.001,-0.129
1,62,0.0,0.001,-0.125
1,63,0.0,0.001,-0.129
1,64,0.001,0.003,-0.117
1,65,0.001,0.002,-0.124
1,66,0.0,0.001,-0.135
1,67,0.0,0.0,-0.151
1,68,0.0,0.0,-0.137
1,69,0.0,0.001,-0.128
1,70,0.0,0.001,-0.135
1,71,0.0,0.001,-0.128
1,72,0.001,0.003,-0.119
1,73,0.0,0.001,-0.128
1,74,0.0,0.001,-0.127
1,75,0.0,0.002,-0.128
1,76,0.001,0.002,-0.126
1,77,0.006,0.014,-0.1
1,78,0.01,0.02,-0.095
1,79,0.002,0.005,-0.114
1,80,0.004,0.01,-0.106
1,81,0.01,0.021,-0.095
1,82,0.004,0.01,-0.106
1,83,0.003,0.007,-0.111
1,84,0.003,0.008,-0.11
1,85,0.01,0.021,-0.096
1,86,0.008,0.018,-0.099
1,87,0.004,0.01,-0.108
1,88,0.002,0.005,-0.118
1,89,0.004,0.009,-0.109
1,90,0.002,0.005,-0.117
1,91,0.002,0.006,-0.115
1,92,0.006,0.013,-0.105
1,93,0.002,0.004,-0.121
1,94,0.006,0.013,-0.105
1,95,0.004,0.009,-0.112
1,96,0.003,0.007,-0.116
1,97,0.005,0.012,-0.107
1,98,0.007,0.016,-0.103
1,99,0.011,0.022,-0.099
10,10,0.001,0.002,-0.118
10,100,0.043,0.072,-0.078
10,101,0.034,0.059,-0.082
10,102,0.017,0.032,-0.093
10,103,0.023,0.042,-0.089
10,104,0.045,0.075,-0.078
10,105,0.009,0.018,-0.103
10,106,0.01,0.02,-0.101
10,107,0.037,0.064,-0.082
10,108,0.03,0.053,-0.086
10,109,0.023,0.043,-0.09
10,11,0.0,0.001,-0.12
10,110,0.023,0.043,-0.09
10,111,0.015,0.029,-0.097
10,112,0.021,0.039,-0.092
10,113,0.017,0.032,-0.095
10,114,0.027,0.049,-0.088
10,115,0.049,0.081,-0.079
10,116,0.042,0.071,-0.081
10,117,0.017,0.032,-0.096
10,118,0.03,0.053,-0.087
10,119,0.013,0.027,-0.1
10,12,0.0,0.001,-0.125
10,120,0.034,0.06,-0.085
10,121,0.013,0.026,-0.101
10,122,0.013,0.025,-0.101
10,123,0.01,0.021,-0.104
10,124,0.01,0.02,-0.106
10,125,0.011,0.022,-0.104
10,126,0.017,0.032,-0.098
10,127,0.019,0.035,-0.096
10,128,0.007,0.015,-0.11
10,129,0.014,0.027,-0.101
10,13,0.001,0.002,-0.115
10,130,0.012,0.025,-0.103
10,131,0.013,0.025,-0.102
10,132,0.013,0.026,-0.103
10,133,0.009,0.019,-0.108
10,134,0.01,0.02,-0.107
10,135,0.011,0.022,-0.106
10,136,0.015,0.03,-0.101
10,137,0.012,0.023,-0.105
10,138,0.014,0.028,-0.102
10,139,0.011,0.022,-0.106
10,14,0.0,0.001,-0.126
10,140,0.008,0.018,-0.11
10,141,0.02,0.037,-0.098
10,142,0.025,0.045,-0.094
10,143,0.028,0.05,-0.092
10,144,0.017,0.033,-0.1
10,145,0.014,0.027,-0.104
10,146,0.026,0.047,-0.094
10,147,0.012,0.025,-0.105
10,148,0.014,0.027,-0.104
10,149,0.012,0.024,-0.106
10,15,0.001,0.002,-0.112
10,150,0.014,0.028,-0.104
10,151,0.014,0.028,-0.104
10,152,0.016,0.031,-0.103
10,153,0.014,0.028,-0.104
10,154,0.024,0.044,-0.096
10,155,0.034,0.06,-0.09
10,156,0.029,0.052,-0.093
10,157,0.04,0.067,-0.087
10,158,0.051,0.084,-0.083
10,159,0.061,0.098,-0.08
10,16,0.001,0.002,-0.115
10,160,0.064,0.102,-0.079
10,161,0.124,0.179,-0.066
10,162,0.055,0.09,-0.082
10,163,0.041,0.069,-0.087
10,164,0.059,0.094,-0.081
10,165,0.036,0.062,-0.09
10,166,0.067,0.106,-0.079
10,167,0.132,0.189,-0.065
10,168,0.057,0.092,-0.082
10,169,0.068,0.106,-0.079
10,17,0.001,0.003,-0.108
10,170,0.103,0.153,-0.07
10,171,0.15,0.211,-0.062
10,172,0.115,0.168,-0.068
10,173,0.099,0.148,-0.072
10,174,0.084,0.129,-0.075
10,175,0.06,0.096,-0.082
10,176,0.083,0.127,-0.076
10,177,0.066,0.105,-0.081
10,178,0.068,0.107,-0.08
10,179,0.067,0.105,-0.081
10,18,0.001,0.002,-0.111
10,180,0.075,0.117,-0.079
10,181,0.074,0.115,-0.079
10,182,0.102,0.152,-0.073
10,183,0.07,0.11,-0.081
10,184,0.08,0.123,-0.079
10,185,0.054,0.088,-0.087
10,186,0.054,0.088,-0.087
10,187,0.051,0.083,-0.089
10,188,0.069,0.108,-0.083
10,189,0.056,0.091,-0.088
10,19,0.002,0.005,-0.104
10,190,0.025,0.045,-0.104
10,191,0.038,0.065,-0.096
10,192,0.041,0.069,-0.096
10,193,0.046,0.077,-0.094
10,194,0.037,0.063,-0.099
10,195,0.068,0.108,-0.087
10,196,0.051,0.083,-0.094
10,197,0.053,0.087,-0.094
10,198,0.029,0.051,-0.107
10,199,0.055,0.09,-0.094
10,20,0.0,0.001,-0.121
10,200,0.067,0.106,-0.09
10,201,0.04,0.068,-0.102
10,202,0.056,0.09,-0.096
10,203,0.094,0.141,-0.084
10,204,0.122,0.177,-0.078
10,205,0.11,0.161,-0.082
10,206,0.12,0.175,-0.08
10,207,0.164,0.228,-0.072
10,208,0.187,0.254,-0.069
10,209,0.191,0.259,-0.069
10,21,0.001,0.003,-0.109
10,210,0.242,0.317,-0.062
10,211,0.238,0.312,-0.063
10,212,0.177,0.243,-0.073
10,213,0.254,0.33,-0.062
10,214,0.226,0.298,-0.066
10,215,0.157,0.219,-0.078
10,216,0.172,0.237,-0.076
10,217,0.203,0.273,-0.071
10,218,0.272,0.349,-0.062
10,219,0.168,0.232,-0.078
10,22,0.003,0.007,-0.1
10,220,0.151,0.212,-0.082
10,221,0.172,0.237,-0.078
10,222,0.13,0.186,-0.088
10,223,0.105,0.155,-0.094
10,224,0.105,0.155,-0.095
10,225,0.12,0.174,-0.091
10,226,0.115,0.168,-0.093
10,227,0.054,0.088,-0.115
10,228,0.055,0.089,-0.115
10,229,0.055,0.089,-0.115
10,23,0.0,0.001,-0.122
10,230,0.066,0.105,-0.111
10,231,0.064,0.101,-0.112
10,232,0.049,0.081,-0.12
10,233,0.052,0.084,-0.119
10,234,0.059,0.094,-0.116
10,235,0.104,0.154,-0.1
10,236,0.057,0.091,-0.118
10,237,0.048,0.079,-0.123
10,238,0.11,0.162,-0.1
10,239,0.095,0.143,-0.105
10,24,0.001,0.003,-0.107
10,240,0.089,0.134,-0.107
10,241,0.159,0.222,-0.089
10,242,0.154,0.216,-0.09
10,243,0.126,0.181,-0.098
10,244,0.131,0.187,-0.097
10,245,0.115,0.168,-0.102
10,246,0.134,0.191,-0.097
10,247,0.129,0.186,-0.099
10,248,0.133,0.19,-0.098
10,249,0.132,0.19,-0.099
10,25,0.001,0.003,-0.108
10,250,0.185,0.253,-0.088
10,251,0.162,0.226,-0.093
10,26,0.002,0.004,-0.106
