slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.005,0.011,-0.105
1,101,0.007,0.016,-0.1
1,102,0.004,0.01,-0.108
1,103,0.007,0.016,-0.102
1,104,0.016,0.03,-0.092
1,105,0.011,0.022,-0.097
1,106,0.008,0.017,-0.101
1,107,0.002,0.006,-0.116
1,108,0.004,0.009,-0.11
1,109,0.004,0.01,-0.109
1,110,0.004,0.01,-0.11
1,111,0.009,0.019,-0.1
1,112,0.002,0.006,-0.118
1,113,0.003,0.007,-0.116
1,114,0.001,0.003,-0.126
1,115,0.001,0.003,-0.127
1,116,0.003,0.007,-0.116
1,117,0.002,0.006,-0.12
1,118,0.001,0.003,-0.131
1,119,0.001,0.004,-0.127
1,120,0.001,0.002,-0.136
1,121,0.0,0.001,-0.14
1,122,0.001,0.003,-0.13
1,123,0.001,0.002,-0.138
1,124,0.001,0.003,-0.131
1,125,0.002,0.005,-0.124
1,126,0.001,0.004,-0.128
1,127,0.002,0.006,-0.122
1,128,0.001,0.002,-0.136
1,129,0.001,0.002,-0.134
1,130,0.001,0.003,-0.134
1,131,0.002,0.004,-0.127
1,132,0.001,0.003,-0.134
1,133,0.0,0.001,-0.147
1,134,0.0,0.001,-0.145
1,135,0.0,0.001,-0.146
1,136,0.0,0.001,-0.142
1,137,0.0,0.001,-0.143
1,138,0.0,0.001,-0.146
1,139,0.0,0.0,-0.159
1,140,0.0,0.001,-0.156
1,141,0.0,0.001,-0.15
1,142,0.0,0.001,-0.147
1,143,0.001,0.002,-0.142
1,144,0.001,0.002,-0.139
1,145,0.0,0.001,-0.15
1,146,0.001,0.004,-0.132
1,147,0.0,0.001,-0.149
1,148,0.0,0.001,-0.155
1,149,0.0,0.001,-0.152
1,150,0.0,0.001,-0.147
1,151,0.001,0.003,-0.136
1,152,0.002,0.006,-0.128
1,153,0.002,0.006,-0.128
1,154,0.002,0.004,-0.134
1,155,0.003,0.008,-0.125
1,156,0.003,0.006,-0.128
1,157,0.003,0.008,-0.126
1,158,0.005,0.011,-0.121
1,159,0.003,0.007,-0.128
1,160,0.001,0.004,-0.137
1,161,0.001,0.004,-0.137
1,162,0.001,0.003,-0.144
1,163,0.002,0.005,-0.136
1,164,0.003,0.008,-0.128
1,165,0.002,0.004,-0.139
1,166,0.001,0.004,-0.141
1,167,0.001,0.003,-0.146
1,168,0.002,0.005,-0.136
1,169,0.001,0.002,-0.149
1,170,0.001,0.004,-0.143
1,171,0.002,0.005,-0.14
1,172,0.002,0.004,-0.143
1,173,0.001,0.003,-0.151
1,174,0.001,0.002,-0.153
1,175,0.001,0.004,-0.147
1,176,0.002,0.004,-0.145
1,177,0.001,0.004,-0.148
1,178,0.001,0.003,-0.154
1,179,0.002,0.005,-0.145
1,180,0.001,0.003,-0.154
1,181,0.0,0.001,-0.17
1,182,0.001,0.002,-0.159
1,183,0.001,0.003,-0.157
1,184,0.001,0.003,-0.158
1,185,0.002,0.005,-0.151
1,186,0.004,0.009,-0.141
1,187,0.005,0.011,-0.138
1,188,0.004,0.01,-0.139
1,189,0.004,0.009,-0.141
1,190,0.002,0.005,-0.152
1,191,0.005,0.011,-0.14
1,192,0.01,0.02,-0.129
1,193,0.012,0.025,-0.126
1,194,0.007,0.015,-0.136
1,195,0.012,0.023,-0.128
1,196,0.029,0.051,-0.111
1,197,0.019,0.036,-0.12
1,198,0.02,0.037,-0.12
1,199,0.021,0.039,-0.12
1,200,0.013,0.026,-0.129
1,201,0.042,0.071,-0.106
1,202,0.05,0.082,-0.103
1,203,0.031,0.055,-0.113
1,204,0.048,0.08,-0.104
1,205,0.042,0.071,-0.108
1,206,0.06,0.097,-0.1
1,207,0.05,0.082,-0.105
1,208,0.053,0.087,-0.104
1,209,0.045,0.076,-0.108
1,210,0.045,0.075,-0.108
1,211,0.073,0.114,-0.097
1,212,0.098,0.146,-0.09
1,213,0.117,0.17,-0.086
1,214,0.093,0.141,-0.092
1,215,0.117,0.17,-0.086
1,216,0.207,0.277,-0.07
1,217,0.124,0.179,-0.085
1,218,0.136,0.194,-0.083
1,219,0.172,0.237,-0.076
1,220,0.24,0.314,-0.066
1,221,0.255,0.331,-0.064
1,222,0.286,0.365,-0.06
1,223,0.304,0.383,-0.058
1,224,0.48,0.562,-0.04
1,39,0.05,0.082,-0.065
1,40,0.009,0.02,-0.086
1,41,0.013,0.026,-0.082
1,42,0.017,0.033,-0.079
1,43,0.015,0.03,-0.081
1,44,0.021,0.04,-0.076
