slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.421,0.505,0.03
1,101,0.727,0.785,0.013
1,102,0.876,0.906,0.006
1,103,0.83,0.87,0.008
1,104,0.906,0.929,0.004
1,105,0.8,0.845,0.01
1,106,0.957,0.968,0.002
1,107,0.836,0.874,0.008
1,108,0.677,0.742,0.016
1,109,0.9,0.924,0.005
1,110,0.959,0.969,-0.002
1,111,0.886,0.914,-0.006
1,112,0.841,0.878,-0.008
1,113,0.812,0.855,-0.009
1,114,0.886,0.914,-0.006
1,115,0.831,0.87,-0.008
1,116,0.796,0.841,-0.01
1,117,0.719,0.778,-0.014
1,118,0.818,0.86,-0.009
1,119,0.692,0.755,-0.016
1,120,0.575,0.651,-0.022
1,121,0.644,0.713,-0.018
1,122,0.619,0.691,-0.02
1,123,0.732,0.789,-0.014
1,124,0.629,0.7,-0.019
1,125,0.9,0.924,-0.005
1,126,0.876,0.906,-0.006
1,127,0.745,0.8,-0.013
1,128,0.751,0.805,-0.013
1,129,0.727,0.784,-0.014
1,130,0.737,0.793,-0.013
1,131,0.781,0.83,-0.011
1,132,0.559,0.637,-0.023
1,133,0.613,0.685,-0.02
1,134,0.678,0.743,-0.017
1,135,0.488,0.569,-0.028
1,136,0.518,0.598,-0.026
1,137,0.655,0.723,-0.018
1,138,0.549,0.627,-0.024
1,139,0.428,0.511,-0.032
1,140,0.571,0.647,-0.023
1,141,0.649,0.718,-0.019
1,142,0.52,0.6,-0.026
1,143,0.466,0.548,-0.03
1,144,0.501,0.582,-0.028
1,145,0.57,0.646,-0.024
1,146,0.332,0.414,-0.04
1,147,0.325,0.406,-0.041
1,148,0.403,0.486,-0.035
1,149,0.422,0.506,-0.033
1,150,0.431,0.514,-0.033
1,151,0.403,0.487,-0.035
1,152,0.505,0.586,-0.028
1,153,0.487,0.568,-0.029
1,154,0.526,0.605,-0.027
1,155,0.51,0.59,-0.028
1,156,0.634,0.704,-0.02
1,157,0.693,0.756,-0.017
1,158,0.67,0.735,-0.018
1,159,0.666,0.732,-0.018
1,160,0.658,0.725,-0.019
1,161,0.53,0.609,-0.027
1,162,0.694,0.757,-0.017
1,163,0.607,0.68,-0.022
1,164,0.665,0.732,-0.019
1,165,0.745,0.8,-0.014
1,166,0.45,0.533,-0.033
1,167,0.516,0.596,-0.029
1,168,0.527,0.607,-0.028
1,169,0.58,0.656,-0.025
1,170,0.481,0.563,-0.032
1,171,0.347,0.43,-0.042
1,172,0.501,0.582,-0.03
1,173,0.391,0.474,-0.039
1,174,0.534,0.613,-0.028
1,175,0.706,0.767,-0.017
1,176,0.522,0.602,-0.029
1,177,0.529,0.608,-0.029
1,178,0.563,0.64,-0.027
1,179,0.546,0.624,-0.028
1,180,0.594,0.669,-0.025
1,181,0.661,0.728,-0.021
1,182,0.624,0.695,-0.023
1,183,0.589,0.663,-0.026
1,184,0.572,0.648,-0.027
1,185,0.524,0.604,-0.031
1,186,0.444,0.527,-0.037
1,187,0.481,0.563,-0.034
1,188,0.409,0.492,-0.04
1,189,0.491,0.572,-0.034
1,190,0.521,0.601,-0.032
1,191,0.61,0.683,-0.025
1,192,0.349,0.432,-0.047
1,193,0.363,0.445,-0.046
1,194,0.36,0.443,-0.046
1,195,0.438,0.521,-0.039
1,196,0.34,0.422,-0.048
1,197,0.315,0.396,-0.051
1,198,0.301,0.381,-0.053
1,199,0.35,0.432,-0.048
1,200,0.364,0.447,-0.047
1,201,0.256,0.332,-0.059
1,202,0.202,0.271,-0.067
1,203,0.275,0.353,-0.057
1,204,0.3,0.38,-0.055
1,205,0.276,0.354,-0.058
1,206,0.194,0.262,-0.069
1,207,0.24,0.314,-0.063
1,208,0.333,0.415,-0.052
1,209,0.195,0.264,-0.07
1,210,0.277,0.355,-0.059
1,211,0.234,0.308,-0.064
1,212,0.204,0.274,-0.069
1,213,0.152,0.213,-0.078
1,214,0.205,0.275,-0.069
1,215,0.277,0.355,-0.06
1,216,0.162,0.226,-0.077
1,217,0.131,0.187,-0.084
1,218,0.171,0.236,-0.076
1,219,0.247,0.322,-0.064
1,220,0.139,0.197,-0.083
1,221,0.184,0.251,-0.075
1,222,0.17,0.234,-0.077
1,223,0.156,0.218,-0.08
1,224,0.176,0.242,-0.077
1,39,0.466,0.549,0.024
1,40,0.247,0.322,0.038
1,41,0.39,0.473,0.028
1,42,0.287,0.366,0.035
1,43,0.39,0.473,0.029
1,44,0.501,0.582,0.022
1,45,0.553,0.631,0.02
1,46,0.391,0.474,0.028
1,47,0.289,0.368,0.035
1,48,0.536,0.615,0.021
1,49,0.181,0.247,0.045
1,50,0.402,0.485,0.028
1,51,0.466,0.548,0.024
1,52,0.43,0.513,0.026
1,53,0.342,0.424,0.032
1,54,0.556,0.633,0.02
1,55,0.454,0.537,0.025
1,56,0.392,0.475,0.029
1,57,0.398,0.481,0.029
1,58,0.579,0.655,0.019
1,59,0.242,0.317,0.04
1,60,0.361,0.443,0.031
1,61,0.248,0.323,0.039
1,62,0.269,0.346,0.038
1,63,0.211,0.282,0.043
1,64,0.346,0.428,0.032
1,65,0.235,0.309,0.041
1,66,0.195,0.264,0.045
1,67,0.08,0.123,0.06
1,68,0.148,0.208,0.05
1,69,0.275,0.353,0.038
1,70,0.139,0.197,0.051
1,71,0.148,0.208,0.05
1,72,0.241,0.316,0.041
1,73,0.201,0.27,0.045
1,74,0.288,0.367,0.037
1,75,0.231,0.305,0.042
1,76,0.271,0.348,0.039
1,77,0.598,0.672,0.019
1,78,0.621,0.693,0.018
1,79,0.266,0.343,0.04
1,80,0.46,0.543,0.026
1,81,0.652,0.72,0.016
1,82,0.522,0.602,0.023
1,83,0.65,0.718,0.016
1,84,0.628,0.698,0.018
1,85,0.839,0.877,0.007
1,86,0.849,0.885,0.007
1,87,0.625,0.697,0.018
1,88,0.431,0.514,0.029
1,89,0.592,0.667,0.02
1,90,0.503,0.584,0.024
1,91,0.401,0.484,0.031
1,92,0.706,0.767,0.014
1,93,0.371,0.453,0.033
1,94,0.648,0.716,0.017
1,95,0.473,0.556,0.027
1,96,0.646,0.715,0.017
1,97,0.7,0.761,0.014
1,98,0.593,0.668,0.02
1,99,0.7,0.761,0.014
10,10,0.299,0.379,0.034
10,100,0.799,0.844,-0.01
10,101,0.786,0.834,-0.01
10,102,0.799,0.844,0.01
10,103,0.859,0.892,-0.007
10,104,0.713,0.773,-0.014
10,105,0.867,0.899,0.006
10,106,0.804,0.848,0.009
10,107,0.861,0.894,-0.007
10,108,0.968,0.976,-0.002
10,109,1.0,1.0,0.0
10,11,0.256,0.332,0.037
10,110,0.801,0.846,-0.01
10,111,0.785,0.833,-0.01
10,112,0.827,0.867,-0.008
10,113,0.94,0.956,0.003
10,114,0.836,0.874,-0.008
10,115,0.774,0.824,-0.011
10,116,0.972,0.979,-0.001
10,117,0.896,0.921,0.005
10,118,0.831,0.87,-0.008
10,119,0.81,0.853,0.009
10,12,0.198,0.268,0.042
10,120,0.958,0.969,-0.002
10,121,0.977,0.983,0.001
10,122,0.944,0.958,-0.003
10,123,0.873,0.904,0.006
10,124,0.935,0.951,0.003
10,125,0.853,0.888,0.007
10,126,0.982,0.987,0.001
10,127,0.949,0.962,-0.003
10,128,0.915,0.936,0.004
10,129,0.972,0.979,-0.001
10,13,0.479,0.561,0.023
10,130,0.887,0.915,-0.006
10,131,0.8,0.845,-0.01
10,132,0.934,0.951,-0.003
10,133,0.957,0.968,-0.002
10,134,0.868,0.899,-0.007
10,135,0.621,0.692,-0.02
10,136,0.521,0.601,-0.026
10,137,0.724,0.782,-0.014
10,138,0.749,0.803,-0.013
10,139,0.737,0.793,-0.014
10,14,0.181,0.247,0.043
10,140,0.698,0.76,-0.016
10,141,0.702,0.763,-0.015
10,142,0.601,0.675,-0.021
10,143,0.436,0.519,-0.032
10,144,0.573,0.649,-0.023
10,145,0.666,0.732,-0.018
10,146,0.44,0.523,-0.031
10,147,0.662,0.728,-0.018
10,148,0.585,0.66,-0.022
10,149,0.604,0.677,-0.021
10,15,0.403,0.486,0.027
10,150,0.592,0.667,-0.022
