slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.18,0.246,-0.049
1,101,0.245,0.321,-0.043
1,102,0.185,0.253,-0.049
1,103,0.202,0.272,-0.047
1,104,0.343,0.425,-0.035
1,105,0.313,0.394,-0.038
1,106,0.363,0.445,-0.034
1,107,0.177,0.243,-0.051
1,108,0.23,0.303,-0.045
1,109,0.273,0.35,-0.041
1,110,0.341,0.423,-0.036
1,111,0.263,0.34,-0.042
1,112,0.322,0.403,-0.037
1,113,0.345,0.427,-0.036
1,114,0.233,0.307,-0.045
1,115,0.355,0.438,-0.035
1,116,0.453,0.536,-0.029
1,117,0.367,0.45,-0.035
1,118,0.236,0.31,-0.046
1,119,0.272,0.349,-0.042
1,120,0.443,0.526,-0.03
1,121,0.503,0.584,-0.026
1,122,0.45,0.533,-0.029
1,123,0.421,0.504,-0.031
1,124,0.408,0.491,-0.032
1,125,0.311,0.391,-0.04
1,126,0.415,0.498,-0.032
1,127,0.559,0.636,-0.023
1,128,0.576,0.652,-0.022
1,129,0.475,0.557,-0.028
1,130,0.51,0.59,-0.026
1,131,0.559,0.636,-0.023
1,132,0.583,0.658,-0.022
1,133,0.506,0.587,-0.026
1,134,0.439,0.522,-0.031
1,135,0.634,0.704,-0.019
1,136,0.622,0.694,-0.02
1,137,0.527,0.606,-0.025
1,138,0.567,0.644,-0.023
1,139,0.549,0.627,-0.024
1,140,0.5,0.581,-0.027
1,141,0.537,0.616,-0.025
1,142,0.597,0.671,-0.021
1,143,0.673,0.739,-0.017
1,144,0.561,0.638,-0.024
1,145,0.503,0.584,-0.027
1,146,0.777,0.826,-0.012
1,147,0.904,0.928,-0.005
1,148,0.797,0.843,-0.011
1,149,0.705,0.766,-0.015
1,150,0.807,0.85,-0.01
1,151,0.875,0.905,-0.006
1,152,0.683,0.747,-0.017
1,153,0.646,0.714,-0.019
1,154,0.871,0.902,-0.007
1,155,0.81,0.853,-0.01
1,156,0.63,0.7,-0.02
1,157,0.834,0.873,-0.009
1,158,0.639,0.709,-0.02
1,159,0.669,0.735,-0.018
1,160,0.647,0.716,-0.019
1,161,0.594,0.668,-0.023
1,162,0.566,0.643,-0.024
1,163,0.627,0.698,-0.021
1,164,0.573,0.649,-0.024
1,165,0.595,0.669,-0.023
1,166,0.623,0.695,-0.021
1,167,0.552,0.63,-0.026
1,168,0.695,0.757,-0.017
1,169,0.509,0.589,-0.029
1,170,0.581,0.657,-0.024
1,171,0.659,0.726,-0.019
1,172,0.45,0.533,-0.034
1,173,0.47,0.552,-0.032
1,174,0.46,0.543,-0.033
1,175,0.392,0.475,-0.039
1,176,0.347,0.43,-0.042
1,177,0.298,0.377,-0.047
1,178,0.215,0.286,-0.057
1,179,0.334,0.416,-0.044
1,180,0.313,0.394,-0.046
1,181,0.241,0.315,-0.054
1,182,0.333,0.414,-0.045
1,183,0.238,0.312,-0.055
1,184,0.264,0.341,-0.052
1,185,0.32,0.4,-0.047
1,186,0.285,0.363,-0.051
1,187,0.211,0.283,-0.06
1,188,0.353,0.435,-0.045
1,189,0.29,0.369,-0.051
1,190,0.293,0.373,-0.051
1,191,0.179,0.245,-0.065
1,192,0.311,0.391,-0.05
1,193,0.228,0.302,-0.059
1,194,0.213,0.284,-0.062
1,195,0.246,0.321,-0.058
1,196,0.325,0.406,-0.049
1,197,0.289,0.368,-0.053
1,198,0.199,0.268,-0.065
1,199,0.278,0.356,-0.055
1,200,0.295,0.375,-0.053
1,201,0.369,0.451,-0.046
1,202,0.367,0.449,-0.046
1,203,0.318,0.399,-0.051
1,204,0.313,0.394,-0.052
1,205,0.406,0.489,-0.043
1,206,0.504,0.585,-0.035
1,207,0.472,0.554,-0.038
1,208,0.404,0.487,-0.044
1,209,0.497,0.578,-0.036
1,210,0.438,0.521,-0.041
