slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.437,0.52,-0.029
1,101,0.746,0.801,-0.012
1,102,0.899,0.924,-0.005
1,103,0.851,0.886,-0.007
1,104,0.929,0.947,-0.003
1,105,0.821,0.862,-0.009
1,106,0.976,0.982,-0.001
1,107,0.857,0.891,-0.007
1,108,0.698,0.76,-0.015
1,109,0.925,0.944,-0.004
1,110,0.936,0.952,0.003
1,111,0.862,0.895,0.007
1,112,0.817,0.859,0.009
1,113,0.788,0.835,0.01
1,114,0.861,0.894,0.007
1,115,0.806,0.85,0.01
1,116,0.773,0.823,0.011
1,117,0.699,0.761,0.015
1,118,0.797,0.843,0.01
1,119,0.674,0.739,0.017
1,120,0.556,0.634,0.023
1,121,0.622,0.693,0.019
1,122,0.601,0.674,0.021
1,123,0.711,0.771,0.015
1,124,0.608,0.681,0.02
1,125,0.879,0.908,0.006
1,126,0.85,0.886,0.008
1,127,0.723,0.781,0.014
1,128,0.729,0.786,0.014
1,129,0.708,0.768,0.015
1,130,0.72,0.779,0.014
1,131,0.759,0.811,0.012
1,132,0.539,0.618,0.025
1,133,0.595,0.669,0.021
1,134,0.659,0.726,0.018
1,135,0.472,0.554,0.029
1,136,0.501,0.582,0.027
1,137,0.637,0.707,0.019
1,138,0.533,0.612,0.026
1,139,0.413,0.496,0.033
1,140,0.555,0.632,0.024
1,141,0.635,0.705,0.019
1,142,0.507,0.587,0.027
1,143,0.454,0.536,0.031
1,144,0.489,0.571,0.029
1,145,0.555,0.633,0.024
1,146,0.322,0.404,0.041
1,147,0.317,0.398,0.042
1,148,0.391,0.474,0.036
1,149,0.413,0.497,0.034
1,150,0.423,0.506,0.033
1,151,0.394,0.477,0.036
1,152,0.493,0.574,0.029
1,153,0.477,0.559,0.03
1,154,0.519,0.599,0.027
1,155,0.501,0.582,0.028
1,156,0.622,0.693,0.021
1,157,0.682,0.746,0.017
1,158,0.655,0.723,0.019
1,159,0.65,0.718,0.019
1,160,0.643,0.712,0.02
1,161,0.514,0.595,0.028
1,162,0.677,0.742,0.018
1,163,0.592,0.666,0.023
1,164,0.649,0.717,0.02
1,165,0.73,0.787,0.015
1,166,0.437,0.52,0.034
1,167,0.503,0.584,0.03
1,168,0.516,0.596,0.029
1,169,0.567,0.644,0.025
1,170,0.469,0.551,0.032
1,171,0.337,0.419,0.043
1,172,0.49,0.572,0.031
1,173,0.383,0.466,0.04
1,174,0.523,0.602,0.029
1,175,0.692,0.754,0.018
1,176,0.512,0.593,0.03
1,177,0.521,0.601,0.03
1,178,0.556,0.633,0.027
1,179,0.538,0.617,0.029
1,180,0.586,0.661,0.026
1,181,0.656,0.724,0.021
1,182,0.618,0.69,0.024
1,183,0.584,0.659,0.026
1,184,0.567,0.644,0.027
1,185,0.52,0.6,0.031
1,186,0.44,0.523,0.037
1,187,0.479,0.561,0.035
1,188,0.404,0.487,0.041
1,189,0.487,0.569,0.034
1,190,0.518,0.598,0.032
1,191,0.609,0.682,0.025
1,192,0.351,0.433,0.047
1,193,0.36,0.442,0.046
