slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.334,0.416,0.037
1,101,0.243,0.318,0.045
1,102,0.321,0.402,0.038
1,103,0.367,0.45,0.035
1,104,0.267,0.344,0.043
1,105,0.249,0.324,0.045
1,106,0.224,0.296,0.047
1,107,0.413,0.496,0.032
1,108,0.35,0.432,0.037
1,109,0.271,0.349,0.043
1,110,0.257,0.333,0.045
1,111,0.376,0.459,0.035
1,112,0.283,0.361,0.042
1,113,0.243,0.318,0.046
1,114,0.302,0.382,0.041
1,115,0.218,0.29,0.049
1,116,0.172,0.237,0.055
1,117,0.237,0.311,0.048
1,118,0.305,0.385,0.041
1,119,0.299,0.379,0.042
1,120,0.207,0.278,0.051
1,121,0.202,0.271,0.052
1,122,0.229,0.302,0.049
1,123,0.194,0.263,0.053
1,124,0.224,0.297,0.05
1,125,0.252,0.328,0.047
1,126,0.165,0.228,0.057
1,127,0.129,0.185,0.062
1,128,0.083,0.127,0.071
1,129,0.136,0.194,0.061
1,130,0.149,0.21,0.059
1,131,0.103,0.153,0.067
1,132,0.106,0.157,0.066
1,133,0.115,0.168,0.065
1,134,0.148,0.208,0.06
1,135,0.072,0.112,0.075
1,136,0.081,0.124,0.073
1,137,0.118,0.172,0.065
1,138,0.132,0.189,0.063
1,139,0.122,0.176,0.065
1,140,0.11,0.161,0.067
1,141,0.105,0.155,0.068
1,142,0.088,0.134,0.072
1,143,0.091,0.138,0.071
1,144,0.13,0.186,0.064
1,145,0.112,0.165,0.067
1,146,0.084,0.129,0.073
1,147,0.058,0.093,0.081
1,148,0.054,0.087,0.082
1,149,0.078,0.121,0.075
1,150,0.055,0.089,0.082
1,151,0.05,0.083,0.084
1,152,0.081,0.124,0.075
1,153,0.113,0.165,0.068
1,154,0.038,0.066,0.09
1,155,0.05,0.082,0.085
1,156,0.098,0.146,0.072
1,157,0.046,0.076,0.087
1,158,0.095,0.143,0.073
1,159,0.07,0.109,0.08
1,160,0.081,0.124,0.077
1,161,0.113,0.165,0.07
1,162,0.104,0.154,0.072
1,163,0.092,0.139,0.075
1,164,0.114,0.167,0.071
1,165,0.108,0.159,0.072
1,166,0.125,0.18,0.069
1,167,0.166,0.23,0.063
1,168,0.128,0.184,0.069
1,169,0.256,0.332,0.052
1,170,0.163,0.226,0.064
1,171,0.139,0.198,0.068
1,172,0.188,0.256,0.061
1,173,0.245,0.32,0.054
1,174,0.239,0.314,0.055
1,175,0.253,0.329,0.054
1,176,0.318,0.399,0.047
1,177,0.328,0.409,0.046
1,178,0.477,0.559,0.034
1,179,0.376,0.459,0.042
1,180,0.378,0.461,0.042
1,181,0.434,0.517,0.038
1,182,0.363,0.445,0.044
1,183,0.498,0.579,0.033
1,184,0.471,0.553,0.035
1,185,0.477,0.559,0.035
1,186,0.58,0.656,0.027
1,187,0.723,0.781,0.018
1,188,0.494,0.575,0.034
1,189,0.531,0.61,0.032
1,190,0.508,0.588,0.034
1,191,0.719,0.778,0.018
1,192,0.588,0.663,0.028
1,193,0.771,0.821,0.015
1,194,0.75,0.804,0.016
1,195,0.618,0.69,0.026
1,196,0.562,0.639,0.03
1,197,0.652,0.72,0.024
1,198,0.765,0.816,0.016
1,199,0.658,0.726,0.023
1,200,0.555,0.633,0.031
1,201,0.571,0.648,0.03
1,202,0.552,0.63,0.032
1,203,0.598,0.672,0.028
1,204,0.569,0.646,0.031
1,205,0.405,0.488,0.045
1,206,0.41,0.494,0.045
1,207,0.406,0.489,0.046
1,208,0.441,0.524,0.042
1,209,0.371,0.453,0.049
1,210,0.444,0.527,0.042
1,211,0.314,0.395,0.056
1,212,0.341,0.423,0.053
1,213,0.277,0.355,0.061
1,214,0.299,0.379,0.058
1,215,0.32,0.401,0.056
1,216,0.277,0.355,0.062
1,217,0.282,0.361,0.061
1,218,0.306,0.386,0.058
1,219,0.318,0.399,0.057
1,220,0.3,0.38,0.059
1,221,0.42,0.503,0.046
1,222,0.278,0.357,0.063
1,223,0.388,0.471,0.05
1,224,0.415,0.499,0.047
1,39,0.305,0.385,0.035
1,40,0.489,0.571,0.024
1,41,0.487,0.568,0.024
1,42,0.383,0.466,0.03
1,43,0.346,0.428,0.032
1,44,0.337,0.418,0.033
1,45,0.221,0.294,0.042
1,46,0.227,0.3,0.041
1,47,0.515,0.596,0.022
1,48,0.4,0.483,0.029
1,49,0.246,0.322,0.04
1,50,0.439,0.523,0.026
1,51,0.386,0.469,0.03
1,52,0.179,0.245,0.046
1,53,0.327,0.408,0.034
1,54,0.278,0.356,0.037
1,55,0.256,0.333,0.039
1,56,0.176,0.242,0.047
1,57,0.195,0.263,0.045
1,58,0.239,0.313,0.041
1,59,0.212,0.284,0.043
1,60,0.369,0.452,0.031
1,61,0.139,0.197,0.052
1,62,0.391,0.474,0.03
1,63,0.427,0.51,0.028
1,64,0.389,0.472,0.03
1,65,0.469,0.551,0.026
1,66,0.323,0.404,0.035
1,67,0.562,0.639,0.021
1,68,0.48,0.562,0.025
1,69,0.598,0.672,0.019
1,70,0.381,0.464,0.031
1,71,0.363,0.445,0.033
1,72,0.292,0.371,0.038
1,73,0.445,0.528,0.027
1,74,0.387,0.47,0.031
1,75,0.254,0.329,0.041
1,76,0.267,0.344,0.04
1,77,0.492,0.574,0.025
1,78,0.142,0.202,0.054
1,79,0.257,0.333,0.041
1,80,0.291,0.37,0.039
1,81,0.251,0.327,0.042
1,82,0.204,0.274,0.047
1,83,0.199,0.268,0.047
1,84,0.212,0.283,0.046
1,85,0.081,0.125,0.065
1,86,0.094,0.141,0.063
1,87,0.16,0.222,0.053
1,88,0.173,0.238,0.051
1,89,0.144,0.204,0.055
1,90,0.232,0.305,0.045
1,91,0.242,0.317,0.044
1,92,0.193,0.261,0.049
1,93,0.161,0.224,0.053
1,94,0.235,0.309,0.045
