slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.979,0.984,-0.001
1,101,0.597,0.671,-0.02
1,102,0.467,0.549,-0.028
1,103,0.592,0.666,-0.021
1,104,0.506,0.587,-0.025
1,105,0.558,0.636,-0.023
1,106,0.463,0.545,-0.028
1,107,0.628,0.699,-0.019
1,108,0.607,0.68,-0.02
1,109,0.445,0.528,-0.03
1,110,0.389,0.472,-0.034
1,111,0.378,0.461,-0.034
1,112,0.339,0.421,-0.037
1,113,0.391,0.474,-0.034
1,114,0.458,0.541,-0.029
1,115,0.295,0.375,-0.041
1,116,0.325,0.406,-0.039
1,117,0.262,0.339,-0.045
1,118,0.378,0.461,-0.035
1,119,0.308,0.389,-0.041
1,120,0.188,0.255,-0.053
1,121,0.142,0.202,-0.059
1,122,0.188,0.255,-0.053
1,123,0.205,0.275,-0.051
1,124,0.174,0.239,-0.055
1,125,0.308,0.388,-0.041
1,126,0.293,0.372,-0.043
1,127,0.222,0.294,-0.049
1,128,0.253,0.328,-0.046
1,129,0.246,0.321,-0.047
1,130,0.215,0.287,-0.05
1,131,0.251,0.326,-0.047
1,132,0.18,0.247,-0.054
1,133,0.184,0.251,-0.054
1,134,0.197,0.266,-0.053
1,135,0.151,0.212,-0.059
1,136,0.183,0.249,-0.055
1,137,0.247,0.322,-0.048
1,138,0.179,0.245,-0.056
1,139,0.108,0.159,-0.066
1,140,0.161,0.223,-0.058
1,141,0.164,0.228,-0.058
1,142,0.125,0.18,-0.064
1,143,0.078,0.12,-0.074
1,144,0.092,0.138,-0.07
1,145,0.13,0.186,-0.064
1,146,0.047,0.078,-0.084
1,147,0.049,0.081,-0.083
1,148,0.054,0.088,-0.081
1,149,0.069,0.108,-0.077
1,150,0.056,0.09,-0.081
1,151,0.042,0.071,-0.086
1,152,0.066,0.104,-0.078
1,153,0.071,0.111,-0.077
1,154,0.085,0.13,-0.074
1,155,0.094,0.142,-0.072
1,156,0.118,0.171,-0.067
1,157,0.118,0.171,-0.067
1,158,0.129,0.185,-0.066
1,159,0.122,0.177,-0.067
1,160,0.114,0.167,-0.069
1,161,0.095,0.143,-0.073
1,162,0.145,0.204,-0.064
1,163,0.116,0.169,-0.069
1,164,0.116,0.17,-0.069
1,165,0.152,0.213,-0.064
1,166,0.087,0.132,-0.076
1,167,0.134,0.191,-0.067
1,168,0.134,0.191,-0.067
1,169,0.177,0.243,-0.061
1,170,0.12,0.174,-0.071
1,171,0.06,0.096,-0.086
1,172,0.097,0.145,-0.076
1,173,0.1,0.15,-0.076
1,174,0.152,0.213,-0.066
1,175,0.244,0.319,-0.054
