slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.01,0.021,-0.095
1,101,0.013,0.027,-0.091
1,102,0.013,0.027,-0.092
1,103,0.019,0.036,-0.088
1,104,0.037,0.064,-0.078
1,105,0.026,0.047,-0.084
1,106,0.041,0.07,-0.077
1,107,0.015,0.029,-0.092
1,108,0.019,0.035,-0.089
1,109,0.022,0.041,-0.087
1,110,0.048,0.079,-0.075
1,111,0.047,0.078,-0.076
1,112,0.041,0.069,-0.078
1,113,0.045,0.076,-0.077
1,114,0.021,0.038,-0.089
1,115,0.04,0.069,-0.079
1,116,0.062,0.098,-0.072
1,117,0.052,0.085,-0.076
1,118,0.027,0.049,-0.086
1,119,0.034,0.059,-0.083
1,120,0.079,0.122,-0.069
1,121,0.104,0.155,-0.064
1,122,0.093,0.14,-0.066
1,123,0.069,0.109,-0.071
1,124,0.066,0.105,-0.072
1,125,0.035,0.061,-0.083
1,126,0.045,0.076,-0.079
1,127,0.061,0.098,-0.074
1,128,0.044,0.073,-0.08
1,129,0.044,0.074,-0.08
1,130,0.055,0.09,-0.076
1,131,0.055,0.09,-0.076
1,132,0.074,0.116,-0.071
1,133,0.047,0.078,-0.079
1,134,0.036,0.062,-0.084
1,135,0.056,0.09,-0.077
1,136,0.045,0.075,-0.081
1,137,0.046,0.077,-0.08
1,138,0.065,0.103,-0.075
1,139,0.066,0.105,-0.074
1,140,0.039,0.066,-0.084
1,141,0.045,0.075,-0.081
1,142,0.056,0.091,-0.078
1,143,0.081,0.124,-0.071
1,144,0.068,0.107,-0.074
1,145,0.044,0.074,-0.082
1,146,0.133,0.19,-0.062
1,147,0.165,0.229,-0.057
1,148,0.106,0.156,-0.067
1,149,0.094,0.141,-0.069
1,150,0.107,0.158,-0.066
1,151,0.117,0.171,-0.065
1,152,0.065,0.103,-0.077
1,153,0.069,0.109,-0.076
1,154,0.075,0.116,-0.074
1,155,0.067,0.106,-0.077
1,156,0.056,0.091,-0.08
1,157,0.081,0.125,-0.073
1,158,0.062,0.1,-0.079
1,159,0.049,0.081,-0.083
1,160,0.048,0.079,-0.084
1,161,0.056,0.091,-0.081
1,162,0.039,0.066,-0.089
1,163,0.056,0.091,-0.082
1,164,0.042,0.071,-0.088
1,165,0.054,0.089,-0.083
1,166,0.079,0.122,-0.076
1,167,0.063,0.1,-0.081
1,168,0.095,0.142,-0.073
1,169,0.068,0.107,-0.08
1,170,0.07,0.11,-0.08
1,171,0.084,0.129,-0.077
1,172,0.039,0.066,-0.093
1,173,0.059,0.095,-0.085
1,174,0.059,0.094,-0.085
1,175,0.042,0.071,-0.092
1,176,0.043,0.072,-0.092
1,177,0.027,0.048,-0.102
1,178,0.019,0.035,-0.108
1,179,0.035,0.06,-0.097
1,180,0.034,0.06,-0.098
1,181,0.021,0.039,-0.108
1,182,0.038,0.064,-0.097
1,183,0.022,0.041,-0.108
1,184,0.03,0.053,-0.103
1,185,0.042,0.071,-0.097
1,186,0.042,0.071,-0.098
1,187,0.035,0.06,-0.102
1,188,0.056,0.09,-0.093
1,189,0.04,0.068,-0.1
1,190,0.039,0.066,-0.101
1,191,0.024,0.044,-0.111
1,192,0.064,0.102,-0.091
1,193,0.046,0.076,-0.099
1,194,0.036,0.061,-0.105
1,195,0.03,0.054,-0.109
1,196,0.043,0.072,-0.102
1,197,0.046,0.077,-0.101
1,198,0.03,0.053,-0.11
1,199,0.044,0.074,-0.103
1,200,0.028,0.05,-0.113
1,201,0.068,0.107,-0.094
1,202,0.063,0.1,-0.096
1,203,0.044,0.073,-0.105
1,204,0.04,0.067,-0.108
1,205,0.047,0.078,-0.104
1,206,0.081,0.125,-0.092
1,207,0.07,0.11,-0.096
1,208,0.043,0.072,-0.107
1,209,0.059,0.095,-0.1
1,210,0.045,0.075,-0.107
1,211,0.065,0.102,-0.099
1,212,0.064,0.102,-0.099
1,213,0.076,0.117,-0.096
1,214,0.065,0.103,-0.1
1,215,0.063,0.1,-0.101
1,216,0.113,0.166,-0.086
1,217,0.13,0.186,-0.083
1,218,0.091,0.137,-0.093
1,219,0.076,0.117,-0.098
1,220,0.141,0.2,-0.081
1,221,0.102,0.152,-0.091
1,222,0.203,0.273,-0.071
1,223,0.17,0.234,-0.077
1,224,0.194,0.262,-0.073
1,39,0.003,0.007,-0.098
1,40,0.001,0.003,-0.109
1,41,0.003,0.007,-0.098
1,42,0.001,0.002,-0.113
1,43,0.003,0.008,-0.096
1,44,0.005,0.012,-0.091
1,45,0.006,0.013,-0.09
1,46,0.003,0.008,-0.096
1,47,0.002,0.006,-0.101
1,48,0.004,0.01,-0.094
1,49,0.002,0.004,-0.104
1,50,0.004,0.009,-0.095
1,51,0.007,0.015,-0.09
1,52,0.007,0.015,-0.089
1,53,0.003,0.006,-0.099
1,54,0.012,0.024,-0.083
1,55,0.006,0.013,-0.092
1,56,0.006,0.013,-0.092
1,57,0.005,0.012,-0.093
1,58,0.009,0.019,-0.088
1,59,0.003,0.007,-0.101
1,60,0.002,0.004,-0.106
1,61,0.002,0.006,-0.103
1,62,0.002,0.005,-0.106
1,63,0.001,0.003,-0.112
