slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.153,0.215,-0.052
1,101,0.148,0.209,-0.053
1,102,0.108,0.159,-0.059
1,103,0.158,0.22,-0.052
1,104,0.19,0.258,-0.048
1,105,0.143,0.202,-0.054
1,106,0.171,0.236,-0.051
1,107,0.084,0.128,-0.065
1,108,0.111,0.163,-0.06
1,109,0.124,0.179,-0.058
1,110,0.115,0.168,-0.059
1,111,0.189,0.257,-0.049
1,112,0.083,0.126,-0.065
1,113,0.083,0.127,-0.066
1,114,0.037,0.064,-0.079
1,115,0.035,0.06,-0.08
1,116,0.144,0.203,-0.056
1,117,0.105,0.156,-0.062
1,118,0.086,0.13,-0.066
1,119,0.064,0.102,-0.071
1,120,0.043,0.072,-0.078
1,121,0.029,0.052,-0.084
1,122,0.044,0.074,-0.078
1,123,0.048,0.08,-0.077
1,124,0.043,0.072,-0.079
1,125,0.045,0.075,-0.078
1,126,0.025,0.046,-0.087
1,127,0.05,0.082,-0.077
1,128,0.041,0.069,-0.08
1,129,0.042,0.071,-0.079
1,130,0.023,0.043,-0.089
1,131,0.035,0.061,-0.082
1,132,0.023,0.042,-0.089
1,133,0.013,0.026,-0.098
1,134,0.013,0.025,-0.098
1,135,0.016,0.031,-0.095
1,136,0.018,0.034,-0.094
1,137,0.017,0.033,-0.095
1,138,0.018,0.035,-0.094
1,139,0.012,0.024,-0.101
1,140,0.021,0.039,-0.092
1,141,0.02,0.037,-0.093
1,142,0.028,0.05,-0.088
1,143,0.017,0.032,-0.097
1,144,0.024,0.044,-0.091
1,145,0.011,0.022,-0.103
1,146,0.028,0.051,-0.089
1,147,0.018,0.034,-0.096
1,148,0.012,0.024,-0.102
1,149,0.017,0.033,-0.097
1,150,0.024,0.043,-0.092
1,151,0.021,0.038,-0.095
1,152,0.015,0.029,-0.1
1,153,0.03,0.054,-0.089
1,154,0.038,0.065,-0.086
1,155,0.054,0.087,-0.08
1,156,0.039,0.066,-0.086
1,157,0.047,0.078,-0.083
1,158,0.048,0.079,-0.083
1,159,0.043,0.073,-0.085
1,160,0.048,0.079,-0.083
1,161,0.027,0.049,-0.093
1,162,0.022,0.041,-0.097
1,163,0.027,0.049,-0.094
1,164,0.033,0.058,-0.091
1,165,0.028,0.05,-0.094
1,166,0.023,0.043,-0.097
1,167,0.012,0.025,-0.108
1,168,0.022,0.041,-0.099
1,169,0.013,0.026,-0.108
1,170,0.019,0.036,-0.102
1,171,0.01,0.021,-0.113
1,172,0.01,0.02,-0.114
1,173,0.012,0.025,-0.111
1,174,0.017,0.033,-0.106
1,175,0.012,0.025,-0.112
1,176,0.012,0.024,-0.113
1,177,0.011,0.023,-0.114
1,178,0.011,0.022,-0.116
1,179,0.01,0.02,-0.118
1,180,0.013,0.027,-0.113
1,181,0.01,0.02,-0.119
1,182,0.01,0.021,-0.118
1,183,0.01,0.021,-0.12
1,184,0.015,0.029,-0.114
1,185,0.015,0.03,-0.114
1,186,0.018,0.034,-0.112
1,187,0.025,0.046,-0.106
1,188,0.023,0.042,-0.109
1,189,0.016,0.031,-0.116
1,190,0.006,0.014,-0.132
1,191,0.01,0.021,-0.125
1,192,0.026,0.046,-0.109
1,193,0.025,0.046,-0.11
1,194,0.015,0.029,-0.12
1,195,0.021,0.039,-0.114
1,196,0.037,0.063,-0.104
1,197,0.027,0.049,-0.11
1,198,0.029,0.052,-0.11
1,199,0.037,0.063,-0.105
1,200,0.02,0.037,-0.118
1,201,0.05,0.082,-0.1
1,202,0.045,0.075,-0.103
1,203,0.036,0.062,-0.108
1,204,0.053,0.087,-0.1
1,205,0.057,0.092,-0.099
1,206,0.07,0.109,-0.094
1,207,0.103,0.153,-0.085
1,208,0.088,0.133,-0.089
1,209,0.077,0.119,-0.093
1,210,0.074,0.115,-0.094
1,211,0.068,0.106,-0.097
1,212,0.155,0.216,-0.075
1,213,0.114,0.166,-0.084
1,214,0.166,0.23,-0.074
1,215,0.159,0.222,-0.076
1,216,0.236,0.31,-0.064
1,217,0.194,0.263,-0.07
1,218,0.206,0.276,-0.069
1,219,0.242,0.317,-0.064
1,220,0.293,0.372,-0.058
1,221,0.334,0.416,-0.053
1,222,0.413,0.497,-0.045
1,223,0.336,0.418,-0.053
1,224,0.406,0.489,-0.046
1,39,0.454,0.537,-0.024
1,40,0.215,0.286,-0.04
1,41,0.126,0.181,-0.049
1,42,0.423,0.506,-0.026
1,43,0.26,0.336,-0.037
1,44,0.406,0.489,-0.027
1,45,0.163,0.226,-0.045
1,46,0.344,0.426,-0.031
1,47,0.236,0.31,-0.039
1,48,0.142,0.201,-0.048
1,49,0.101,0.151,-0.053
1,50,0.09,0.136,-0.055
1,51,0.127,0.182,-0.05
1,52,0.136,0.194,-0.049
1,53,0.112,0.164,-0.052
1,54,0.108,0.159,-0.053
1,55,0.093,0.139,-0.055
1,56,0.154,0.216,-0.047
1,57,0.093,0.14,-0.056
1,58,0.174,0.239,-0.045
1,59,0.089,0.135,-0.056
1,60,0.026,0.046,-0.074
1,61,0.111,0.163,-0.053
1,62,0.084,0.128,-0.058
1,63,0.031,0.054,-0.072
1,64,0.066,0.105,-0.061
1,65,0.073,0.113,-0.06
1,66,0.058,0.093,-0.064
1,67,0.058,0.094,-0.064
1,68,0.058,0.093,-0.064
1,69,0.029,0.051,-0.074
1,70,0.119,0.173,-0.053
1,71,0.144,0.203,-0.05
1,72,0.085,0.129,-0.059
1,73,0.078,0.121,-0.06
1,74,0.106,0.156,-0.055
1,75,0.059,0.095,-0.065
1,76,0.119,0.173,-0.054
1,77,0.121,0.175,-0.054
