slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.577,0.653,0.02
1,101,0.287,0.365,0.039
1,102,0.24,0.314,0.043
1,103,0.321,0.402,0.036
1,104,0.235,0.309,0.044
1,105,0.264,0.341,0.041
1,106,0.211,0.282,0.046
1,107,0.338,0.42,0.036
1,108,0.321,0.402,0.037
1,109,0.195,0.264,0.048
1,110,0.189,0.256,0.049
1,111,0.215,0.287,0.046
1,112,0.138,0.196,0.056
1,113,0.14,0.198,0.056
1,114,0.179,0.245,0.051
1,115,0.103,0.153,0.062
1,116,0.089,0.135,0.065
1,117,0.099,0.147,0.063
1,118,0.153,0.214,0.055
1,119,0.127,0.182,0.058
1,120,0.055,0.09,0.073
1,121,0.05,0.082,0.075
1,122,0.078,0.12,0.068
1,123,0.089,0.135,0.066
1,124,0.077,0.118,0.068
1,125,0.137,0.196,0.057
1,126,0.098,0.147,0.064
1,127,0.064,0.102,0.072
1,128,0.064,0.101,0.072
1,129,0.076,0.118,0.069
1,130,0.069,0.109,0.071
1,131,0.06,0.096,0.073
1,132,0.042,0.07,0.079
1,133,0.048,0.079,0.078
1,134,0.072,0.113,0.07
1,135,0.032,0.056,0.084
1,136,0.04,0.067,0.081
1,137,0.066,0.105,0.072
1,138,0.053,0.086,0.077
1,139,0.034,0.059,0.084
1,140,0.046,0.077,0.079
1,141,0.047,0.078,0.079
1,142,0.031,0.054,0.086
1,143,0.022,0.041,0.092
1,144,0.032,0.056,0.086
1,145,0.036,0.062,0.085
1,146,0.012,0.024,0.102
1,147,0.013,0.026,0.1
1,148,0.013,0.026,0.101
1,149,0.019,0.036,0.095
1,150,0.015,0.03,0.098
1,151,0.012,0.025,0.102
1,152,0.017,0.033,0.097
1,153,0.024,0.044,0.092
1,154,0.02,0.038,0.095
1,155,0.023,0.042,0.094
1,156,0.034,0.06,0.087
1,157,0.027,0.049,0.091
1,158,0.039,0.066,0.086
1,159,0.031,0.055,0.09
1,160,0.037,0.064,0.087
1,161,0.031,0.055,0.09
1,162,0.042,0.071,0.085
1,163,0.035,0.06,0.089
1,164,0.041,0.069,0.087
1,165,0.047,0.078,0.084
1,166,0.024,0.043,0.096
1,167,0.044,0.073,0.086
1,168,0.04,0.067,0.089
1,169,0.069,0.108,0.079
1,170,0.04,0.067,0.09
1,171,0.023,0.042,0.1
1,172,0.046,0.077,0.088
1,173,0.052,0.085,0.086
1,174,0.069,0.109,0.081
1,175,0.115,0.168,0.07
1,176,0.095,0.142,0.075
1,177,0.104,0.154,0.073
1,178,0.143,0.203,0.066
1,179,0.103,0.152,0.074
1,180,0.119,0.173,0.071
1,181,0.168,0.232,0.063
1,182,0.128,0.184,0.07
1,183,0.179,0.246,0.062
1,184,0.149,0.209,0.067
1,185,0.13,0.186,0.071
1,186,0.117,0.171,0.074
1,187,0.163,0.226,0.066
1,188,0.095,0.143,0.079
1,189,0.133,0.191,0.072
1,190,0.157,0.22,0.068
1,191,0.234,0.308,0.057
1,192,0.117,0.17,0.076
1,193,0.15,0.211,0.07
1,194,0.166,0.229,0.068
1,195,0.161,0.224,0.069
1,196,0.138,0.196,0.073
1,197,0.128,0.184,0.076
1,198,0.139,0.198,0.074
1,199,0.141,0.2,0.074
1,200,0.142,0.201,0.074
1,201,0.09,0.136,0.086
1,202,0.08,0.122,0.089
1,203,0.104,0.154,0.083
1,204,0.084,0.128,0.089
1,205,0.092,0.138,0.087
1,206,0.064,0.101,0.096
1,207,0.075,0.117,0.092
1,208,0.104,0.154,0.085
1,209,0.056,0.09,0.1
1,210,0.094,0.142,0.088
1,211,0.066,0.104,0.097
1,212,0.063,0.101,0.098
1,213,0.035,0.061,0.111
1,214,0.051,0.084,0.104
1,215,0.069,0.109,0.097
1,216,0.042,0.071,0.109
1,217,0.032,0.056,0.115
1,218,0.041,0.07,0.11
1,219,0.076,0.118,0.096
1,220,0.046,0.076,0.108
1,221,0.069,0.108,0.099
1,222,0.045,0.075,0.11
1,223,0.046,0.077,0.109
1,224,0.054,0.088,0.106
1,39,0.64,0.71,0.015
1,40,0.837,0.875,0.007
1,41,0.685,0.749,0.013
1,42,0.808,0.851,0.008
1,43,0.577,0.652,0.018
1,44,0.467,0.549,0.023
1,45,0.356,0.439,0.03
1,46,0.514,0.594,0.021
1,47,0.723,0.781,0.011
1,48,0.52,0.6,0.021
1,49,0.798,0.844,0.008
1,50,0.663,0.73,0.014
1,51,0.568,0.645,0.019
1,52,0.478,0.56,0.023
1,53,0.735,0.791,0.011
1,54,0.523,0.603,0.021
1,55,0.507,0.587,0.022
1,56,0.5,0.582,0.022
1,57,0.51,0.59,0.022
1,58,0.4,0.483,0.028
1,59,0.656,0.723,0.015
1,60,0.693,0.755,0.013
1,61,0.584,0.659,0.018
1,62,0.804,0.848,0.008
1,63,0.842,0.879,0.007
1,64,0.653,0.721,0.015
1,65,0.951,0.964,0.002
1,66,0.907,0.93,0.004
1,67,0.635,0.705,-0.016
1,68,0.904,0.928,-0.004
1,69,0.968,0.976,0.001
1,70,0.969,0.977,-0.001
1,71,0.936,0.952,0.003
1,72,0.841,0.878,0.007
1,73,0.972,0.979,0.001
1,74,0.821,0.862,0.008
1,75,0.741,0.797,0.011
1,76,0.717,0.776,0.012
1,77,0.607,0.68,0.018
1,78,0.309,0.39,0.035
1,79,0.706,0.766,0.013
1,80,0.522,0.602,0.022
1,81,0.36,0.442,0.032
1,82,0.442,0.525,0.027
1,83,0.359,0.441,0.032
1,84,0.347,0.429,0.033
1,85,0.17,0.235,0.048
1,86,0.215,0.286,0.044
1,87,0.313,0.393,0.036
1,88,0.481,0.563,0.025
1,89,0.337,0.419,0.034
1,90,0.42,0.504,0.029
1,91,0.508,0.588,0.024
1,92,0.29,0.369,0.038
1,93,0.422,0.506,0.029
1,94,0.373,0.456,0.032
1,95,0.44,0.523,0.028
1,96,0.525,0.605,0.023
1,97,0.384,0.467,0.031
1,98,0.462,0.544,0.027
