slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.831,0.87,-0.008
1,101,0.833,0.871,0.008
1,102,0.771,0.821,0.011
1,103,0.867,0.899,0.006
1,104,0.701,0.763,0.014
1,105,0.76,0.812,0.011
1,106,0.64,0.709,0.017
1,107,0.898,0.923,0.005
1,108,0.868,0.9,0.006
1,109,0.669,0.734,0.016
1,110,0.599,0.673,0.02
1,111,0.633,0.703,0.018
1,112,0.515,0.596,0.025
1,113,0.518,0.598,0.024
1,114,0.642,0.711,0.018
1,115,0.45,0.532,0.029
1,116,0.395,0.478,0.032
1,117,0.416,0.499,0.031
1,118,0.576,0.652,0.021
1,119,0.51,0.59,0.025
1,120,0.292,0.371,0.041
1,121,0.254,0.33,0.044
1,122,0.339,0.421,0.037
1,123,0.383,0.466,0.034
1,124,0.352,0.434,0.036
1,125,0.525,0.605,0.025
1,126,0.442,0.525,0.03
1,127,0.33,0.412,0.038
1,128,0.357,0.439,0.036
1,129,0.388,0.471,0.034
1,130,0.362,0.444,0.036
1,131,0.338,0.42,0.037
1,132,0.268,0.346,0.043
1,133,0.308,0.388,0.04
1,134,0.387,0.47,0.034
1,135,0.241,0.316,0.046
1,136,0.283,0.361,0.043
1,137,0.361,0.443,0.036
1,138,0.299,0.379,0.041
1,139,0.236,0.31,0.047
1,140,0.305,0.385,0.041
1,141,0.294,0.373,0.042
1,142,0.233,0.307,0.048
1,143,0.175,0.241,0.055
1,144,0.222,0.294,0.049
1,145,0.257,0.333,0.046
1,146,0.111,0.163,0.065
1,147,0.11,0.161,0.065
1,148,0.123,0.178,0.063
1,149,0.158,0.22,0.057
1,150,0.135,0.193,0.061
1,151,0.116,0.169,0.064
1,152,0.165,0.229,0.057
1,153,0.193,0.262,0.054
1,154,0.17,0.234,0.057
1,155,0.187,0.254,0.055
1,156,0.238,0.313,0.049
1,157,0.2,0.269,0.053
1,158,0.248,0.324,0.048
1,159,0.233,0.307,0.05
1,160,0.258,0.334,0.047
1,161,0.222,0.295,0.051
1,162,0.283,0.362,0.045
1,163,0.239,0.313,0.05
1,164,0.272,0.35,0.047
1,165,0.283,0.361,0.046
1,166,0.181,0.248,0.057
1,167,0.265,0.342,0.048
1,168,0.231,0.305,0.052
1,169,0.328,0.409,0.043
1,170,0.242,0.316,0.051
1,171,0.166,0.23,0.061
1,172,0.286,0.365,0.047
1,173,0.279,0.357,0.048
1,174,0.331,0.412,0.043
1,175,0.461,0.544,0.033
1,176,0.418,0.501,0.036
1,177,0.468,0.551,0.033
1,178,0.567,0.644,0.026
1,179,0.445,0.528,0.035
1,180,0.477,0.559,0.033
1,181,0.609,0.682,0.024
1,182,0.498,0.58,0.031
1,183,0.624,0.695,0.023
1,184,0.554,0.631,0.028
1,185,0.494,0.575,0.032
1,186,0.461,0.544,0.035
1,187,0.557,0.634,0.028
1,188,0.393,0.477,0.041
1,189,0.496,0.577,0.033
1,190,0.543,0.621,0.029
1,191,0.697,0.759,0.019
1,192,0.429,0.512,0.039
1,193,0.515,0.596,0.032
1,194,0.548,0.626,0.03
1,195,0.557,0.635,0.029
1,196,0.498,0.579,0.034
1,197,0.469,0.551,0.036
1,198,0.52,0.6,0.032
1,199,0.5,0.582,0.034
1,200,0.532,0.611,0.032
1,201,0.369,0.452,0.046
1,202,0.357,0.439,0.047
1,203,0.442,0.525,0.039
1,204,0.394,0.477,0.044
1,205,0.412,0.495,0.043
1,206,0.307,0.387,0.053
1,207,0.345,0.427,0.049
1,208,0.45,0.533,0.04
1,209,0.307,0.387,0.054
1,210,0.42,0.504,0.042
1,211,0.33,0.412,0.051
1,212,0.33,0.412,0.052
1,213,0.232,0.306,0.064
1,214,0.291,0.37,0.056
