slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.182,0.249,-0.049
1,101,0.293,0.372,-0.039
1,102,0.316,0.397,-0.037
1,103,0.312,0.393,-0.038
1,104,0.435,0.518,-0.029
1,105,0.375,0.457,-0.033
1,106,0.487,0.569,-0.026
1,107,0.281,0.36,-0.041
1,108,0.312,0.392,-0.038
1,109,0.405,0.489,-0.031
1,110,0.535,0.614,-0.024
1,111,0.527,0.606,-0.024
1,112,0.567,0.644,-0.022
1,113,0.573,0.649,-0.022
1,114,0.414,0.498,-0.031
1,115,0.606,0.679,-0.02
1,116,0.702,0.763,-0.015
1,117,0.666,0.732,-0.017
1,118,0.489,0.57,-0.027
1,119,0.547,0.625,-0.023
1,120,0.836,0.874,-0.008
1,121,0.932,0.949,-0.003
1,122,0.823,0.863,-0.009
1,123,0.738,0.793,-0.013
1,124,0.757,0.809,-0.012
1,125,0.547,0.626,-0.024
1,126,0.621,0.692,-0.019
1,127,0.743,0.798,-0.013
1,128,0.668,0.734,-0.017
1,129,0.653,0.721,-0.018
1,130,0.7,0.761,-0.015
1,131,0.721,0.78,-0.014
1,132,0.836,0.874,-0.008
1,133,0.723,0.781,-0.014
1,134,0.627,0.698,-0.019
1,135,0.805,0.849,-0.01
1,136,0.723,0.781,-0.014
1,137,0.668,0.734,-0.017
1,138,0.777,0.826,-0.011
1,139,0.85,0.885,-0.008
1,140,0.7,0.762,-0.016
1,141,0.736,0.792,-0.014
1,142,0.827,0.867,-0.009
1,143,0.969,0.977,-0.002
1,144,0.882,0.911,-0.006
1,145,0.768,0.819,-0.012
1,146,0.842,0.879,0.008
1,147,0.799,0.844,0.01
1,148,0.908,0.931,0.005
1,149,0.989,0.992,0.001
1,150,0.922,0.942,0.004
1,151,0.878,0.907,0.006
1,152,0.929,0.947,-0.004
1,153,0.911,0.933,-0.005
1,154,0.953,0.965,-0.002
1,155,0.904,0.927,-0.005
1,156,0.815,0.857,-0.01
1,157,0.915,0.936,-0.004
1,158,0.818,0.86,-0.01
1,159,0.796,0.842,-0.011
1,160,0.765,0.817,-0.013
1,161,0.839,0.876,-0.009
1,162,0.715,0.775,-0.016
1,163,0.817,0.859,-0.01
1,164,0.738,0.794,-0.014
1,165,0.767,0.818,-0.013
1,166,0.943,0.958,-0.003
1,167,0.807,0.851,-0.011
1,168,0.912,0.933,-0.005
1,169,0.759,0.811,-0.013
1,170,0.846,0.882,-0.009
1,171,0.974,0.981,-0.001
1,172,0.708,0.769,-0.017
1,173,0.784,0.832,-0.012
1,174,0.745,0.799,-0.015
1,175,0.593,0.667,-0.024
1,176,0.622,0.693,-0.022
1,177,0.522,0.602,-0.029
1,178,0.433,0.516,-0.036
1,179,0.57,0.647,-0.026
1,180,0.556,0.633,-0.027
1,181,0.421,0.504,-0.037
1,182,0.54,0.618,-0.029
1,183,0.416,0.499,-0.038
1,184,0.484,0.566,-0.033
1,185,0.561,0.638,-0.028
1,186,0.585,0.66,-0.026
1,187,0.511,0.592,-0.032
1,188,0.677,0.742,-0.02
1,189,0.555,0.633,-0.029
1,190,0.521,0.601,-0.031
1,191,0.396,0.479,-0.041
1,192,0.67,0.736,-0.021
1,193,0.567,0.644,-0.028
1,194,0.517,0.597,-0.032
1,195,0.485,0.567,-0.035
1,196,0.557,0.634,-0.029
1,197,0.591,0.666,-0.027
1,198,0.508,0.588,-0.034
1,199,0.569,0.645,-0.029
1,200,0.49,0.571,-0.035
1,201,0.712,0.772,-0.019
1,202,0.719,0.778,-0.019
1,203,0.598,0.672,-0.027
1,204,0.617,0.689,-0.026
1,205,0.615,0.687,-0.026
1,206,0.79,0.837,-0.014
1,207,0.73,0.787,-0.018
1,208,0.575,0.651,-0.03
1,209,0.732,0.789,-0.018
1,210,0.602,0.676,-0.028
1,211,0.719,0.778,-0.019
1,212,0.717,0.776,-0.019
1,213,0.844,0.88,-0.011
1,214,0.756,0.809,-0.017
1,215,0.704,0.765,-0.021
1,216,0.92,0.94,-0.005
1,217,0.997,0.998,-0.0
1,218,0.868,0.9,-0.009
1,219,0.735,0.791,-0.019
1,220,0.967,0.976,-0.002
1,221,0.837,0.875,-0.011
1,222,0.923,0.942,0.005
1,223,0.963,0.973,0.003
1,224,0.948,0.961,0.004
1,39,0.099,0.148,-0.054
1,40,0.052,0.085,-0.064
1,41,0.104,0.154,-0.053
1,42,0.046,0.077,-0.065
1,43,0.124,0.179,-0.05
1,44,0.168,0.232,-0.045
1,45,0.197,0.266,-0.042
1,46,0.13,0.187,-0.049
1,47,0.086,0.131,-0.056
1,48,0.149,0.21,-0.047
1,49,0.063,0.1,-0.061
1,50,0.113,0.166,-0.052
1,51,0.159,0.222,-0.046
1,52,0.171,0.236,-0.045
1,53,0.085,0.13,-0.057
1,54,0.196,0.265,-0.043
1,55,0.146,0.206,-0.048
1,56,0.147,0.207,-0.048
1,57,0.146,0.205,-0.049
1,58,0.203,0.273,-0.042
1,59,0.092,0.139,-0.056
1,60,0.071,0.111,-0.06
1,61,0.089,0.135,-0.057
1,62,0.067,0.106,-0.062
1,63,0.046,0.077,-0.067
1,64,0.099,0.148,-0.056
1,65,0.051,0.083,-0.066
1,66,0.043,0.072,-0.069
1,67,0.008,0.018,-0.09
1,68,0.024,0.043,-0.077
1,69,0.039,0.066,-0.071
1,70,0.033,0.058,-0.073
1,71,0.055,0.089,-0.066
1,72,0.087,0.133,-0.059
1,73,0.048,0.079,-0.068
1,74,0.059,0.095,-0.065
1,75,0.079,0.122,-0.061
1,76,0.079,0.122,-0.061
1,77,0.181,0.248,-0.047
1,78,0.37,0.453,-0.031
1,79,0.133,0.19,-0.053
1,80,0.201,0.27,-0.045
1,81,0.33,0.412,-0.034
1,82,0.236,0.31,-0.042
1,83,0.235,0.309,-0.042
1,84,0.245,0.32,-0.041
1,85,0.492,0.574,-0.025
1,86,0.419,0.502,-0.029
1,87,0.273,0.351,-0.039
1,88,0.178,0.244,-0.048
1,89,0.266,0.344,-0.04
1,90,0.184,0.251,-0.048
1,91,0.182,0.248,-0.048
1,92,0.302,0.382,-0.038
1,93,0.175,0.24,-0.049
1,94,0.262,0.339,-0.041
1,95,0.222,0.295,-0.045
1,96,0.155,0.216,-0.052
1,97,0.258,0.334,-0.041
1,98,0.256,0.332,-0.042
1,99,0.366,0.449,-0.033
10,10,0.055,0.089,-0.062
10,100,0.981,0.986,0.001
10,101,0.927,0.945,-0.003
10,102,0.593,0.668,-0.02
10,103,0.811,0.854,-0.009
10,104,0.896,0.921,-0.005
10,105,0.592,0.667,-0.02
10,106,0.614,0.686,-0.019
10,107,0.823,0.864,-0.008
10,108,0.675,0.74,-0.016
10,109,0.579,0.655,-0.021
10,11,0.057,0.092,-0.061
10,110,0.682,0.746,-0.015
10,111,0.58,0.655,-0.021
10,112,0.661,0.727,-0.017
10,113,0.607,0.68,-0.02
10,114,0.816,0.858,-0.009
10,115,0.9,0.924,0.005
10,116,0.917,0.938,-0.004
10,117,0.606,0.679,-0.02
10,118,0.787,0.835,-0.01
10,119,0.634,0.704,-0.018
10,12,0.049,0.081,-0.063
10,120,0.894,0.92,-0.005
10,121,0.629,0.7,-0.019
10,122,0.625,0.696,-0.019
10,123,0.568,0.645,-0.022
10,124,0.603,0.676,-0.02
10,125,0.573,0.65,-0.022
10,126,0.758,0.811,-0.012
10,127,0.816,0.858,-0.009
10,128,0.605,0.678,-0.02
10,129,0.667,0.733,-0.017
10,13,0.072,0.113,-0.057
10,130,0.759,0.812,-0.012
10,131,0.704,0.765,-0.015
10,132,0.688,0.752,-0.016
10,133,0.571,0.648,-0.022
10,134,0.611,0.684,-0.02
10,135,0.693,0.756,-0.016
10,136,0.85,0.886,-0.007
10,137,0.641,0.71,-0.018
10,138,0.639,0.709,-0.019
10,139,0.584,0.659,-0.022
10,14,0.041,0.07,-0.065
10,140,0.569,0.645,-0.023
10,141,0.736,0.792,-0.013
10,142,0.76,0.812,-0.012
10,143,0.893,0.919,-0.005
10,144,0.691,0.754,-0.016
10,145,0.61,0.683,-0.02
10,146,0.839,0.876,-0.008
10,147,0.653,0.721,-0.018
10,148,0.691,0.754,-0.016
10,149,0.651,0.719,-0.018
10,15,0.132,0.189,-0.048
10,150,0.701,0.763,-0.015
10,151,0.775,0.824,-0.012
10,152,0.858,0.891,-0.007
10,153,0.931,0.948,-0.004
10,154,0.923,0.942,0.004
10,155,0.877,0.906,0.006
10,156,0.829,0.869,0.009
10,157,0.775,0.824,0.012
10,158,0.823,0.864,0.009
10,159,0.782,0.83,0.011
10,16,0.056,0.09,-0.06
10,160,0.689,0.752,0.016
10,161,0.54,0.619,0.025
10,162,0.831,0.87,0.009
10,163,0.99,0.993,-0.0
10,164,0.882,0.911,0.006
10,165,0.895,0.921,-0.005
10,166,0.938,0.953,0.003
10,167,0.778,0.827,0.012
10,168,0.943,0.957,-0.003
10,169,0.991,0.994,0.0
10,17,0.145,0.205,-0.046
10,170,0.928,0.946,0.004
10,171,0.734,0.79,0.014
10,172,0.823,0.863,0.009
10,173,0.922,0.942,0.004
10,174,0.964,0.974,-0.002
10,175,0.984,0.988,-0.001
10,176,0.887,0.914,0.006
10,177,0.834,0.873,-0.009
10,178,0.895,0.921,-0.005
10,179,0.808,0.851,-0.01
10,18,0.114,0.167,-0.05
10,180,0.907,0.93,-0.005
10,181,0.818,0.86,-0.01
10,182,0.981,0.986,0.001
10,183,0.976,0.982,-0.001
10,184,0.972,0.979,-0.001
10,185,0.889,0.916,-0.006
10,186,0.787,0.834,-0.012
10,187,0.767,0.818,-0.013
10,188,0.793,0.84,-0.011
10,189,0.663,0.73,-0.019
10,19,0.159,0.222,-0.045
10,190,0.528,0.608,-0.028
10,191,0.619,0.691,-0.022
10,192,0.658,0.725,-0.02
10,193,0.679,0.744,-0.019
10,194,0.682,0.746,-0.018
10,195,0.878,0.907,-0.007
10,196,0.678,0.742,-0.019
10,197,0.639,0.709,-0.022
10,198,0.455,0.537,-0.035
10,199,0.679,0.744,-0.019
10,20,0.043,0.073,-0.064
10,200,0.678,0.743,-0.019
10,201,0.526,0.606,-0.03
10,202,0.622,0.693,-0.023
10,203,0.771,0.821,-0.014
10,204,0.829,0.868,-0.01
10,205,0.861,0.894,-0.009
10,206,0.928,0.946,-0.004
10,207,0.966,0.975,-0.002
10,208,0.978,0.984,-0.001
10,209,0.987,0.99,-0.001
10,21,0.145,0.205,-0.046
10,210,0.903,0.927,0.006
10,211,0.99,0.992,-0.001
