slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.449,0.532,-0.028
1,101,0.693,0.756,-0.014
1,102,0.759,0.811,-0.011
1,103,0.706,0.767,-0.014
1,104,0.885,0.913,-0.005
1,105,0.804,0.849,-0.009
1,106,0.928,0.946,-0.003
1,107,0.669,0.735,-0.016
1,108,0.688,0.751,-0.015
1,109,0.856,0.89,-0.007
1,110,0.972,0.979,-0.001
1,111,0.942,0.957,-0.003
1,112,0.955,0.967,0.002
1,113,0.941,0.956,0.003
1,114,0.889,0.916,-0.005
1,115,0.878,0.907,0.006
1,116,0.786,0.834,0.01
1,117,0.833,0.872,0.008
1,118,0.972,0.979,-0.001
1,119,0.948,0.961,0.002
1,120,0.637,0.707,0.018
1,121,0.57,0.646,0.022
1,122,0.687,0.751,0.016
1,123,0.769,0.82,0.011
1,124,0.728,0.786,0.014
1,125,0.957,0.968,0.002
1,126,0.852,0.887,0.007
1,127,0.71,0.77,0.015
1,128,0.77,0.821,0.011
1,129,0.798,0.843,0.01
1,130,0.749,0.803,0.013
1,131,0.726,0.784,0.014
1,132,0.618,0.69,0.02
1,133,0.701,0.763,0.015
1,134,0.817,0.859,0.009
1,135,0.607,0.68,0.02
1,136,0.676,0.741,0.017
1,137,0.767,0.818,0.012
1,138,0.667,0.733,0.017
1,139,0.58,0.655,0.022
1,140,0.709,0.769,0.015
1,141,0.697,0.759,0.016
1,142,0.596,0.67,0.021
1,143,0.493,0.574,0.028
1,144,0.567,0.644,0.023
1,145,0.643,0.712,0.019
1,146,0.346,0.428,0.038
1,147,0.337,0.418,0.039
1,148,0.388,0.471,0.035
1,149,0.446,0.529,0.031
1,150,0.406,0.49,0.034
1,151,0.371,0.454,0.037
1,152,0.479,0.561,0.029
1,153,0.523,0.603,0.026
1,154,0.497,0.578,0.028
1,155,0.522,0.601,0.027
1,156,0.606,0.679,0.021
1,157,0.536,0.615,0.026
1,158,0.613,0.685,0.021
1,159,0.603,0.676,0.022
1,160,0.633,0.703,0.02
1,161,0.572,0.648,0.024
1,162,0.685,0.748,0.017
1,163,0.606,0.679,0.022
1,164,0.66,0.727,0.019
1,165,0.656,0.723,0.019
1,166,0.488,0.57,0.03
1,167,0.627,0.697,0.021
1,168,0.548,0.626,0.026
1,169,0.692,0.755,0.017
1,170,0.587,0.662,0.024
1,171,0.463,0.545,0.032
1,172,0.689,0.752,0.018
1,173,0.648,0.716,0.02
1,174,0.716,0.775,0.016
1,175,0.879,0.908,0.007
1,176,0.826,0.866,0.01
1,177,0.917,0.937,0.005
1,178,0.968,0.976,-0.002
1,179,0.866,0.898,0.008
1,180,0.906,0.929,0.005
1,181,0.934,0.951,-0.004
1,182,0.918,0.938,0.005
