slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.014,0.027,-0.092
1,101,0.018,0.034,-0.088
1,102,0.017,0.033,-0.089
1,103,0.024,0.043,-0.085
1,104,0.041,0.069,-0.077
1,105,0.03,0.054,-0.082
1,106,0.053,0.087,-0.073
1,107,0.018,0.035,-0.09
1,108,0.024,0.044,-0.086
1,109,0.03,0.053,-0.083
1,110,0.064,0.102,-0.071
1,111,0.07,0.11,-0.069
1,112,0.06,0.095,-0.072
1,113,0.061,0.097,-0.072
1,114,0.029,0.051,-0.085
1,115,0.057,0.092,-0.074
1,116,0.08,0.123,-0.068
1,117,0.073,0.114,-0.07
1,118,0.04,0.068,-0.08
1,119,0.047,0.078,-0.078
1,120,0.104,0.154,-0.064
1,121,0.143,0.203,-0.058
1,122,0.124,0.179,-0.061
1,123,0.097,0.145,-0.066
1,124,0.092,0.139,-0.067
1,125,0.051,0.084,-0.077
1,126,0.06,0.096,-0.075
1,127,0.079,0.121,-0.07
1,128,0.055,0.089,-0.077
1,129,0.056,0.091,-0.076
1,130,0.066,0.104,-0.074
1,131,0.067,0.106,-0.073
1,132,0.09,0.136,-0.068
1,133,0.058,0.094,-0.076
1,134,0.048,0.079,-0.08
1,135,0.065,0.103,-0.074
1,136,0.051,0.083,-0.079
1,137,0.055,0.089,-0.078
1,138,0.079,0.122,-0.072
1,139,0.083,0.127,-0.071
1,140,0.05,0.083,-0.08
1,141,0.062,0.098,-0.076
1,142,0.072,0.112,-0.074
1,143,0.112,0.164,-0.065
1,144,0.096,0.143,-0.069
1,145,0.061,0.097,-0.077
1,146,0.167,0.231,-0.057
1,147,0.206,0.276,-0.053
1,148,0.137,0.195,-0.062
1,149,0.119,0.173,-0.065
1,150,0.141,0.2,-0.061
1,151,0.153,0.214,-0.06
1,152,0.082,0.126,-0.073
1,153,0.091,0.137,-0.071
1,154,0.097,0.145,-0.07
1,155,0.082,0.125,-0.074
1,156,0.071,0.112,-0.076
1,157,0.097,0.145,-0.07
1,158,0.077,0.119,-0.075
1,159,0.059,0.095,-0.081
1,160,0.057,0.092,-0.081
1,161,0.071,0.111,-0.078
1,162,0.049,0.081,-0.085
1,163,0.071,0.111,-0.078
1,164,0.053,0.087,-0.084
1,165,0.068,0.107,-0.08
1,166,0.098,0.146,-0.072
1,167,0.079,0.122,-0.077
1,168,0.114,0.166,-0.07
1,169,0.085,0.13,-0.076
1,170,0.088,0.133,-0.076
1,171,0.107,0.158,-0.072
1,172,0.051,0.084,-0.088
1,173,0.077,0.119,-0.08
1,174,0.081,0.124,-0.079
1,175,0.056,0.09,-0.087
1,176,0.055,0.089,-0.088
1,177,0.034,0.059,-0.098
1,178,0.025,0.045,-0.104
1,179,0.044,0.074,-0.094
1,180,0.046,0.077,-0.093
1,181,0.027,0.048,-0.104
1,182,0.044,0.074,-0.095
1,183,0.027,0.048,-0.105
1,184,0.035,0.061,-0.101
1,185,0.05,0.083,-0.094
1,186,0.052,0.085,-0.094
1,187,0.047,0.077,-0.097
