slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.0,0.002,0.141
1,101,0.001,0.003,0.131
1,102,0.001,0.003,0.135
1,103,0.001,0.003,0.132
1,104,0.003,0.008,0.121
1,105,0.001,0.003,0.132
1,106,0.001,0.003,0.134
1,107,0.001,0.003,0.134
1,108,0.002,0.006,0.126
1,109,0.002,0.004,0.13
1,110,0.002,0.005,0.13
1,111,0.002,0.004,0.131
1,112,0.001,0.004,0.134
1,113,0.001,0.002,0.14
1,114,0.0,0.001,0.151
1,115,0.001,0.002,0.147
1,116,0.001,0.002,0.145
1,117,0.001,0.004,0.136
1,118,0.0,0.001,0.15
1,119,0.001,0.002,0.145
1,120,0.001,0.003,0.14
1,121,0.004,0.009,0.124
1,122,0.001,0.003,0.14
1,123,0.0,0.001,0.156
1,124,0.0,0.001,0.156
1,125,0.0,0.001,0.16
1,126,0.0,0.001,0.154
1,127,0.001,0.002,0.149
1,128,0.0,0.0,0.169
1,129,0.0,0.001,0.157
1,130,0.001,0.002,0.146
1,131,0.0,0.001,0.154
1,132,0.0,0.001,0.153
1,133,0.0,0.001,0.155
1,134,0.001,0.002,0.15
1,135,0.0,0.001,0.158
1,136,0.0,0.001,0.161
1,137,0.001,0.002,0.15
1,138,0.001,0.002,0.149
1,139,0.001,0.002,0.149
1,140,0.0,0.001,0.161
1,141,0.001,0.002,0.153
1,142,0.001,0.002,0.154
1,143,0.002,0.005,0.138
1,144,0.002,0.004,0.14
1,145,0.001,0.004,0.142
1,146,0.004,0.01,0.128
1,147,0.003,0.007,0.135
1,148,0.003,0.007,0.135
1,149,0.003,0.007,0.135
1,150,0.002,0.005,0.139
1,151,0.003,0.006,0.136
1,152,0.003,0.007,0.136
1,153,0.003,0.008,0.134
1,154,0.001,0.003,0.15
1,155,0.002,0.005,0.143
1,156,0.004,0.009,0.132
1,157,0.004,0.01,0.131
1,158,0.006,0.013,0.128
1,159,0.004,0.009,0.134
1,160,0.003,0.008,0.136
1,161,0.006,0.014,0.128
1,162,0.004,0.01,0.133
1,163,0.005,0.012,0.131
1,164,0.007,0.015,0.128
1,165,0.006,0.014,0.129
1,166,0.007,0.014,0.129
1,167,0.006,0.013,0.131
1,168,0.006,0.014,0.131
1,169,0.009,0.018,0.127
1,170,0.008,0.016,0.129
