slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.124,0.18,0.059
1,101,0.048,0.08,0.076
1,102,0.06,0.096,0.073
1,103,0.092,0.138,0.066
1,104,0.073,0.113,0.07
1,105,0.137,0.195,0.058
1,106,0.109,0.16,0.063
1,107,0.097,0.145,0.065
1,108,0.072,0.113,0.071
1,109,0.066,0.104,0.073
1,110,0.097,0.145,0.066
1,111,0.189,0.256,0.052
1,112,0.191,0.259,0.052
1,113,0.231,0.305,0.048
1,114,0.264,0.341,0.045
1,115,0.201,0.271,0.051
1,116,0.304,0.384,0.041
1,117,0.168,0.232,0.056
1,118,0.222,0.295,0.049
1,119,0.286,0.365,0.043
1,120,0.339,0.421,0.039
1,121,0.173,0.238,0.056
1,122,0.254,0.33,0.047
1,123,0.269,0.346,0.045
1,124,0.305,0.385,0.042
1,125,0.332,0.413,0.04
1,126,0.275,0.353,0.045
1,127,0.193,0.261,0.054
1,128,0.301,0.381,0.043
1,129,0.259,0.335,0.047
1,130,0.195,0.264,0.054
1,131,0.308,0.388,0.042
1,132,0.328,0.41,0.04
1,133,0.188,0.255,0.055
1,134,0.117,0.17,0.065
1,135,0.161,0.225,0.058
1,136,0.176,0.242,0.057
1,137,0.151,0.212,0.06
1,138,0.188,0.256,0.056
1,139,0.124,0.179,0.065
1,140,0.11,0.161,0.067
1,141,0.097,0.146,0.07
1,142,0.081,0.124,0.074
1,143,0.046,0.076,0.085
1,144,0.041,0.069,0.087
1,145,0.04,0.068,0.088
1,146,0.037,0.064,0.089
1,147,0.073,0.113,0.077
1,148,0.043,0.072,0.087
1,149,0.065,0.103,0.079
1,150,0.043,0.073,0.087
1,151,0.024,0.044,0.097
1,152,0.026,0.047,0.096
1,153,0.038,0.065,0.09
1,154,0.048,0.08,0.086
1,155,0.043,0.072,0.089
1,156,0.028,0.05,0.096
1,157,0.034,0.059,0.093
1,158,0.024,0.043,0.1
1,159,0.018,0.034,0.105
1,160,0.024,0.044,0.1
1,161,0.023,0.043,0.101
1,162,0.024,0.043,0.101
1,163,0.022,0.04,0.103
1,164,0.014,0.027,0.111
1,165,0.025,0.045,0.101
1,166,0.025,0.045,0.102
1,167,0.031,0.054,0.098
1,168,0.056,0.09,0.087
1,169,0.051,0.084,0.089
1,170,0.03,0.053,0.1
1,171,0.021,0.04,0.107
1,172,0.017,0.032,0.112
1,173,0.033,0.057,0.1
1,174,0.044,0.074,0.095
1,175,0.076,0.118,0.084
1,176,0.107,0.158,0.076
1,177,0.101,0.15,0.078
1,178,0.115,0.167,0.076
1,179,0.065,0.103,0.089
1,180,0.062,0.099,0.09
1,181,0.115,0.168,0.076
1,182,0.186,0.253,0.064
1,183,0.179,0.245,0.066
1,184,0.201,0.27,0.063
1,185,0.177,0.243,0.067
1,186,0.151,0.212,0.072
1,187,0.138,0.196,0.075
1,188,0.149,0.209,0.073
1,189,0.155,0.217,0.072
1,190,0.213,0.284,0.063
1,191,0.118,0.171,0.08
1,192,0.141,0.199,0.076
1,193,0.177,0.243,0.07
1,194,0.158,0.22,0.073
1,195,0.127,0.183,0.08
1,196,0.162,0.225,0.073
1,197,0.181,0.247,0.071
1,198,0.1,0.148,0.087
1,199,0.156,0.218,0.076
1,200,0.165,0.228,0.074
1,201,0.117,0.171,0.084
1,202,0.201,0.27,0.069
1,203,0.145,0.205,0.079
1,204,0.081,0.124,0.095
1,205,0.166,0.23,0.076
1,206,0.123,0.178,0.085
1,207,0.131,0.188,0.083
1,208,0.119,0.173,0.086
1,209,0.115,0.168,0.087
1,210,0.094,0.141,0.093
1,211,0.104,0.154,0.091
1,212,0.136,0.193,0.083
1,213,0.066,0.105,0.103
1,214,0.054,0.088,0.109
1,215,0.074,0.115,0.101
1,216,0.036,0.062,0.119
1,217,0.033,0.057,0.122
1,218,0.015,0.029,0.14
1,219,0.028,0.05,0.126
1,220,0.019,0.036,0.135
1,221,0.015,0.03,0.141
1,222,0.011,0.022,0.148
1,223,0.008,0.017,0.154
1,224,0.003,0.008,0.172
1,39,0.187,0.255,0.045
1,40,0.16,0.222,0.048
1,41,0.129,0.185,0.052
1,42,0.079,0.121,0.06
1,43,0.094,0.141,0.057
1,44,0.038,0.065,0.071
1,45,0.093,0.14,0.057
1,46,0.13,0.186,0.052
1,47,0.124,0.179,0.053
1,48,0.098,0.146,0.057
1,49,0.122,0.177,0.053
1,50,0.079,0.121,0.06
1,51,0.15,0.211,0.05
1,52,0.199,0.268,0.044
1,53,0.185,0.253,0.046
1,54,0.159,0.221,0.049
1,55,0.134,0.191,0.052
1,56,0.211,0.282,0.043
1,57,0.259,0.335,0.039
1,58,0.165,0.229,0.048
1,59,0.224,0.297,0.042
1,60,0.282,0.36,0.038
1,61,0.227,0.3,0.043
1,62,0.173,0.239,0.048
1,63,0.104,0.154,0.057
1,64,0.164,0.228,0.049
1,65,0.297,0.376,0.037
1,66,0.113,0.165,0.056
1,67,0.111,0.163,0.057
1,68,0.087,0.133,0.061
1,69,0.073,0.114,0.064
1,70,0.108,0.158,0.058
1,71,0.066,0.104,0.066
1,72,0.058,0.093,0.068
1,73,0.078,0.12,0.064
1,74,0.051,0.084,0.07
1,75,0.048,0.079,0.072
1,76,0.044,0.074,0.074
1,77,0.028,0.05,0.081
1,78,0.041,0.07,0.075
1,79,0.052,0.085,0.071
1,80,0.062,0.099,0.069
1,81,0.07,0.11,0.067
1,82,0.047,0.078,0.074
1,83,0.038,0.066,0.077
1,84,0.06,0.097,0.07
1,85,0.088,0.134,0.064
1,86,0.106,0.157,0.061
1,87,0.046,0.076,0.075
1,88,0.074,0.114,0.067
1,89,0.075,0.117,0.067
1,90,0.051,0.084,0.073
1,91,0.066,0.104,0.07
1,92,0.072,0.112,0.069
1,93,0.092,0.138,0.064
1,94,0.078,0.12,0.067
1,95,0.081,0.124,0.067
1,96,0.1,0.148,0.063
1,97,0.074,0.115,0.069
1,98,0.067,0.106,0.07
1,99,0.113,0.165,0.061
10,10,0.481,0.563,0.024
10,100,0.22,0.293,0.047
10,101,0.27,0.348,0.043
10,102,0.165,0.228,0.054
10,103,0.272,0.35,0.043
10,104,0.174,0.239,0.053
10,105,0.131,0.188,0.059
10,106,0.184,0.251,0.052
10,107,0.082,0.125,0.068
10,108,0.106,0.156,0.064
10,109,0.266,0.343,0.044
10,11,0.373,0.456,0.03
10,110,0.289,0.368,0.042
10,111,0.103,0.153,0.065
10,112,0.158,0.22,0.056
10,113,0.083,0.128,0.069
10,114,0.082,0.126,0.069
10,115,0.128,0.184,0.061
10,116,0.225,0.298,0.048
10,117,0.178,0.244,0.054
10,118,0.19,0.258,0.052
10,119,0.209,0.28,0.05
10,12,0.328,0.409,0.033
10,120,0.253,0.329,0.046
10,121,0.272,0.35,0.044
10,122,0.232,0.306,0.048
10,123,0.226,0.299,0.049
10,124,0.216,0.288,0.05
10,125,0.218,0.289,0.05
10,126,0.289,0.368,0.043
10,127,0.283,0.362,0.044
10,128,0.271,0.349,0.045
10,129,0.295,0.374,0.043
10,13,0.214,0.285,0.041
10,130,0.268,0.345,0.045
10,131,0.367,0.45,0.037
10,132,0.266,0.343,0.046
10,133,0.333,0.414,0.04
10,134,0.312,0.392,0.042
10,135,0.202,0.272,0.053
10,136,0.272,0.349,0.045
10,137,0.163,0.226,0.058
10,138,0.087,0.132,0.071
10,139,0.127,0.182,0.063
10,14,0.321,0.402,0.033
10,140,0.215,0.287,0.052
10,141,0.211,0.282,0.052
10,142,0.202,0.272,0.053
10,143,0.195,0.264,0.054
10,144,0.119,0.173,0.065
10,145,0.205,0.276,0.053
10,146,0.169,0.233,0.058
10,147,0.148,0.208,0.061
10,148,0.146,0.207,0.061
10,149,0.127,0.183,0.064
10,15,0.247,0.323,0.039
10,150,0.122,0.177,0.065
10,151,0.143,0.202,0.062
10,152,0.079,0.121,0.074
10,153,0.144,0.203,0.062
10,154,0.098,0.146,0.07
10,155,0.211,0.282,0.053
10,156,0.224,0.296,0.052
10,157,0.293,0.372,0.045
10,158,0.318,0.399,0.042
10,159,0.244,0.319,0.049
10,16,0.332,0.413,0.032
10,160,0.223,0.295,0.052
10,161,0.175,0.241,0.058
10,162,0.149,0.21,0.061
10,163,0.14,0.198,0.063
10,164,0.191,0.259,0.056
10,165,0.141,0.2,0.063
10,166,0.184,0.251,0.057
10,167,0.182,0.249,0.057
10,168,0.179,0.245,0.058
10,169,0.251,0.327,0.049
10,17,0.21,0.281,0.042
10,170,0.216,0.288,0.053
10,171,0.187,0.254,0.057
10,172,0.116,0.169,0.068
10,173,0.227,0.3,0.052
10,174,0.203,0.273,0.055
10,175,0.338,0.419,0.042
10,176,0.365,0.448,0.039
10,177,0.451,0.533,0.033
10,178,0.441,0.524,0.034
10,179,0.306,0.386,0.045
10,18,0.246,0.321,0.038
10,180,0.334,0.416,0.043
10,181,0.344,0.426,0.042
10,182,0.35,0.432,0.042
10,183,0.367,0.449,0.04
10,184,0.31,0.39,0.045
10,185,0.292,0.372,0.047
10,186,0.225,0.298,0.055
10,187,0.235,0.309,0.054
10,188,0.224,0.297,0.055
10,189,0.278,0.356,0.05
10,19,0.18,0.246,0.044
10,190,0.198,0.267,0.059
10,191,0.194,0.262,0.06
10,192,0.22,0.292,0.057
10,193,0.171,0.236,0.064
10,194,0.129,0.186,0.072
10,195,0.194,0.262,0.062
10,196,0.167,0.231,0.066
10,197,0.097,0.145,0.08
10,198,0.114,0.166,0.077
10,199,0.12,0.174,0.076
10,20,0.19,0.258,0.043
10,200,0.112,0.165,0.078
10,201,0.044,0.074,0.099
10,202,0.079,0.121,0.088
10,203,0.08,0.123,0.088
10,204,0.082,0.126,0.088
10,205,0.085,0.129,0.088
10,206,0.102,0.151,0.084
10,207,0.106,0.156,0.083
10,208,0.206,0.276,0.066
10,209,0.075,0.117,0.093
10,21,0.282,0.361,0.036
10,210,0.125,0.181,0.081
10,211,0.114,0.166,0.084
10,212,0.142,0.201,0.079
10,213,0.218,0.29,0.066
10,214,0.2,0.269,0.07
10,215,0.225,0.298,0.066
10,216,0.201,0.27,0.071
10,217,0.16,0.223,0.078
10,218,0.196,0.265,0.072
10,219,0.173,0.238,0.077
10,22,0.18,0.246,0.044
10,220,0.203,0.273,0.072
10,221,0.187,0.254,0.075
10,222,0.262,0.339,0.065
10,223,0.16,0.223,0.081
