slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.001,0.003,0.129
1,101,0.002,0.005,0.121
1,102,0.001,0.003,0.129
1,103,0.001,0.003,0.128
1,104,0.003,0.008,0.116
1,105,0.002,0.005,0.122
1,106,0.001,0.004,0.126
1,107,0.001,0.004,0.128
1,108,0.004,0.01,0.114
1,109,0.002,0.006,0.122
1,110,0.002,0.005,0.124
1,111,0.001,0.004,0.129
1,112,0.001,0.004,0.128
1,113,0.001,0.002,0.138
1,114,0.0,0.001,0.145
1,115,0.001,0.002,0.141
1,116,0.001,0.002,0.138
1,117,0.001,0.004,0.131
1,118,0.0,0.001,0.148
1,119,0.0,0.001,0.144
1,120,0.001,0.003,0.136
1,121,0.004,0.009,0.12
1,122,0.001,0.002,0.139
1,123,0.0,0.001,0.152
1,124,0.0,0.001,0.154
1,125,0.0,0.001,0.153
1,126,0.0,0.001,0.147
1,127,0.001,0.002,0.142
1,128,0.0,0.0,0.163
1,129,0.0,0.001,0.152
1,130,0.001,0.002,0.141
1,131,0.0,0.002,0.146
1,132,0.0,0.001,0.15
1,133,0.0,0.001,0.151
1,134,0.001,0.002,0.145
1,135,0.0,0.001,0.154
1,136,0.0,0.001,0.156
1,137,0.001,0.002,0.145
1,138,0.001,0.002,0.145
1,139,0.001,0.002,0.147
1,140,0.0,0.001,0.157
1,141,0.001,0.002,0.143
1,142,0.001,0.002,0.149
1,143,0.002,0.006,0.131
1,144,0.002,0.006,0.132
1,145,0.002,0.005,0.136
1,146,0.004,0.009,0.125
1,147,0.003,0.007,0.131
1,148,0.003,0.008,0.128
1,149,0.003,0.007,0.13
1,150,0.003,0.007,0.129
1,151,0.004,0.009,0.127
1,152,0.004,0.009,0.126
1,153,0.005,0.011,0.124
1,154,0.002,0.005,0.137
1,155,0.003,0.007,0.133
1,156,0.007,0.015,0.12
1,157,0.011,0.022,0.114
1,158,0.011,0.023,0.113
1,159,0.008,0.017,0.119
1,160,0.006,0.014,0.122
1,161,0.01,0.02,0.116
1,162,0.009,0.018,0.119
1,163,0.01,0.021,0.117
1,164,0.012,0.025,0.114
1,165,0.012,0.025,0.114
1,166,0.008,0.017,0.122
1,167,0.007,0.016,0.124
1,168,0.008,0.017,0.123
1,169,0.011,0.022,0.119
1,170,0.009,0.019,0.122
